Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Links,Condition,Service Lines,Facilities
House,Stone,85 sq.m.,1,4,1,No Renovation,200 sq.m.,"Zovuni 38 street, Zovuni","$55,000",USD,"House for sale in Zovuni, on one-storey 38 street in the central part of the village, near the school, kindergarten and bus stops, house @ newly built, has all communal facilities @, state sewerage, all @ fenced, for details callTranslated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/17868161,House is Under Construction,,
Country House,Stone,68 sq.m.,2,2,1,Partial Renovation,600 sq.m.,Kotayk › Dzoraghbyur,"$28,500",USD,"The summer house is flat, it has irrigation water, electricity, gas, there is no drinking water, the summer house is located 100 meters down from Lia market, enter the road on the right, it is called the 3rd district, it is pointless to call.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/17226713,,,
House,Stone,1550 sq.m.,2,8+,2,No Renovation,1550 sq.m.,Kotayk › Arzni,"$53,000",USD,"It is located in the village of Arzni, there is electricity, gas, water, the house is in need of urgent repairs, it is for sale urgently, that is the price.Translated from Armenian",Dec-12-2022_20-42,Not available,2 spots,,,,,,,,https://list.am/en/item/18689356,House is Unfinished,"Electricity, water supply, natural gas, sewerage",
House,Stone,140 sq.m.,2,4,2,No Renovation,210 sq.m.,"38-րդ փողոց 25, Զովունի","$95,000",USD,"A newly built private house is for sale in the center of the village of Zovuni on thirty-eighth street, first line asphalted and bright street, utilities are attached, walled, artic tuff roof.Translated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18441353,House is Under Construction,Natural gas,
House,Stone,110 sq.m.,1,3,1,Cosmetic Renovation,450 sq.m.,"Jrvezh 2-nd street, Jrvej","$120,000",USD,"Urgent sale of a 3-room house in Jrvezh, land area, 450, house 110, tuff walls 2 under 70 cm wide, ceiling bar, 3m, monolithic, doors, windows have been changed, has constant hot and cold water, gas, light, BAXI heating system, short He said that all the main works for his own house have been completely overhauled, all the prerequisites are there to build 2 floors, a road on both sides, an orchard, very urgent, call real buyers.Translated from Armenian",Dec-12-2022_20-42,By agreement,Not available,,,,,,,,https://list.am/en/item/18374447,House is Finished,,
House,Monolith,240 sq.m.,3,6,3+,Partial Renovation,400 sq.m.,"Վահան Տերյան 2-րդ փողոց, Առինջ","$200,000",USD,"Luxury NEW CONSTRUCTION private house for sale in Duryan elite district. All building documents are available (concrete works videos) The doors and windows are installed with the highest quality material. It consists of 3 floors (each floor is 80 square meters) It has a very big advantage (the design of partitions is decided by the buyer) There is a wonderful view to the west. The land is completely fenced, large and small gates will be installed.A GREAT BARGAIN!For details, call the indicated phone numberTranslated from Armenian",Dec-12-2022_20-42,Not available,3 or more spots,,,,,,,,https://list.am/en/item/18650562,House is Finished,"Electricity, water supply, sewerage",
House,Stone,186 sq.m.,2,5,1,Euro Renovation,300 sq.m.,"Dzagavank 2nd lane, Առինջ գյուղ","$71,000",USD,"Own house for sale in Arinj village, 2 floors, fully renovated, sunny, furnished rooms, 5 total area, 300, house, 186, roof, pipes, wires, also negotiable, very urgent. Cash only, not through a closed bank. Very urgent rial will be negotiated to the buyer.Translated from Armenian",Dec-12-2022_20-42,By agreement,Not available,,,,,,,,https://list.am/en/item/16748725,House is Finished,,
House,Stone,3000 sq.m.,3,8+,1,Old Renovation,2000 sq.m.,Kotayk › Argel,"$100,000",USD,"A 3-storey stone building is for sale at the beginning of Argel (Lusakert) village. The number of rooms: 19, 2 large basements, the total area is 3000 square meters. , residential 480 square meters, there are fruit trees. It needs repair. Amenities include: Drinking water, electricity, the gas pipe passes in front of the house. It is very suitable for a hotel complex. The price is negotiable. Call, not write.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18221547,,,
House,Stone,110 sq.m.,1,4,2,Major Renovation,800 sq.m.,Kotayk › Yeghvard,"$120,000",USD,"A 1-storey private house is for sale in the beginning of Yeghvard, in the newly created Garegin Nzhdeh district. The house was built 2 years ago, very solid and high quality. Thoroughly reconstructed. Completely fenced (2.25 m), there are newly planted fruit trees on the plot. The price is negotiable. Call, not write.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18220515,,,
House,Stone,140 sq.m.,1,4,1,Partial Renovation,4500 sq.m.,Kotayk › Goght,"$250,000",USD,"Private house (guest house) for sale with 4500 land, first line, in which there is an orchard (high quality cherries and apples)Suitable for a recreation area, for setting up a restaurant.It is provided with all the communal facilities (permanent water, electricity, gas) Price is negotiable.For details, call the mentioned numberTranslated from Armenian",Dec-12-2022_20-42,,Not available,,,,,,,,https://list.am/en/item/17305483,,,
House,Stone,101 sq.m.,1,4,1,Partial Renovation,100 sq.m.,Kotayk › Zovuni,"$78,000",USD,"Read carefully the house in the picture, verse. It is a newly built private house in the center of Zovuni village on the first line of the street thirty-nine, in two square meters of land, two floors, internal walls with internal heat exchangers, mountings and plaster, euro windows, the outer door is iron, fenced, we also build to order on your land according to your own project, we work under the contract, we are responsible for the quality, the prices are affordable.Translated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/17627800,House is Unfinished,,
House,Stone,110 sq.m.,2,4,2,Partial Renovation,200 sq.m.,"Zovuni 39 street 5, Zovuni","$78,000",USD,"Read carefully, the house in the picture is already sold, but we have a newly built two-story house in the center of the village of Zovuni, on thirty-nine street, on two hundred meters of land, euro windows, the outer door is made of iron, the internal fittings are done, the walls are split and plastered, fenced, also with construction orders. On your land according to your project, we work under the contract, we are responsible for the quality, the prices are affordable.Translated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/17129265,House is Unfinished,,
House,Stone,1200 sq.m.,2,4,2,Major Renovation,1200 sq.m.,"Bagrevand 43 street 30, Yerevan","$360,000",USD,"4 boxes are for rent on the first floor, the house is for rent on the second floor, it can serve as both a business and a private houseThere are 3 bathrooms on the first floor and 2 on the second floorBagrevand:Translated from Armenian",Dec-12-2022_20-42,Available,3 or more spots,,,,,,,,https://list.am/en/item/17924405,House is Finished,,
House,Stone,115 sq.m.,1,4,1,Major Renovation,700 sq.m.,Kotayk › Zovuni,"$145,000",USD,"A one-storey house with a stone attic is for sale on 25 Zovuni street. The first floor is 115 sq. M., has 4 rooms, a storage room, a basement. The second floor is 70 sq. M. (there is light, water, sewerage) The house is capitally renovated, fenced. The land area is 700 square meters, it has fruit trees. It is possible to build a private house on the land.For more information callTranslated from Armenian",Dec-12-2022_20-42,Available,Not available,,,,,,,,https://list.am/en/item/17970937,House is Finished,,
House,Stone,80 sq.m.,1,3,1,Major Renovation,80 sq.m.,Kotayk › Zovuni,"$100,000",USD,"A completely renovated private house is for sale. The house is in perfect condition, has gas, permanent water, all ideal conditions for living.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18287701,,,
House,Stone,300 sq.m.,3,4,3+,No Renovation,500 sq.m.,"Առինջի 25-րդ փողոց, Առինջ","$160,000",USD,"House for saleThe area is 500 square metersThe house is half-built, 3 floors, each floor is 100 square meters and has a basement of 30 square meters100 square meters open space with pitched roof. In case of other questions, call the indicated number. Price negotiable.Translated from Armenian",Dec-12-2022_20-42,Not available,1 spot,,,,,,,,https://list.am/en/item/18370274,House is Unfinished,,
House,Stone,520 sq.m.,1,3,1,No Renovation,520 sq.m.,"Վազգեն Սարգսյանի փողոց, Քասախ","$65,000",USD,"A half-built private house without a mediator near the Mush district.It is privatized, with the permission to build a second floor.Lined with double stone, it has a solid foundation.The total building is 520 square meters, 73 square meters.The water has run out, there is a possibility for other utilities.On the other hand, a new road will be built soon, the distance to Davitashen is 1 km.Payment is possible by car + money.Do not call brokersTranslated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/16240658,House is Unfinished,,
House,Stone,30 sq.m.,1,2,1,Euro Renovation,500 sq.m.,Kotayk › Byureghavan,"$46,000",USD,"1-storey private house with all communal facilities (gas, electricity, water) is for sale. 2 rooms, kitchen, bathroom. The area is fenced, there are fruit trees. The road is asphalted.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/17853987,,,
Townhouse,Stone,150 sq.m.,2,5,3+,Partial Renovation,60 sq.m.,"28-я улица 71, Зовуни","$60,000",USD,"Զովունի ԴավթաշենԵրևանում և մեռձակա տարացքում ամենա մաչելի թաունհաուզներըՈՒՇԱԴՐՈՒԹՅՈՒՆԲացառապես միյայն առաջին գնոռթին նվեր + 100քմ հողատարացքՇինարարության 80% շին ապրանքը գերմանական և ռուսական ամենա բարձր որակի շինանյութեր են:3 Հարկ 150ք մետրՄասնակի վերանորոման դեպքում 60000$ամբոխչական վերանորոգման դեպքում 100000 $ցանկությոան դեպքում ավտօտնակ.Ավարտը 2023թ իննախապես գնելու և փուլաին վճարման դեպքում նշված առժեքն է իսկ պատրաստի գնոլո դեպքում առժեքը կավելանա ևս 20000$Դուք ձեր ներկայությամբ կարող եք հետևել թե ինչ որակի և ինչ քանաակ շին ապրանք է օկտագործվում ձեր տան կառուցման համար.Մոնոլիտե ծածկտաքացվող հատակջերմամեկուսիչ պատերարևաին էլեկտրաէներգիափակ տարացքլուսավոր փողոցЗовуни ДавташенВнимание80% стройматериал-самые качественные строительные материалы Германии и России:3 этаж 150кв метровПри частичном ремонте 60000$При под ключ ремонта 100000$Гараж автомабила по желанию.Окончание строительство в 2023 годув случае покупки заранее и поэтапной оплаты цена будет 60000 и 100000$.А случе покупка готового таунхауса будет увеличена еще на 20000 $.В вашем присутствии вы можете следить за качеством и качеством строительных изделий, используемых для строительства вашего дома.Монолитное покрытиепол с подогревомтеплоизоляция стенсолнечная электроэнергиязакрытое тереторясветлая и зелёная улицаTranslated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18603854,,"Electricity, water supply, natural gas","Fireplace, barbecue oven, alarm system"
House,Stone,120 sq.m.,1,3,1,Major Renovation,1400 sq.m.,"5-я улица 27, Арамус","$112,000",USD,"Urgent, negotiable. In Aramus, newly built district, flat place, thick walls, above the ground, fence on 4 sides, euro door, skylight, new roof, gas, water, electricity, gas, separate sewage, separate irrigation water, 5 cameras, open balcony, garage, storage room, outbuildings all made of stone, barbecue, chat room, fruit garden, electric boiler. One minute from the central paved road. Everything is legal, the documents are completely normal. The property and equipment remain completely, I don't take anything. All were bought 1 year ago. Owner.IMPORTANT. THERE IS NO HIGH VOLTAGE POWER PLANT IN THE AREA. 15 minutes by car from Avan. It does not require any investment, it is fully furnished.Translated from Armenian",Dec-12-2022_20-42,Available,1 spot,,,,,,,,https://list.am/en/item/18031638,House is Finished,,
House,Stone,1000 sq.m.,1,6,2,Partial Renovation,1000 sq.m.,"Արամ Խաչատրյան փողոց 54, Գառնի","$50,000",USD,"The house or summer house is located 3 kilometers away from Garni temple on Nalbandyan avenue, permanent drinking and irrigation water, natural gas, electricity, orchard, windows are changed. Call to learn moreTranslated from Armenian",Dec-12-2022_20-42,Available,Not available,,,,,,,,https://list.am/en/item/16583893,House is Finished,,
House,Monolith,115 sq.m.,1,4,2,No Renovation,800 sq.m.,Kotayk › Aghveran,"$68,000",USD,"A newly built private house on the river bank in AghveranA newly built private house in Aghveran is for sale, with all utilities.Heating pipesEuropean door and windowscoolStyashkahigh quality electrical wires3 bedrooms2 bathroomsThe area of the building is 115 square meters800 square meters of landCar parkingIt is possible to buy the house with a construction loan.The pictures are true to the building.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18009442,,,
House,Stone,760 sq.m.,2,5,1,No Renovation,150 sq.m.,Kotayk › Ptghni,"$45,000",USD,"Very urgentlyPrivate house for saleKotayk, Ptghnineeds renovation760/150 square metersfront 12 × 131st floor basements5 roomsCode VM844Translated from Armenian",Dec-12-2022_20-42,By agreement,Not available,,,,,,,,https://list.am/en/item/17710553,House is Finished,,
House,Stone,337 sq.m.,2,6,2,Major Renovation,894 sq.m.,Kotayk › Abovian,"$220,000",USD,"Վաճառվում է 2 հարկանի, 6 սենյականոց առանձնատուն՝ 894/337քմ մակերեսովԱբովյան քաղաք, 7-րդ միկրոշրջանկապիտալ վերանորոգված️ջեռուցման համակարգ️սանհանգույցը սալիկապատ️բուխարի️ավտոտնակ️նկուղ️բակ️պարսպապատ️գույքԿոդ BB3360",Dec-12-2022_20-42,Not available,1 spot,,,,,,,,https://list.am/en/item/15935151,House is Finished,,
Country House,Stone,760 sq.m.,3,3,1,Major Renovation,600 sq.m.,"1-ին փողոց 194, Նուռնուս","$70,000",USD,"A 3-storey, 3-room private house-summer house is for sale in the summer houses of Nurnus, 15 km from Yerevan. It is in good condition. It has all utilities, irrigation water, drinking water (permanent) It has 2 storage rooms, a garage that can also be used as a workshop. The house is fenced, has a meeting room, a swimming pool, 50 productive trees, an outdoor kitchen, the possibility of drawing gas, European windows.Translated from Armenian",Dec-12-2022_20-42,Not available,2 spots,,,,,,,,https://list.am/en/item/16852438,House is Finished,"Electricity, water supply, sewerage","Swimming pool, fireplace, barbecue oven, gazebo"
House,Stone,161 sq.m.,1,5,1,Partial Renovation,1895 sq.m.,"Տիգրանաձորի 2-րդ նրբանցք, Արամուս","$90,000",USD,It is also possible to exchange with a 1- or 2-room apartment for an additional fee (preferably in Kotayk region)Translated from Armenian,Dec-12-2022_20-42,Available,1 spot,,,,,,,,https://list.am/en/item/18655442,,"Electricity, water supply, natural gas, sewerage",
House,Stone,900 sq.m.,3,8+,2,Major Renovation,850 sq.m.,Kotayk › Abovian,"100,000,000 ֏",AMD,"Дом с 2007 года постройки с ремонтом своя кательня совсеми комунальными газ, вода, канализация в чете города до центра 300 метров участок огорожен гараж на 2 машины есть возможнасть для производства. Возможно по этапный рассчёт",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/16078953,,,
House,Stone,450 sq.m.,3,5,2,Cosmetic Renovation,2500 sq.m.,Kotayk › Hrazdan,"$180,000",USD,"Տունը գտնվում է Երևան֊Սևան մայրուղու Հրազդանի նախկին գաի պոստ չհասած։Ընդհանուր տարածքը 2500քմ։ Մուտքը և մայրուղու և Քաղսի գյուղի կողմից, հողատարացքում առկա են 2 ավտոտնակ, թոնրատուն, չօգտագործված անասնատուն, պտղատու ծառներ և 3 հականի տուն։",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/12509479,,,
House,Stone,450 sq.m.,2,5,2,No Renovation,1500 sq.m.,Kotayk › Hrazdan,"$50,000",USD,"Private house with land for sale near Hrazdan Deer Park. The house is built of basalt stone. ""SOUL"" is set, call for other questions.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/17511257,,,
House,Stone,440 sq.m.,2,5,3+,No Renovation,1000 sq.m.,Kotayk › Kanakeravan,"$320,000",USD,"Constant water, Three-phase electricity,sewer on both sides.Georg Simon 4th street, 43 housesTranslated from Armenian",Dec-12-2022_20-42,Not available,1 spot,,,,,,,,https://list.am/en/item/16813145,House is Finished,,
House,Stone,460 sq.m.,3,5,2,Major Renovation,1500 sq.m.,Kotayk › Nurnus,"40,000,000 ֏",AMD,"На первом этаже только закончился капитальный ремонт, зал 43 квм, кухня 10 квм, туалет душевая6 квм. На 2 ом этаже огромный балкон можно делать биллиардную и к спальнии и место для туалета и душа требуетьса косметичный ремонт. С балконов 2 этажей вид на ушелье арзни и гора ара. На 0 ом этаже басейн, шашлычная плошадка для ужына, погре и чулан. Огород отлично ухожен, мног разных фруктовых деревев, (1,5 тонны виноград, 100 кг малины, 150 кг кизиль и так далее. Из винограда получаетса около 200 литра вино и 70 литр водки, также и кизиль. Вода и електричество постоянно, газ в 50 метрах но в доме есть жидкий газ и отопляетса и горячая вода тоже",Dec-12-2022_20-42,Not available,2 spots,,"Fridge, stove, washing machine",,,,,,https://list.am/en/item/18587599,House is Finished,"Electricity, water supply, natural gas, sewerage","Swimming pool, barbecue oven, gazebo"
House,Stone,560 sq.m.,2,8+,2,Major Renovation,880 sq.m.,Kotayk › Kasagh,"$180,000",USD,"2-storey house for sale in the beginning of Kasakh (near the Red Cross) 2 residential floors and basement with the whole territory of the house. Permanent water, gas, light, Baxi system. There are sad fruit trees, parking for 2 cars. 2 Open balcony. For sale urgently.Translated from Armenian",Dec-12-2022_20-42,Available,2 spots,,,,,,,,https://list.am/en/item/17979440,House is Finished,,
House,Stone,110 sq.m.,2,3,2,Partial Renovation,200 sq.m.,"Zovuni 38 street, Zovuni","35,000,000 ֏",AMD,"The house is located in Zovui, 38 str. The bus number 12 passes through the street, the gas pipeline passes by the house, has sewerage and drinking water. The construction will be completed in 2-3 months.Translated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/17929376,,,
Country House,Monolith,210 sq.m.,3,4,2,No Renovation,650 sq.m.,"3-րդ փողոց, Գետարգել","$110,000",USD,"Newly built, 2 floors, 4 rooms, 2 bathrooms + massage, monolithic building, fenced, water, electricity, drainage available.Translated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18210820,House is Finished,,
House,Stone,130 sq.m.,1,4,1,Designer Renovation,1100 sq.m.,Kotayk › Arinj,"$170,000",USD,"Auxiliary building, 50 square meters, greenhouse, 350 square meters, flower garden, productive trees, gas, water, sewerage, two entrances to the house from the loggia and the main house, new oak kitchen furniture, loggiaTranslated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18074449,,,
House,Stone,190 sq.m.,2,4,2,No Renovation,1280 sq.m.,Kotayk › Kaghsi,"$67,000",USD,"The house is located near the river, good viewTranslated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18519042,House is Finished,,
House,Stone,250 sq.m.,2,7,2,Partial Renovation,800 sq.m.,Kotayk › Yeghvard,"$120,000",USD,"Вода питевая, вода для полива огорода, газ, канализация центральная, бакси отопитель, сад с молодыми деревями, есть елки уже большие! На остальные вопросы отвечу по телефону! Или обмен на квартиру в Ереване.",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18531051,,,
House,Stone,1200 sq.m.,1,4,1,Partial Renovation,110 sq.m.,"Квартал Ванатур 239, Раздан","$80,000",USD,"СРОЧНО. (ВАНАТУР) ВОЗМОЖЕН ОБМЕН НА КВАРТИРУ С ВАШЕЙ ДОПЛАТОЙ.Дом 120кв. М построен в2020г. Участок 1200кв. М плодородная земля, деревя. Первая линия на Разданской главной городской дороге в 10 метрах от светофора в перекрёстке квартала Ванатур. Очень удобно как для жилья так и для бизнеса любого характера. Электричество 220в. Вода постоянная, канализация проведена + 2 отдельных слива на участке, газ находиться на территории участка. (220тсч. Драм Стоимость проведения. По всем остальным вопросам звоните Только реально заинтересованные люди. Могу довести до готового полностью состояния при желании. Цена минимальная в силе максимум до нового года. Подскажу как за окупиться за короткое время территория идеальная для вложении в бизнес проектов.",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/17804118,House is Unfinished,"Electricity, water supply, natural gas, sewerage",
House,Stone,300 sq.m.,2,6,2,Euro Renovation,800 sq.m.,"Ծաղկունք 4-րդ փողոց, Բալահովիտ","$300,000",USD,"2-storey private house is for sale in Balahovit. The building area is 300 square meters. The land is 800 square meters. On the 1st floor there is a living room, 1 bedroom, 1 study, a kitchen, on the 2nd floor a dining room, a spacious hall, a kitchen, 2 bedrooms, a garage. The house is fully renovated. The house has a very beautiful garden with fruit trees.Translated from Armenian",Dec-12-2022_20-42,By agreement,1 spot,,,,,,,,https://list.am/en/item/17781497,House is Finished,,
House,Stone,2300 sq.m.,3,5,2,Cosmetic Renovation,2300 sq.m.,Kotayk › Ptghni,"$190,000",USD,A house is for sale in Ptghni.All utilities are available.*Constant hot and cold water*Heating System*Garage for 2 cars*fruit garden*swimming pool*all the facilities for spending a pleasant time in the yard.For more information call.Translated from Armenian,Dec-12-2022_20-42,Available,2 spots,,,,,,,,https://list.am/en/item/18231094,House is Finished,,
House,Stone,900 sq.m.,1,2,1,Cosmetic Renovation,900 sq.m.,"Jrvezh 1-st street, Yerevan","$60,000",USD,"Private house for sale in Jrvezh(In the apple orchard)The land is fenced.The area of the residential building is 60 square meters.The land area is 900 square meters.Constant water, electricity, gas is right next to the fence.There is a chat room in front of the buildingbarbecue, fountain, about 50 fruit trees.THE IMPORTANCE OF LAND IS Horticultural.For more information call.Code R4037Translated from Armenian",Dec-12-2022_20-42,Available,Not available,,,,,,,,https://list.am/en/item/17547127,House is Finished,,
Country House,Stone,2000 sq.m.,3,4,1,Partial Renovation,1800 sq.m.,Kotayk › Nurnus,"$100,000",USD,"Located in the village of Nurnus. There is constant drinking water, electricity. There are 2 orchards - large and small.For more information callTranslated from Armenian",Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18151480,,,
House,Stone,3200 sq.m.,2,5,3+,Major Renovation,,Kotayk › Abovian,"$700,000",USD,A luxurious private house is for sale in Abovyan. Together with equipment and property. The total area of the house is 300 square meters. Մ. And the total land square. 3200 sq. M. Մ.Translated from Armenian,Dec-12-2022_20-42,Available,3 or more spots,,,,,,,,https://list.am/en/item/14156865,House is Finished,,
House,Stone,90 sq.m.,1,3,1,Major Renovation,90 sq.m.,"Երեվանյան փողոց, Շահումյան","$28,000",USD,Call for questionsTranslated from Armenian,Dec-12-2022_20-42,,,,,,,,,,https://list.am/en/item/18043218,,,
House,Stone,250 sq.m.,2,5,1,No Renovation,50 sq.m.,Kotayk › Jrvezh,"$75,000",USD,"Private house for sale in Jrvezh village, with a separate garage, the house has permanent gas, electricity, water from 2 floorsTranslated from Armenian",Dec-12-2022_20-42,Available,2 spots,,,,,,,,https://list.am/en/item/16599871,House is Unfinished,,
House,Stone,160 sq.m.,1,3,2,Cosmetic Renovation,1200 sq.m.,Kotayk › Dzoraghbyur,"$120,000",USD,"Gas, light, water. There is a separate garage with a building, a tonratun, a garden with fruit trees.Translated from Armenian",Dec-12-2022_20-42,Available,1 spot,,,,,,,,https://list.am/en/item/16531222,House is Finished,,
House,Stone,110 sq.m.,1,4,1,No Renovation,320 sq.m.,Kotayk › Zovuni,"$55,000",USD,The apartment is located on the 13th floor of ZovuniTranslated from Armenian,Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18667290,House is Unfinished,"Electricity, water supply, natural gas",
House,Monolith,6830 sq.m.,3,8+,3+,No Renovation,5520 sq.m.,"8-րդ փողոց 52, Կամարիս","$480,000",USD,"A newly built 2-storey detached house with an interesting construction is for sale, the living area of which is 1060 square meters, and the land next to the house is 5,520 square meters. The house is located in Kamaris village, Kotayk region, at 62-64, 8th street. The groundwork is done, the exterior walls and roof are built, the interior walls are divided and the windows are installed. All communications (gas, electricity, water, sewage) are connected. There is also a semi-basement floor with a spacious lounge, indoor pool, sauna, fireplace and bathroom. It is convenient to use for entertainment. On the 1st floor there is a living room with a fireplace, a kitchen, a study, 2 bedrooms and 4 bathrooms, on the 2nd floor there are 12 rooms, a fireplace and 6 bathrooms. Bathrooms are partially tiled. There is a garage for 4 cars. The yard is well-maintained, there are fruit trees, a garden, an outdoor swimming pool, a playground. It is completely fenced and has an iron gate. In the yard there is an auxiliary building with an area of 245 square meters, which is intended for conducting ecological agriculture (modern barns) It is possible to rent the house in a renovated state, with advantageous conditions, paying off the renovation works from the rent. The mansion has all the facilities to run a hotel complex.Translated from Armenian",Dec-12-2022_20-42,Not available,3 or more spots,,,,,,,,https://list.am/en/item/18702778,House is Unfinished,,"Swimming pool, sauna"
House,Stone,130 sq.m.,1,4,1,Major Renovation,1760 sq.m.,Kotayk › Arinj,"$295,000",USD,"Two-story private house for sale in Arinj village (next to Arinj Mall) The house is completely renovated and uninhabited. It has 3 bedrooms, kitchen, living room, separate bathroom, toilet, WiFi, TV channels. The first floor can serve as a storage area. There are fruit trees and berries in the garden of the mansion.You can call for more detailed information.Translated from Armenian",Dec-12-2022_20-42,Available,2 spots,,,,,,,,https://list.am/en/item/17561082,,,
Townhouse,Monolith,150 sq.m.,2,4,2,No Renovation,230 sq.m.,"Եղիշե Չարենցի փողոց 9, Քասախ","$98,000",USD,"Newly built houses and townhouses are for sale in a newly built neighborhood in Kasakh, the houses are delivered in an unfurnished condition, there is a parking space in front of the house and a small garden in the back.Special note! Only buyers who want to buy an apartment through an agency should call...To sell (rent) other apartments or your unshared property, you can contact the indicated phone number.The apartment is shown with a real estate showing contract.Service commission: 2% of selling priceTranslated from Armenian",Dec-12-2022_20-42,Not available,1 spot,,,,,,,,https://list.am/en/item/18549080,House is Under Construction,,
House,Stone,256 sq.m.,3,4,2,Cosmetic Renovation,800 sq.m.,Kotayk › Ptghni,"$70,000",USD,"The house is in normal condition, with fruit trees, permanent water, electricity gas, possibility, irrigation water, details by callTranslated from Armenian",Dec-12-2022_20-42,Not available,1 spot,,,,,,,,https://list.am/en/item/17619839,House is Finished,,
House,Stone,528 sq.m.,2,5,2,No Renovation,1388 sq.m.,"Ուռենիների փողոց 1, Քասախ","$140,000",USD,"For sale is a newly built house 8x22= 176 square meters and a land area of 1388 square meters, the house is located 300 meters from the main road, near the asphalted road, there is water, electricity, gas.Special note! Only buyers who want to buy an apartment through an agency should call...To sell (rent) other apartments or your unshared property, you can contact the indicated phone number.The apartment is shown with a real estate showing contract.Service commission: 2% of selling priceCode 0264Translated from Armenian",Dec-12-2022_20-42,Not available,2 spots,,,,,,,,https://list.am/en/item/17831673,House is Finished,,
House,Stone,215 sq.m.,1,5,2,Major Renovation,1458 sq.m.,"Avetisyan street, Kasakh","$230,000",USD,"Private house for sale in Kasakh, 250 meters from the main road, the total land area of the private house is 1458 square meters with fruit trees, the area of the house is 215 square meters, the house is capitally renovated, the house has a garage of 50 square meters for sale urgently.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceCode 0251Translated from Armenian",Dec-12-2022_20-42,Available,2 spots,,,,,,,,https://list.am/en/item/17303310,House is Finished,,
Country House,Stone,130 sq.m.,3,3,2,Major Renovation,3000 sq.m.,Kotayk › Yeghvard,"$30,000",USD,The house is located near the Eghvard poez station. It faces an orchard. 3000 square meters and has a plot. Newly renovated.Translated from Armenian,Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/18519673,,"Electricity, water supply, sewerage",
House,Stone,200 sq.m.,2,6,2,Euro Renovation,300 sq.m.,"Մուշ թաղամաս, Երևան","$185,000",USD,"Two-story, 6-room luxury house for sale in Kasakh, Mush district. The total area of the land is 300 sq. M. , and residential - 200 sq. M. M: The house is fully renovated and uninhabited, the exterior door is iron, Euro windows and interior wooden doors are installed. It has 2 bathrooms. The hall and bathrooms are tiled, the floor is covered with laminate. The house is completely fenced.Special note! Only buyers who want to buy an apartment through an agency should call...To sell (rent) other apartments or your unshared property, you can contact the indicated phone number.Code 0082Translated from Armenian",Dec-12-2022_20-42,Not available,Not available,,,,,,,,https://list.am/en/item/12585445,House is Finished,,
House,Stone,132 sq.m.,1,4,1,No Renovation,1300 sq.m.,Kotayk › Kasagh,"$180,000",USD,"Newly built private house for sale in Kasakh village, in the central part, 400 meters away from Ashtarak highway, 132 square meters of residential house, 1300 square meters of land, the interior works are not finished, all the amenities are available.Special note! Only buyers who want to buy an apartment through the agency will call…You can apply for the sale (rental) of other apartments or your real estate by the mentioned phone number.The apartment is displayed under a real estate display contract.Service commission - 2% of the sale priceIt is possible to trade with Cryptocurrencies - BITCOIN, WEBMONEYCode 0206Translated from Armenian",Dec-12-2022_20-42,Not available,2 spots,,,,,,,,https://list.am/en/item/13137154,House is Finished,,
