Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Hotel,Stone,2000 sq.m.,"Արամ Մանուկյան փողոց 5, Մուսալեռ","$1,300,000",USD,"An existing hotel 1 km from Zvartnots airport is for sale. Which has its own plot of land of 2000 square meters, the area of the building is 1200 square meters. There are 22 fully renovated rooms, the bathrooms are tiled. The rooms are air-conditioned, bright and some rooms have a view of Mount Ararat. It has 3 kitchens, local heating. Parking for 30 cars, gas station, electric substation, three-phase electricity, natural gas, own drinking water line and own well, toaster (grill, toaster), boiler room, cellar, spare parts, orchard. Provided with property and equipment. The road to the hotel is asphalted and paved with a water system, greenery, fruit trees and lighting.Sold with property and appliances.Translated from Armenian",Nov-24-2022_21-59,Available,Not available,First Line,Separate from the Courtyard,,https://list.am/en/item/18195892,,,,
Everything Else,Stone,380 sq.m.,"Խաչատուր Աբովյանի փողոց 22, Սարդարապատ","6,000,000 ֏",AMD,"Land with a stone building is for sale in Sardarapat (October) village, Armavir region. M 5 interstate, on the road leading to Sardarapat memorial. 380 sq. M. There is gas, water, electricity.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17116174,,,,
Industrial and Manufacturing,Stone,3000 sq.m.,Armavir › Armavir,$150,USD,"The area is located on the central road at 2/16 Yerevanyan Street, Armavir city. The area is very convenient to use for any purpose. For other questions you can call. The area is for sale by a specific owner.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Other,Common from the Street,,https://list.am/en/item/15790527,,,,
Industrial and Manufacturing,Stone,"13,000 sq.m.",Armavir › Armavir,"290,000,000 ֏",AMD,"Code-BB1106Armavkr marz not reached Metsamor / 200m away from the highway /Production area 13000/1200 square meters. Fenced, all lit. Part of the production area is well preserved.Suitable for organizing various businesses, productionvery close to the highwaythe iron line runs through the backTranslated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18172290,,,,
Industrial and Manufacturing,Stone,2000 sq.m.,Armavir › Echmiadzin,"85,000,000 ֏",AMD,"The area has: Slaughterhouse, barns, office, living rooms, swimming pool, pigs (pigs), cows, calves, bulls, gojis. There is also: Light, water, electricity, three-phase, electricity.The area of the building is 1400m.For sale URGENTLY.For details, call the indicated number.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18056476,,,,
Industrial and Manufacturing,Stone,1350 sq.m.,Armavir › Echmiadzin,"$280,000",USD,"An operating workshop is for sale in the center of Etchmiadzin, in the territory of which there is a newly built house with all amenities, the total area is 1350 square meters. Call for details.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17572053,,,,
Agricultural Space,Stone,"12,000 sq.m.",Armavir › Yervandashat,"$68,000",USD,"Cattle farm for sale, 500 sq. M., cattle ranch, with automatic water bottles, automatic manure collection line, 20 ton water storage tank, zinc coatings for haystacks, half-built milk processing plant, guard house, 10000 sq. M.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17466763,,,,
Retail Space,Stone,435 sq.m.,Armavir › Echmiadzin,"$79,000",USD,ԿոդT217Վաճառվում է 2հարկանի հացատուն Էջմիածնի Զվարթնոց թաղամասում։Տարածքի նշանակությունը՝ԱՐՏԱԴՐԱԿԱՆՄեծ սրահ3փակ սենյակ4բացօթյա տաղավարԽոհանոցՆկուղային սրահՍանհանգույցՇատրվանԿոմունալ հարմարություններԽորովածանոց3մուտքԴռներն ու պատուհանները ԵվրոՄակերեսըՀողամաս՝435քմՇինություններ՝160քմ,Nov-24-2022_21-59,,,,,,https://list.am/en/item/15516703,,,,
Everything Else,Stone,70 sq.m.,Armavir › Echmiadzin,"$25,000",USD,"Stone building in Haytagh village (Mashtots 5), located on the central street, used gas station, all legal documents are available for reopening, building conditions are in very good condition... Price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18109226,,,,
Industrial and Manufacturing,Stone,2800 sq.m.,Armavir › Echmiadzin,"$200,000",USD,"House-production area (poultry farm) for sale in Echmiadzin, Armavir region. The total land area is 2800 square meters for the building - 800 square meters. It is designed to keep 15,000 chickens in cages, and it is possible to keep 10,000 chickens in floor barns.There is a pig farm for 50-60 pigs.Is available. Constant drinking water. Artesian water. Three-phase electricity. Production area gas. House gas. Fruit garden. Grape vinesThe area is also suitable for other activities.In the case of a real buyer, it is possible to bargain. The area is for rent.Code 17801592Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17801592,,,,
Automotive Service,Panels,24 sq.m.,"Erevanyan street 42, Armavir","$18,000",USD,A car service station with 2 parking spaces is for saleCall for detailsTranslated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/18296139,,,,
Industrial and Manufacturing,Stone,173 sq.m.,"Echmiatsin Highway, Khoronk","$98,000",USD,"The workshop is built on 0.24 hectare land. It is the best way to start a new business.For details, please call or write.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17747201,,,,
Industrial and Manufacturing,Stone,2300 sq.m.,Armavir › Aghavnatun,"$40,000",USD,"Urgently for sale, negotiableTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17632413,,,,
Industrial and Manufacturing,Stone,3000 sq.m.,"Գետափի փողոց 1, Արգավանդ","$350,000",USD,"Workshop for urgent saleNext to the Argavandi cemetery. The total area is 3000 sq/m. There are buildings of 450 sq/m on the area. Gas, electricity and water are connected to the area. The price is negotiable.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18285045,,,,
Everything Else,Panels,91 sq.m.,"V. Kostanyan street, Vagharshapat","$100,000",USD,Վռամ Կոստանյան 6/2 հասցեում վաճառվում է 4 սենյականոց բնակարան 1֊ ին հարկում մուտքը բալկոնից ։ Ունի ջուր։ գազ։ լույս։Մակերեսը 91մ Ունի նաև նկուղ։ ։։,Nov-24-2022_21-59,,,,,,https://list.am/en/item/11782529,,,,
Everything Else,Cassette,300 sq.m.,Armavir › Echmiadzin,"1,000,000 ֏",AMD,"Hothouse for sale, only the greenhouse (the land is not for sale)300 square metersMade with new and high-quality profiles (without cellophane)Real buyers will callTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/16314421,,,,
Warehouse,Stone,600 sq.m.,"Orjonikidze street, Vagharshapat","$100,000",USD,"! VERY URGENTLY! 1-storey corner stone building with an area of 600 square meters is for sale. There is no moisture inside, it is currently used as a grocery store. For details, click on Viber! VERY URGENTLY!Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17533958,,,,
Multifunctional Space,Stone,400 sq.m.,Armavir › Armavir,"$250,000",USD,"A building is for sale at 5/3 Armavir street. Suitable for any type of activity. Ceiling height 5 m, front 41 m. It is provided with three-phase electricity, water and sewerage.Negotiable:Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17316271,,,,
Multifunctional Space,Stone,3200 sq.m.,"Mesrop Mashtots street 81/1, Vagharshapat","$360,000",USD,"Area 3200 for sale in the center of EtchmiadzinSq. MHotel, apartment building is provided. Sports club to buildhas two entrances from different streets.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/11275500,,,,
Retail Space,Stone,95 sq.m.,"Charents street, Vagharshapat","$130,000",USD,"The area includes two separate pavilions, both of which are for rent, have three-phase electricity, gas, bathrooms, air conditioning, and all utilities.The area has a basement, which is suitable for any workshop, the height of the basement is 2.6 meters, the area is 38m. Four.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18275306,,,,
Everything Else,Wooden,20 sq.m.,Armavir › Parakar,"550,000 ֏",AMD,"I am selling a house, 6.5 meters long and 3 meters wide, the house is in quite good condition, the price is 550,000. We will discuss other issues related to the transfer during the telephone conversation.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/16840472,,,,
Multifunctional Space,Stone,435 sq.m.,"Զվարթնոց թաղամաս 13, Վաղարշապատ","$85,000",USD,Zvartnots district. Exchange with the apartment. Of industrial significance. On facebook Real Estate in Etchmiadzin - Ansharj guyq EjmiacnumCode K-8160Translated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17455128,,,,
Everything Else,Stone,217 sq.m.,Armavir › Jrashen,"1,779,500 ֏",AMD,"The property is the Bank's collateral, which is in the BANKRUPTCY auction.Armavir region, c ․ Jrashen, 13th st. Livestock building located at No. 13, 217-3 square meters, land plot - 0.1313 hectares. The cattle building is one-storey, lined with tuff stone, has a wooden roof and has no roof. The barn is not decorated. Some of the doors are wooden and some are metal. The land is flat, partially demarcated from the surrounding areas.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.! Attention!The property is encumbered with actual users, whose eviction բոլոր all necessary costs arising from the contract and actions will be performed by the successful bidder.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/16775256,,,,
Industrial and Manufacturing,Stone,5024 sq.m.,Armavir › Mayisyan,"38,371,000 ֏",AMD,"The property is a collateral of the Bank, which is in the Bankruptcy auction.Armavir region, c ․ Mayisyan Yerjan-Armavir highway 11 address, lake - 5024 square meters, platforms - 99.4 square meters (columns) 16 pieces, land - 1.1132 hectares, there is artesian water, electricity electricity.You can also purchase the presented property through crediting by the Bank with the current credit terms and tariffs.Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/16765347,,,,
Agricultural Space,Panels,612 sq.m.,Armavir › Norakert,"$100,000",USD,"Cattle farm for sale, total area 7300 square meters, building 612 square meters, guard house, 50 square meters area, drinking and irrigation water and electricity. It is also possible to exchange for a car or real estate in Yerevan.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18067719,,,,
Retail Space,Panels,80 sq.m.,Armavir › Metsamor,"$35,000",USD,"Three-phase electricity, water, sewer gas under the wallThe building was built for a three-story project, the rest with a bellTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17068339,,,,
Retail Space,Stone,54 sq.m.,Armavir › Echmiadzin,"$59,000",USD,Hairdressing salon for saleIn the city of EtchmiadzinThe area is 54 square metersFloor 1_1AshotHeating SystemBasementFor more information callCode A012Translated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17083376,,,,
Retail Space,Stone,387 sq.m.,Armavir › Echmiadzin,"69,000,000 ֏",AMD,It is in good conditionTranslated from Armenian,Nov-24-2022_21-59,,,,,,https://list.am/en/item/17825945,,,,
Industrial and Manufacturing,Stone,1000 sq.m.,"Տերյան փողոց 11, Վաղարշապատ","$75,000",USD,"Car service building 280 square meters. 20 m frontage. Parking. Three-phase current, sir. Gas, water attached.Code KE-7577Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18105855,,,,
Automotive Service,Stone,40 sq.m.,"Aragatsi street, Vagharshapat","$35,000",USD,"A stone building for car service is for sale, it is the first line, 4 meters wide, 10 meters long, 3.5 meters high, it is privatized.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17973524,,,,
Functioning Business,Bricks,7500 sq.m.,Armavir › Armavir,"$450,000",USD,"Region: ArmavirVillage: Zvartnots (20 km away from Yerevan)Existing greenhouse for sale 5000 and 2500 square meters are under constructionThe total land area is 15,000 square metersPurpose of the land: AgriculturalThe land is privatized.Provided with gas (heated with gas)It has a drip system.The area is equipped with drinking water, irrigation water, electricity.It is built with a modern construction.Exchange with an apartment or land in Yerevan is possible.Code 15137243Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/15137243,,,,
Retail Space,Bricks,50 sq.m.,"Ստեփան Շահումյանի փողոց 53, Վաղարշապատ","360,000 ֏",AMD,"For sale. If you have any questions, call usTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17377764,,,,
Industrial and Manufacturing,Stone,69 sq.m.,Armavir › Echmiadzin,"$35,000",USD,"ԿիդT185Վաճառվում է խանութ-կոմերցիոն տարածք Էջմիածնի Չարենց թաղամասում՝այգու մոտակայքում։1-ին հարկՀասարակական նշանակությունՊաշտպանված է ճաղավանդակովՈւնի նաև ետնամուտքԿոմունալ հարմարություններՀանգստի սենյակՍանհանգույցՍալիկապատՄակերեսը՝68,5քմ",Nov-24-2022_21-59,,,,,,https://list.am/en/item/14782172,,,,
Retail Space,Stone,300 sq.m.,Armavir › Echmiadzin,"15,000,000 ֏",AMD,"The shop in the center of the village is for sale together with the house, with a land area of about 1000 square meters, the shop area is fenced. Address: Armavir Marz, Etchmiadzin Region: Metsamor villageTranslated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/18141569,,,,
Retail Space,Stone,60 sq.m.,"Չարենցի փողոց 18, Վաղարշապատ","$70,000",USD,"The area is located on a busy street, on the First Line, it has all the communal facilities. The area is currently rented for 150,000 drams.The area has a spare part and a bathroom, the floor is heated.Security cameras are installed.Translated from Armenian",Nov-24-2022_21-59,,,,,,https://list.am/en/item/17479028,,,,
Functioning Business,Monolith,84 sq.m.,Armavir › Echmiadzin,"$43,000",USD,"Shops for sale and rent in Echmiadzin, in the busiest part of Charents district, 84 sq. M. M starting from 250 sq. M. M:Translated from Armenian",Nov-24-2022_21-59,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/13919624,,,,
Industrial and Manufacturing,Stone,2000 sq.m.,Armavir › Armavir,"$45,000",USD,"For sale or rent, dried fruit factory in Hoktemberyan Hoktemberyan village, a very convenient place for drying, total 2000 sq. M. M, 300 sq. M. M building, has an elevator, 40 sq. M. M refrigerator, 30 sq. M. M smoking, 1000 kg. Electric dryer with capacity, 900 pieces, etc. , with all amenitiesTranslated from Armenian",Nov-24-2022_21-59,Available,Available,Other,Common from the Street,,https://list.am/en/item/14935663,,,,
Building,Stone,6400 sq.m.,"3-րդ փողոց 3-րդ փակուղի 11, Գետամեջ համայնք","$210,000",USD,"Շինություն 10X10Պտղատու այգիԳազի, ջիր, հոսանքի հնարավորությունԱսվալտապատ ճանապարհ",Nov-24-2022_21-59,,,,,,https://list.am/en/item/11133428,,,,
Warehouse,,3000 sq.m.,Armavir › Musaler,"1,000 ֏",AMD,"We offer a new generation of refrigerators for storage of any type of products in different temperature conditions -20 + 10, dry warehouses for different products. The address is located on Echmiadzin. On the Yerjan highway, call for the first line of cooperation.Translated from Armenian",Dec-12-2022_20-20,,,,,,https://list.am/en/item/14967167,,,,
Retail Space,,580 sq.m.,"Հ. Աբրահամյան փողոց, Փարաքար","$4,000",USD,"""Parakar"" business center offers commercial space on the first floor. The business center is located on the road to the airport, first line. There is no supermarket in the area, therefore it is in high demand. The center also has a large parking lot, a large warehouse and a garage.Translated from Armenian",Dec-12-2022_20-20,Not available,Available,First Line,Common from the Street,Outdoor parking,https://list.am/en/item/18023755,Direct Lease,2 years,By Agreement,Not included
Agricultural Space,,4500 sq.m.,"Echmiatsin Highway, Khoronk","1,200,000 ֏",AMD,"Greenhouse without gas, electricity, water, drip, distribution system, cameras, signaling, fruit and vegetable refrigerator, storage, etc. , call for details.Translated from Armenian",Dec-12-2022_20-20,Available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18223398,Direct Lease,1 year,3 months,Not included
Retail Space,,2000 sq.m.,Armavir › Armavir,"150,000 ֏",AMD,"Production area for rent in Norapat village. The area is located on the central road from Norapa to Alashkert (Soviet) It has 2 units of 40 sq. M. A ready-made building with an area of meters, which can be used as a shop or for any type of business or production activity. All utilities are available, there is also three-phase electricity.Translated from Armenian",Dec-12-2022_20-20,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18057169,Direct Lease,6 months,By Agreement,Not included
Retail Space,,120 sq.m.,"Nar-Dos street 9, Vagharshapat","350,000 ֏",AMD,Commercial space for rentTranslated from Armenian,Dec-12-2022_20-20,Not available,Not available,Second Line,Separate from the Street,Outdoor parking,https://list.am/en/item/18650282,Direct Lease,1 year,By Agreement,Not included
Functioning Business,,400 sq.m.,Armavir › Argavand,"1,000,000 ֏",AMD,Call in case of questionsTranslated from Armenian,Dec-12-2022_20-20,,,,,,https://list.am/en/item/18226638,,,,
Office Space,,150 sq.m.,Armavir › Parakar,"$1,500",USD,2nd floor of a separate building with a separate entranceHas a small yardDelivered renovatedTranslated from Armenian,Dec-12-2022_20-21,,,,,,https://list.am/en/item/13687488,,,,
Industrial and Manufacturing,,500 sq.m.,"Էջմիածին փողոց, Պտղունք","120,000 ֏",AMD,"We provide more than 1600 square meters. Total area, of which about 500 square meters are buildings. Has a living area. The whole area is fenced. The area has two entrances. Suitable for production activities. Can be used as a warehouse, furniture factory, livestock farm, for other purposes.Productuon and spare premises for rent: Area 1600 sq. M: Buildings 600 sq. M:Arenda Production o-warehouse squares. Area of 1600 square meters. Building 600 sq. M. M:Translated from Armenian",Dec-12-2022_20-21,Available,Not available,Other,Common from the Street,,https://list.am/en/item/17804802,Direct Lease,6 months,Without prepayment,Not included
Agricultural Space,,1000 sq.m.,"Kamo street, Vagharshapat","$10,000",USD,"A glass greenhouse for sale without a roof, in a plot of land with a machine, possible for sale together with the land. Production areaTranslated from Armenian",Dec-12-2022_20-21,Available,Available,First Line,Common from the Street,,https://list.am/en/item/17563285,Direct Lease,1 month,1 month,Not included
Everything Else,,2000 sq.m.,Armavir › Metsamor,"100,000 ֏",AMD,"For sale or for rent.Up to 45 animals can be kept in the barn.The barn has all its communal facilities, the ventilation is fully efficient.Has an area to put the grass.The barn is located in a very convenient place, where you will not have any problems to reach the barn by car.The barn is completely fenced.And you can see the whole barn on your own phone, sitting in your house, as the whole area is monitored by cameras.Translated from Armenian",Dec-12-2022_20-21,Available,Not available,Other,Common from the Street,,https://list.am/en/item/16961168,Direct Lease,1 year,Without prepayment,Not included
Retail Space,,400 sq.m.,Armavir › Echmiadzin,"750,000 ֏",AMD,"Space for long-term rent in Etchmiatsin, construction of the first floor of your own project is also possible, for other questions callTranslated from Armenian",Dec-12-2022_20-21,By agreement,Not available,First Line,Separate from the Street,Outdoor parking,https://list.am/en/item/18596861,Direct Lease,5 years,By Agreement,By Agreement
Agricultural Space,,5500 sq.m.,Armavir › Araks,"3,000,000 ֏",AMD,"Greenhouses for rent, 18 greenhouses in Araks village of Etchmiadzin, 300 square meters each, 5500 square meters of land, and there is also a mobile home with all its amenities. The cost is AMD 3,000,000 per yearTranslated from Armenian",Dec-12-2022_20-21,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/18594192,Direct Lease,1 year,By Agreement,Not included
Retail Space,,76 sq.m.,"Charents street, Vagharshapat","200,000 ֏",AMD,"The area is located in Charents (Boin) district, at the Main intersection. It is newly built and has not been exploited.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/16964410,Direct Lease,6 months,1 month,Not included
Industrial and Manufacturing,,1000 sq.m.,Armavir › Tairov,"400,000 ֏",AMD,A furniture factory with a laminate with all its machines is for rent.Translated from Armenian,Dec-12-2022_20-21,,,,,,https://list.am/en/item/17611029,,,,
Retail Space,,50 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,"Commercial space for rent, which can be used for various purposes.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18666057,Direct Lease,6 months,1 month,Not included
Industrial and Manufacturing,,54 sq.m.,Armavir › Echmiadzin,"150,000 ֏",AMD,"Duduk workshop with all machine tools is for long-term leasethe area has a front of 6 meters, a depth of 9 meters, a height of 3.6 meters and more, there is no concrete roof, it is covered with plywood and the roof is paneled.Lathe machines 1ka62, 2 pieces of lathe with tables, big tachilo, small tachilo, multi-functional sverlen, compressor with its hose with pulizater, forms for making duduk holes, 1 self, possible 2 self, disc, 2 dazda, 2 tables, I will mention small tools, for example rezet, swerlo...If necessary, I will explain the duduk preparation technology and inform you in detaila contract will be signed for at least 1 year and the new manufacturer should not enter my market.I have been producing for 10 years and I have quite a lot of duduks, we should not disturb each other's normal trade.Translated from Armenian",Dec-12-2022_20-21,Available,Not available,Second Line,Separate from the Street,Outdoor parking,https://list.am/en/item/18691194,Direct Lease,1 year,By Agreement,Not included
Warehouse,,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Code 8197Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18330220,Direct Lease,5 years,By Agreement,Included
Office Space,,90 sq.m.,"Marshal Baghramyan avenue, Yerevan","$1,500",USD,"Etchmiadzin, in the center, on the main street, contact European. , always Hot, cold water, gas, heated floors, air conditioning, cameras, suitable for every activity.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18305747,Direct Lease,6 months,1 month,Not included
Warehouse,,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Code 9397Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18330274,Direct Lease,1 month,1 month,By Agreement
Restaurant,,300 sq.m.,"Isakov St, Yerevan","500,000 ֏",AMD,"Location, location, location. Renting this 300 sq meters restaurant / shawarma house equipped with furniture, refrigerators, full kitchen, and grills. Great location by the airport off the street.Местоположение, местоположение, местоположение. Аренда этого ресторана/шаурмы площадью 300 квадратных метров оснащен мебелью, холодильниками, полностью оборудованной кухней и грилем. Отличное расположение рядом с аэропортом с улицы.",Dec-12-2022_20-21,Available,Not available,First Line,Common from the Street,Outdoor parking,https://list.am/en/item/18690096,Direct Lease,1 year,3 months,Not included
Industrial and Manufacturing,,200 sq.m.,Armavir › Armavir,"400,000 ֏",AMD,Fruit refrigerator. Fruit refrigerators with a capacity of 30 to 50 tons are for rent in Armavir. For more information call.Translated from Armenian,Dec-12-2022_20-21,,,,,,https://list.am/en/item/17804811,,,,
Functioning Business,,80 sq.m.,Armavir › Echmiadzin,"100,000 ֏",AMD,Տրվում է վարձով տարացք պատվալայի հարկում վերանորոգված,Dec-12-2022_20-21,,,,,,https://list.am/en/item/13230496,,,,
Multifunctional Space,,2060 sq.m.,Armavir › Yeraskhahun,"1,000,000 ֏",AMD,"It is suitable for keeping small and large cattle, it is fenced, it is also suitablefor warehouses, water and electricity will be shut off in the area, the area is 2.06 haTranslated from Armenian",Dec-12-2022_20-21,Not available,Not available,Second Line,Separate from the Street,,https://list.am/en/item/18704920,Direct Lease,6 months,1 month,Not included
Everything Else,,1600 sq.m.,"Andranik street, Vagharshapat","100,000 ֏",AMD,"A fenced barn is for rent 3 km away from Etchmiadzin. The total area is 1600 square meters, of which 500 square meters are buildings: Pig, Beef Nurseries, Havabun, Warehouse, Accommodation, Silos well. The area is in a corner position, it has 2 entrances. A large irrigation canal passes by. Has permanent water and light. The area is very suitable for both livestock, snkanoc and production activities.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/15384790,Direct Lease,1 year,By Agreement,Not included
Warehouse,,90 sq.m.,Armavir › Echmiadzin,"60,000 ֏",AMD,"A warehouse with an area of 90 square meters (12.5x 8m) and a height of 4 meters is for rent. The dimensions of the gate are 3m wide and 4m high. It is a stone building, the roof is new stone. There are no pillars or walls inside. Suitable for use as a production area. Mebeli cex:Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/17038705,Direct Lease,1 month,By Agreement,Not included
Retail Space,,152 sq.m.,"Շահումյան փողոց 1/1, Արմավիր",100 ֏,AMD,"Adjacent to the Russian military unit, commercial building, 1st floor, 77 sq. M., basement, 74.1 sq. M.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,Other,Separate from the Street,Outdoor parking,https://list.am/en/item/17577728,Direct Lease,1 month,By Agreement,Not included
Industrial and Manufacturing,,"10,000 sq.m.","Մերձավանի խճուղի, Փարաքար",$500,USD,"It is rented in whole or in part. The area has a separate electricity substation. It is suitable for the organization of all kinds of productions, as well as for the parking of warehouse building equipment.Translated from Armenian",Dec-12-2022_20-21,Available,Not available,First Line,Separate from the Street,"Outdoor parking, covered parking, garage",https://list.am/en/item/18655595,Direct Lease,1 year,By Agreement,By Agreement
Warehouse,,200 sq.m.,Armavir › Echmiadzin,"120,000 ֏",AMD,"For questions, call in the area of TsakhboutsakanTranslated from Armenian",Dec-12-2022_20-21,Not available,Not available,Other,Separate from the Courtyard,,https://list.am/en/item/18481234,Direct Lease,2 years,By Agreement,By Agreement
Retail Space,,278 sq.m.,"Baghramyan street 13, Armavir","500,000 ֏",AMD,"For sale ($275,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Hint words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe storeTranslated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Common from the Street,Outdoor parking,https://list.am/en/item/16703265,Direct Lease,3 months,By Agreement,By Agreement
Functioning Business,,278 sq.m.,"Մարշալ Բաղրամյան փողոց 13, Արմավիր","500,000 ֏",AMD,"For sale ($275,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Suggestive words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe storeTranslated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Common from the Street,Outdoor parking,https://list.am/en/item/18313509,Direct Lease,3 months,By Agreement,By Agreement
Warehouse,,350 sq.m.,Armavir › Tairov,"$3,500",USD,"Commercial space for rent with an area of 350 square meters, windows: Euro, hot and cold water, electricity, heating system. It has a very large parking space. A storage room, also a 50 square meter container with all the necessary facilities, a commercial space, can be used as a warehouse, suitable as a printing office. For more information, please call the address 99 Mayrakatyayin Street, Yerevan. The price is negotiable.Translated from Armenian",Dec-12-2022_20-21,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/18585211,Direct Lease,5 years,1 month,By Agreement
Retail Space,,30 sq.m.,"2-րդ փողոց 15, Մերձավան","100,000 ֏",AMD,"An operating grocery store is for rent at 1/1 Merdzavan Street 2. The store is located between residential buildings. There is a village hall, a kindergarten and a school next to the store. For other questions, call the indicated numbers.Translated from Armenian",Dec-12-2022_20-21,Available,Not available,Second Line,Common from the Street,,https://list.am/en/item/18382799,Direct Lease,1 year,By Agreement,By Agreement
Retail Space,,111 sq.m.,"Mesrop Mashtots street 20, Vagharshapat","550,000 ֏",AMD,A two-story commercial space is for rent in Etchmiadzin (Vagharshapat) with a total area of 111 square meters. It also has a basement. The area is located in the central part of Etchmiadzin city. The space is multifunctional and can be used for office as well as other types of activities. It has a bathroom.Translated from Armenian,Dec-12-2022_20-21,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18279986,Direct Lease,1 year,By Agreement,Not included
Retail Space,,70 sq.m.,"Misak Manushyan street 1, Vagharshapat","150,000 ֏",AMD,"Also FOR SALE - $62,000Address Zvartnots 1,Right next to the bus stop,very busy placefirst linehot/cold water,three-phase current,Suitable for any business,Available for a minimum of 6 monthsCall for more detailsTranslated from Armenian",Dec-12-2022_20-21,Available,Not available,First Line,Separate from the Street,Outdoor parking,https://list.am/en/item/17898600,Direct Lease,6 months,1 month,Not included
