Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Parking,Links,Construction Type
Retail Space,151 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Улица Вагана Теряна, Ванадзор","500,000 ֏",AMD,All utilities. Heated floor. Air conditioners. Ideal condition. Also sale.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18536133,Stone
Retail Space,83 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Գրիգոր Լուսավորչի փողոց 54/1Գ, Վանաձոր","$120,000",USD,Also available for rent. Call in case of questions. The area is located near the clothing market... Luys. Gas. WaterTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18350740,Stone
Building,204 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Gyulagarak,"$8,998",USD,"A residential plot of land with its building is for sale at No. 20, 2nd Street, Amrakit Village, Gyulagarak Community, Lori Marz, RA.The area of the land is 566 square meters.The area of the building is 204.5 square meters.The walls of the building are raw stone.Base: Concrete, stone.The roof, windows and floor are missing.Also exchange by Us or You for an additional fee.In case of exchange, the price is AMD 4,800,000Write, we will answer quickly+ + + See all our announcements + + +Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17762957,Stone
Retail Space,80 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Վերածննդի փողոց 8/3, Վանաձոր","$35,000",USD,"A newly built two-story business space is for sale. There is a fireplace, toaster, three-phase electricity, water, two bathrooms, euro windows with bars. There is also a showcase refrigerator, a grinder and two gas stoves. It also has a dry basement.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18656519,Stone
Retail Space,140 sq.m.,By agreement,Available,First Line,Common from the Courtyard,,,,,"Agayan street 59/3, Vanadzor","$43,000",USD,"Apartment in Vanadzor, which can be used for commercial, office or other purposes.Area 140m, first floor, five rooms, projectile, 20 meters front. It has a basement of about 100 square meters, as it is possible to increase the area by about 100 square meters (there is a precedent)Negotiable:Vanadzor Vanadzorum:Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16407455,Panels
Multifunctional Space,400 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Երևանյան փողոց 209, Տաշիր","$125,000",USD,"A two-storey multi-functional property for sale in the center of Tashir city, at 209 Yerevanyan street, Araj laneTranslated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17180196,Stone
Multifunctional Space,3500 sq.m.,,,,,,,,,Lorri › Gyulagarak,"$80,000",USD,"Former bread production area is for sale. It is located in Gyulagarag village, it is 3500 square meters. It is very convenient for starting a hotel business. It will be excellent for creating a recreation area.The area is very close to the beautiful forests, as it is close to the famous Dendropark.All the utilities are available.The price is negotiable.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16846197,Stone
Hotel,1225 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,,,,,"Կենտրոնական փողոց, Ագարակ","$39,900",USD,"A house-guest house is for sale in Lori marz, in the picturesque Agarak village near Stepanavan.Wonderful and heavenly views open from all sides, with an indescribably peaceful and harmonious environment.It is an ideal place for you and your guests.The guest house is under renovation, it is unfinished.All bedrooms have separate bathrooms.The roof, windows, heating system, water pipes, electric wires are new.A security system, cameras are installed. WF.The total area of the house is 320 square meters, the plot is 1220 square meters.It has a large balcony of 60 square meters.Very urgently.Cost: $60,000 (the land, the house and the works done on it cost that much)The above price of $39,900 is an urgent sale price due to the urgent need for funds.After a small investment, you will have an excellent opportunity to live in this paradise and to develop a business (taxes are separate)Rental prices in this location are 10-25 thousand AMD per day (depending on what is included)It is possible to live with a family and rent out 4 bedrooms at the same time.DJI 0478 DJI 0479 DJI 0480 DJI 0481 DJI 0475 Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17885502,Stone
Retail Space,100 sq.m.,,,,,,,,,"Usanogakan street, Vanadzor","$60,000",USD,"It is sold together with the property, it is possible to exchange it with an apartment (in the center)The Village Academy is located in the neighborhood.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18350170,Stone
Retail Space,38 sq.m.,,,,,,,,,"Myasnikyan street, Vanadzor","$25,000",USD,"Commercial area for sale, euro repaired, gasified, suitable for business activitiesVanadzor Myasnikyan 18/44Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17123876,Stone
Hotel,410 sq.m.,Available,Available,First Line,Common from the Street,,,,,"Սանահին Սարահարթ թաղամաս, Ալավերդի","$50,000",USD,"The 5th floor of the hotel complex in Sanahin / Sarahart district of Alaverdi city, Debed. The area is 410 square meters and is in state condition. The area can be used both as hotel rooms and as industrial or commercial areas.For more information, call the numbers listed.Hotel hotel Alaverdi alaverdi hjuranoc alaverdi lori lori marz hotel in lori debed hotel debed debet hjuranoc debet sanahin / plateauTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16684215,Panels
Retail Space,1000 sq.m.,,,,,,,,,"Vardanants Street, Vanadzor","145,000,000 ֏",AMD,"1000մ2 3 հարկանի, հետևի մասում բակում կա ավտոսերվիս, շինության ամեն հարկի մակերեսը 460 մ2 է, հարմար է հյուրանոցի, ռեստորանի, խանութի և այլ տիպի գործունեության համար։ Շտապ, սակարկելի",Dec-12-2022_20-38,,https://list.am/en/item/14512343,Stone
Industrial and Manufacturing,2400 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Շիրակի փողոց 67Ա/1 , Վանաձոր","$200,000",USD,"Production area (workshop), buildingProduction area for sale. Vanadzor, at 67 Shirakatsi street.(part 3) The area is fenced, has three-phase current, permanent water.The total area of the area is 2,400 m2The building area of the workshop is 1,296 m2The building can be used for any type of production. For other questions, you can call the Price ContractTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17387168,Panels
Retail Space,72 sq.m.,By agreement,Not available,First Line,Separate from the Street,,,,,"Բաղրամյան փողոց 36, Ստեփանավան","$150,000",USD,"Capital building, there is a bathroom, individual heating, cameras, working business. Opportunity on the 2nd floor. Details on the spot.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16713560,Monolith
Multifunctional Space,135 sq.m.,By agreement,Not available,First Line,Separate from the Street,,,,,Lorri › Tsaghkashat,"$35,000",USD,"A woodworking workshop is for sale in the village of Tsaghkashat, 110 sq. M. Area: Auxiliary structure 35 sq. M.:Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18701316,Panels
Retail Space,18 sq.m.,By agreement,Not available,First Line,Common from the Street,,,,,"Շիրվանզադե փողոց, Վանաձոր","$49,000",USD,Meat shop for sale urgentlyIn the city centerFor more information callTrade for a car with your premium or appear with a house with my premiumTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18565431,Stone
Multifunctional Space,33 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Agayan street, Vanadzor","$18,000",USD,Urgent sale. Also exchange by you for an additional fee. BY BANKNewly renovated. It has the possibility to add 20-25 square meters.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18318582,Stone
Industrial and Manufacturing,"12,000 sq.m.",Not available,Not available,First Line,Separate from the Street,,,,,"Ղազարոս Աղայանի փողոց 95/3, Վանաձոր","120,000,000 ֏",AMD,Lamper factory administration building 2170 sq m and 12000 sq m fenced garden Suitable for recreation area for hotel restaurant and other activities. The cadastral value of the land has been added.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18242059,Panels
Retail Space,140 sq.m.,,,,,,,,,"Tigran Mets Avenue 69, Vanadzor","$150,000",USD,"Առեվտրային տարացք, 140 ք. Մ. (1-ին հարկ 72, կիսանկուղային հարկ 68 ք. Մ.) Տիգրան-Մեծ շենք 67, տար. 20, 2-րդ գիծ, Տաշիր պիցայի ետևը (Բարձորակ վերանորոգում) :Коммерческая площадь Тигран Мец 67/20 - 140 м. Кв. (первый этаж 72 м. Кв. И подвальный этаж 68 м. Кв.) - качественный ремонт (удобно под клинику, офис, салон красоты итд), хороший ремонт (пресгранит, батареи, теплый пол, котел Baxi, сигнализация, двери МММ, дверь в подъезд метал, металлогалогенные лампочки, вентиляционные трубы по всей площади, баки воды 2 шт. По 500л.)Commercial area Tigran Mets 67/20 - 140 sq. M. (first floor 72 sq. M. And basement floor 68 sq. M.) - high-quality repair (convenient for a clinic, office, beauty salon, etc.), good repair (presgranit, batteries, underfloor heating, Baxi boiler, alarm, MMM doors, the door to the entrance was metal, metal halide bulbs, ventilation pipes throughout the area, water tanks 2 pcs. , 500 liters each)",Dec-12-2022_20-38,,https://list.am/en/item/18066568,Stone
Retail Space,58 sq.m.,,,,,,,,,"Tigran Mets Avenue 10, Vanadzor","$100,000",USD,"Առեվտրային տարացք, 58ք. Մ. (1-ին հարկ 34, կիսանկուղային հարկ 24 ք. Մ.) Տիգրան-Մեծ շենք 10, տար 41, 1-ին գիծ, մուտքը փողոցից (Բարձորակ վերանորոգում) : Վերանորոգված, անվտանգության համակարգ, ջեռուցվող հատակներ, սանհանգույց:Commercial property, 58 sq. M. (1st floor 34, semi-basement floor 24 square meters) Tigran-Mets building 10, year 41, 1st line, entrance from the street (High-quality renovation) Renovated, security system, heated floors, bathroom.Магазин первая линия Тигран-Мец 10/41 полностью отремонтирован - теплый пол, котел Ferroli, пол пресгранит, евроокна и дверь, дверь в подъезд метал. , сигнализация, бак воды, туалет с мойкой, общая площадь 58 м. Ка. (первый этаж 34, подвальный этаж 24)",Dec-12-2022_20-38,,https://list.am/en/item/18069931,Stone
Retail Space,250 sq.m.,,,,,,,,,"Vardanants Street, Vanadzor","$250,000",USD,"In the center of the city, in front of an ideal store, a large sunny business area with all utilities, former newlywed building, negotiable, sale possible in two parts.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17431461,Stone
Functioning Business,420 sq.m.,Available,Not available,Second Line,Common from the Street,,,,,"Կարեն Դեմիրճյան փողոց, Վանաձոր","15,000,000 ֏",AMD,"A cafe is for sale at a price lower than the market price. It is located in the railway park, in the city center. It is a profitable business. Building type: Stone and wood. AreaFor sale with all property and professional equipment. The price is negotiable, call one of the real buyers, we will also listen to your suggestions in the form of exchange options.Owner: Tigran StepanyanTranslated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17833881,Wooden
Retail Space,36 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"Shinararneri str,, Vanadzor","$17,200",USD,"Rented, buyer can rent. The store is located on the street opposite VTC and Polytechnic Hamlet. Call for questions. ``Urgent'' negotiable.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18610781,Stone
Agricultural Space,1400 sq.m.,Available,Not available,Other,Separate from the Courtyard,,,,,Lorri › Spitak,"$180,000",USD,"Продается ферма 60 длина 12 ширина 4 гектара земли один гектар сад яблоки груши вишна и другое, есть вода питьевая и для полива есть электричество удобно держать скот паздбище большое номер телефона и Вайбера одинаково",Dec-12-2022_20-38,,https://list.am/en/item/17466608,Panels
Everything Else,3000 sq.m.,,,,,,,,,Lorri › Spitak,"$60,000",USD,"Վաճառվում է կիսակառույց շինություն։Հարմար է անասնապահության համար։Շրջակայքում գոյություն ունեն արոտավայրեր։Բետոնե կոնստրուկցիա, չափսերը ՝81×18,5։Գինը պայմանական, մատչելի։Հարևանությամբ կա անասնագոմ, որը տրվում է վարձով։Անասնագոմի մի մասը օգտագործվում է անասնապահության համար, մյուս մասը տրվում է վարձով (վերջին 3 նկարները) ։Գինը պայմանական։",Dec-12-2022_20-38,,https://list.am/en/item/11208443,Panels
Industrial and Manufacturing,135 sq.m.,Not available,Available,Second Line,Separate from the Courtyard,,,,,"Նարեկացի փողոց, Վանաձոր","80,000 ֏",AMD,"An area is for rent. Suitable for production activities, office, car spare parts store, warehouses. Can be given any renovation you like. Adjacent to the area there are areas for other activities, with different areas. If you have any questions, call.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17499795,Stone
Multifunctional Space,157 sq.m.,,,,,,,,,"Teryan stret 1, Vanadzor","$130,000",USD,"Помещение отремонтировано, проведена система отопления, в наличии трёх фазное электричество, есть система сигнализации и т. Д.Без посредникаՏարածքը վերանորոգված է, տեղադրված է ջեռուցման համակարգ, առկա է եռաֆազ հոսանք, առկա է ահազանգ և այլն։Առանց միջնորդի",Dec-12-2022_20-38,,https://list.am/en/item/17372702,Stone
Everything Else,200 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,Lorri › Pambak,"$55,000",USD,"The land is located on the 7th km of Vanadzor Bagratashen M6 road. Suitable for all kinds of business. Gas and water is right next door, there is no problem of return.(The store is not a rib area)Exchange with an apartment or a car.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17871535,Bricks
Retail Space,14 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Alaverdi,"4,000,000 ֏",AMD,"Commercial space for sale or rent in the central part of Alaverdi city, in Evoyan 22\2 (next to Haypech iron bridge) district. The area is suitable for any activity. There are utilities in the area (with legal documents) : Water, electricity. It has a certificate of ownership, it is tiled.The area is 11 square meters (Total 14 square meters)Exchange with a car with automatic transmission.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17761421,Stone
Retail Space,152 sq.m.,,,,,,,,,"Tumanyan street, Vanadzor","$115,000",USD,"Commercial/Office building in the center of Vanadzor city.It is provided with permanent water, sewage, three-phase electricity.Includes a stone-renovated building, an extended area and a grassy area.Suitable for promoting any type of business.Write or call for details.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18547246,Stone
Retail Space,40 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Spitak,"$36,000",USD,"A shop and a basement are for sale, the shop and the basement together are 80 square metersTranslated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18697489,Stone
Retail Space,50 sq.m.,Not available,Not available,First Line,Common from the Street,,,,,"ՔՇՀ-3 10, Վանաձոր","$28,000",USD,Commercial area. Newly built stone building. 2 floors and basement. Suitable for a hairdressing salon or office shop. Business area. Each floor is 50 sq. M. It is a very convenient area. I will exchange it with a jsb tractTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/16895301,Stone
Retail Space,350 sq.m.,Not available,Available,First Line,Separate from the Street,,,,,"Tigran Mets Avenue, Vanadzor",$700,USD,Commercial area is suitable for organizing food and tradeTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/15690021,Monolith
Everything Else,100 sq.m.,,,,,,,,,Lorri › Alaverdi,"$17,000",USD,The cattle barn has the possibility of different purposes. There is also a land grazing barn.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/15549345,Stone
Building,150 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Spitak,"100,000 ֏",AMD,"Cattle ranch for rent in Shenavan village, Spitak.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17254428,Stone
Retail Space,48 sq.m.,Not available,Not available,Other,Separate from the Street,,,,,Lorri › Stepanavan,"$20,000",USD,"Commercial area for sale or rent in c. Stepanavan, at 84/1 Armenian-Georgian address. Suitable for any type of activity.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/13721073,Stone
Retail Space,90 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Վերածննդի փողոց 8, Վանաձոր","$35,000",USD,"Newly built two-storey business area is for sale. There is a fireplace, tonir, three-phase electricity, water, two bathrooms, euro windows with bars. There is a showcase refrigerator, a coffee grinder and two gas stoves. It has a dry basement.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17117552,Stone
Office Space,50 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Shinararneri street 5, Vanadzor","$43,000",USD,"A detached stone building is for sale in the busy part of Dimats district.50 square meters, with all utilities.It is convenient to use for various purposes: Shop, office, beauty salon, etc.The foundation of the building gives the possibility to build a 2nd floor if desired.Продается separately builtBuilding:50 square meterswith all communal services.Suitable for any type of activity, SHOP, OFFICE, HAIRDRESSER, etc. D.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18389742,Stone
Functioning Business,1200 sq.m.,,,,,,,,,Lorri › Vanadzor,"$250,000",USD,"An existing business in Vanadzor is for sale. It is located at 7 Tashir highway, near Kamakatar church. Business includes: Car Drying Platform; 2 car washes; fast food restaurant; point of sale of cereals; oil station, playground: 3 Banquets for 10 seats. Permanent water is available in the area; three-phase current; sewerage; security system, 20 kW solar panels and 500l water heater are installed. The total area is 1200 square meters. It is a meter. There are permits for the construction of a hotel and a gas station.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16186896,Stone
Everything Else,300 sq.m.,,,,,,,,,"Պռոշյան փողոց, Ստեփանավան","11,900,000 ֏",AMD,Livestock for sale. Newly built. There are all utilities. It can also be used for other purposesCall for details. Also exchange with residential house.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/17096050,Panels
Functioning Business,1000 sq.m.,,,,,,,,,Lorri › Alaverdi,"$25,000",USD,Privatized. Exchange with 2-3 equivalent cars. The price is negotiable. It is suitable for building a guest house.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/12364800,Stone
Hotel,1500 sq.m.,,,,,,,,,Lorri › Vanadzor,"$240,000",USD,Two buildings are colliding. 1500000 AMD is also for rentTranslated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/17514419,Monolith
Multifunctional Space,82 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Vanadzor,"$50,000",USD,"K, Demirchyan street 6 building, former giants building, 1st line, stained glass windows 0 entrance. Suitable for various commercial purposesprice is negotiableOr for rent:150,000 AMD, negotiableTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16511750,Stone
Restaurant,246 sq.m.,,,,,,,,,"Usanogakan street 4, Vanadzor","23,000,000 ֏",AMD,"Վաճառվում է կոմերցիոն տարածք ք. Վանաձորում։Երկհարկանի շինության երկրոդ հարկում, 246քմ։Ունի ընդարձակվելու հնարավորություն։Արժեքը 23ՄԼՆ ԴՐԱՄ, սակարկելի։հնարավոր են այլ պայմաններ նաև վարձակալություն",Dec-12-2022_20-38,,https://list.am/en/item/11123316,Panels
Office Space,28 sq.m.,,,,,,,,,"Yerevan highway, Vanadzor","$25,000",USD,"Տարածքը գտնվում է կապի զորամասի դիմաց: Նախկինում եղել է 1 սենյականոց բնակարան, որը վերակառուցվել է` Մութքը շենքի արտաքին մասից բացված դռնով, որի տեղադրելու համար առկա է քաղաքապետարանի կողմից թույլտվություն: Տարածքը օգտագործվել է որպես ատամնաբուժական կլինիկա, հարմար է նաև այլ գործունեության համար:Yerevanyan 76 bn 1",Dec-12-2022_20-38,,https://list.am/en/item/12654660,Stone
Multifunctional Space,260 sq.m.,,,,,,,,,Lorri › Vanadzor,"55,000,000 ֏",AMD,"Business space, 2 shops, different entrances, 2 floors, has a large storage room, 3 car garage, it is also possible to buy half of it, it has a great possibility of expansion... All utilities are available... Do not call without contactingTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18167427,Stone
Retail Space,40 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Isahakyan 1st lane, Vanadzor","$22,000",USD,"For Sale Separately BuiltBuilding: 40 square meterswith all utilities.Suitable for any activity, SHOP, OFFICE, HAIRDRESSING, etc.It has a view and a bathroom. Is provided with hot and cold water.It is available for rent. I will exchange it for an apartment or my own house in Yerevan, with an additional fee from my side.5-storey building near Tarasion the 1st floor of a residential building2 bedroom apartment for saleEuro-renovated with all utilities. Than the marketat a low price.It is possible to mortgage the property with the bank.Space has a chanceto build a second floor.Has the opportunity to expand.Base 2.60 m,The ceiling height is 3.mHalf of the second floor is set.The second floor can servebusiness premises or own houseTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18207923,Stone
Functioning Business,130 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Vardanants Street 84, Vanadzor","$200,000",USD,Վաճառվում է ՍԱՄՈՎԱՐ սրճարանըПродается кафе САМОВАР в центре города,Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/17713399,Stone
Multifunctional Space,81 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"Banaki Street 29, Vanadzor","$15,000",USD,A two-story building and a stone garage located at 39/2 Banaki Street in Vanadzor are for sale.Total building area is 81 square meters and plot area is 84 square meters.Translated from Armenian,Dec-12-2022_20-38,"Outdoor parking, garage",https://list.am/en/item/17896252,Stone
Multifunctional Space,425 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,"6-րդ փողոց, Գուգարք","$190,000",USD,"Code 1240,The structure is of high quality, with a well-kept garden of 1600 square meters, with silver firs, suitable for both guest house and residential use.The house has 7 rooms, 2 bathrooms, open platform, open balcony.There is a possibility of expansion, an attached 100 sq m structure with all communications. The number of rooms can be more than 10.High-quality oak flooring, heating system, European windows, working fireplace,the yard and the garden are developed and well-kept, there are alleys, a summer kitchen in the garden.City sewer,The mansion is lined with ferzit, it is fenced.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18620333,Stone
Agricultural Space,180 sq.m.,,,,,,,,,Lorri › Spitak,"$28,000",USD,"Cattle farm for sale, dimensions 30x6 meters. There is permanent water and electricity. The land area is 5000 meters, which includes a pond. A river flows along the land.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18095555,Stone
Retail Space,330 sq.m.,,,,,,,,,"Myasnikyan street, Vanadzor","$520,000",USD,"In the center of Vanadzor city (address: Myasnikyan 4/2) for sale (or for rent) is a newly built three-story building with all utilities, each floor is 100 square meters. There are several toilets, constant water, three-phase and single-phase electricity fed from various substations. There is an open balcony on the 2nd and 3rd floors.It also has a basement with an area of 35 square meters and 70 cm concrete walls. There is a 70 square meter area next to the building. There is a functioning shop on the first floor.The building is suitable for a bank, shopping malls, hotel, offices, fashion and beauty salons, as well as for residence.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18194690,Stone
Retail Space,47 sq.m.,Not available,Not available,Other,Common from the Street,,,,,"Սայաթ-Նովա փողոց 55/5, Ալավերդի","$33,000",USD,"Urgently, a commercial space is for sale on Sayatnova Street at 55/5 (Haypech district), total area is 47 sq/m.All documents are available, there is no problem.The price is $33,000Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18669302,Stone
Restaurant,1500 sq.m.,Available,Not available,First Line,Separate from the Street,,,,,Lorri › Haghpat,"$105,000",USD,"Sblis recreation area is located in Lori marz, on the road to Haghpatavank. The area has three-phase electricity, spring drinking water, 7 pavilions, kitchen with fireplace and toaster, bathrooms, guard room and storage areas, 3 swimming pools. The recreation zone with its forest environment has become a favorite place of many customers. There are caves in the area. It is an operating business for about 10 years.Translated from Armenian",Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18655591,Stone
Industrial and Manufacturing,2500 sq.m.,,,,,,,,,Lorri › Spitak,"$120,000",USD,"Kareshin, which can be used not only as a cattle ranch but also for establishing other businesses, also has 4 hectares of land. There is a permanent light for detailsTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16967208,Stone
Retail Space,170 sq.m.,Available,Not available,First Line,Common from the Street,,,,,"Tigran Mets Avenue 73, Vanadzor","210,000,000 ֏",AMD,"Operating business. Gas-fired, air-conditioned, heated, underfloor heating, furnished, with products, security (surveillance) equipment, computers, the entire range of products, current and seasonal.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18461279,Stone
Retail Space,32 sq.m.,,,,,,,,,"Narekaci street, Vanadzor","$23,000",USD,"There was a grocery store. It is suitable for any kind of operation of a shop or trade, it has a bathroom, permanent water.It is located in the 3rd part, in the beginning. 32 sq. M. It is for rent. Exchange with a house (in the central part of the city) is possible.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/14462231,Stone
Industrial and Manufacturing,3801 sq.m.,Not available,Not available,Other,Separate from the Street,,,,,"Սուրբ Վարդանի փողոց 39/2, Ստեփանավան","15,000,000 ֏",AMD,"Cattle barn 457.7 square meters for sale. There is water, it is gasified. It is fenced. NegotiableTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18686749,Stone
Agricultural Space,50 sq.m.,Not available,Not available,Other,Separate from the Street,,,,,Lorri › Shahumyan,"$5,000",USD,"Cattle farm (50 sq. M) with plot (2000 sq. M) for sale urgently. The building is made of stone, the roof is metal.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18067559,Stone
Retail Space,1572 sq.m.,,,,,,,,,"Շիրակի փողոց, Վանաձոր","2,000,000,000 ֏",AMD,For sale or rent!Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/18126305,Panels
Functioning Business,100 sq.m.,Available,Not available,Second Line,Separate from the Street,,,,,"Улица Карена Демирчяна, Ванадзор","$120,000",USD,"A cafe located in the park after Hrant Matosyan in Vanadzor is for sale or rent, it has a winter hall-kitchen inside the stone building, the total area is 100 square meters. Մ. , there are summer pavilions outside, the total area is 1000 sq. M. Մ. , the cafe is located next to a military hospital, customs house and bus station.Call Viber number.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16060330,Stone
Industrial and Manufacturing,3670 sq.m.,Not available,Not available,First Line,Separate from the Street,,,,,Lorri › Alaverdi,"10,000,000 ֏",AMD,"URGENT:K. Alaverdi Sanahin District 53, 2nd Street, land and building (former restaurant), land: 3500 square meters, building: 170 square meters, electricity (three-phase) and water availableBUILDING WITH LAND FOR URGENT SALEAlaverdi city, Sanahin districtThe space can be used for any business purpose.The final price is AMD 10 millionFor more information callTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18484640,Stone
Restaurant,5000 sq.m.,,,,,,,,,Lorri › Alaverdi,"$300,000",USD,"Restaurant complex and hotel rooms, detailed telephone!Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/16503978,Stone
Everything Else,45 sq.m.,,,,,,,,,Lorri › Vanadzor,"750,000 ֏",AMD,"A self-made wooden cabin is for sale, which is suitable only for building materials, not for living! The price is negotiable, call for questions.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18096402,Wooden
Everything Else,85 sq.m.,Not available,Not available,Other,Separate from the Courtyard,,,,,Lorri › Vanadzor,"$8,500",USD,A select barn with all its amenities is for sale.Translated from Armenian,Dec-12-2022_20-38,,https://list.am/en/item/16646874,Stone
Everything Else,40 sq.m.,,,,,,,,,"Narekaci street, Vanadzor","$3,300",USD,"2 dormitories connected to each other with 3 rooms, call for detailed information in case of moving the dormitories, the price is not finalTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/17983304,Cassette
Retail Space,140 sq.m.,,,,,,,,,"Taterakan street, Vanadzor","$115,000",USD,"It is suitable for any type of activity.Completely renovated, heating, air conditioning, three-phase electricity, 2 bathrooms furnished with everything, kitchen, recreation room. The meaning is public. It has no problem with correspondence. It can also be given by Lease.Translated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18421698,Stone
Functioning Business,55 sq.m.,Available,Not available,Other,Common from the Street,,,,,"Լազյան փողոց 37/36, Վանաձոր","$60,000",USD,A beauty salon with all utilities is for sale in the center of Vanadzor. For sale with partial ownership. Heated by BAXI system.Translated from Armenian,Dec-12-2022_20-38,Outdoor parking,https://list.am/en/item/18679758,Stone
Hotel,340 sq.m.,Not available,Available,First Line,Separate from the Courtyard,,,,,"Forest Street, Stepanavan","$200,000",USD,"A 340-square-meter building with 12 rooms of an existing vacation house with a pine wooded area of 2,000-2,500 square meters is for sale at Antarai 1, StepanavanTranslated from Armenian",Dec-12-2022_20-38,,https://list.am/en/item/18575111,Stone
