Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,New Construction,Elevator,Ceiling Height,Floor,Balcony,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,175 sq.m.,2,4,1,Old Renovation,1455 sq.m.,Shirak › Horom,"$28,000",USD,"A 4-room house is for sale in Horom village. The apartment is partially renovated on the sunny side, with fruit trees, gardens, there is also a cowshed, a garage, a boiler house. The house has an attic and a comfortable sitting area. The area is sheltered by stones.Call for details.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18194621,,,
House,Stone,150 sq.m.,2,5,2,No Renovation,325 sq.m.,"Խրիմյան Հայրիկ 45, Գյումրի","15,000,000 ֏",AMD,"The house is located at the beginning of Khrimyan Hayrik Street.First line, with 325 square meters of land.Owned, built in 1992., and it has not been inhabited, it needs to be repaired. It has a garage on the first floor.I am the owner, the price is final.Only genuine buyers should call.RayaTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18385781,House is Finished,,
House,Monolith,360 sq.m.,1,7,2,No Renovation,3000 sq.m.,"Vazgen Sargsyan street, Gyumri","$35,000",USD,"A half-built building is for sale, it is located behind Vazgen Sargsyan Lentex. There is a cattle barn and a plot of land with fruit trees next to the building. The building is provided with water and sewerage, there is also a tonir. The price is 35,000 negotiable.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/16747918,,,
House,Stone,1400 sq.m.,1,3,1,No Renovation,"12,063 sq.m.",Shirak › Gyumri,"$22,000",USD,Semi-built stone houseNew roofResidential property 133.36 square metersTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/18703407,House is Finished,,
House,Stone,80 sq.m.,1,4,1,Old Renovation,100 sq.m.,Shirak › Gyumri,"$36,000",USD,"A private house is for sale in the center of the city very urgently. It is in good condition, there are cosmetic works, the pictures show the stones intended for exterior decoration. The sale is very urgent on the spot.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18400363,,,
House,Stone,115 sq.m.,1,4,1,Cosmetic Renovation,125 sq.m.,"Улица Сундукяна 72, Гюмри","$95,000",USD,Bn. Gyumri. Call for detailsTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,By agreement,Not available,,,https://list.am/en/item/18575402,House is Finished,,
House,Stone,200 sq.m.,2,7,2,No Renovation,100 sq.m.,"Մազմանյան փողոց 274, Գյումրի","15,000,000 ֏",AMD,"The house consists of the following parts.Main area 117 square meters, of which 15 square meters garage and 3 square meters basementKitchen area 30 square meters.On the 2nd floor, an attic of 43.5 square meters, which can be used as a production area and a balcony of 11.25 square metersNeeds repairTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18687222,House is Finished,,
House,Stone,2700 sq.m.,1,4,2,Old Renovation,2500 sq.m.,Shirak › Mayisyan,"$30,000",USD,"A private house is for sale in Mayisyan village, 1 km from Gyumri city. It has a large plot and a garden with fruit trees. It is sold together with the existing property. It is very close to the main road. There is a garage, a cowshed, a bakeryTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/17441646,,,
House,Panels,100 sq.m.,1,4,1,Cosmetic Renovation,,"Լևոն Մադոյան փողոց 113, Գյումրի","$50,000",USD,"A 3-room house for sale in the central part of the city, with all utilities.Heating is done by the battery of the box. It has a large common yard, but there are no other residents. It has a basement. The total area of the house is 100 square meters.For more information callTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,Not available,,,https://list.am/en/item/18702915,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,450 sq.m.,2,8+,1,Major Renovation,450 sq.m.,"Kurghinyan street, Gyumri","$120,000",USD,"For sale: Two-story private housec. Gyumri, Kurghinyan street450 square meters. Total area323 square meters. Living space1st floor, 5 rooms2nd floor, 3 roomsStoneThoroughly reconstructedUtility with all amenitiesHeating SystemGarageyardBasementEuro windowsIron doorsSelling price: $120,000Code 3527Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,By agreement,1 spot,,,https://list.am/en/item/18440996,House is Finished,,
House,Stone,102 sq.m.,1,3,1,No Renovation,24 sq.m.,"Ժդանովի փողոց, Գյումրի","$32,000",USD,"Own house for salec. Gyumri, Zhdanov street78 square meters. Living space24 square meters. Auxiliary building surface3 roomsStoneGarageyardAuxiliary buildingRental price: $32,000Code 6527Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18436716,House is Finished,,
House,Stone,165 sq.m.,1,4,1,Old Renovation,1000 sq.m.,Shirak › Akhuryan,"$30,000",USD,The house is located in Akhuryan village of Shirak marz. It is a bright and warm house with a large plot of fruit trees. Call for details.Translated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/18622228,House is Finished,,
House,Stone,46 sq.m.,1,2,1,No Renovation,,Shirak › Gyumri,"$25,000",USD,New roofNew window and doorTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/18702704,House is Finished,"Electricity, water supply, sewerage",
House,Stone,308 sq.m.,2,8+,2,Euro Renovation,500 sq.m.,Shirak › Artik,"$45,000",USD,"Продается на улице Микояна 2а гор Артик 2-х этажный частным дом площадью 308 кв. М. Вместе с гаражом и летней кухней! В доме евроремонт, продается со всем имуществом! На 1-м этаже холл, просторная гостинная, кухня, комната для отдыха, комната (гардеробная), котельная, санузел. На 2-м этаже холл, 4 спальни, зал, санузел! Из второго этажа выход на открытый балкон. Дом обставлен мебелю и техникой! В доме имеются свет, вода канализация! Во дворе есть летняя кухня, фруктовые деревья! Гараж пристроенный к дому, вход отдельный, над гаражом имеется еще один просторный балкон, для отдыха! Дом огражден высоким забором! По все вопросам обращайтесь по номеру 8 (905) 010-05-65 (Вайбер, Вотсапп)",Dec-12-2022_21-19,,,,,,,,,,,Available,2 spots,,,https://list.am/en/item/18166651,,,
House,Stone,452 sq.m.,1,3,1,Old Renovation,452 sq.m.,"Ղանդիլյանի փողոց 10/2, Գյումրի","$25,000",USD,"$25,000 - Price until 12/22/20221. To reduce the price, you idle people, CALL (IT IS FINAL! )2.Part by Part, those who want Pakov will call.3. Call from 10:00 to 21:00.4: To see the house until 18:00.5. The house is not damp.OWN HOUSE FOR SALE AT LAND PRICE: 452 sq. M.With a total area, a separate yard, a garden,with a stone garage. With a high ceiling (3.5 meters)IT IS ALSO POSSIBLE TO EXCHANGE WITH AN APARTMENT, I WILL HEAR OFFERS.Residential 133.47 square meters,Auxiliary 23.5 + 4.37Orchard Garden 245.07 sq. M.Ghandilyan street, the back of the former regional (railway) hospital. The house needs repair, it has not been lived in for 7 years. It is provided with constant water and gas, it has a summer kitchen, a stone garage, a garden with fruit trees, there are auxiliary buildings in the garden, a large cellar under the house. There are all the necessary shops, a school and a kindergarten nearby.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18672582,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,130 sq.m.,1,4,1,Partial Renovation,222 sq.m.,"Մելիքյան փողոց, Գյումրի","$31,000",USD,"A house for sale BEHIND THE LINE addressed as Khachatryan street 1 house.The area of the land is 222 sq/m. The area of the residential house is 130 sq/m, the basement area is 11 sq/m. The area is stone fenced. The house consists of 4 rooms. The entrance has an iron door, wooden windows, there is 1 basement in the house. Available plot of land and in front and back of the building, there is outdoor parking on the side of the yard. The place is calm and quiet.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/14115912,House is Finished,"Electricity, water supply, natural gas, sewerage",
Country House,Stone,240 sq.m.,2,6,1,Partial Renovation,2500 sq.m.,Shirak › Gyumri,"$45,000",USD,"The summer house is located in Aygabats village, 10 km from Gyumri.The summer house has a swimming pool, a garage, a large garden.Exchange is also possible.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,2 spots,,,https://list.am/en/item/18477229,House is Finished,,
House,Stone,172 sq.m.,1,4,1,Euro Renovation,781 sq.m.,Shirak › Artik,"$40,000",USD,"A private house is for sale in Artik community, as a 44 residential house on Isahakyan street, a residential house near the center. The total area of the land is 781 sq. M., the living area is 172 sq. M., there is a summer kitchen of 20 sq. M. It is provided with all the necessary communications, it is fully repaired. , stone garage. The house has 4 rooms in total, the interior doors are made of wood, the kitchen: The bathroom is tiled. The house has an individual heating system. Outdoor parking lots and a stone garage are provided in the yard. It has an orchard. The place is quiet and quiet.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,2 spots,,,https://list.am/en/item/17943516,House is Under Construction,,
House,Stone,44 sq.m.,1,2,1,Old Renovation,87 sq.m.,"Rustaveli Street, Gyumri","$32,000",USD,"The house is located in the center at the back of the Kirov bus stop, has a separate small yard, a separate metal garage, needs interior decoration. Call for details.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18593360,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,1160 sq.m.,2,4,1,No Renovation,1160 sq.m.,"Ղարիբջանյան մայրուղի 8, Գյումրի","$80,000",USD,"A fenced private house with a large garage is for sale. The total area of the land is 1160 square meters, the area of the house is 231.92 square meters, and the garage is 88.2 square meters. M, which also has a basement. Call for details and price.Address: Marz Shirak, community Gharibjanyan 1st highway, residential house 8.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Partial Furniture,2 spots,,,https://list.am/en/item/18686829,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,650 sq.m.,1,4,1,Partial Renovation,470 sq.m.,Shirak › Gyumri,"$83,000",USD,"A private house for sale in Gyumri, in a state of disrepair, in the vicinity of the big wheel of Yerevanian highway, it has a well-maintained Armenian stone greenhouse, a summer kitchen, a fenced individual heating system, and a fire pit for sale.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/17816535,,,
House,Stone,1000 sq.m.,2,7,1,No Renovation,400 sq.m.,Shirak › Artik,"$18,000",USD,Продаётся дом в камине двухэтажный без ремонта остальные вопросы,Dec-12-2022_21-19,,,,,,,,,,,By agreement,Not available,,,https://list.am/en/item/15914823,House is Finished,,
House,Stone,240 sq.m.,1,4,1,Major Renovation,1570 sq.m.,Shirak › Akhuryan,"$50,000",USD,"The house is in perfect condition, the bathroom has not been renovated. The house has a plot of land of 1000 square meters, and a large separate yard with fruit trees. It has all utilities. It also has a separate heating system, as well as a common wooden heating system. Call for details.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18491524,,,
House,Stone,480 sq.m.,2,6,3+,Major Renovation,1200 sq.m.,"Vazgen Sargsyan street 1, Gyumri","$450,000",USD,"Продается капитально отремонтированный двухэтажный дом, расположенный на улице Вазгена Саргсяна. Жилая площадь этого светлого частного дома 480 кв/м, каждый этаж 240 кв/м, площадь участка 1100 кв/м, сад с фруктовыми деревьями.На первом этаже находится просторная мансарда, кухня и 1 спальня с ванной комнатой.На втором этаже 4 спальни с 2 санузлами и открытый балкон с прекрасным видом. Кухня и санузлы выложены плиткой, пол-ламинат. Железные двери, железные ворота, евро окна и межкомнатные двери сделаны из дерева. Есть кабельное телевидение и интернет. Во дворе есть открытые парковочные места и каменный гараж 50 кв/м. К дому пристроены постройки на своей территории: Летняя кухня, мангал, зонт, бассейн, отделенный каменными стенами.",Dec-12-2022_21-19,,,,,,,,,,,Available,3 or more spots,,,https://list.am/en/item/18467109,House is Finished,,
House,Stone,277 sq.m.,1,2,1,No Renovation,100 sq.m.,"Ղորղանյան փողոց 176, Գյումրի","$36,000",USD,"An apartment is for sale in the center of the city, there is a garage, gas, electricity, water, the area is suitable for land use, it needs major renovation, the area of the stone building is 177 square meters, and the land area is 100 square meters. It consists of 4 rooms, two kitchens, the price is negotiableTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,1 spot,,,https://list.am/en/item/16825243,House is Unfinished,,
House,Stone,200 sq.m.,1,5,1,No Renovation,400 sq.m.,"Բաղրամյան փողոց 17Ա, Գյումրի","$60,000",USD,Greenhouse 100 square meters is under renovationTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,By agreement,2 spots,,,https://list.am/en/item/18597181,,"Electricity, water supply, natural gas, sewerage",
House,Stone,104 sq.m.,1,3,1,Old Renovation,1000 sq.m.,Shirak › Mayisyan,"$11,000",USD,Fruit treesPrice negotiableTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18017907,,,
House,Stone,120 sq.m.,1,3,1,Old Renovation,1000 sq.m.,Shirak › Mayisyan,"$11,000",USD,"‼️ URGENTLY for sale 3 s. Own house in Mayisyan village, the house needs cosmetic repairs, land area 1000 m/sq with fruit trees. PRICE: $11,000‼️Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18273978,,,
House,Stone,350 sq.m.,2,4,1,Partial Renovation,200 sq.m.,Shirak › Gyumri,"$37,000",USD,"Urgent sale of a house in Akhuryan with a garage and a yard in the back of Yukom, 20 houses in ShirazTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,3 or more spots,,,https://list.am/en/item/18479433,,,
House,Stone,90 sq.m.,1,4,1,No Renovation,640 sq.m.,"Улица Башинджагяна, Гюмри","$29,000",USD,Продаю дом 680 кв/м двор 90 кв/м дом. Идеально подходит под производство.,Dec-12-2022_21-19,,,,,,,,,,,Not available,3 or more spots,,,https://list.am/en/item/17182865,,,
House,Stone,72 sq.m.,1,3,1,Old Renovation,500 sq.m.,"1-ին փողոց 9, Աշոցք","$12,500",USD,"Ashotsk region G. VelvetHouse 72/sqm, in old VedanorogoLand near the house 500/sq. MSemi-demolished Cattle Farm 30/sq. MThe price includes 7ha. A plot of land.NEGOTIABLETranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/18592684,,"Electricity, water supply",
House,Stone,420 sq.m.,1,4,1,Cosmetic Renovation,,"Yerevan Highway, Gyumri","$45,000",USD,"Privately owned, with all utilities, gas supply, permanent water, garden, yard, fruit trees, heating, iron door, oak interior doors, garage, basement, summer kitchen. , bathroom, with 2 iron gatesTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/11487560,,,
House,Stone,220 sq.m.,2,8+,3+,Designer Renovation,400 sq.m.,"Արմենիան փողոց 3, Գյումրի","$110,000",USD,"Newly equipped luxurious 2-storey apartment house in the center of Gyumri is for saleNEW CAPITAL RENOVATED WITH UNINHABITED PROPERTY. Can also serve as a hotel.It is equipped with all necessities. Iron doors are installed at the entrance, there are iron gates, euro windows. There is a boiler room, separate heating systems are installed.Consists of 8 bedrooms, kitchen and 3 bathrooms.Bedrooms and bathrooms are fully furnished. It has a spacious yard.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,Not available,,,https://list.am/en/item/18386264,House is Finished,,
House,Stone,643 sq.m.,1,4,1,Cosmetic Renovation,40 sq.m.,Shirak › Maralik,"$55,000",USD,"A 4-room house is for sale in the city of Maralik (with partial ownership) The house is cosmetically renovated.It is fenced on 4 sides (11.3/22.6), in addition to the building, there is a plot of land suitable for gardening.Along with the house, an adjacent plot of land measuring 40 square meters is for sale.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18249835,,,
House,Stone,200 sq.m.,1,4,1,Cosmetic Renovation,500 sq.m.,Shirak › Jrapi,"$60,000",USD,"One-story stone house for sale, shop next to the house, garage, farm.It is located in the village of Shirak Marz, Jrapi.Call for detailed information.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,2 spots,,,https://list.am/en/item/18678638,House is Finished,,
House,Stone,120 sq.m.,1,4,1,Partial Renovation,1600 sq.m.,"Շիրակի խճուղի 1, Ախուրյան","50,000,000 ֏",AMD,"Private house for urgent sale, Shirak marz G. In Akhuryan regional center. With land near the house, the total area is 1600 sq. / m. The living area is 120 square meters. / m. The house has 3 rooms - it has a large hall, kitchen, light, gas, permanent water. The bathroom is inside and outside. The house has a basement of 30 square meters. / m. There is a barn of 80 square meters on the land. / m. The barn roof holds 4 tons of feed. Bakery 20 sq. / m. Far from the house there is a basement of 40 square meters. / m. The land has permanent irrigation water, has fruit trees. It is 5000 m. Public transport. The price is negotiable. Urgent sale.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/6869605,,,
House,Stone,231 sq.m.,1,5,3+,Designer Renovation,90 sq.m.,"Spandaryan Street, Gyumri","$220,000",USD,It is for sale together with the furniture. The yard is completely basalt.Translated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,Available,Not available,,,https://list.am/en/item/16276217,House is Finished,,
House,Stone,157 sq.m.,2,4,1,Old Renovation,,"Тбилисский семофор 21/16, Гюмри","8,000,000 ֏",AMD,"There is no such price for 4 rooms for $ 16,000It is simply not repaired, that is why it is cheap. It has no problems.This price is very urgent for that! Very urgently!4-room private house is for sale in Gyumri. The total area is 157 m2, and the living area is 99 m2. It has a yard. It has a large basement and roof area. It is satisfied with all the necessary amenities (gas, light, water), it has a gas stove, it has a small land part.Address: Tbilisi Simafor 21/26. It is located behind the Basen store on Ghandilyan Street, near the Gyumri railway. All the necessary shops, entertainment places, a school and a kindergarten are very close to the house.Call the phone numbers below.The apartment is for sale with all its property.Urgent! ! ! Urgent! Negotiable!Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/12023435,,,
House,Stone,300 sq.m.,2,5,1,Euro Renovation,200 sq.m.,"Պավլովի փողոցի 1-ին նրբանցք, Գյումրի","45,000,000 ֏",AMD,"Urgent Two-storey private house for sale, euro-renovated, with all communal facilities,Living area 262 sq. M.The area of the park is 200 square meters. With fruit trees,Large balcony 65 sq. M. Area,Euro doors and windows, three-layer windows and barred,Iron entrance door, blacksmith work,Location of the house East-West,Has individual heating system,Spacious kitchen with furnitureThree stone garagesWe will agree on the final price on the spotUrgent!Exchange with a smaller and affordable homeTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/16121473,,,
House,Stone,300 sq.m.,2,7,2,Old Renovation,1800 sq.m.,Shirak › Mayisyan,"3,000,000 ₽",RUB,"Երկհարկանի առանձնատուն կառուցված է1993 թ. Մայիսյան գյուղում, ունի 4 ննջասենյակ, երկու զալ, որից մեկում բուխարի կա, ճաշասենյակ, խոհանոց, երկու սանհանգույց, նկուղ, կաթսայատուն: Կա մեծ սպորտզալ որը կարելի է օգտագործել որպես արտադրամաս, Հողամասը1800 ք մ, պարիսպապատված է տուֆ քարով: Տունը անկյունային է: ՈՒնի ավտոտնակ: Դպրոցը ու մանկապարտեզը գտնվում են մոտ: Փոխանակում եմ բնակարանի հետ:",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/12743281,,,
House,Stone,120 sq.m.,1,3,1,Old Renovation,1200 sq.m.,"Կոշտոյան փողոց 5/2, Գյումրի","$15,000",USD,The house is located in Arevik village.The house needs renovationHas a barn.Homemade stone bread factory.Gas. Light: Water: InternetNegotiable.Translated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,,Not available,,,https://list.am/en/item/18510590,,,
House,Stone,210 sq.m.,2,6,1,Old Renovation,1000 sq.m.,"Տուֆագործների փողոց, Արթիկ","9,500,000 ֏",AMD,"VERY URGENTLYTwo-story, 6-room private house for sale with all utilities: Gas, electricity, permanent water. It has an 80 sq. M. Cattle barn, 25 sq. M. Auxiliary building, 300 + sq. M. Orchard. There is a basement, an open balcony. It is also sold in parts. VERY URGENTLYTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,By agreement,Not available,,,https://list.am/en/item/18245612,House is Finished,,
House,Stone,114 sq.m.,1,4,1,Major Renovation,1450 sq.m.,Shirak › Voghji,"$22,000",USD,"The apartment has all utilities, there is gas, water, electricity, the bathroom is renovated, European windows are installed, an iron door is installed, it has a large stone garage, a basement, it also has a cowshed, Viber. WhatsApp:Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,1 spot,,,https://list.am/en/item/18400165,House is Finished,,
House,Stone,950 sq.m.,3,8+,3+,Major Renovation,650 sq.m.,Shirak › Akhuryan,"$150,000",USD,Luxury private house for sale. Fwith all amenities. Very convenient for a hotelTranslated from Armenian,Dec-12-2022_21-19,,,,,,,,,,,,,,,https://list.am/en/item/18482742,,,
House,Stone,95 sq.m.,1,3,1,Cosmetic Renovation,100 sq.m.,"Ղորղանյան փողոց 24, Գյումրի","$55,000",USD,"In the center of the city (Мост), a private house with a total area of 95, built of black hewn stone, is for sale.Garden 85 square meters, fruit trees, attic, auxiliary building in the yard, stone garage, k. B. H, gas, light, hot and cold water, privatized.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,By agreement,1 spot,,,https://list.am/en/item/18111859,,"Electricity, water supply, natural gas, sewerage",Sauna
House,Stone,71 sq.m.,1,2,1,Old Renovation,163 sq.m.,"Կամոյի փողոց 73, Գյումրի","6,250,000 ֏",AMD,"City of Gyumri Kamoi street, (former 10-storey area) 2-room private house for sale. There is a garage under the house. The house has gas, electricity, water. The area of the land is 163 sq/m, the living area is 79 sq/m.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,By agreement,1 spot,,,https://list.am/en/item/18673742,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,219 sq.m.,2,7,1,Major Renovation,327 sq.m.,"Անկախության փողոց 14, Արթիկ","$58,000",USD,"A two-story stone house for sale. In Artik Independence 1 lane (house 14) The area of the land is 219.2 sq/m, the area of the auxiliary building is 19.2 sq/m. The walls are made of double tuff stone, the front part is made of sacred Artik tuff stone. The entrance to the basement of the house is from the yard, with stairs. The first floor consists of ie: 1. Entrance hall, 2. Living room, 3. Kitchen, 4. Bathroom, bathroom, 5. Garage.On 2 floors: 1. Hall, 2. 4 bedrooms, 3. Two open balconies. The residential house is completely renovated and uninhabited. It has gas, electricity. Electricity, sewage, water.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,By agreement,1 spot,,,https://list.am/en/item/18696843,House is Finished,,
House,Stone,170 sq.m.,2,7,2,Old Renovation,50 sq.m.,"Mazmanyan Street 177/1, Gyumri","62,000,000 ֏",AMD,"Старый ремонт, в чистом состоянии",Dec-12-2022_21-19,,,,,,,,,,,Not available,2 spots,,Washing machine,https://list.am/en/item/17190299,House is Finished,"Electricity, natural gas",Swimming pool
House,Stone,100 sq.m.,1,2,1,Cosmetic Renovation,,"Օզանյան փողոց, Գյումրի","$13,500",USD,"HURRY: This price is only valid until December 15, 2022Private house for sale near the stadium, privatized, has permanent water, gas, has a fenced yard, land. Prepaid - Partially closedTranslated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/16375882,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,100 sq.m.,2,3,1,Partial Renovation,120 sq.m.,"Ozanyan street 1, Gyumri",$35,USD,"URGENT. The house is suitable for a workshop, has gas, water, electricity, orchard, the price is conditionalneeds interior decoration, if desired, the adjacent house will be sold, which also has a land of 60 sq. M. And a one-storey two-room apartment of 55 sq. M.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,Not available,,,https://list.am/en/item/17827314,House is Finished,,
House,Stone,150 sq.m.,1,4,1,No Renovation,1000 sq.m.,Shirak › Maralik,"$17,000",USD,Kisakaruyc. Uni 23m. Anasnagom. Avtotnak. Parspapatvac.,Dec-12-2022_21-19,,,,,,,,,,,Not available,2 spots,,,https://list.am/en/item/16063950,House is Unfinished,,
House,Stone,600 sq.m.,2,8+,1,No Renovation,400 sq.m.,"Ախուրյանի խճուղի, Գյումրի","$30,000",USD,"Վաճառվում է կիսակառույց առանձնատուն։Տան առաջի հարկը հնարավոր էբնակեցումպահեստամաս, 3-4 մեքենայի համար նախատեսված ավտոտնակ։Եռաֆազ լույս, գազ, ջուր։Հսակայական բակ, պտղատու ծառերով, ջրհոր, և դիմացի հատվածը կա բակ և տան հետնամասում։Վաճառվում կամ փոխանակվում է մանրամասների համար կարող եք զանգահարել։Продается двухквартирный дом Возможен первый этаж домапроживаниекладовка, гараж на 3-4 машины. Трехфазное электричество, газ, вода. Огромный двор, с фруктовыми деревьями, колодец и в передней части есть двор, а в задней части дома. Продам или обменяю, можно позвоните для деталей.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Not available,3 or more spots,,,https://list.am/en/item/17187709,House is Unfinished,,
House,Bricks,128 sq.m.,2,4,2,Old Renovation,,"Movses Khorenatsi Street 24, Gyumri","25,000,000 ֏",AMD,Продаю дом. Все камунальные услуги.,Dec-12-2022_21-19,,,,,,,,,,,Available,1 spot,,,https://list.am/en/item/17791291,House is Finished,,
House,Stone,377 sq.m.,1,4,1,No Renovation,377 sq.m.,Shirak › Gyumri,"$60,000",USD,"Տունը կառոցվել է 1996թ. ֊ին, դրսից ավարտուն է, իսկ ներքին հարդարանք չկա։Ունի 3 ննջասենյակ, հյուրասենյակ, ընդհանուր սենյակ, խոհանոց, սանհանգույց։ Տան անբողջ տարածքի չափով և 3 մ բարձրությամբ կա նկուղային հարկ, որը կարող է ծառայել որպես բիզնես տարածք՝արտադրամաս, պահեստ, մեծ ավտոտնակ մի քանի մեքենայի համար։ Բացի այդ կա մանսարդ, նաև առանձին մուտքով քարե ավտոտնակ երկու մեքենայի համար։Գտնվում է Խրիմյան Հայրիկ փողոցում""Թուրվանդ""֊ շինանյութերի պահեստի հարևանությամբ։Սակարկելու հնարավորություն կա։Unique custom built home located at Khrimyan Hayrik street, a short walk from of Gyumri city, Armenia. Some of the highights of this 2 floor and 5 room home include-strong stony building throughout the base floor, basement which can be used as industry, a big storage + garage many large windows on all levels for plenty of natural light, tile roofing, stone/limestone/basalt exterior and an overall great appeal. Themain floor features a big lobby connecting in the living room, a huge questroom, a formal dining room together with a spacious kitchen. The master bedroom is conveniently located on the main floor. The upper level offers two other bedrooms + a bonus room (storage room) which could easily be converted to an additional bedroom. The basement is fully developed with windous, a front big door, and would make a great space for living or using it for industry purposes. Call today to book your viewing!В городе Гюмри на улице Хримян Айрик (рядом со складом строй. Материалов Турванд) продаётся собственный дом с общей площадью 377к. М, построенный в 1996 году. В доме 5 комнат, прихожая, большая гостиная, кухня, туалет вместе с ванной комнатой. Нижний этаж с такой же площадью и высотой может вместить несколько автомобилей, использоваться в целях производства и как склад. Есть отдельный гараж с маленьким подвалом.",Dec-12-2022_21-19,,,,,,,,,,,Not available,3 or more spots,,,https://list.am/en/item/17349376,House is Finished,,
House,Stone,120 sq.m.,1,3,1,Old Renovation,1000 sq.m.,"Շահբազյան փողոց 12, Գյումրի","$40,000",USD,"House for sale in Shirak m. The area of the house in Akhuryan is 120 square meters. The land area is 1000 square meters. Orchard irrigation water. In the barn with a barn. The house is gasified, has constant cold and hot water. The windows are euro. It has an entrance hall, 3 rooms, a bathroom, a kitchen.Translated from Armenian",Dec-12-2022_21-19,,,,,,,,,,,Available,Not available,,,https://list.am/en/item/15904672,House is Finished,,
