Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Appliances,Window Views,Parking,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,The House Has
Panels,No,Not available,5,63 sq.m.,2,1,from 3 m,4,Multiple balconies,Major Renovation,Ararat › Artashat,"$50,000",USD,Call negotiable for detailsTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17934488,,,,,,,
Stone,No,Not available,5,120 sq.m.,4,1,from 3 m,5,Not available,Major Renovation,Ararat › Artashat,"$85,000",USD,"A spacious 4-room apartment is for sale in a building not far from the central square of Artashat city. It is located on the 5th floor of a 5-story stone building.Total area: 112.2 square meters (actual: 120 square meters)The apartment consists of:from the spacious living roomfrom the kitchen (studio)3 bedroomsfrom the bathroom (the bathroom is separate)It has been completely renovated, it has hardly been inhabited after the renovation. Furnished with expensive wooden furniture. It is heated by a boiler, air conditioners are installed. There is an elevator.It is sold together with the existing property and equipment.Code 18323897Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/18323897,,,,,,,
Panels,No,Not available,5,70 sq.m.,2,1,from 2.8 m,4,Open balcony,Old Renovation,"Admiral Isakov Street 76, Artashat","$30,000",USD,Квартира находится центре Исаков улици позваните,Nov-25-2022_14-06,,,,,https://list.am/en/item/18322571,,,,,,,
Panels,No,Not available,5,60 sq.m.,2,1,from 2.8 m,5,Open balcony,Cosmetic Renovation,"Dprocakanner street, Masis","$40,000",USD,"2-room apartment for sale in c. In Masis, on the 5/5 panel floor, it has been cosmetically renovated, has an open-closed balcony, individual heating system. It is provided with hot and cold water around the clock. Individual agents can call very urgently.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17579760,,,,,,,
Panels,No,Not available,5,73 sq.m.,3,1,from 2.5 m,1,Closed balcony,Partial Renovation,Ararat › Ararat,"$20,000",USD,"A 3-room apartment is for sale in Zod. Address: OKS-Banavan 8/35, near the bus stop, adjacent to the park. Please call for detailed information.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18039384,,,,,,,
Panels,No,Not available,3,110 sq.m.,4,2,from 2.8 m,2,Closed balcony,Old Renovation,Ararat › Lusarat,"$14,300",USD,The house is located in Lusarat villageThe house has a garage space and a chula on the first floor of the buildingTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18278920,,,,,,,
Stone,No,Not available,5,85 sq.m.,3,1,from 2.8 m,1,Not available,Cosmetic Renovation,"Շահումյանի փողոց 12, Արտաշատ","$60,000",USD,"I am selling a 3-room apartment with all its appliances, gas, water, underfloor heating, normal conditions for living. The surface of the house is 85 square metershas a garage, call for details. Hurry!Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/13903431,,,,,,,
Panels,No,Not available,5,61 sq.m.,2,1,from 2.8 m,5,Closed balcony,Euro Renovation,Ararat › Masis,"$38,500",USD,Renovated 2-3 rooms turned into an apartment in MasisWith partial propertyFor more information callTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/11383267,,,,,,,
Panels,No,Not available,5,103 sq.m.,4,1,from 2.8 m,3,Open balcony,Partial Renovation,"Khanjyan Street 17, Artaxata (Artashat)","$55,000",USD,"4 rooms for sale. Apartment at 17 Khanjyan Street, on the 3rd floor, the house is a child renovated place @ very comfortable, on the 1st floor, there is a garage, no garage, for details callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17470924,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,1,from 2.6 m,2,Open balcony,Major Renovation,Ararat › Artashat,"$70,000",USD,"Բնակարանը կապիտալ վերանորոգված է ունի բակ 300 լ տարողությամբ, բաքսի ներսի դրները փայտից. Խոհանոցի կահույքի հետ. Զանգեն միայն ռյալ գնորդները …Նաև փոխանակում սեփական տան հետВ квартире капитальный евроремонт. Находится по адресу ул. Исакова 72Имеется водная тара объемом 300 литров и Бакси.Внутренние двери и кухонная мебель полностью из дуба, сдаются вместе с квартирой.Звонить только реальным покупателям.",Nov-25-2022_14-06,,,,,https://list.am/en/item/17570457,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,2,from 2.7 m,5,Multiple balconies,No Renovation,"Ներսիսյան փողոց 7, Արտաշատ","$37,000",USD,"3-room apartment is for sale WITHOUT MEDIATOR3-room apartment is for sale WITHOUT MEDIATOR, on the 5th floor of the 7th building on Nersisyan street, Artashat city. The apartment is in preliminary condition, without renovation. It has 76 square meters. Area, 2 balconies. From the yard of the building, where there is a rather large balcony, there is a room to add a balcony to move forward. The apartment has an iron door.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17906174,,,,,,,
Stone,No,Not available,1,62 sq.m.,3,1,from 2.75 m,1,Not available,Cosmetic Renovation,"Marks street, Artaxata (Artashat)","$45,000",USD,URGENT!A 3-room apartment is for sale in the city of Artashat on Karl Marx street.On the 1st floor of a 5-story building.Construction type - Stone.The apartment is provided with hot and cold water.There is a heating system.It also has a basement.For details write or call whats app.Translated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17215352,,,,,,,
Stone,No,Not available,5,68 sq.m.,2,1,from 2.6 m,4,Not available,Euro Renovation,Ararat › Vedi,"18,500,000 ֏",AMD,It has the possibility of an attached building of 35 sq. M.2-room apartment with a signTranslated from Armenian,Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17554769,,,,,,,
Panels,No,Not available,5,75 sq.m.,2,1,from 2.8 m,3,Open balcony,Old Renovation,"Աղասի Խանջյանի փողոց 15, Արտաշատ","$42,000",USD,"Apartment for sale in Artashat city, Khanjian 15/6has all utilities, large balcony and garageTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18078376,,,,,,,
Stone,No,Not available,3,94 sq.m.,4,1,from 2.75 m,2,Open balcony,Major Renovation,"Hrachya Tovmasyan Street 3, Artashat","$72,000",USD,"The apartment is fully renovated, has a heating system, an open balcony, a water tank. The apartment is sold together with the property, appliances and the garage in front of the entrance to the building.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17301178,,,,,,,
Panels,No,Not available,5,74 sq.m.,3,1,from 3 m,5,Closed balcony,Major Renovation,"1st Street, Masis","22,950,000 ֏",AMD,"Возможна рассрочка или обмен на квартиру в Сочи. В центре города Масис, рядом с церковью, вместе с мебелью продается отремонтированная, светлая, солнечная квартира с видом на гору Масис. Есть закрытый балкон и две кладовки. Дом газифицирован. Санузел раздельный и выложен плиткой. Крыша отремонтирована. Адрес - Нор микрорайон 27 дом. Торг. Эдо. ПРОШУ ПИСАТЬ СЮДА. НА ЗВОНКИ ОТВЕЧАТЬ НЕ МОГУ, ТАК КАК ВРЕМЕННО В ОТЪЕЗДЕ.Հնարավոր է փակովի կամ փոխանակում բնակարանի հետ Սոչիում: Մասիս քաղաքի կենտրոնում, եկեղեցու հարեւանությամբ վաճառվում է վերանորոգված, լուսավոր, արեվկողմ, Մասիս սարի տեսարանով բնակարան գույքի հետ միասին: Ունի փակ պատշգամբ եվ երկու խորդանոց: Շենքը գազաֆիկացված է: Սան հանգույցը առանձնացված է եվ սալիկապատված: Տանիքը վերանորոգված է: Հասցեն - Նոր թաղամաս 27 շենք: Սակարկելի: Էդո: Խնդրում եմ գրել այստեղ, զանգերի պատասխանել չեմ կարող, ժամանակավոր բացակայում եմ Հանրապետությունից",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/15720780,,,,,,,
Stone,No,Not available,3,33 sq.m.,1,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,Ararat › Araksavan,"€15,000",EUR,Квартира на 3 этаже в 3-х этажном доме. Ремонт сделан больше 15 лет назад и никто не проживал после ремонта. Находится в центре села. Продажа от собственика. Возможен обмен на автомобиль.,Nov-25-2022_14-06,,,,,https://list.am/en/item/17532946,,,,,,,
Stone,No,Not available,4,98 sq.m.,4,1,from 2.75 m,1,Open balcony,Major Renovation,Ararat › Artashat,"$35,000",USD,There is also a separate building with 2 fruit refrigerators and a garage located in the village of Verin ArtashatTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17499544,,,,,,,
Stone,No,Not available,2,70 sq.m.,3,1,from 3 m,1,Closed balcony,Old Renovation,Ararat › Ararat,"$30,000",USD,3-room apartment in the city of AraratTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/18010668,,,,,,,
Panels,No,Not available,5,59 sq.m.,3,1,from 3 m,2,Closed balcony,Partial Renovation,Ararat › Ararat,"5,500,000 ֏",AMD,"Are you afraid without property, call for questions. The apartment is located in ZOD.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17621120,,,,,,,
Stone,No,Not available,5,50 sq.m.,2,1,from 2.8 m,3,Closed balcony,Partial Renovation,"Araratyan St, Vedi","11,000,000 ֏",AMD,"The apartment is located in the center of the city. Gas from 3 points. There is constant hot and cold water. Apartment in normal living condition. For details, callTranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17941930,,,,,,,
Stone,Yes,Not available,5,75 sq.m.,3,1,from 3 m,5,Open balcony,Major Renovation,Ararat › Artashat,"$68,000",USD,"3-room apartment, at 1/15 Yerjanyan street, Baxi (hot-cold water), yard,Large storage room, the house has room to add 30 sq. M., GARAGETranslated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17383825,,,,,,,
Panels,No,Not available,5,90 sq.m.,4,1,from 2.7 m,5,Open balcony,Cosmetic Renovation,"Isakov street 113, Artaxata (Artashat)","$60,000",USD,"I am selling a 4-room apartment. , with partial property. Capitally renovated roof, pipes, gas, hot-cold water, metal door, euro windows, open balcony to Mount Ararat.Price is negotiableTranslated from Armenian",Nov-25-2022_14-06,By agreement,,,,https://list.am/en/item/17465169,,,,,,,
Stone,Yes,Not available,2,246 sq.m.,3,1,from 2.8 m,1,Not available,Partial Renovation,"19-րդ փողոց 44, Նոր Խարբերդ","$45,000",USD,"Newly built price finished work $ 180,000 plaster euro window laminate flooring left questions by phoneTranslated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17179078,,,,,,,
Panels,Yes,Not available,5,68 sq.m.,2,1,from 2.8 m,5,Multiple balconies,Major Renovation,"Ծովակալ Իսակովի փողոց 47/2, Արտաշատ","$52,000",USD,"The house is fully renovated. The floor is fully heated.The house has just been renovated, it is not inhabited.Or it is exchanged with a private house.Call for questions.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/17953809,,,,,,,
Stone,No,Not available,5,81 sq.m.,3,1,from 2.7 m,1,Closed balcony,Euro Renovation,"Նոր թաղամաս 13, Մասիս","$53,800",USD,"3-room apartment in the center of Masis for sale.The total area of the apartment is 81 square meters. Մ. , there is a building permit to add an additional 30 sq / m.The apartment is ready for sale, it has 1 owner, the apartment was bought in cash.Key Benefits:Comfortable place. 3 minutes walk to the bus station in the city centerThe apartment is fully furnishedHuge area of kitchen-living roomHigh ceilings 2.7 m2 separate bedroomsEuropean windows are installed in the apartmentSpacious bathroomThe apartment is renovated from quality materials, has been rented for many years, it is possible to renovate additional cosmetics at the expense of the seller.It is possible to add an additional 30 sq / m, to make a luxurious, huge 110 sq / m apartment, the columns are placed on the opposite side of the building, some of the upper floors have already increased the area of the apartment to 110 sq / m.The developed surrounding area is perfect for a comfortable life. Kindergartens, schools, clinics, shopping centers are within walking distance. It is a pleasure to spend time in the nearby parks at any time of the year.This is a great opportunity to have a spacious 110 sq / m apartment just 18 km from Yerevan.Call.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/17542663,,,,,,,
Panels,No,Not available,5,59 sq.m.,2,1,from 2.8 m,4,Closed balcony,Cosmetic Renovation,"Azatamartikneri Street 33, Masis","$45,000",USD,"A two-room apartment is for sale, completely renovated, in the new district of K Masis, for details, call and visit our office.Code 2387889ATranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17198087,,,,,,,
Panels,No,Not available,5,64 sq.m.,2,1,from 2.8 m,2,Closed balcony,Old Renovation,"Նոր թաղամաս 36, Մասիս","$45,000",USD,"A two-room apartment with a garage is for sale, it is in normal condition, all utilities are available, for details, call and visit our office.Code 2308241ATranslated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/18169089,,,,,,,
Stone,No,Not available,3,30 sq.m.,1,1,from 2.5 m,2,Multiple balconies,Major Renovation,"Hrachya Tovmasyan Street 3, Artashat","$33,000",USD,"Urgent sale of one-room apartment, completely renovated, front to side, kitchen furniture included, call for details.Translated from Armenian",Nov-25-2022_14-06,Not available,,,,https://list.am/en/item/16295972,,,,,,,
Stone,No,Not available,5,47 sq.m.,1,1,from 2.8 m,2,Closed balcony,Partial Renovation,"Արարատյան փողոց 38, Վեդի","9,200,000 ֏",AMD,"For sale or rent. The apartment is located on the central street of Vedi, 2 rooms, gas-fired, closed balcony, European windows. Negotiable.Translated from Armenian",Nov-25-2022_14-06,,,,,https://list.am/en/item/17683911,,,,,,,
Stone,No,Not available,3,85 sq.m.,3,1,from 2.7 m,3,Open balcony,Major Renovation,"Khanjyan street, Ararat","$45,000",USD,"Fully renovated apartment for sale in Ararat city, in the center... With all the communal facilities... The price also includes all the Malaysian furniture, the stone garage in the yard of the building... Call for details.Translated from Armenian",Nov-25-2022_14-06,Available,,,,https://list.am/en/item/16758442,,,,,,,
Stone,No,Not available,2,53 sq.m.,3,1,from 3 m,1,Closed balcony,Euro Renovation,"8-րդ փողոց 1, Նոր Խարբերդ","$37,000",USD,The apartment has all communal facilities fully renovatedTranslated from Armenian,Nov-25-2022_14-06,,,,,https://list.am/en/item/17861601,,,,,,,
Stone,Yes,Not available,2,60 sq.m.,2,1,from 2.8 m,1,Not available,Major Renovation,"Արամի փողոց, Ղուկասավան","180,000 ֏ monthly",AMD,"The area is suitable for both residential and commercial purposes. There is hot and cold water, internet.It is located 3 kilometers from Yerevan, 14 km from RA Square. On the main road, near the bus stop. Apartments for RentTranslated from Armenian",Dec-12-2022_23-08,Not available,,,Outdoor parking,https://list.am/en/item/18684911,Parking space,4,Yes,Yes,By Agreement,2 months,
Panels,No,Not available,5,54 sq.m.,3,1,from 2.7 m,5,Closed balcony,Partial Renovation,"Նոր թաղամաս 27, Մասիս","90,000 ֏ monthly",AMD,"Տրվում է 2֊3 դարձրաց բնակարան 5րդ հարկում Մասիս քաղաքում։Բնակարանը գտնվում է լավ վիճակում առկա է ջուր և լույս (գազ և ապրանք չկա) ։2-3 переустроенная квартира на 5 этаже в городе Масис. Квартира в хорошем состоянии, есть вода и электричество (газ и товары нету)",Dec-12-2022_23-08,Not available,,Yard view,Outdoor parking,https://list.am/en/item/18674921,Parking space,4,Negotiable,No,Included,1 month,
Stone,No,Not available,5,76 sq.m.,3,1,from 2.8 m,4,Open balcony,Old Renovation,"Улица Грачья Товмасяна, Арташат","100,000 ֏ monthly",AMD,A 3-room apartment in the center with its own garage is for sale.Please call after 18:00.Translated from Armenian,Dec-12-2022_23-08,Partial Furniture,,Yard view,Garage,https://list.am/en/item/18712056,"Internet, parking space",6,Yes,No,Not included,3 months,Playground
Stone,Yes,Not available,3,570 sq.m.,8+,3+,from 3 m,3,Open balcony,Designer Renovation,"Kentronakan 4th Street, Argavand","$3,500 monthly",USD,"Внимание:! Красивый частный дом в Аргаванде сдается на длительный срок с 14 ноября. В особняке все сделано со вкусом, главное с любовью, хорошая аура, главное хозяева замечательные люди, которые всегда придут на помощь в любом вопросе.В доме могут жить даже две семьи. Домашние животные разрешены только (маленькие собаки) Небольшой сад с бассейном, где расположены красивые искусственные (пальмы) деревья, Двор имеет 40 квадратных метров (бисетка), 100 квадратных метров парковочного места, 20 квадратных метров (catelni), барбекю.В квартире на 1 этаже 1 гостиная, кухня, 1 комната, 1 санузел, отдельное подсобное помещение, холл, большой балкон. Квартира полностью отремонтирована, отапливается системой отопления (Католов) зимой, теплым паркетом и летом (калонка) В доме есть кондиционер, посудомойка, микроволновая печь. Вся кухонная утварь (посуда и белье) останется. Предоставляется для использования. Есть пылесос, сушилка и гладильная доска. В доме очень жарко, стены толстые. 2-й этаж особняка состоит из 5 комнат, отдельной (джакузи) игровой комнаты, ванной комнаты, интернета и кабельного телевидения. Дом расположен недалеко от автобусной остановки, до центра можно добраться за 20 минут на машине. Красивый зеленый сад, поверьте, гораздо лучше, чем на фото. Спальни видны на видео: Сдается 3-х этажный частный дом в Аргаванде посуточно (только двор)Бассейн (с фильтром)Буфет на 30-35 человекГриль, тостер. Комната 1 настольный теннис-WI-FI. 9:00-23:00Я могу отправить видео о доме и саду реальным клиентам. Свяжитесь со мной для получения подробной информации по указанным контактам: Мы с удовольствием ответим On Time Realty-Real Estate Agency։",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18498481,,8+,Yes,Yes,Not included,1 month,
Panels,No,Not available,5,75 sq.m.,3,1,from 2.8 m,5,Open balcony,Partial Renovation,"Araz street 9, Artaxata (Artashat)","90,000 ֏ monthly",AMD,"It has all utilities, it is for long-term rent, without property and equipment, it is close to the market, Armenian church, school and kindergarten.Price: NON-NEGOTIABLETranslated from Armenian",Dec-12-2022_23-08,Not available,,Yard view,Outdoor parking,https://list.am/en/item/18665340,Parking space,1,Yes,No,Not included,2 months,Playground
Stone,No,Not available,2,40 sq.m.,2,1,from 2.8 m,1,Multiple balconies,Euro Renovation,"Նոր թաղամաս 3/1, Մասիս","120,000 ֏ monthly",AMD,"An apartment is for rent in the center of Masisi, next to the municipality, with all utilities (gas, electricity, water) with separate meters. The furniture is partial. Call Viber or WhatsApp. For a long time.Translated from Armenian",Dec-12-2022_23-08,Partial Furniture,,,,https://list.am/en/item/18691112,,2,Yes,No,Not included,By Agreement,
Stone,No,Not available,5,70 sq.m.,3,1,from 3 m,5,Multiple balconies,Old Renovation,"Մխիթար Հերացու փողոց, Մասիս","130,000 ֏ monthly",AMD,"The apartment has all utilities, hot and cold water. Two balconies. It is for rent with the property.ALL QUESTIONS. SUBJECT TO DISCUSSIONPrice: ConditionalTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view, city view, park view, view of Ararat",Outdoor parking,https://list.am/en/item/18447544,"Internet, parking space",5,Yes,Yes,By Agreement,By Agreement,Playground
Stone,No,Not available,5,45 sq.m.,2,1,from 2.5 m,1,Not available,Major Renovation,"Улица Карла Маркса, Арташат","15,000 ֏ daily",AMD,"Մարրքսի 7 հասցեում վարձով է տրվում 2 սենկանոց բնակարան, կոմունալ բոլոր հարմարություններով տրամադրվում ե լոգասենյակի պարագաներ եվ սպիտակեղեն, գույքի, սպասքի, տեխնիկայի հետ միասին, ջեռուցման համակարգ, ամբողջ հատակը տաքացվող մեծ սանհանգույց, Լվացքի մեքենա, smart հեռուստացույց, օթօրակիչ, միկռո ալիքային վառարան, սառնարան, կաթսա, տաք սառը ջուր, բաք տրվում է 5 օր եվ ավելի ժամկետով 1 օրվա համար չզանգել the address marrks 7, a one-bedroom apartment with all communal amenities is for rent, along with real estate, dishes, appliances, heating system, a large bathroom with underfloor heating, washing machine, smart TV, house, microwave oven, refrigerator, stove, hot cold water, По адресу марркс 7 сдается в аренду двухкомнатная квартира со всеми коммунальными удобствами, вместе с недвижимостью, посудой, техникой, системой отопления, большой санузел с подогревом всего пола, стиральная машина, smart TV, домик, микроволновая печь, холодильник, плита, горячая холодная вода, бак",Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,,https://list.am/en/item/17003019,,4,No,No,Included,By Agreement,
Panels,No,Not available,5,72 sq.m.,3,1,from 2.75 m,2,Open balcony,Major Renovation,"Իսակովի Փողոց, Արտաշատ","170,000 ֏ monthly",AMD,"3-room apartment for rent, Artashati Isakov, 13th floor, 2nd floor, 13th building. The apartment has constant hot and cold water; water yard; cab heating system; It has a balcony. The price is 170 thousand drams...Translated from Armenian",Dec-12-2022_23-08,Available,"Washing machine, water Heater",Street view,,https://list.am/en/item/18676652,Television,8+,Yes,No,Included,2 months,
Stone,No,Not available,1,100 sq.m.,4,1,from 3 m,1,Not available,Partial Renovation,"Լենինի փողոց, Նշավան","60,000 ֏ monthly",AMD,"A private house is for rent in the village of Nshavan, it has gas, hot water, electricity, it has been partially repaired and is in normal condition. I leave the evenings at home too, not to call pointlessly.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18238887,,8+,No,Yes,Not included,1 month,
Stone,Yes,Not available,5,74 sq.m.,3,1,from 3 m,3,Open balcony,Designer Renovation,"Մխիթար Հերացի փողոց 20, Yerevan","200,000 ֏ monthly",AMD,K. An uninhabited apartment is for rent in Masis.Write or call for questionsTranslated from Armenian,Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water Heater, iron, hair dryer",View of Ararat,Outdoor parking,https://list.am/en/item/18707847,"Television, air conditioner, internet, parking space",6,Negotiable,Negotiable,Not included,2 months,Playground
Monolith,No,Not available,1,43 sq.m.,2,1,from 3 m,1,Open balcony,Major Renovation,"1-ին փողոց, Գեղաքար","180,000 ֏ monthly",AMD,"The apartment is fully renovated, furnished, has internet connection, water heater.Translated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer","Yard view, street view",Outdoor parking,https://list.am/en/item/18692295,"Television, air conditioner, internet, parking space",3,Negotiable,Negotiable,By Agreement,By Agreement,Intercom entry
Stone,No,Not available,5,44 sq.m.,2,1,from 3 m,5,Open balcony,Euro Renovation,"Շահումյանի փողոց 14, Արտաշատ","2,300 ֏ monthly",AMD,"Ежемесячная плата, ежедневная плата,2-комнатная квартира с евро ремонтом в Арташате. Все коммуникации в наличии, мебель, техника, посуда, постель, кондиционер, есть открытый балкон, рассчитан на 4 человека.Օրավարձով և ամսավճարով է տրվում 2 սենյականոց եվրովերանորոգված բնակարան Արտաշատ քաղաքում։ Առկա է կոմունալ բոլոր հարմարությունները, կահույք, տեխնիկա, սպասք, անկողին, օդորակիչ, ունի բաց պատշգամբ, նախատեսված է 4 հոգու համարԿոդ Nkg83",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater, iron","Street view, view of Ararat",,https://list.am/en/item/17494634,"Television, air conditioner, internet, parking space",4,Yes,Yes,Not included,By Agreement,
Stone,No,Not available,5,86 sq.m.,3,2,from 3 m,1,Not available,Euro Renovation,"Օգոստոսի 23, Արտաշատ","$1,000 monthly",USD,"Сдается 3-комнатная квартира с евро ремонтом в Арташате. Есть все коммуникации, Мебель, бытовая техника, Baxi, Кондиционер3-room Euro-renovated apartment is for rent in Artashat. Has all the utilities, Furniture, appliances, Baxi, Air conditionerԿոդ N111",Dec-12-2022_23-08,Available,"Fridge, stove, washing machine, water Heater","Yard view, street view, city view, view of Ararat","Outdoor parking, garage",https://list.am/en/item/17459378,"Television, air conditioner, internet, parking space",6,Yes,Yes,Not included,By Agreement,Playground
Panels,No,Not available,5,76 sq.m.,3,1,from 3 m,5,Open balcony,Major Renovation,"Իսակովի Փողոց, Արտաշատ","100,000 ֏ monthly",AMD,"Renovated, air conditioning, constant waterTranslated from Armenian",Dec-12-2022_23-08,Available,"Stove, water Heater",,,https://list.am/en/item/18704878,Air conditioner,4,Yes,No,Not included,1 month,
Stone,No,Not available,1,65 sq.m.,3,1,from 2.5 m,1,Not available,Old Renovation,"Մարքսի Փողոց 74, Արտաշատ","60,000 ֏ monthly",AMD,A house with its own plot is for rent. For more information callTranslated from Armenian,Dec-12-2022_23-08,Partial Furniture,"Stove, water Heater",Park view,,https://list.am/en/item/18704877,,6,Yes,Yes,Not included,By Agreement,
Panels,No,Available,5,75 sq.m.,3,1,from 3 m,5,Not available,Major Renovation,Ararat › Masis,"250,000 ֏ monthly",AMD,"Masis District 2, newly renovated and uninhabited apartment for long-term rent with initial 3 months rent, furnished with brand new furnitureTranslated from Armenian",Dec-12-2022_23-08,,,,,https://list.am/en/item/18066551,,,,,,,
Panels,No,Not available,5,76 sq.m.,3,1,from 2.8 m,5,Closed balcony,Major Renovation,"Ներսիսյան փողոց, Արտաշատ","15,000 ֏ daily",AMD,Call in case of questionsTranslated from Armenian,Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18220271,,6,Yes,No,By Agreement,By Agreement,
Stone,Yes,Not available,5,65 sq.m.,3,1,from 2.8 m,1,Not available,Euro Renovation,"3-րդ թաղամաս 20, Մասիս","150,000 ֏ monthly",AMD,"The apartment is completely new, it is in perfect condition, it has not been inhabited.Internet connection is also available.Translated from Armenian",Dec-12-2022_23-08,Available,,,,https://list.am/en/item/18382736,,6,Yes,No,Not included,By Agreement,
Stone,No,Not available,3,41 sq.m.,1,1,from 2.75 m,3,Open balcony,Partial Renovation,"Улица Араратян 36, Веди","60,000 ֏ monthly",AMD,"Վարձով է տրվում բնակարան Վեդի քաղաքում /Արարատի մարզ/. Բնակարանը գտնվում է եռահարկ քարե շենքի երրորդ հարկում, ունի ընդարձակ բաց պատշգամբ՝ արևկող, ունի ներքին մասնակի հարդարում, սանհանգույց, ջուր, հոսանք։ Վարձով է տրվում առանց կահույքի։Сдается в аренду квартира в городе Веди /АР, Араратская область/. Квартира расположена на третьем этаже трехэтажного каменного дома, имеет открытый просторный балкон: Солнечная, имеется внутренняя частичняя отделка, санузел, вода, электричество. Сдается без мебели.",Dec-12-2022_23-08,Not available,,,,https://list.am/en/item/18575614,,2,Yes,No,By Agreement,By Agreement,
Stone,Yes,Not available,2,42 sq.m.,2,1,from 2.7 m,1,Open balcony,Major Renovation,Ararat › Geghanist,"120,000 ֏ monthly",AMD,"Private house zero kanna, sunny side; warm and clean house, new house, new kitchen and bedroom furniture. Heating with baxi system, very warm houseTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, washing machine","Yard view, view of Ararat",Outdoor parking,https://list.am/en/item/18701543,Internet,3,No,Yes,By Agreement,By Agreement,Playground
Stone,No,Available,4,47 sq.m.,2,1,from 2.7 m,1,Closed balcony,Major Renovation,Ararat › Artashat,"15,000 ֏ daily",AMD,"Մարրքսի 7 հասցեում վարձով է տրվում 2 սենկանոց բնակարան, կոմունալ բոլոր հարմարություններով տրամադրվումե լոգասենյակի պարագաներ ե սպիտակեղեն, գույքի, սպասքի, տեխնիկայի հետ միասին, ջեռուցման համակարգ, ամբողջ հատակը տաքացվող մեծ սանհանգույց, Լվացքի մեքենա, smart հեռուստացույց, օթօրակիչ, միկռո ալիքային վառարան, սառնարան, կաթսա, տաք սառը ջուր, բաք տրվում է 5 օր եվ ավելի ժամկետով 1 օրվա համար չզանգել the address marrks 7, a one-bedroom apartment with all communal amenities is for rent, along with real estate, dishes, appliances, heating system, a large bathroom with underfloor heating, washing machine, smart TV, house, microwave oven, refrigerator, stove, hot cold water, По адресу марркс 7 сдается в аренду двухкомнатная квартира со всеми коммунальными удобствами, вместе с недвижимостью, посудой, техникой, системой отопления, большой санузел с подогревом всего пола, стиральная машина, smart TV, домик, микроволновая печь, холодильник, плита, горячая холодная вода, бакTranslated from Armenian",Dec-12-2022_23-08,Available,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,,https://list.am/en/item/18408785,,4,Yes,No,Included,By Agreement,
Panels,No,Not available,5,80 sq.m.,2,1,from 2.8 m,1,Closed balcony,Euro Renovation,"Isakov street, Artaxata (Artashat)","250,000 ֏ monthly",AMD,"A 2-room, bright, sunny apartment is for rent in Artashat city, on Isakov street, newly renovated, provided with natural gas, hot and cold spring water, and light.Translated from Armenian",Dec-12-2022_23-08,By agreement,,,,https://list.am/en/item/18428581,,8+,Yes,No,Not included,By Agreement,
