Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,"30,000 sq.m.",,Armavir › Shahumyan,"$75,000",USD,3 հէկտառ30.000 գմ1գմ 2.5$,Dec-12-2022_18-21,https://list.am/en/item/17765116
Agricultural,"36,100 sq.m.",,Armavir › Echmiadzin,"$49,000",USD,"3.61 hectares of agricultural land near the city of Etchmiadzin are for sale or exchange.The land consists of two pieces, 2.71 and 0.9 hectares, which are 350 meters apart. The lands are irrigated, they have electricity nearby. It is 500 meters away from the asphalt road. Price is negotiable.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16928162
Agricultural,3300 sq.m.,,Armavir › Armavir,"$3,300",USD,"Գյուղատնտեսական նշանակության հողատարածք Արմավիրի մարզի Մրգաշատ գյուղում։Ոռոգովի, սեփականաշնորհած, մակերեսը՝ 3300 ք․մ․, չափերը 200x16 մ: Հարմար է ջերմոցներ կառուցելու համար։ Կան նաև հարակից հողեր վաճառվող։Կոորդինատները քարտեզի վրա՝ 40.117639, 44.080806",Dec-12-2022_18-21,https://list.am/en/item/13941343
For Residential Development,1000 sq.m.,,Armavir › Echmiadzin,"$7,000",USD,"A plot of land near the house is for sale in the village of Artimed, Armavir marz. For more information call. NegotiableTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17874847
For Industrial Use,4600 sq.m.,,Armavir › Metsamor,"$25,000",USD,"Около больницы, 200м в низ, вход из трасы, 1я линия",Dec-12-2022_18-21,https://list.am/en/item/17542269
For Residential Development,1000 sq.m.,,Armavir › Arevashat,"$7,600",USD,Land near the house in Ar-Shat villageTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17367716
Agricultural,800 sq.m.,,Armavir › Parakar,"$18,000",USD,"Parakar village 800 meters of land. It is expedient to use or build a garden, greenhouse, warehouses, workshop or other building. It is privatized, close to the AirportTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/11757411
For Residential Development,1000 sq.m.,Water supply,Armavir › Echmiadzin,"$6,000",USD,"Land for sale in Echmiadzin, Shahumyan village, possibly a residential areaFor more information callTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18689001
Agricultural,7800 sq.m.,,Armavir › Aygek,"$23,000",USD,"Suitable for greenhouses, the gas line is adjacent to the groundTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17708993
Agricultural,4000 sq.m.,,Armavir › Echmiadzin,"$6,500",USD,"The land is located in the southern part of Lusagyugh village, on the bank of Kasakh river. Call for details.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17738561
Agricultural,"25,000 sq.m.",,Armavir › Myasnikyan,"5,000,000 ֏",AMD,"2-year yongzi field, high soil quality, next to the street. Also in exchange for a car.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18431186
For Residential Development,480 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Echmiadzin,"$35,000",USD,"Продается земельный участок в г Эчмиадзин, АндраникПостроен первый этаж, участок огорожен, есть колодец с водонапорным мотором, все коммуникации, хороший подъезд.",Dec-12-2022_18-21,https://list.am/en/item/18640653
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$26,500",USD,A plot of land near the house is for sale in EtchmiatsinTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18614811
For Industrial Use,3000 sq.m.,,Armavir › Armavir,"$19,000",USD,"Urgent Privatized land for sale in Zvarnots with 800 sq. M. Vineyard, 2200 meters of orchard. The garden has a swimming pool 3 × 5,1,7 deep, house 40 sq. M., renovated, one bedroom, living room, bathroom. Price is negotiable.UrgentTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16055707
For Residential Development,700 sq.m.,,Armavir › Dasht,"$6,000",USD,"Plot of land in Taza Dachek of Ejmiatsin field village, 700 square meters, there are houses on the sides, there are houses attached to the part under the residential land, I will exchange a canal for a car (field village on Ashtarak road)Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16780656
For General Purpose,1000 sq.m.,,Armavir › Echmiadzin,"$2,500",USD,1000 square meter plot of land near the house in Griboyedov village near Etchmiadzin.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18307423
For Residential Development,200 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Parakar,"$15,000",USD,"A plot of land for sale in Parakar, 300 square meters with all utilities, the street is paved, there is a 3x12 house on the land, renovated with electricity and water.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18572639
Agricultural,3850 sq.m.,,Armavir › Aygek,"$18,000",USD,"Կոդ` B-22841Վաճառվում է գյուղատնտեսական նշանակության հողատարածք Այգեկ գյուղում: Ունի ոռոգման ջուր։ Մնացած կոմունալ հարմարությունները մոտակայքում են։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։An agricultural meaning plot for sale in Aygek Village. The plot has irrigation water․ The other communications are nearby.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_18-21,https://list.am/en/item/14711504
Agricultural,9200 sq.m.,,Armavir › Merdzavan,"$100,000",USD,Code K153Arable land for sale in Merdzavan. Very suitable for building greenhouses and hangars. Partial sale is also possible.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18554439
Agricultural,5000 sq.m.,,Armavir › Echmiadzin,"$18,500",USD,"Բերքատու այգի է, առկա են հիմնականում դեղձի, Վիկտորիա սալորի ծառեր, կան նաև սև սալորի, խնձորի, ծիրանի, սերկևիլի, գիլասի, նեկտարինի, ընկույզի և այլ ծառեր։ Առկա է ջրհոր և էլ հոսանք՝ սեփական ոռոգման համակարգ։",Dec-12-2022_18-21,https://list.am/en/item/15163376
For Residential Development,400 sq.m.,,"Улица Максима Горького 64, Армавир","$8,000",USD,"Продаю землю для жилого дома есть чертёж, проект утверждён в исполкоме для двухэтажного дома. Проходит газ, свет, рядом жилые дома.",Dec-12-2022_18-21,https://list.am/en/item/18313513
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$19,000",USD,"The plot of land is 405 square meters, it is corner, it is fenced, in front of the land there is an area of 320 square meters, which is also fenced, there are planted trees on the land. Gas, sewage, electricity, water pass directly near the plot. The price is negotiable.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18651297
For Residential Development,"12,000 sq.m.",,Armavir › Myasnikyan,"$12,000",USD,"Bring slippery ground, the basement is ready.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17817702
For General Purpose,4700 sq.m.,,"Իսահակ Գասպարյանի փողոց 56, Երևան","$80,000",USD,"Also, the plot for partial sale has two fronts and is located in the middle of Jellyfish and Otanavakayan.Arandzin for sale 2300 square meters 19m front 124m length rear front 18:3mTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16329417
Agricultural,"138,000 sq.m.","Electricity, water supply, sewerage",Armavir › Norakert,"13,000,000 ₽",RUB,"Pea gardens - 7.5 hFruit trees: Poppy and black plum - 4.0 h, apricot - 0.6 h, 3 h.Structures: Barn - 70 m2, roof - 100 m2, 3-room one-story house 70 m2, constant drinking water, 3-phase electricity, with sewage well, roof - 75 m2, 2-story summer house in the center of the garden, with drinking water.Own tractor, tractors, plough, sprayer...The price is 13,000,000 rubles ($200,000) or AMD equivalent. Partial sale is possible. Are admitted to YerevanExchange options and offers with an equivalent apartment in the center.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17519920
Agricultural,2750 sq.m.,,Armavir › Arevashat,"40,000,000 ֏",AMD,"The land is for sale, 2750 m/sq. , of which 2450 m/sq. Is a greenhouse, it has electricity, permanent water (from a deep well) 48m/sq. Foundation for a house.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18479744
Agricultural,"25,000 sq.m.",,Armavir › Echmiadzin,"$110,000",USD,"The garden is full of fruit trees, we get 12 tons of crops only from plum trees in the garden, 8 tons from peach trees, there is a sign tree in the garden, cherries, etc.The land is in an ideal location, which you can later use for business purposes (hotel, restaurant, outside the city, inside the city - recreation area) is a small tractor (for agricultural work) and micro bus (Reno) The land has drinking and irrigation water. For more details you can call.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16731525
Agricultural,6200 sq.m.,,Armavir › Aygek,"$20,000",USD,"SHAT URGENT Land for sale in Aygek village, near MerdzavanRural significance, 6200 square meters.For details, call the indicated numbersTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18052225
For Residential Development,1000 sq.m.,,Armavir › Armavir,"$3,500",USD,"1000 square meters for sale. Land near the house Armavir region, Echmiadzin region, Baghramyan village. For details, call the indicated phone number. (price is negotiable)Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17718918
For Residential Development,1000 sq.m.,,Armavir › Armavir,"$3,500",USD,"URGENT! 1000 square meters for sale. Land for residential buildings in Armavirir marz, village Baghramyan. For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17718930
For General Purpose,1300 sq.m.,,Armavir › Argavand,"$120,000",USD,"Land near the house is for sale in Argavand, Tairov. It is a flat area of 80 square meters. M. Building (bisetka), all utilities are available, has 22m frontage, sewer, drinking water, electricity, has 2 entrances, suitable for 2 separate houses with different entrancesTo build. 1300 sq. M. Is near the house. M.Also, exchange for an additional fee on your part, with a car, fenced on 4 sides. Only real buyers should call, the price is final.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18494521
For Residential Development,600 sq.m.,,Armavir › Parakar,"$26,000",USD,A plot of land in Paraksrum is for sale.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18226567
For Residential Development,1150 sq.m.,,Armavir › Geghakert,"$6,700",USD,"A plot of land near the house is for sale in Geghakert village. The land is located close to the road, the irrigation water is 50m. It is far away.Call for details.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18533753
Agricultural,"28,000 sq.m.",,Armavir › Echmiadzin,"$45,000",USD,Վաճառվում է խաղողի այգի Տարոնիկ համայնքում 2.8 ՀԱմիջին բերքատվությունը 40-50 տհնարավոր է ապառիկ,Dec-12-2022_18-21,https://list.am/en/item/11275589
Agricultural,1500 sq.m.,,"Hanrapetutyun street, Armavir","4,000,000 ֏",AMD,"There are 9-year-old productive apricot and cherry trees.It is located on the Armavir Arevik railway road, near 2 nasrs.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18135560
Agricultural,"28,000 sq.m.",,Armavir › Echmiadzin,"$30,000",USD,"Վաճառվում է 2.8 հեկտար հողատարածք Ջրառատ գյուղի մոտակայքում, որից 6000 մետրը Սև գետի ջրով լիճ է։ Հողատարածքը հարմար է ձկնարտադրության համար։",Dec-12-2022_18-21,https://list.am/en/item/14334557
Agricultural,"30,000 sq.m.",,"Baghramyan street, Armavir","20,000,000 ֏",AMD,"For sale or in exchange for a car, 3 hectares of land in Dalarik village of Armavir. Has irrigation water, no water problem at all. He planted 810 plastered apricot trees, they are 3 years old. Call for all questions.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18136186
For Residential Development,860 sq.m.,,Armavir › Echmiadzin,"$14,000",USD,"There is water, gas, electricity in the area adjacent to the land, the land is near the house, it is 2 km away from the city of Echmiadzin, the land is located in K. Etchmiadzin G. Golden pieceTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18187298
Agricultural,5600 sq.m.,,Armavir › Norakert,"$17,000",USD,"4000 m, apricot orchardThe rest is arable landThe whole land is fencedHas irrigation waterIt is 200 meters away from the residential areaTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17637161
Agricultural,2200 sq.m.,,Armavir › Parakar,"$15,000",USD,"I am selling an agricultural land, it has two fronts, 2200 sq. M. M:Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17606993
For Residential Development,1200 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Haykashen,"$3,000",USD,"Close to the house, possibility of gas and water.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18490375
For General Purpose,1000 sq.m.,,"Հակոբ Պարոնյանի փողոց 10, Ծաղկունք","$12,000",USD,"There are fruit trees (apricot, peach, apple, etc.) in most of the land, there is no problem with irrigation. The land is suitable for any purpose.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17471173
Agricultural,7000 sq.m.,,Armavir › Echmiadzin,"$15,500",USD,"An apricot orchard with two-year-old trees on half a hectare is for sale.More than 3,000 meters of garden with 20-year-old poppy and apricot trees remained. Beautiful view of Masis mountain.Ara mountain Aragats mountainSuitable for all kinds of activities, potatoes, etcIn the new garden there is (alfalfa) to be harvested 4 times a yearIt is located on the top of the soil, drip irrigation is possibleExchangeTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16992513
Agricultural,"17,000 sq.m.",,Armavir › Echmiadzin,"$42,000",USD,"The land is located behind the Zvartnots Cathedral. It has irrigation water, drinking water is very close, electricity is close, close to Voskehat school, one hectare seven thousand meters. NegotiableTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17959210
Agricultural,900 sq.m.,,Armavir › Musaler,"3,000,000 ֏",AMD,"It is very suitable for changing the house, 14m front 65m length, it is on the road to Arevashat, there are newly built apartments next to the land, gas, electricity, water, it runs across the land, close to Musaler School, Kindergarten, hurry up and I will pay the price for it. NegotiableTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17960681
For Residential Development,750 sq.m.,,Armavir › Musaler,"$16,000",USD,"-Մուսալեռում վաճառքի հող-Երևանից 15 կմ հեռավորության վրա է-Հարմար է բակով տուն կառուցելու համար-Տերը ես եմ-Լրացուցիչ տեղեկությունների համար, ես ուրախ կլինեմ պատասխանել ձեր զանգերին:Կա նաև մեկ այլ վաճառքի նույն չափի հող, որը մնում է այս հողին.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16424139
For Residential Development,1000 sq.m.,,Armavir › Arevashat,"$28,000",USD,"Продается земля с постройкой,10 сот земли, постройка 240 кв. МЗемля находится рядом с Мусалер, по соседству с Аэропортом Звартноц",Dec-12-2022_18-21,https://list.am/en/item/18120220
For General Purpose,2700 sq.m.,,Armavir › Mrgastan,"$4,000",USD,Call for details. I will exchange it with a car Lada 2114 priora. In good condition with Mersers bemveTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/16480082
For Residential Development,600 sq.m.,,Armavir › Armavir,"4,000,000 ֏",AMD,"Merdzavan village, Armavir regionTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16088327
For Residential Development,"20,000 sq.m.",,"Էջմիածին փողոց 1, Պտղունք","$200,000",USD,A plot of land near the house is for saleThe cost of a square meter is ten dollars.It is thirty thousand square metersThere are no fruit treesThird lineTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18308333
Agricultural,8800 sq.m.,,Armavir › Echmiadzin,"$12,000",USD,"Գ. Շահումյան, ընդհանուր համատեղ սեփականության իրավունքով, գյուղատնտեսական նշանակության վարելահող, ջրովի, ունի ոռոգման համակարգ: Ընդհանուր մակերեսը՝ 8800քմ:",Dec-12-2022_18-21,https://list.am/en/item/14135470
For General Purpose,6130 sq.m.,,Armavir › Echmiadzin,"$95,000",USD,"Privatized land at the beginning of Echmiadzin, Yerevan Armavir road, with 130 m frontage, adjacent to the highway. Price negotiableUrgentTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16011391
Agricultural,"25,000 sq.m.",,"Nalbandyan-Argavand road 1, Pshatavan","25,000,000 ֏",AMD,"A grape orchard is for sale in Argavand village of Armavir marz. The area of the park is 2.5 hectares, there is a possibility to increase the plot of about half a hectare from two parts of the park. Convenient water valves are installed for easy watering and the garden is divided into 2 parts.The garden is equipped with metal columns, pipes, crutches /tavrik/ and ropes (rail, rope) The garden is arched, table grape varieties grow (itsamptuk, long istamptuk, Armenia, white and red kishmish, rzamat, cardinal) There is a normal road on both sides of the park, an anti-hail station is located 50 meters away.The initial price of the garden is negotiable. It is also possible to sell on a contractual basis or to rent.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18420815
Agricultural,2600 sq.m.,,Armavir › Parakar,"$23,000",USD,"It is located not far from the bio pond, near the palace, exchange with the carTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17638192
Agricultural,"10,000 sq.m.",,Armavir › Ptghunk,"$30,000",USD,Zvartnots airportis located nearby.The area is more than 1 hectare.Can be used for agricultural purposes.There is irrigation water.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17497632
For Residential Development,400 sq.m.,,Armavir › Armavir,"$6,000",USD,"Վաճառվում է տնամերձ հողատարածք պաժառնու մոտ ճանապարհի վրա գազ, լույս, ջուր անցնում է անմիջապես կողքով",Dec-12-2022_18-21,https://list.am/en/item/18084978
For Public Buildings,800 sq.m.,,"Մաքսիմ Գորկու փողոց, Արմավիր","$20,000",USD,Near the house 800mImmediately to Gorky's leftNear the car washTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18300806
For Residential Development,760 sq.m.,,Armavir › Parakar,"$16,300",USD,It has all utilities close to the central street! There is a possibility of a reward option with an advance payment very quickly!Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17924954
For Residential Development,405 sq.m.,,Armavir › Echmiadzin,"$16,000",USD,"Land near the house for saleAddress K. Echmiadzin Charents district Land 405 square meters first lineGas, water, lightCall for detailsCode E080Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/14559666
Agricultural,5500 sq.m.,,Armavir › Sardarapat,"55,000,000 ֏",AMD,"5.5 hectares of land is for sale in Sardarapat village. It is an orchard, 1500 square meters of which are black and Victoria plums. The rest is a vineyard. There are 3 irrigation options.For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18115380
Agricultural,2200 sq.m.,,Armavir › Armavir,"$15,000",USD,Suitable for sowing all kinds of fruits and vegetables. Next to the water pipe.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/16278676
For Residential Development,946 sq.m.,,Armavir › Armavir,"$10,000",USD,The foundation of the house is 125 square meters.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/16278687
Agricultural,"10,000 sq.m.",,"Mesrop Mashtots street 48, Vagharshapat","$9,000",USD,Agricultural land for sale. I will specify the exact address after callingTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18091870
For Residential Development,690 sq.m.,,Armavir › Musaler,"8,000 ֏",AMD,"It is located in Ptghunk village, adjacent to Musaler community, the total area is 690 sq/m. Land for residential buildings in Musaler.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18473590
For Residential Development,500 sq.m.,,Armavir › Parakar,"$25,000",USD,"Everything is fenced, it has all the possibilities of light, water, gas, the street has night lightingTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18333606
For Residential Development,1000 sq.m.,,"Բարեկամության փողոց 22, Ոսկեհատ","$26,000",USD,"1000 sq. M. Land is for sale in Voskehat village of Armavir region. The land is fenced, has drinking and irrigation water. It is electrified. In the land there are 30 sq. M. Closed and 30 sq. M. Open buildings, 40 sq. M. Barn, bathroom and 50 fruit trees.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16672668
For Residential Development,600 sq.m.,,Armavir › Parakar,"6,000,000 ֏",AMD,Near Parakar and Musaler wine factoryTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18097029
Agricultural,3000 sq.m.,,"1-ին փողոց, Ոսկեհատ","3,000,000 ֏",AMD,"To discuss in detail, call the number listedIt is only 16 kilometers from the center of YerevanTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17915653
For Residential Development,870 sq.m.,,"10-րդ փողոց 1, Նորակերտ","$8,700",USD,"LAND is located on 24th Street (accidentally entered 10th Street and cannot be changed)Flat plot,Electricity and water close to the plot,Residential block,Urgent.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18570569
For Residential Development,500 sq.m.,,Armavir › Tairov,"$25,000",USD,"A plot of land near the house totaling 500 square meters is for sale, gas and water supply are nearby, the price is negotiable. In case of questions, call the indicated phone numbers.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18349275
Agricultural,"200,000 sq.m.","Electricity, water supply, natural gas, sewerage","Էջմիածին փողոց, Պտղունք","$150,000",USD,"Վաճառվում է մեծ հողատարածք՝ պտղատու ծառերով, Էջմիածնում:Վաճառվում է ամբողջական 20 հեկտար գյուղատնտեսական նպատակներով օգտագործման համար նախատեսված հողատարածք: Հողատարածքը ունի բոլոր անհրաժեշտ կոմունիկացիաները: 5 հա տարծաքի վրա առկա է ծիրանի այգիներ, 5 հա հողատարածքում առկա է խաղողի այգիներ:Հողատարածքը գտնվում է Շահումյան գյուղում։ Գտնվում է ճանապարհի հարևանությամբ՝ Երևանից 25 կմ հեռավորության վրա։ Հողը շատ բերրի է։ Հարևանությամբ կան այգիներ և ինքն էլ հարմար է այգեգործության ու բիզնես գործունեության համար: Հողակտորի երկայնքով առկա է գազի խողովակ և ոռոգման ջուր։ Հողատարածքը գտնվում է գլխավոր ճանապարհի վրա:Հարցերի դեպքում կարող եք թողնել հաղորդագրություն կամ զանգահարել նշված հեռախոսահամարներով՝Продается большой участок земли с фруктовыми деревьями. Земля имеет все необходимые коммуникации.Полная 200 000 кв / м земли сельскохозяйственного назначения для продажи. На площади 5 га расположены абрикосовые сады, на 5 га земли - виноградники.Вид права: Собственность. Земельный участок находится в селе Шаумян. Он расположен рядом с дорогой. (25 км от Еревана) Земля очень плодородная. В окрестностях есть парки, и это удобно для садоводства и ведения бизнеса. По участку есть газовая труба и поливная вода. Земля расположена на главной дороге. Цена 155000 долларов.Agricultural Land area 200.000 sq. M.Exclusive price - less than 0.8 cent per square meterThe land is located near Shahumyan village (25 km away from Yerevan) The soil is very fertile. There are gardens nearby, and it is suitable for gardening and business activities. There is a gas pipe along the plot, main pipes for irrigation water, a large irrigation canal. The land is located on the main road, has a large front.",Dec-12-2022_18-21,https://list.am/en/item/18189658
For Residential Development,2000 sq.m.,,Armavir › Echmiadzin,"$11,000",USD,"A separate sale of 1000 meters is also possible. Without an intermediary. Urgently, a plot of 2000 square meters near the house is for sale in Dasht village of Echmiadzin region (Pokr Oshakan) The house is provided with constant irrigation water, there are all the conditions of drinking water, electricity and gasification.It is also suitable for establishing an orchard, a greenhouse.With a view of Masis.For more information callSeparate sale by 1000 meters is also possiblePrice: NegotiableEjmiacin dasht dashtum Ejmiatsin ejmiacinum ejmiatsinumTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/15694011
For Residential Development,1000 sq.m.,,Armavir › Musaler,"$23,000",USD,"Code: 68914About 5 km away from the South Armtyan district of Yerevan, at the beginning of Musaler village, a 1000 sq. M. Land is for sale near the main road. There are two cottages on the land, about 30 square meters, a basement of 4 square meters. There is electricity and drinking water in the cabin. The gas passes in front of the cottage.The commission of the agency is 2%, an exhibition contract is signed for the exhibitions. Please have your ID.The commission of the Real Estate Agency is 2%. For showing the real estate a contract is signed. Please have passport, ID or driving license with You.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17852358
Agricultural,3600 sq.m.,,"Սայաթ Նովա փողոց, Ոսկեհատ","2,250,000 ֏",AMD,"The land is of agricultural purpose, on the road from Ostrovsky street of Zvartnots private houses to Voskehat village.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18186164
For Residential Development,1000 sq.m.,,Armavir › Tsaghkunk,"$5,500",USD,Վաճառվում է տնամերձ հողատարածք։Հարցերի համար զանգահարել հեռախոսահամարներին։ ՍակարկելիПродаётся земляной участок для жилой застройки. Возможен торг. Для вопросов звонить по телефону,Dec-12-2022_18-21,https://list.am/en/item/17117174
Agricultural,4200 sq.m.,,Armavir › Aghavnatun,"$5,000",USD,Khakhokh garden Anahit varietyTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/12942997
For Industrial Use,3100 sq.m.,,Armavir › Musaler,"97,000,000 ֏",AMD,"Brand new 1250 sq. M. Greenhouse with square tube, perfectly assembled, water pierced, three-phase electricity, gas, heating system, complete with legal papers, cooling system 6 pcs.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/17896433
Agricultural,8000 sq.m.,,Armavir › Norakert,"$20,000",USD,"At the moment, the plot of land is empty, it was once an apricot orchard.It is close to the Yerevan-Echmiadzin highway.It is suitable for agricultural (trees, greenhouse) and other industries.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18519806
For Residential Development,1159 sq.m.,,"43-րդ փողոց 17, Արմավիր","$7,000",USD,"Armavir 41 street 28 plot, the plot is exchanged only with an animal or a car for an additional fee.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/16837046
For Residential Development,700 sq.m.,,Armavir › Armavir,"$12,000",USD,"A plot of land near the house is for sale in the village of Aygek, Armavir region, the next village of Merdzavan is 7 km from Argavand, about 8 km from HAT. Aygek can be reached by route number 205, which goes from Erebuni. In Aygek village of Armavir marz (adjacent to Merdzavan village) land near the house urgently, drinking water is harvested, electricity is nearby, gas. Residential houses around. Urgent. Urgently, 7km from Argavand near the cityTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/7386474
For Residential Development,800 sq.m.,,Armavir › Armavir,"$6,500",USD,"The land is located in Armavir city, Bambakashat village, 800 sq. M. Complete orchard. It is a vineyard. It has a very convenient location for building a private house.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/5750088
For Residential Development,1020 sq.m.,,"Երիտասարդության փողոց, Մերձավան","$15,000",USD,"A plot of land is for sale in Merdzava, it has drinking water, gas, electricity, it has a building foundation. The land is located 200 m from the road. At a distance.Very urgent, negotiable.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18344659
For Residential Development,1020 sq.m.,"Electricity, water supply, natural gas, sewerage","1-ին փողոց 54, Մերձավան","$13,000",USD,"A plot of land is for sale in Merdzavan, it has drinking water, gas, electricity, it has a building foundation.The land is located 200 m from the road. At a distance.It can also be exchanged for a car for an additional fee.Urgent, negotiable.Translated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18587402
Agricultural,"10,000 sq.m.",,Armavir › Armavir,"$40,000",USD,Land for sale in Sargis village of Armavir.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/13325278
Agricultural,7000 sq.m.,,Armavir › Armavir,"$18,000",USD,"Վաճառվում է հողատարածք 1,4 հա Արմավիրի մարզ Նոր Արմավիր գյուղի կենտրոնական ճանապարհի ձախ մասում քարե հոլիկ կոչվող տեղամասում, որի մեջ խաղողի այգին 1 հա 6 տարեկան, և 0,4 հա ծիրանի այգի 4 տարեկան: Գինը պայմանագրային",Dec-12-2022_18-21,https://list.am/en/item/15890516
,1300 sq.m.,,Armavir › Armavir,"$2,000",USD,Զարթոնք (Ղամշլու) գյուղում հողամաս սեփականաշնորհում 1300 m'2,Dec-12-2022_18-21,https://list.am/en/item/15750874
For Residential Development,480 sq.m.,"Electricity, water supply, natural gas, sewerage",Armavir › Echmiadzin,"$35,000",USD,"There is a half-built structure with the foundation poured and the walls erected.It is fenced, the street is paved.There are fruit trees.Price negotiableTranslated from Armenian",Dec-12-2022_18-21,https://list.am/en/item/18655706
For Residential Development,1200 sq.m.,,"Araratyan street, Arevashat","$6,500",USD,A plot of land near the house is for sale. The plot of land with an area of 1200 sq/m has been fenced with concrete works.Translated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/18609218
For General Purpose,2600 sq.m.,,"Mesrop Mashtots street, Vagharshapat","$6,000",USD,For more information callTranslated from Armenian,Dec-12-2022_18-21,https://list.am/en/item/17973510
