Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Parking,Construction Type
Hotel,1000 sq.m.,"Ախուրյանի խճուղի, Գյումրի","$170,000",USD,"Հյուրանոցային համալիր, արտադրամաս (տեքստիլ, պլաստմասի արտադրամաս), պահեստ, կլինիկա, հիվանդանոց, լողավազանՎաճառվում է հյուրանոցային համալիր, հյուրանոցային համալիրն ունի նախատեսված 17-19 համարներ, 120քմ հանդիպումների դահլիճ 4.5մ բարձրությամբ, առանձնացված մեծ լողավազան 120քմ, որտեղ հնարավոր է կառուցել բացօթյա ավտոկայանատեղի 40-50 մեքենայի համար, 2-րդ հարկի միջանցքի պատերը ամբողջությամբ երեսպատված ֆեռզիտ տեսակի քարով:Շենքն ամբողջությամբ ապահովված է ՆՈՐ մոնտաժված` Մշտական ջրամատակարարումով, կոյուղի (канализация), առկա է 30ԿՎ եռաֆազ հոսանք, գազամատակարարում, Հեռախոս, ինտերնետ հասանելիություն, անվտանգության համակարգով և տեսախցիկներով:Առկա է նաև բիզնես պլան նախնական հաշվարկներով, նախատեսվելիք ծախսերով և կանխատեսվող եկամտաբերությունով:Վաճառքի հետ նաև կտրվի ապագա հյուրանոցային բիզնեսի ղեկավարման խորհրդատվություն, կառավարման փորձի փոխանակում ինչպես նաև մարքեթինգային խորհրդատվություն:Hyuranoc, hyuranocayin hamalir, klinika, hivandanoc, mankapartez, restoran, artadramasartadramas, pahest, teqstilЦентр программирования:В Гюмри, Трехэтажное здание, подходящее под центр программирования, программирование, центр компьютерного программирования, офис работа, логистический центр, офис.Индивидуальная система отопления, постоянная вода, газ, охрана, видеокамера, БЕСПЛАТНЫЙ оптоволоконный интернет, wi-fi, собственная парковка, центральный рынок, есть все необходимые магазины.Возможен торг при долгосрочной арендеProgramming Center:In Gyumri, Three-storey building suitable for programming center, programming, computer programming center, work office, logistics center, office.Individual heating system, constant water, gas, security, video camera, FREE fiber optic internet, wi-fi, private parking, central market, all necessary shops.Negotiable for long term lease",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/15636105,,Stone
Functioning Business,100 sq.m.,Shirak › Gyumri,"$61,500",USD,"Operating business, gas station for sale. The gas station is equipped with all the necessary accessories, sells gasoline and diesel, has an auxiliary building that can be used for a store or any other activity. The location of the gas station is very convenient, it has many opportunities to develop and increase profitability at this time. Call for detailed information.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18162233,,Cassette
Multifunctional Space,400 sq.m.,"Վազգեն Սարգսյան փողոց 19/7, Գյումրի","73,000,000 ֏",AMD,"A newly built communal multi-functional real estate with all amenities is for sale on Vazgen Sargsyan Street, next to the 19th school, in front of the dormitory, heating system, floor heating of the entire building, three-phase current, 250 square meters of building, 150 square meters of adjacent land, 55 meters of parking space. Possibility to add two more floors.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18066530,,Stone
Retail Space,48 sq.m.,"Isahakyan street, Gyumri","$28,000",USD,Own commercial space with all amenities for sale. The area includes a stone building of 48 square meters. The space is for rentTranslated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18249809,,Stone
Functioning Business,170 sq.m.,"Gorki Street, Gyumri","$300,000",USD,"Commercial property for sale near Gyumri square, 1st line, of public significance,overhauled, suitable for various activitiesnow works as a restaurant.Call for other questions.Code 3319Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17523988,,Stone
Everything Else,15 sq.m.,Shirak › Maralik,"160,000 ֏",AMD,Продается деревянный домик,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17411807,,Wooden
Retail Space,120 sq.m.,"Проспект Победы, Гюмри","$135,000",USD,"Продаётся 3 этажеое строение, в центре Гюмри, около рынка и от всех автобусных остановок. Первая линия, очень оживленное место, хорошо отремонтированная, все этажи сданы в аренду. Срочно!",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18515097,,Monolith
Retail Space,60 sq.m.,"Տրդատ Ճարտարապետի փողոց 12/10, Գյումրի","$25,000",USD,"Commercial space in the basement of a monolithic building is for sale. Located on the front line. It has a separate entrance, bathroom, utility facilities, tiled floor. The price is negotiable. For more information call.Translated from Armenian",Dec-12-2022_20-39,Partial Furniture,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18710173,,Monolith
Industrial and Manufacturing,2710 sq.m.,Shirak › Hatsik,"$45,000",USD,"Վաճառվում է հացի արտադրամաս բոլոր սարքավորումներով (փեջեր, խմորհունձի մեքենա իր թեժերով, առկա են թավաներ) : Կա նաև Քիրփիչից փուռ 12 քմ: Կա նաև անասնագոմ: Մանրամասների համար զանգահարել։",Dec-12-2022_20-39,Available,Not available,Second Line,Separate from the Street,,,,,https://list.am/en/item/15080669,,Stone
Automotive Service,3140 sq.m.,"Շառա Տալյան փողոց, Գյումրի","$155,000",USD,An existing business at the intersection of Shara Talyan and Khrimyan Hayrk streets is for sale.The total area is 3143 square meters. M.Buildings 683 sq. M.1 q. M. It will cost $50Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18052535,,Stone
Office Space,60 sq.m.,Shirak › Gyumri,"$50,000",USD,Продается в центре города саяат нова или обмен на машину,Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17381981,,Stone
Building,400 sq.m.,"Gorki Street, Gyumri","$50,000",USD,"Возле железнодорожного вокзала СРОЧНО продается каменное здание коммерческого назначения, земля собственная. Идеально подойдет под гостиницу. По вопросам звоните. Отдельно перед зданием есть и собственная земля 100м/кв (14×5.75)",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17908517,,Stone
Restaurant,300 sq.m.,"Yerevan Highway, Gyumri","$300,000",USD,"""KARCACHAN"" RESTAURANT COMPLEX IS FOR URGENT SALE.The area includes:The restaurantHotel:BisedkasSauna3-storey newly constructed buildingFruit treesArtificial lakeThe price is negotiable. The area is located next to the north-south highwayTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18290689,,Stone
Industrial and Manufacturing,65 sq.m.,"Երևանյան խճուղի 139Ա, Գյումրի","$5,500",USD,Bakery for sale or exchange with all its conveniences can be sold as an areaTranslated from Armenian,Dec-12-2022_20-39,Available,Not available,Second Line,Common from the Courtyard,,,,,https://list.am/en/item/12597106,,Stone
Functioning Business,800 sq.m.,"Vazgen Sargsyan street, Gyumri","$85,000",USD,"For sale with an existing greenhouse with a yard and a stone building. The area of the greenhouse is 800 square meters, it consisted of 2 parts, there is a gas heating system. There is also a drip irrigation system. Price is negotiable!Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/12218801,,Stone
Industrial and Manufacturing,2834 sq.m.,Shirak › Maralik,"$80,000",USD,"The building is 2834.24 square meters. It is 3-storey, has 720 square meters. Basement, with 0.3228 hectare land, needs renovation.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15973472,,Stone
Industrial and Manufacturing,6000 sq.m.,"Ախուրյան խճուղի, Ախուրյան","130,000,000 ֏",AMD,"Production space (former dairy factory) is for sale. Land: 30,000 square meters and the building - 6,000 square meters. All utilities are available.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18693237,"Outdoor parking, covered parking, garage",Panels
Retail Space,124 sq.m.,"Շահումյան փողոց, Գյումրի","17,000,000 ֏",AMD,A commercial space is for sale in the city of Gyumri. The first line of Shahumyan Street. It is suitable for carrying out various activities.Translated from Armenian,Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18693392,Outdoor parking,Stone
Retail Space,205 sq.m.,"Ղանդիլյանի փողոց, Գյումրի","32,000,000 ֏",AMD,"A commercial space with an area of 205 square meters is for sale on the first line of Ghandilyan Street in Gyumri, which consists of 4 separate shops. For sale complete, not for partial sale.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18693402,Outdoor parking,Stone
Office Space,702 sq.m.,"Շիրակացի փողոց, Գյումրի","40,000,000 ֏",AMD,"Office and production space is for sale on the 2nd line of Shirakatsi str. , Gyumri city. The land area is 2000 square meters. The building consists of 2 floors.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/18693467,Outdoor parking,Stone
Retail Space,200 sq.m.,Shirak › Artik,"$250,000",USD,"Call for details, price negotiableTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/16655400,,Stone
Retail Space,130 sq.m.,"Mayakovski Street, Gyumri","$110,000",USD,Two-storey shopping center is for sale on Tigranyan street (Lachin corridor) in Gyumri. In one of the busiest parts of the city.It also has a basement.Basement_50 squareFirst floor - 40 square metersSecond floor 40 squareThere is no bathroom in the area.For more information call.Code 1213Translated from Armenian,Dec-12-2022_20-39,By agreement,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/17998366,,Stone
Functioning Business,600 sq.m.,"Vazgen Sargsyan street, Gyumri","$40,000",USD,"A glass greenhouse equipped with a drip irrigation system. There is an auxiliary building attached.The price is negotiable.For more specific details, please call.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18371095,,Stone
Functioning Business,1600 sq.m.,Shirak › Horom,"$85,000",USD,"Wedding hall restaurant with separate banquets for sale in Horom villageyou can for different purposes1600m total area600 square meters construction areaThe tonratun has a separate toilet, storage, large comfortable toilets inside or outsideIt is fully heated, has constant gas, light and water supplyIncludes property, ready-made businessTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/11286018,,Stone
Multifunctional Space,850 sq.m.,Shirak › Gyumri,"$500,000",USD,Почти в центре города! На Гарегина Нжде 7/24 рядом строються дома квартиры от застройщика!,Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17496569,,Stone
Office Space,150 sq.m.,"Aram Khachatryan Street 10, Gyumri","$80,000",USD,"58, in the back of the Pedagogical school. For details, call the specified phone number.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Common from the Street,,,,,https://list.am/en/item/18545368,,Stone
Multifunctional Space,802 sq.m.,"Hansoglyan Street, Gyumri","$42,000",USD,"It is very suitable for building a guest house, the right and left sides of the container are non-residential.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18141913,,Stone
Functioning Business,30 sq.m.,Shirak › Gyumri,"$22,000",USD,"Has a three-phase electricity, water and sewerage. Exchange with a car is possibleTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17202964,,Bricks
Retail Space,100 sq.m.,Shirak › Anushavan,"$17,000",USD,"The building is located in front of the central intersection of the village, it was built according to modern construction standards, I will tell the rest of the details on the spot.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17208533,,Stone
Functioning Business,100 sq.m.,"Yerevan Highway, Gyumri","$60,000",USD,Վաճառվում է բենզալցակայան Ք. Գյումրի Երևանայան խճուղի հասցեում: Продается автозаправочная станция на Ереванянском шоссе в городе Гюмри.,Dec-12-2022_20-39,By agreement,Not available,Other,Common from the Street,,,,,https://list.am/en/item/18518590,,Stone
Everything Else,555 sq.m.,"Shahinyan St, Maralik","$5,500",USD,Манрамаснерн зангов верчнакан Гин,Dec-12-2022_20-39,Not available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/16389683,,Stone
Everything Else,2000 sq.m.,Shirak › Maralik,100 ֏,AMD,For sale. Suitable building for different business spheres. Telephones work along the building. With a certificate of ownership!Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/13207219,,Panels
Retail Space,118 sq.m.,"Baghramyan street, Artik","$25,000",USD,"Продается в самом центре города Артик коммерческое помещение площадью 118,45 кв. М. Вместе с землей площадью 300 кв. М.! Помещение и земля находятся в собственности! Все документы на коммерческое помещение и землю имеются! Помещение оснащена всеми коммуникациями: Электричеством, водой, канализацией! Подробности по телефону: 8 (905) 010-05-65",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18164795,Outdoor parking,Stone
Multifunctional Space,654 sq.m.,"Շիրակացու փողոց, Գյումրի","$87,000",USD,"Адрес: Ширакаци 25, перед рестораном «Двин» (за колесным магазином «Вианор»)35.000.000 драм, возможно обмен.С документами все в порядке. Возможна покупка через банк, ипотечный кредит.Завод, который можно использовать в коммерческих целях (очень подходит для молочного производства, гостиницы, гостевого дома) или в качестве жилого дома.Всего около 650 кв. М. , из которыхОсновное здание 151,63 кв. М. ,Вспомогательное здание 59,03 кв. М. ,Двор около 440 кв. М.Есть электричество, газ, вода, трехфазный ток, система безопасности.",Dec-12-2022_20-39,Not available,Not available,Second Line,Separate from the Street,,,,,https://list.am/en/item/18653506,Outdoor parking,Stone
Retail Space,40 sq.m.,"Sayat Nova, Gyumri","$30,000",USD,"The area is completely renovated. There is a video surveillance system, a new security system and Utilities: Acted as a clothes salon.With the Advent of Theater.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17970907,,Cassette
Functioning Business,5000 sq.m.,"Օդանավակայանի 3-րդ թաղամաս 39, Գյումրի","$96,000",USD,"A production facility with all facilities, a newly built building for a poultry farm, can be converted to establish another producer.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Common from the Street,,,,,https://list.am/en/item/18573699,,Stone
Office Space,165 sq.m.,"Սուրեն Մատնիշյան փողոց 151, Գյումրի","$150,000",USD,"THE SPACE IS PROVIDED ON A RENTAL BASIS IF YOU WANT TO PAY THE RENT TO YOU...A public building is for sale or rent in the center of the city, 700 meters from the Square. The surface of the area is 165 square meters, of which 90 square meters is occupied by the building. The building has been thoroughly renovated, the entire area is tiled, iron and Euro doors, Euro triple-glazed windows have been installed. There are 2 tiled bathrooms, 2 kitchens and 3 halls in the building. There is a well-maintained yard at the rear of the building. The building is very suitable for use as an office, hairdressing salon, dental clinic, office and other purposes.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/11059643,,Stone
Retail Space,597 sq.m.,"Պուշկինի փողոց, Գյումրի","$460,000",USD,"A four-storey commercial building is for sale in the central part of the city, in front of UNIBANKI. The total area of the building is 597 sq/m, the land area is 248 sq/m. The area of the first, second, third floors of the area is 464 sq/m, the basement area is 133 sq/m. It is provided with all necessary communications. At the entrance, there are euro and iron doors, three-layer euro windows. The whole area is completely renovated, tiled and there is a tiled bathroom on each floor, an individual heating system is installed on each floor.There is a plot of land at the rear of the building. There are also many shops, restaurants, cafes nearby.THE AREA IS SUITABLE FOR ALL TYPES OF ACTIVITIES...IT IS POSSIBLE TO PROVIDE ALSO ON A RENTAL BASIS...Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17431731,Outdoor parking,Stone
Everything Else,380 sq.m.,Shirak › Mayisyan,"$25,500",USD,Semi-built container and car wash for sale. (wash ink)Translated from Armenian,Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18629959,,Stone
Multifunctional Space,2200 sq.m.,"Սավոյանի փողոց 7/1, Գյումրի","$210,000",USD,Unfinished Building for saleEach floor is 1100 m2For more information callPrice is CONTRACTUALTranslated from Armenian,Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/17450884,,Panels
Everything Else,70 sq.m.,"Եղիշե Չարենցի փողոց 1, Գյումրի","$40,000",USD,"An area with all communal amenities is for sale, can be used for different purposes, is located on Charents street, near 41 schools.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Common from the Courtyard,,,,,https://list.am/en/item/17270008,,Monolith
Retail Space,50 sq.m.,"Akhuryan Highway, Gyumri","$4,500",USD,"49.20 square meter metal shop (euro pavilion, kiosk) for sale, assembled with 3 mm thick metal sheets. It does not have any rusty or muddy places, it is in good condition, it is insulated from the inside. The front part is 8.20 meters and the width is 6.0 meters. Inside, there is a spare part with its metal door.It is possible to sell 200 sq. M. Մ. With privatized land. The two together $ 5000. He exchanges with a car.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/17176309,,Cassette
Retail Space,70 sq.m.,"Մուշ 2 թաղամաս 16/1, Գյումրի","$50,000",USD,"A new building is for sale near the square of Mush 2 district, it is suitable for office or trade service.Translated from Armenian",Dec-12-2022_20-39,Not available,Available,First Line,Separate from the Street,,,,,https://list.am/en/item/16621909,,Stone
Functioning Business,27 sq.m.,"Կայարանամերձ հրապարակ 1, Գյումրի","$3,500",USD,For sale գործող as a business and as a separate pavilion has a security system only the price of the pavilion is mentionedTranslated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/16516233,,Bricks
Agricultural Space,250 sq.m.,Shirak › Kaps,"10,000,000 ֏",AMD,"Livestock for sale in Kaps village. The cattle barn is in perfect condition, has all the necessary facilities: Permanent water, sewage, cameras to monitor the animals, etc. Call for detailed information.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18032954,,Stone
Retail Space,100 sq.m.,Shirak › Artik,"$65,000",USD,Two story grocery store for sale or rent.Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17308046,,Stone
Functioning Business,4500 sq.m.,"Այգաբացի 7-րդ շարք, Գյումրի","$45,000",USD,"A working poultry farm,The building is 300 square metersLand area 4500 square meters1400 chickens,Automated systemThere is an automated system for another 2,500 chickens.The total automated system for 4000 chickens.There is a half-built house in the construction area.27 panelsIt has utilities, electricity, waterAigabatz village, Shirak marzTranslated from Armenian",Dec-12-2022_20-39,Available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/18699205,Outdoor parking,Panels
Functioning Business,1700 sq.m.,"Bulvarain street, Gyumri","50,000,000 ֏",AMD,"URGENT... WITHOUT MEDIATOR... For sale... 1700 square meters of stone built area with 1200 square meters of land. There are 3 workshops in the area:1: Cheese,2. Sew,3: Carpet.There is a 36 square meter refrigerator area in the area.600 sq. M. Stone building HangarAs well as a 3-room renovated private house.For sale without property, only the area.The stone hangar, 4 m high, is also for sale PART BY PART.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Courtyard,,,,,https://list.am/en/item/14328949,,Stone
Retail Space,130 sq.m.,"Սաշա Գրիգորյանի փողոց, Գյումրի","$25,000",USD,"A trade and service facility is for sale, it is located next to the underpass connecting the station to the railway line. The total area is 130 square meters, the height of the semi-basement is 3m, it can be used as a warehouse, workshop, service hall. It is possible to exchange a car with an apartment for an additional fee. Also, exchange for a house in the nearby villages with its land. For the rest, call the following number.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/15351193,,Monolith
Agricultural Space,5000 sq.m.,Shirak › Artik,"$130,000",USD,"I will cooperate with the contributors. I will present a concrete business plan.A building for keeping 80 cattle and 100 pigs is for sale. In the area there is a house with all utilities, a shepherd's hut, a production area, etc. The total buildings are 1250 square meters. M. It is. The light is three-phase 20 kV, water is always free. Call for details.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17765343,,Stone
Retail Space,24 sq.m.,"Площадь Автовокзал, Гюмри","3,500,000 ֏",AMD,"Продаётся торговое помещение в районе автостанции, рынка. Очень высокий пешеходный трафик. В помещении сделан ремонт, проведено электричество. Установлен кандиционер, качественные стеклопакеты.",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17998374,,Cassette
Retail Space,70 sq.m.,"Պարույր Սևակի փողոց 3, Գյումրի","29,500,000 ֏",AMD,"Without an intermediary, a stone commercial area is for sale in P. On 3/37 Sevak Street, Located on the 1st line, suitable for any type of activity. The area is located in a very busy place, the total area of the area is 70 square meters, of which 18 square meters are lavash. The land is one's own, the building is one's own.I will negotiate the price for a real buyer after looking.I will also exchange for an apartment.The price is preliminary, we will agree after seeing... I will exchange mekenaneri hetTranslated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18424481,,Stone
Industrial and Manufacturing,3600 sq.m.,"Ձոր 1 թաղամաս 25/2, Երևան","$150,000",USD,A mine of tuff stone (tobacco and apricot) is for sale. The area is 36 hectares. The mine is located in Anipemza. Has a 50 year license. The price is negotiable.Translated from Armenian,Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18455607,,Stone
Industrial and Manufacturing,800 sq.m.,Shirak › Gyumri,"$33,000",USD,"Flour mill, Mill (мельница) Flour mill for sale, 700 kg of productivity per hour, 3 types (whiskey, 1,2) + bran, it is designed to increase and store the quality of flour, it is in perfect condition, only the flour mill is sold without a containerTranslated from Armenian",Dec-12-2022_20-39,Not available,Not available,Other,Common from the Street,,,,,https://list.am/en/item/18698069,Outdoor parking,Cassette
Multifunctional Space,18 sq.m.,Shirak › Marmashen,"450,000 ֏",AMD,"A 6-meter house is for sale, it is in very good condition. The sale is also possible together with the property / bed, table, sofa, closet /Translated from Armenian",Dec-12-2022_20-39,By agreement,Not available,First Line,Separate from the Courtyard,,,,,https://list.am/en/item/17831461,,Wooden
Industrial and Manufacturing,402 sq.m.,Shirak › Krashen,"65,000,000 ֏",AMD,"Shirak marz c. An existing business pedigree goat farm is for sale in Krashen. The farm includes a cattle shed with an area of 270 square meters, a cover for fodder of 100 m2, a hay mill, a feed mill, a feed mixer, a milking unit, a cheese making workshop with appropriate equipment, a residential house, pedigree goats (Zanenyan breed) 32 milking heads, 17 heads of goats, one head of goats. The goats were imported from abroad in 2017 and have all pedigree papers. The economy is functioning, the products, mainly cheese, are sold in Yerevan supermarkets. Price 65 million dramsTranslated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18404464,,Stone
Retail Space,90 sq.m.,"Խրիմյան Հայրիկ, Գյումրի","$39,000",USD,"Operating shop, has three-phase electricity, newly changed water and sewer. It is located next to the imperial restaurant.It is easy to exchange with a car up to $ 10,000Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/17949821,,Stone
Warehouse,55 sq.m.,"Ռասկատլյան փողոց 1, Գյումրի","$9,800",USD,"Two car garage for sale or rent. It has two entrances.The area is spacious and can be used for other purposes as well (warehouse, workshop, etc.)OWN BLESSED!Located in Sovkhoz district, near Magnat supermarket.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/18502814,,Stone
Retail Space,60 sq.m.,"Shahumyan street, Gyumri","$28,500",USD,"The area is located in the central part of Gyumri, in the area of the bus station, it is very suitable for opening a guest house and other businesses, the apartment is 3.10 m2, has a bathroom and a working room. , the passport is post-dated and has all its documents, it is possible to exchange it at your extra cost urgentlyTranslated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/15923362,,Stone
Everything Else,20 sq.m.,"Ստեփան Շահումյանի փողոց, Գյումրի","10,000,000 ֏",AMD,SeparatedTranslated from Armenian,Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18061169,,Panels
Industrial and Manufacturing,505 sq.m.,"Խրիմյան Հայրիկ, Գյումրի","$120,000",USD,"Commercial area for sale. The building area is 505 square meters. With 700 square meters of land. The building consists of several boxes. It was built after the earthquake. The roof is made entirely of iron, has its own 1000 mm sewer, its own water line and power substation.Translated from Armenian",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/17975131,,Stone
Automotive Service,100 sq.m.,"Կարեն Դեմիրճյան փողոց 4/2, Գյումրի","$60,000",USD,"An existing car service area is for sale in the backyard of GARAJ Rossia. The total area of the building is 100 sq. M., the land area is 155 sq. M. Car service salon ․․․Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/13662020,,Stone
Functioning Business,60 sq.m.,Shirak › Gyumri,"$16,800",USD,"The store is functioning, with the necessary equipment, has heating, refrigeratorsTranslated from Armenian",Dec-12-2022_20-39,Available,Not available,Second Line,Common from the Street,,,,,https://list.am/en/item/18634339,Outdoor parking,Stone
Industrial and Manufacturing,3000 sq.m.,Shirak › Arevik,"50,000,000 ֏",AMD,"A production area of rural significance is for sale or rent. It is suitable for building a slaughterhouse or for storing agricultural products.The area is 3000 square meters, of which 1000 buildings are 5 meters high (20m*50m) It is located in Arvik village of Shirak region, 5 km away from Gyumri city.Under construction next to the North-South road, very close to the airport.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18251339,,Panels
Retail Space,90 sq.m.,Shirak › Gyumri,"$200,000",USD,"It is located in the market area, near Vardanants Square. It is currently rented, for details, call.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18639065,Outdoor parking,Stone
Retail Space,500 sq.m.,Shirak › Gyumri,"$100,000",USD,"The workshopIt is privatized, it has 2 large brick ovens, it can be used as a warehouse, it is possible to exchange it with a car or an apartment. The workshop is located near the wagon depot.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18543185,,Stone
Industrial and Manufacturing,1627 sq.m.,Shirak › Artik,"1,000 ֏",AMD,"Производственное помещение - 2 этажаОбщая площадь 1627 кв. МВысота здания - 4,7 кв. МАдминистративная часть - 3 этажа- 995кв. МВысота этажей:Второго и третьего этажа 3.5 метраПервый этаж- 3,2 метраЗдание имеет так же землю котороя в общем со зданием имеет площадь - 7.5 г. К.В здании есть конолизация, електроэнегия и возможность проведения газа.Адрес; Ширак, Большой Манташ (бывшая текстильная фабрика) :Цена договорная!",Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/15941483,,Stone
Retail Space,26 sq.m.,"8th district 10, Gyumri","$8,000",USD,For sale or trade for car. The store is 20 square meters + 6 square meters of storage with air conditioner.Translated from Armenian,Dec-12-2022_20-39,Available,Not available,First Line,Common from the Street,,,,,https://list.am/en/item/18355408,,Cassette
Retail Space,19 sq.m.,"Շիրակացի փողոց 8, Գյումրի","3,500,000 ֏",AMD,The pavilion is in good conditionThe land is rented by the property itselfIt is possible to look at the exchange...Translated from Armenian,Dec-12-2022_20-39,,,,,,,,,https://list.am/en/item/10234436,,Stone
Multifunctional Space,585 sq.m.,"Կարեն Դեմիրճյան փողոց, Գյումրի","125,000,000 ֏",AMD,"FOR SALE or RENT, COMMERCIAL SPACE Gyumri Demirchyan str.Apartment 11 pcs22 pcsCompletely renovatedIndividual heating system,the surfaces of the rooms are different with separate bathrooms, iron doors, it is planned to build a swimming pool in the yard, it is suitable for use as a guest house, office space and other purposes, it is intended for an IT or IT company, for use as a residence and workplace, It is private and has three-phase current.Call for detailed information.Translated from Armenian",Dec-12-2022_20-39,Not available,Not available,First Line,Separate from the Street,,,,,https://list.am/en/item/18016599,,Stone
Functioning Business,104 sq.m.,"Ստեփան Շահումյանի փողոց, Գյումրի","$70,000",USD,"FOR SALE, existing bakery and meat passage in Gyumri central market area.The building type is stoneTotal area 104 m2The living area is 87 m2It is located in the Lachin Corridor part of the market, it is sold with the entire property, it has 2 separate entrances, there is a bathroom, it is also sold without the property, or just the bakery. Call for detailed information. It is possible to bargain.Translated from Armenian",Dec-12-2022_20-39,Available,Not available,Second Line,Separate from the Street,,,,,https://list.am/en/item/18477219,,Stone
