Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Service Lines,Condition,Facilities
House,Stone,240 sq.m.,2,6,1,,,Cosmetic Renovation,120 sq.m.,,,,,,"Baghramyan Str, Stepanavan","25,000,000 ֏",AMD,"СРОЧНО! Продаётся дом магазины, в центре г Степанаван, по адресу Бахрамян 27, могазины в данном время задаются и приносят прибыли! Также можно оформить в ипотеку! Рялному покупателя ест не большой Торг, подробно по телефону... Цена окончательно. Это цена до конца месяца",Dec-12-2022_21-18,,,https://list.am/en/item/12891822,,,
House,Stone,240 sq.m.,2,5,3+,,Not available,Major Renovation,2200 sq.m.,,,,,,Lorri › Dsegh,"$220,000",USD,"Продаётся гостевой дом.Находится на самой оживленной туристической дороге в сторону озера. 80 от центра Дсеха.Общая площадь территории 2200 квадратных метра, из которых 240 кв. М. Жилой площади.6 спальных комнат общей вместимостью 18 человек. Возможно расширить / достроить до 1650 кв м.4 санузла.Кухня - закрытая часть 36 кв м, веранда 36 кв м.Со всеми коммуникациям по всей территории. Собственная выделенная канализация. Электричество, газ, холодная и горячая вода, с баком и бойлером для горячей воды.По всем помещениям проведено отопление по системе Бакси.Средний доход в месяц от работы в качестве гостиницы от 3000$ и выше.Проект сдаётся под ключ до 2023 года.",Dec-12-2022_21-18,,,https://list.am/en/item/18396745,,,
House,Stone,272 sq.m.,2,4,1,,,No Renovation,600 sq.m.,,,,,,Lorri › Stepanavan,"$11,000",USD,"A half-built house is for sale in K. STEPANAVAN 4 MICROSHRJANOLM 1A STREET House 23 IN. 600 square meters of land. The building is 272 square meters, all communications, water, electricity, gas, sewer, 3 meters away, for details, call the given number on WhatsApp.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17857864,,,
House,Stone,196 sq.m.,2,7,1,Not available,2 spots,Partial Renovation,1260 sq.m.,,,,,,"Griboyedov street, Tashir","$12,000",USD,"Ташир, Село Дзорамут, находитса рядом ташир-тблиси межгасудаствени траси. Фруктови садови участк, гараж, каровник, вада, територя 1260 кв. М. Огарожена;",Dec-12-2022_21-18,,,https://list.am/en/item/17669773,,House is Finished,
House,Stone,300 sq.m.,1,3,1,,,Old Renovation,300 sq.m.,,,,,,"Նելսոն Ստեփանյան փողոց 2-րդ նրբանցք 10, Վանաձոր","$15,000",USD,"Stone house in Vanadzor, 300 sq. M. Call real buyers, the house is located in the front district, near the 10th school, there is everything near the bus stop, the area for sale is mainly negotiable for the real buyer.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17359480,,,
House,Stone,100 sq.m.,3,5,2,Not available,1 spot,No Renovation,200 sq.m.,,,,,,"Улица Ширакаци, Ванадзор","$18,000",USD,Продается два дома в деревне ваагни кировакан. Для подробной информации просьба обращаться по данному номеру.Продажа возможна и по отдельности,Dec-12-2022_21-18,,,https://list.am/en/item/16911322,,House is Unfinished,
House,Monolith,290 sq.m.,3,8+,3+,,,Cosmetic Renovation,427 sq.m.,,,,,,"Vardanants Street, Vanadzor","$99,000",USD,"Two-storey private house with an attic is for sale:Vardanants 62b address. Newly built stone building, has a basement, the internal renovation works are unfinished.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17876773,,,
House,Stone,400 sq.m.,3,7,2,Available,Not available,No Renovation,,,,,,,Lorri › Vanadzor,"$40,000",USD,"АДРЕС УЛИЦА ГРИГОРА НАРЕКАЦИ ДОМ 11 В ШАГОВОЙ ДОСТУПНОСТИ НЕДАВНО ПОСТРОЕННЫЙ ОТ ШКОЛЫ АКСЕЛА БАКУНЦА 7 Продается каменный дом, трехэтажный построен после землетрясения ЦЕНА ЗА ДОМ 40 000$ Площадь дома 400м2 имеется железобетонный монолитный подвальный этаж площадь его равна 80м2 + маран 10м2,высота потолков 3 метра на всех этажах и в подвале. Все потолки монолитные. Рядом с домом есть школа имени Аксела Бакунца 7, недавно построена в шаговой доступности. В доме имеются с фасадной стороны две железные ворота один маленький для легковых машин, вторые большие заезд под дом для грузового транспорта, площадь которого 70м2,ширина и высота 4 метра длинна 18 метров. На первом этаже сан узел и отдельный туалет кухня одна комната и большой гараж на две машины в котором есть смотровая яма. На втором этаже 5 комнат гостинная и сан узел, имеется недостроенный мансардный этаж площадь которого 90м2 высота потолков 2,5 м. В доме есть канализационный септик. Рядом с домом проходит новая водопроводная магистраль котораяподведена к дому. Есть электричество вода и газ. Удобен для постоянного проживания и также для бизнеса. С документами все в порядке. ЦЕНА ДОГОВОРНАЯ. СОБСТВЕННИК, ЗВОНИТЕ КАЖДЫЙ ДЕНЬ С 9 ДО 23 8-968-633-51-51",Dec-12-2022_21-18,,,https://list.am/en/item/17615139,,House is Finished,
House,Stone,200 sq.m.,2,7,1,Not available,Not available,Old Renovation,,,,,,,Lorri › Vanadzor,"$59,000",USD,"ПРОДАЮТСЯ ДВА КАМЕННЫХ ДОМА ПО АДРЕСУ УЛИЦА НАРЕКАЦИ ДОМ 11 В ШАГОВОЙ ДОСТУПНОСТИ ОТ ШКОЛЫ НЕДАВНОЙ ПОСТРОЕННОЙ АКСЕЛА БАКУНЦА 7 В одном участке площадь участка равна 600 м2, цена за два дома 59 000$ Если имеется нехватка денежных средств то частью суммы можно расплатиться (обмен) машиной (2010-2015 год выпуска) и квартирой в городе. Второй дом отдельно не продается, только вместе с первым. Первый дом продается отдельно, построен после землетрясения. Цена за первый дом 39000$ который находится вдоль улицы. Торг уместен только для тех кто купит два дома без обмена, можно договориться об отсрочке если нет возможности оплатить сразу за второй дом. Первый дом трехэтажный который с фасадной стороны имеет арочные окна и две металлические ворота один большой для грузовых машин второй маленький для легкового транспорта два машинных места, а также есть железобетонный монолитный подвальный этаж площадь которого 80 м2 и маран с площадью 10 м2 для хранения овощей фруктов и домашних консервов. Все перекрытия этажей железобетонные монолитные. На первом этаже одна спальная комната, кухня, совместный санузел и отдельный туалет, гараж, в гараже имеется смотровая яма. Высота потолков на втором этаже три метра, 4 спальни, гостевая комната, балкон по всей ширине дома и недостроенный совместный санузел, мансардный этаж не построен площадь 90 м2.В доме есть электричество газ и вода, все этажи полностью оштукатурены, есть канализационный септик. Рядом с домом проходит новая водопроводная магистраль котораяподведена к дому. Документация в порядке. СОБСТВЕННИК. ЦЕНА ДОГОВОРНАЯ. Очень удобное расположение для бизнеса а также для постоянного проживания. Звоните в любой день с 9 до 23. 8-968-633-51-51 Миша",Dec-12-2022_21-18,,,https://list.am/en/item/16419647,,House is Finished,
House,Stone,200 sq.m.,1,8+,3+,,,Partial Renovation,,,,,,,Lorri › Vanadzor,"$40,000",USD,Private house at 5 Paronyan Street has 3 entrances to a very big houseTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/15958069,,,
House,Panels,240 sq.m.,2,5,1,Not available,3 or more spots,Major Renovation,500 sq.m.,,,,,,"Երևանյան խճուղի, Վանաձոր","$60,000",USD,"The house is located on the sidewalk directly in front of the Glori sewing factory. The first floor is not renovated, it is very convenient to use as a workshop, the second floor is renovated and is not inhabited and has never been. Water and electricity availableTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18070656,,House is Unfinished,
House,Stone,179 sq.m.,1,3,1,Not available,1 spot,Old Renovation,,,,,,,Lorri › Tashir,"$20,000",USD,The house is located on 12 Abovyan Street in Tashir city. The house is 1 story and has a basement. It has 3 rooms. The bathroom and toilet are located on the basement floor. In the yard of the house there is a garage of 46 square meters. M: There is a plot of land at the back of the house.Translated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18629133,"Electricity, water supply, natural gas, sewerage",House is Finished,
House,Stone,119 sq.m.,1,4,2,Not available,Not available,Euro Renovation,,,,,,,"11-րդ փողոց, Արջուտ","$25,000",USD,"Newly built private house in Lernapat village for sale, newly built and uninhabited. The kitchen and bathroom are tiled. Laminate flooring in the interior and rooms. All the pictures are his.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18156993,,House is Finished,
House,Stone,213 sq.m.,2,5,1,Available,Not available,Cosmetic Renovation,180 sq.m.,,,,,,"Նանսենի փողոց 1, Ստեփանավան","17,000,000 ֏",AMD,"A two-story stone house is for sale in the city of Stepanavan.The residential house is 187.12 square metersLivestock building 20.96 square metersEconomy room 4.86 square metersEnclosure 2.7 sq m and 1.4 sq mThe house is located next to Alea, from where there is a beautiful view of the pine forest. The house is very sunny and bright. It is sold with kitchen furniture.The price of the house: 17,000,000 AMD.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18143426,,House is Finished,
House,Stone,300 sq.m.,3,5,2,By agreement,1 spot,Euro Renovation,520 sq.m.,,,,,,"Մանուշյան փողոց, Վանաձոր","$147,000",USD,It is possible to exchange with an apartment for an additional fee. Some property is also given with the house.Only genuine buyers please callTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/16513168,,House is Finished,"Barbecue oven, gazebo"
House,Stone,400 sq.m.,2,4,3+,Not available,1 spot,No Renovation,,,,,,,"Forest Street 1/1, Stepanavan","$12,000",USD,"Տունը գտնվում է կիսակառույց վիչակում առաչի հարգի առաստաիւը բիտօնիցե (մոնոլիտ) տան հասցեն նանսենի թաիւամասում առաչվա (սովետների) մօտե ալեա այգուն 500Մ հեռավորությամբ, մոտե քաղաքի այգուն, կփոխանակեմ մեքենայի հետ",Dec-12-2022_21-18,,,https://list.am/en/item/14471824,,House is Unfinished,
House,Stone,200 sq.m.,2,4,2,Available,1 spot,Cosmetic Renovation,1000 sq.m.,,,,,,Lorri › Tashir,"10,000,000 ֏",AMD,"A two-story private house is for sale in Tashir. The 2nd floor has been renovated, some of the windows have been replaced. There are several other buildings attached to the house, including a large garage, and there is also land. The house is located in a good location, the street is paved, it has night lighting.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17980753,,House is Finished,
House,Stone,800 sq.m.,2,4,1,Not available,Not available,Partial Renovation,3000 sq.m.,,,,,,"3rd lane 3rd street, Darpas","$25,000",USD,"The house is in Dapas village, everything is in the center of the village, the kindergarten is very close, the rest of the details, callTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18489664,,House is Unfinished,
House,Stone,360 sq.m.,3,6,3+,Available,2 spots,Major Renovation,600 sq.m.,,,,,,"Զորավար Անդրանիկի փողոց 50/1, Վանաձոր","39,900,000 ֏",AMD,"Own 3-storey house for sale at Zoravar Andranik 50 (camp district), total 600 sq/m, each floor of the house is 120 sq/m, the house was built in 2000, 3 bathrooms, each floor has individual heating system (baxi), garage + basement floor, apartment has security system (The apartment is sold with the entire property.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18436095,,House is Finished,
House,Stone,267 sq.m.,3,8+,2,,,No Renovation,95 sq.m.,,,,,,"Լոռու խճուղի, Վանաձոր","$20,000",USD,"The apartment is located in Gugark (Meghrut) community, 2nd apartment on 12th street, on 3rd street, has all the communal facilities, big garage (boxing), price is negotiableTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17492671,,,
House,Stone,500 sq.m.,3,8+,3+,,,Partial Renovation,3000 sq.m.,,,,,,Lorri › Vanadzor,"$35,000",USD,The house is located in Darpas. With all the amenities J. 044200540:Translated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/16884733,,,
Country House,Stone,78 sq.m.,2,2,1,Available,Not available,Cosmetic Renovation,2800 sq.m.,,,,,,Lorri › Gyulagarak,"$75,000",USD,"Do not call with meaningless questions, I will exchange with your car for an additional fee or with an apartment in Vanadzor, I will also sell some plots of landTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17936043,,House is Finished,
House,Bricks,90 sq.m.,1,4,2,,,Partial Renovation,1000 sq.m.,,,,,,Lorri › Vanadzor,"$15,500",USD,"A detached house is for sale in the village of Pushkino, the condition is residential, it has a garden with fruit trees, as well as shared land, 1000m of arable land and a grass area of 1500m, there is water and electricity, gas is attached to the house, the basement is separate from the house, there is a barn for 2 cattle, there is also a room for small cattle attached to the barn. 4 rooms, call for details.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17428305,,,
House,Stone,160 sq.m.,2,5,1,Not available,1 spot,No Renovation,3600 sq.m.,,,,,,Lorri › Akhtala,"$45,000",USD,A house near Akhtala church is for sale. It is suitable for a guest house.Translated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18480950,,House is Unfinished,
House,Stone,225 sq.m.,2,3,2,By agreement,2 spots,Euro Renovation,780 sq.m.,,,,,,Lorri › Vanadzor,"12,500,000 ֏",AMD,"Продаётся частный двухэтажный дом со всеми удобствами в Гугарке. Рядом с домом есть большой участок земли. Есть большой гараж на две машины, подвал и постоянная вода. Дом расположен в центральной части. Цена договорная.",Dec-12-2022_21-18,,,https://list.am/en/item/18429254,,House is Finished,
House,Stone,150 sq.m.,2,8+,1,Not available,Not available,No Renovation,,,,,,,"Erevanyan street, Tashir","$10,000",USD,"Առաջին հարկում առկա է ավտոտնակ, կից առկա է հողամաս, գինը սակարկելի։ Ք. Տաշիր փ. Երևանյան Թաղ. 14",Dec-12-2022_21-18,,,https://list.am/en/item/14848420,,House is Unfinished,
House,Stone,90 sq.m.,1,5,1,,,No Renovation,25 sq.m.,,,,,,Lorri › Vanadzor,"16,000,000 ֏",AMD,"Capital needs renovation.On Moskovyan, almost to the center of the city.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18526890,,,
House,Stone,268 sq.m.,2,3,1,Partial Furniture,1 spot,Partial Renovation,600 sq.m.,,,,,,Lorri › Stepanavan,"$18,000",USD,For more information call.Translated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18682446,,House is Finished,
House,Stone,100 sq.m.,1,3,1,By agreement,Not available,Euro Renovation,1600 sq.m.,,,,,,Lorri › Saramej,"$15,000",USD,Newly built and uninhabited house. Call for other questionsTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18182111,,House is Finished,
House,Stone,100 sq.m.,1,4,2,By agreement,1 spot,Cosmetic Renovation,69 sq.m.,,,,,,Lorri › Spitak,"$40,000",USD,"Q. Spitak Opyan str. A stone house is for sale near the Ega market, near the school, kindergarten, municipality. It has all the communal facilities - permanent water, individual heating, cosmetic repairs, laminate flooring, euro windows, has a barn, 8 m. Wagon hut (Can be used as a garage), basement, fruit trees. Area size (ha) -0.088NEGOTIABLETranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17580562,,House is Finished,
House,Stone,328 sq.m.,2,8+,3+,,,No Renovation,440 sq.m.,,,,,,Lorri › Stepanavan,"$15,000",USD,"A two-storey private house is for sale in the cozy town of Stepanavan. The building is half-built. With all utilities. After construction, it can be used as a summer house or as a guest house business.Price is negotiable.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/16846295,,,
House,Stone,700 sq.m.,2,4,1,By agreement,2 spots,Major Renovation,700 sq.m.,,,,,,Lorri › Vanadzor,"$41,000",USD,"A two-story stone house is for sale. With. 700 sq. M area, of which 222 sq. M house area, 480 sq. M land area.Chemists 2nd street (Khimzavod)It has a corridor, living room, kitchen, 3 bedrooms, bathroom + toilet.The main entrance door is made of heavy iron.The kitchen and bathroom are tiled, the floor of the house is laminate.The windows are euro. Interior doors: New.The house is bright. 2 rooms on the 1st floor. 2 garages.It has internet, gas, electricity, hot and cold water.There is a bus, the stop is near the house. Write or call for details.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17560650,,House is Finished,
House,Stone,320 sq.m.,3,7,3+,Not available,Not available,No Renovation,1220 sq.m.,,,,,,"Անտառային փողոց, Ստեփանավան","$39,900",USD,"A house-guest house is for sale in Agarak, a village near Stepanavan in Lori marz.It is under renovation, unfinished.All bedrooms have separate bathrooms.The roof, windows, heating system, water pipes, electric wires are new.A security system, cameras are installed. WF.The total area of the house is 320 square meters.Land area: 1220 square meters,Balcony: 60 square meters.Cost: $60,000 (the land, the house and the works done on it cost that much)The above price of $39,900 is an urgent sale price due to the urgent need for funds.After a small investment, you will have an excellent opportunity to live in this paradise and to develop a business (taxes are separate)Rental prices in this location are 10-25 thousand AMD per day (depending on what is included)It is possible to live with a family and rent out 4 bedrooms at the same time.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18591041,"Electricity, natural gas, sewerage",House is Unfinished,Alarm system
House,Stone,100 sq.m.,1,3,1,Partial Furniture,Not available,Old Renovation,509 sq.m.,,,,,,"Սայաթ-Նովա փողոց, Ստեփանավան","$15,000",USD,It is in good condition and has a basement. It will be negotiated at real pricesTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18202744,,House is Finished,
House,Stone,240 sq.m.,1,4,2,Not available,Not available,No Renovation,200 sq.m.,,,,,,"1-й переулок улици Мясникяна 3, Ванадзор","$21,000",USD,"200кв/м, участок, 40 кв/ м дом, газ рядом в участке, свет есть вода есть. Дом требуется капитальный ремонт. Центр города, дом расположен рядом с новой церковью, требуется вложение по этому цена такая! Все вопросы ро телефону (разумный торг)",Dec-12-2022_21-18,,,https://list.am/en/item/18702497,,House is Unfinished,
House,Stone,2000 sq.m.,1,5,1,Not available,1 spot,Old Renovation,2000 sq.m.,,,,,,Lorri › Stepanavan,"6,000,000 ֏",AMD,"For details, call the indicated phone numbers located in the village of Stepanavan's fortressTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18453915,,House is Finished,
House,Stone,327 sq.m.,2,3,1,,,No Renovation,600 sq.m.,,,,,,"Forest Street, Stepanavan","$30,000",USD,"PRICE NEGOTIABLESemi-detached house with its own plot of land on Antara Street, Stepanavan, near Vahagn boarding house, next to Allea.The price is negotiableCall AshotTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18209965,,,
House,Wooden,10 sq.m.,1,2,1,,,No Renovation,27 sq.m.,,,,,,Lorri › Tashir,"$5,000",USD,Last price is not negotiableTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18172300,,,
House,Stone,186 sq.m.,3,4,2,Available,2 spots,Major Renovation,300 sq.m.,,,,,,"Քոթեջ 4, Վանաձոր","$55,000",USD,"A 2-storey house is for sale in the city of Vanadzor.The house is located 3 km from the center.Located nearbysupermarket, public transport, bakery. WholeHeating: Gas stove (saving)It is sold with furniture. The house has a basement with the floor plan of the whole house and a parking space on the 0th floor.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18444438,,House is Finished,
House,Stone,450 sq.m.,3,3,2,Available,2 spots,Euro Renovation,430 sq.m.,,,,,,"Րաֆֆու փողոց 13, Վանաձոր","$75,000",USD,"I can sell the house together with the property, call for details. I can urgently exchange it with my own 4-5 room house for an additional fee, preferably close to the city and habitable.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18087338,"Electricity, water supply, natural gas, sewerage",House is Finished,"Swimming pool, fireplace"
House,Stone,80 sq.m.,2,2,1,,,No Renovation,1600 sq.m.,,,,,,"Սանահին Սարահարթ թաղամաս, Ալավերդի","$15,000",USD,"Sanahin district (village) 3rd street house 22, total area 1600 sq. M. It is a meter, there are 2 barns, it has water and և gas possibility, the area is spacious, it is also suitable for building a guest houseTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17268549,,,
House,Stone,200 sq.m.,2,8+,2,Not available,Not available,Cosmetic Renovation,700 sq.m.,,,,,,Lorri › Stepanavan,"$120,000",USD,"Պտղատու այգի, ջեռուցումը բաքսի համակարգ, հարկավոր է կոսմետիկ վերանորոգում տան ներսում։ Կոմունալ բոլոր հարմարություններով։ Սակարկելի։Продается двухэтажный дом в городе Степанаван. Есть два туалета, большой сад. Дом находится в близи соснового леса. Есть все удобства.",Dec-12-2022_21-18,,,https://list.am/en/item/17363170,,House is Finished,
House,Stone,140 sq.m.,2,3,1,Available,2 spots,Euro Renovation,43 sq.m.,,,,,,"Ադամյան փողոց 2, Վանաձոր","$28,000",USD,"A private house is for sale in the 3rd part of the district. There is a bax system, the house is thermally insulated. It has open and closed garages.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17614672,,House is Finished,
House,Stone,280 sq.m.,2,4,1,Not available,1 spot,Major Renovation,300 sq.m.,,,,,,"Երիտասարդական փողոց, Ստեփանավան","$50,000",USD,It is in good condition. The first floor is residential. The bathroom is renovatedthere is a garage and a summer kitchenFor more information callTranslated from Armenian,Dec-12-2022_21-18,,,https://list.am/en/item/18363474,,House is Finished,
House,Stone,2500 sq.m.,2,4,1,,,Partial Renovation,1000 sq.m.,,,,,,Lorri › Arjut,"$30,000",USD,"The house is partially renovated, 2 floors. The entire property is sold together.2nd floor - hall (9m x 4.5m) living room + kitchen (6m x 5.5m) 2 bedrooms (4m x 4.5m, 3m x 2.5m) also balcony1st floor - 2 rooms and bathroom, toiletConstant hot and cold water (solar water heating system installed)Barn, plot next to the house 1500 square metersThe house is on the sun side of the dog.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18440187,,,
House,Stone,400 sq.m.,2,1,1,Not available,Not available,No Renovation,380 sq.m.,,,,,,Lorri › Vanadzor,"$12,500",USD,"A semi-built private house is for sale (the house is 120 square meters, the plot is 380 square meters) The basement floor is monolithic very strong, the walls of the first floor are tuff. The house and the plot together are 400 square meters. It is privatized, connected to the sewer, the front part is fenced, the gas is next to it, the location is very convenient - sunny. It is located near the Meghrut gas station, on the fourth street of Kotejai. NegotiableTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17111605,,House is Unfinished,
House,Stone,170 sq.m.,1,2,1,Partial Furniture,Not available,Partial Renovation,1500 sq.m.,,,,,,"3rd lane 3rd street, Darpas","14,950,000 ֏",AMD,"Дарпас. Продается дом 170м2 с участком 15 соток в центре района Дарпас г. Ванадзор. Сад с плодовыми деревьями. Проведены газ и вода. Имеется летняя кухня, погреб, сарай и коровник. Все удобства на улице. Писать на вайбер и потом звонить. Реальному покупателю разумный небольшой торг. 1-й переулок 5-й улицы 1-й тупик 5-й дом.",Dec-12-2022_21-18,,,https://list.am/en/item/18498139,,House is Finished,
House,Stone,294 sq.m.,2,6,3+,Available,1 spot,Euro Renovation,500 sq.m.,,,,,,Lorri › Stepanavan,"$115,000",USD,"A detached house and an attached summer house are for sale, located 1 km from Alea. Sunny, suitable for hotel business activities. The house has: 2 kitchens (one for the summer house), garage, gasification, e. Energy provided by European heating systems (gas boiler, turbo stove), constant hot and cold water (gas water heaters, electric water heater), European windows, doors, iron entrance and balcony doors. Open terrace, garden, high walls, barbecue, veranda. A beautiful view of nature.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18433749,,House is Finished,
House,Stone,120 sq.m.,2,5,2,,,Euro Renovation,,,,,,,Lorri › Vanadzor,"$39,000",USD,"The house was built after the earthquake, it has a heating system, no roof, no water supply drainage problems, it is ready to live immediately, it can be exchanged with another apartment in Vanadzor town or Arjut village, please do not offer dilapidated houses.Negotiable:Address: 1/8 Mashtots Ave.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/14665161,,,
House,Stone,95 sq.m.,1,4,1,Available,1 spot,Partial Renovation,2750 sq.m.,,,,,,"Площадь имени Сурена Аветисяна, Спитак","12,500,500 ֏",AMD,"Продается жилой одноэтажный дом в Лори марз с землей, д. Гурсалы. Площадь участка 2750 кв. М, общая площадь дома 94,7 кв. М. Качественный одноэтажный дом, имеются 4 комнаты. Дом крытый хорошей крышей. Кухня, коридор, зал и спальня используется. Остальные комнаты в наличии. В саду много разных плодоносящих деревьев всех видов. Имеется место для скота, гараж, вагончик и домик. Свет, газ, вода в наличии. Высокий подвал под весь дом с погребом. Дом построен с сейсмостойкими зонами, толщина стен подвала 60 см, толщина стен дома 40 см (туф), крыша из оцинкованного листа. Ограждено со всех сторон. Есть железные ворота... Около дома протекает речка... Прекрасная природа! Цена 12 500 000 драм.Помимо дома с землей есть 4 пахотных участка. Продается отдельно.Լոռու մարզ, Ղուրսալի համայնք, 5 փ. , 3փակ. , տ. 6",Dec-12-2022_21-18,,,https://list.am/en/item/18072849,,House is Finished,
House,Stone,250 sq.m.,2,8+,2,Available,3 or more spots,Partial Renovation,400 sq.m.,,,,,,Lorri › Stepanavan,"$180,000",USD,"Own house, with all necessary facilities, 100m from the forest. Also available for rent.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18471289,,,
House,Stone,300 sq.m.,2,8+,2,,,Partial Renovation,300 sq.m.,,,,,,"Միչուրինի փողոց, Վանաձոր","$160,000",USD,"Two-storey stone house in Vanadzor. 6 rooms, garage and large plot.It has several large balconies, 2 bathrooms, parking for 4-5 cars.The total area is 700 square meters. M.:A wonderful opportunity to have your home, summer house or guest house to create a relaxing and comfortable environment.For details, please call the indicated phone number.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/16532040,,,
House,Stone,215 sq.m.,2,5,1,Available,3 or more spots,No Renovation,1810 sq.m.,,,,,,Lorri › Hobardzi,"$30,000",USD,"For rent, two-story private stone tuff stone 215.5 sq. M plot next to the house, 1800 sq. M. On the first floor, garage and basement, and on the second floor, 5 rooms, hallway, kitchen and bathroom, there is gas, water, electricity, and a large sewer, there is also a barn, 26 sq. M., it has a garden, price is negotiable.For details call CALL WAPTSAP WAIBER 2 ARE THE SAME NUMBERTranslated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/18190469,,House is Finished,
House,Stone,370 sq.m.,3,8+,3+,Not available,3 or more spots,Partial Renovation,1000 sq.m.,,,,,,"Երևանյան խճուղի, Վանաձոր","72,000,000 ֏",AMD,"For sale in 1992. Built three-storey building, which has an attic (under the roof) The building is very solid, which allows you to build an additional 1-2 floors if desired. The building is convenient to use as a hotel, restaurant, bank, kindergarten, etc. , also as a luxurious private house. The area of one floor is 120 square meters, but having a total land of 1000 square meters, it is possible to build auxiliary buildings. It has a closed parking lot for 3-4 cars. The walls of the two floors are partially leveled, the windows are euro aluminum. Three-phase electricity, water. It is located in Vanadzor, at 111/1 Yerevanyan Street (M3 interstate road) The area is fenced. We will listen to suggestions.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17171030,,House is Finished,
House,Stone,100 sq.m.,2,5,2,By agreement,1 spot,Cosmetic Renovation,100 sq.m.,,,,,,"Րաֆֆու փողոց, Վանաձոր","13,000,000 ֏",AMD,"A two-storey private house is for sale, cosmetically renovated, has a parking lot and a small garden. On the first floor there are 1 living-basement rooms, a bathroom, on the second floor there is a living room, 3 bedrooms, a kitchen, a bathroom. There is a small building (barn) in the park. The house is located near the center, has 2 entrances (Opposite and Bangladesh districts), nearby there are schools, kindergartens, Haypost office. For sale very urgently.Translated from Armenian",Dec-12-2022_21-18,,,https://list.am/en/item/17563681,,House is Finished,
House,Bricks,449 sq.m.,1,2,2,Partial Furniture,1 spot,Partial Renovation,,,,,,,Lorri › Vanadzor,"$100,000",USD,449 квадратных метра рядом с бывшим кинотеатром Кинокреван по соседству с городским парком им Саят-Нова,Dec-12-2022_21-18,,"Fridge, stove, washing machine",https://list.am/en/item/18700188,,House is Finished,Gazebo
