Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,200 sq.m.,2,4,2,2 spots,Cosmetic Renovation,1600 sq.m.,"4-й переулок улицы Орджоникидзе, Дилижан",$300 monthly,USD,"Сдается в аренду собственный дом в Дилижане. Общая площадь 200 кв. М. 3 спальни с отдельными входами, 2 сан. Узла, отдельная кухня, открытые балконы, камин-мангал, беседка на 40 человек, детская игровая площадка, гараж на 2 автомашины, стоянка для 5 машин. Земельный участок 1600 кв. М. С плодовыми деревьями (яблоки, сливы, груши) Интернет, спутниковая антена. Сдается для одной семьи с 4-го декабря. 120 000 драм в месяц.Տրվում է վարձով սեփական տուն։ Մակերեսը 200 ք․մ․ Երեք ննջարան առանձին մուտքերով, երկու սան․ հանգույց, առանձին խոհանոց, բաց պատժկամբներ, խորովաժանոց 40 հոգու համար, ավտոտնակ երկու մեքենայի համար և ավտոկայանատեղի 5 մեքենայի համար։ Հողամաս 1600 ք․մ․։Տրվում վարձով մեկ ընտանիքի համար դեկտեմբերի 4-ից։ 120 000 դրամ։",Dec-12-2022_21-47,Available,,"Fridge, stove, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18612381,"Television, internet, barbecue oven, gazebo",1,Yes,No,Not included,By Agreement
House,Stone,80 sq.m.,1,2,2,Not available,Euro Renovation,,"Улица Калинина, Дилижан","480,000 ֏ monthly",AMD,"Сдаю жилое помещение на длительный срокмаксимально допустимое число жильцов 5просторные, уютные, светлые комнаты, свежий ремонтуютная кухня, 2 спальни, санузел в каждой спальнеотоплениеинтернетоткрытый балконмеблированныйбытовая техникав шаговой доступности есть магазины, аптеки, школапорядочные соседи, тихий двор",Dec-12-2022_21-47,Available,,"Fridge, stove, microwave, washing machine",,https://list.am/en/item/18657418,"Television, internet",5,Yes,No,By Agreement,1 month
House,Stone,130 sq.m.,2,3,1,1 spot,Designer Renovation,,Tavush › Dilijan,"5,000 ֏ daily",AMD,"The second floor of a two-story house is for daily rent in Dilijan. All the conditions are created for a comfortable rest. It has 3 large bedrooms, 1 living room, 1 kitchen with all necessary utensils, 3 bathrooms. There is also a balcony on the second floor. The house is very clean and comfortable, there is everything you need for rest. Clean linen and towels are provided separately. There is a barbecue in the yard. Has Wifi internet connection. If you have any questions, call the mentioned phone number.Price per person 5000 AMDTranslated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17900515,,7,No,No,Included,Without prepayment
House,Stone,150 sq.m.,2,4,2,3 or more spots,Major Renovation,,Tavush › Dilijan,"35,000 ֏ daily",AMD,It is provided with all household and communal amenities.Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/14470433,,8+,Yes,Yes,Included,By Agreement
House,Stone,200 sq.m.,2,5,1,2 spots,Cosmetic Renovation,500 sq.m.,Tavush › Dilijan,"75,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD064Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18050407,,8+,Yes,Yes,Included,By Agreement
House,Stone,1000 sq.m.,2,5,3+,2 spots,Major Renovation,2000 sq.m.,Tavush › Dilijan,"65,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD067Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18098141,,8+,Yes,No,Included,By Agreement
House,Stone,230 sq.m.,3,5,3+,,Designer Renovation,1100 sq.m.,Tavush › Tavush,"$2,000 monthly",USD,A three-story house for long-term rent in Dilijan. Completely renovated. A school is also close to the area. Completely new furniture and appliances. Do not call brokers.Translated from Armenian,Dec-12-2022_21-47,,,,,https://list.am/en/item/18394728,,,,,,
House,Stone,180 sq.m.,1,3,3+,Not available,Designer Renovation,520 sq.m.,"Myasnikyan street 10, Dilijan station","100,000 ֏ daily",AMD,"Lateier DilijanComfortable villa in Dilijan. The house is quality renovated and modern design. Both in the house and in the yard there are all necessary apartments for a good rest. The yard has a large garden, a gazebo for 40 guests, barbecue and barbecue. The house itself has 3 bedrooms, 3 bathrooms, a full kitchen with everything you need and a spacious living room with a fireplace. The house has access to the forest and also has a balcony with a swing where you can sit and have a great time.Translated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17347280,,8+,Yes,No,By Agreement,By Agreement
House,Stone,64 sq.m.,1,3,1,Not available,Designer Renovation,320 sq.m.,Tavush › Teghut,"35,000 ֏ daily",AMD,"Sevak TeghutA one-story private house in Teghut is for daily rent, which has 3 bedrooms, which can accommodate 7 people overnight, a living room, a bathroom equipped with all amenities. Outside there is a swimming pool, pavilion, tennis court. The house is surrounded by beautiful nature.Code SevTegut:Translated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/18251552,,4,Yes,No,By Agreement,By Agreement
House,Stone,170 sq.m.,2,4,2,2 spots,Designer Renovation,560 sq.m.,Tavush › Dilijan,"100,000 ֏ daily",AMD,"Am Craft House Pool and GardenA beautiful summer house for daily rent in Dilijan, which has 4 bedrooms, a living room, 2 bathrooms, an outdoor pool and a pavilion area with all its amenities.Code AnCraft2Translated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/18137915,,5,Yes,No,By Agreement,By Agreement
House,Stone,120 sq.m.,2,3,2,3 or more spots,Major Renovation,,Tavush › Ijevan,"230,000 ֏ monthly",AMD,"We offer a 3-room house in Ijevan. It has 3 rooms, 2 bathrooms and a kitchen. There are pavilions in the area, there is a garden.Translated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18502068,,6,Yes,No,Included,2 weeks
House,Stone,170 sq.m.,2,2,2,Not available,Designer Renovation,420 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,"Armo House:The private house located in Dilijan (Teghut village) has 4 bedrooms, 2 kitchens, 2 bathrooms, 2 living rooms, an open balcony, barbecue pavilion, swimming pool. The kitchen is equipped with necessary appliances and dishes. Designed for 8 people.Dilijan, private house in DilijanPlease call for details.Code ArmhouseTranslated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/16911317,,8+,Yes,No,By Agreement,By Agreement
House,Stone,68 sq.m.,1,2,1,1 spot,Major Renovation,320 sq.m.,Tavush › Teghut,"35,000 ֏ daily",AMD,"Teghut Sasun HouseA comfortable stone cottage is for daily rent in Teghut, which has two bedrooms, living room, kitchen, bathroom with all utilities. It has a comfortable pavilion outside in the shade of trees. Overnight stay is available for 5-6 people.Code SasTegutTranslated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/18046054,,8+,Yes,Yes,By Agreement,By Agreement
House,Stone,90 sq.m.,2,3,1,Not available,Designer Renovation,320 sq.m.,Tavush › Teghut,"45,000 ֏ daily",AMD,"Tegut House:Luxurious two-storey cottage in Dilijan. It has three bedrooms, a comfortable living room. Designed forFor 8 people. It has a beautiful yard outside with its pavilion.For more information call.Code TegutHouTranslated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/16635285,,8+,Yes,No,By Agreement,By Agreement
House,Stone,27 sq.m.,1,2,1,3 or more spots,Major Renovation,400 sq.m.,"Ստեփան Շահումյանի փողոց, Դիլիջան","20,000 ֏ daily",AMD,"Сдаются посуточно новопостроенные коттеджи на самой красивой улице Дилижана. Место, где можно весело провести время с семьей и друзьями, а мы поможем сделать каждый ваш день незабываемым. Рассчитаны на 2-5 человек:Зона отдыха вашей души: Беседки, барбекю, детская площадка, парковка, кафе.Для подробностей и бронирования просим звонить. На письма не отвечаем!Օրավարձով նորակառույց քոթեջներ Դիլիջանի ամենագեղատեսիլ փողոցի վրա: Այն վայրը, որտեղ կարելի է վայելել ընտանեկան և ընկերական հանգիստը, իսկ մենք կօգնենք անմոռանալի դարձնել ձեր յուրաքանչյուր օրը: Նախատեսված են 2-5 հոգու համար:Ձեր սրտի հանգստի գոտի՝ տաղավարներ, մանգալ, խաղահրապարակ, ավտոկայանատեղի, սրճարան:Գինը կարող է փոփոխվել' կախված օրերի քանակից: 1 օրով քոթեջ չի տրամադրվում:Մանրամասների և ամրագրելու համար խնդրում ենք զանգահարել: Հաղորդագրություններին չենք պատասխանում:Newly built cottages for daily rent on the most beautiful street of Dilijan. A place where you can enjoy family and friends, and we will help you make every day unforgettable. Designed for 2-5 peoples.Rest area of your heart: Pavilions, barbecue, playground, parking, cafe.For details and reservations, please call. We do not reply to messages.",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17806784,,2,Yes,No,Included,By Agreement
House,Stone,180 sq.m.,2,3,2,2 spots,Designer Renovation,750 sq.m.,Tavush › Dilijan,"90,000 ֏ daily",AMD,"Cozy two-story cottage in beautiful Dilijan. The cottage is quality renovated, modern design and equipment will make your stay unique. The cottage has 3 bedrooms, 2 bathrooms, full kitchen, living room, fireplace. In the yard there is a comfortable place, a barbecue, a playground with various swings. The cottage also has a sauna.Code FedericoTranslated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/18379835,,4,Yes,Yes,By Agreement,By Agreement
House,Stone,160 sq.m.,2,3,1,Not available,Major Renovation,520 sq.m.,"Սայաթ-Նովայի փողոց, Դիլիջան","60,000 ֏ daily",AMD,"Gelini_Private house in DilijanA private house with 2 floors in the city of Dilijan is for daily rent. On the 2nd floor, there is a bedroom with all its furniture. Designed for 7 people.Translated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/16757382,,5,Yes,No,By Agreement,By Agreement
Country House,Stone,395 sq.m.,2,5,3+,Not available,Designer Renovation,1450 sq.m.,Tavush › Gosh,"200,000 ֏ daily",AMD,"Berloga Log House is located in Dilijan, Gosh. It has 5 bedrooms, 3 bathrooms, a living room, a swimming pool, a sauna, a poker table, a large pavilion, a view to the forest. There is a free private parking.Code BLogHousTranslated from Armenian",Dec-12-2022_21-47,By agreement,,,,https://list.am/en/item/17909419,,8+,Yes,No,By Agreement,By Agreement
House,Stone,90 sq.m.,2,3,2,2 spots,Euro Renovation,,Tavush › Dilijan,"$1,000 monthly",USD,"Сдается двухэтажный коттедж в Дилижане. Коттедж находится в закрытом городке с охраной. На территории есть бассейн, спортивный комплекс, тренажерный зал, теннисная и баскетбольная площадка, детская площадка, бильярд, настольный теннис, ресторан. В коттедже две спальни на 5-6 человек, два санузла, душевая, гостиная, кухня, терраса и два балкона с прекрасным видом на горы. В коттедже есть все удобства, в том числе евроремонт, гараж, такси, WiFi интернет, стиральная машина, посуда. Տրվում է վարձով երկու հարկանի քոթեթջ Դիլիջանում: Քոթեթջը գտնվում է փակ տարածքում, որը ունի անտանգության աշխատակազմ, լողավազան, սպորտային կոմպլեքս, մարզասրահ, թենիսի և բասկետբոլի կորտ, երեխաների խաղադաշտ, բիլիարդ, սեղանի թենիս, ռեստորան: Քոթեթջը ունի երկու ննջասենյակ ՝ նախատեսված 5-6 անձի համար, երկու սանհանգույց, ցնցուղ, հյուրասենյակ, խոհանոց, տեռաս և երկու պատշգամբ, որոնցից բացվում է սարերի գեղեցիկ տեսարան: Քոթեթջը իր մեջ է ներառում բոլոր հարմարանքները, այդ թվում Եվրո-վերանորոգում, ավտոտնակ, բաքսի, WiFi ինտերնետ, լվացքի մեթենա, խոհանոցային պարագաներ ՝ ամանեղեն: Two-storey cottage for rent in Dilijan. The cottage is located in a closed town with security. On the territory there is a swimming pool, a sports complex, a gym, a tennis and basketball court, a playground, billiards, table tennis, a restaurant. The cottage has two bedrooms for 5-6 people, two bathrooms, a shower room, a living room, a kitchen, a terrace and two balconies with a beautiful view of the mountains. The cottage has all the amenities, including renovation, garage, taxi, WiFi internet, washing machine, dishes.",Dec-12-2022_21-47,Available,,"Fridge, stove, washing machine",,https://list.am/en/item/18654633,"Television, internet, swimming pool, barbecue oven, billiard, gazebo, alarm system",5,Yes,Yes,Not included,By Agreement
House,Stone,100 sq.m.,2,4,1,,Major Renovation,1000 sq.m.,Tavush › Dilijan,"200,000 ֏ monthly",AMD,"Сдается в аренду частный дом, со всеми удобствами на долгосрочное проживание. Ремонт сделан в этом году, есть wi fi. В доме имеются 3 спальни, 1 гостиная, кухня, санузел и коридор.",Dec-12-2022_21-47,,,,,https://list.am/en/item/18539776,,7,Yes,No,By Agreement,By Agreement
House,Stone,100 sq.m.,2,3,1,Not available,Designer Renovation,1000 sq.m.,"Մաքսիմ Գորկու փողոց, Դիլիջան","800,000 ֏ monthly",AMD,"Rooms are for rent on the second floor of the guest house.Common jointThe house is located in the central part of the city, on the bank of the river.It is provided with all the conditions for living.Permanent hot and cold water, internet, heating, kitchen, parking, garden...There are other options.Call for more informationRent:Дом дом в Дилижане:Room separation:Daily and long-termTranslated from Armenian",Dec-12-2022_21-47,Available,,Fridge,,https://list.am/en/item/18468935,"Internet, barbecue oven, alarm system",2,Negotiable,Negotiable,By Agreement,2 months
Country House,Bricks,120 sq.m.,1,4,2,,Designer Renovation,600 sq.m.,"Andranik Street, Dilijan station","70,000 ֏ daily",AMD,"Beautiful and comfortable summer house for rent in Dilijan. It has 3 bedrooms, 2 bathrooms, kitchen and living room, upstairs outdoor swimming pool, semi-open pavilion with its mangal (besetka) It has a beautiful view of the forests of Dilijan.Translated from Armenian",Dec-12-2022_21-47,,,,,https://list.am/en/item/18288659,,,,,,
Country House,Stone,750 sq.m.,3,7,3+,,Major Renovation,310 sq.m.,"Orjonikidze Street, Dilijan station","20,000 ֏ daily",AMD,"Гостевой дом в Дилижане.7 номеров со всеми удобствами.Вы можете забронировать как весь дом, так и комнаты по отдельности.Каждый этаж имеет отдельный вход.",Dec-12-2022_21-47,,,,,https://list.am/en/item/18436592,,,,,,
House,Stone,450 sq.m.,2,7,2,3 or more spots,Euro Renovation,1500 sq.m.,Tavush › Ijevan,"70,000 ֏ daily",AMD,"A private house with all utilities is available for daily rent, to spend the weekend in the beautiful and clean nature of Ijevan.The rent for one day is AMD 70,000.Rent for 10-15 days is AMD 35,000/dayThe rent for one month is AMD 600,000The house can host 10 peopleTranslated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17898804,,8+,Yes,No,Included,By Agreement
House,Stone,40 sq.m.,2,2,1,3 or more spots,Euro Renovation,,"Kamo Street, Dilijan station","20,000 ֏ daily",AMD,Two-storey stone house on Kamo street in Dilijan. With all utilities. Negotiable in case of long-term lease.Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/16578211,,6,Yes,Yes,Included,Without prepayment
Country House,Stone,200 sq.m.,2,4,2,Not available,Major Renovation,700 sq.m.,Tavush › Dilijan,"25,000 ֏ daily",AMD,"A private house is for daily rent in Dilijan. The private house is provided with all the amenities, it is a newly built capital building.Living Room֊ 2:Kitchen֊ 1:Bedroom֊ 4:Bathroom ֊ 2:PavilionBarbecueBarbecue bottles, woodTablewareBed:The private house is located in Haghartsin monastic complex and near Parz lake.We can accept 15 people at the same time.Translated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/16197520,,8+,Yes,Yes,Included,1 month
Country House,Stone,200 sq.m.,3,5,2,Not available,Major Renovation,700 sq.m.,"Parz Lich street, Dilijan station","25,000 ֏ daily",AMD,"Օրավարձով է տրվում առանձնատուն Դիլիջան համայնքում։ Առանձնատունը ապահովված է բոլոր կոմունալ և կենցաղային պայմաններով։Տունը գտնվում է Հաղարծին վանական համալիրի մոտակայքում։Ննջարան֊4Հյուրասենյակ֊2Խոհանոց֊1Սանհանգույց֊2Նախատեսված է մինչև 12 անձի համար։Ապահովված է կոմունալ բոլոր հարմարություններով, մշտական տաք և սառը ջուր, գազ։Առկա է անհրաժեշտ սպասք, խորովածի շշեր և փայտ։Տան աշխարհագրական դիրքի առանձնահատկություններից մեկը կայանում է նրանում, որ գտնվում է Պարզ լճի, Գոշավանքի, Հաղարծին վանական համալիրի ճանապարհների վրա։",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/16190014,,8+,Yes,Yes,Included,1 month
House,Stone,300 sq.m.,2,4,1,3 or more spots,Major Renovation,1000 sq.m.,Tavush › Dilijan,"70,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD014Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/14183229,,8+,Yes,No,Included,By Agreement
House,Stone,1000 sq.m.,3,5,3+,3 or more spots,Major Renovation,3000 sq.m.,Tavush › Dilijan,"130,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD045Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17531629,,8+,Yes,No,By Agreement,By Agreement
House,Stone,200 sq.m.,1,3,1,2 spots,Euro Renovation,700 sq.m.,Tavush › Dilijan,"45,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD036Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18060636,,8+,Yes,No,Included,By Agreement
House,Stone,106 sq.m.,3,3,2,1 spot,Major Renovation,,Tavush › Dilijan,"$1,100 monthly",USD,"3-х этажный дом на улице Молдовакан, Шамахян 2 квартал, Дилижан. Коттедж находится в закрытой территории с охраной, бассейном, спортивным комплексом, тренажерным залом, теннисной и баскетбольной площадкой, детской площадкой, бильярдом, настольным теннисом, рестораном.На 1 этаже коттеджа- гараж, 2 этаж: Гостиная, кухня, санузел, чулан 3 этаж: Две спальни, санузел, два балкона с прекрасным видом на горы. Коттедж полностью отремонтирован и оснащен мебелью и техникой. Имеется индивидуальная система отопления, Wi-Fi интернет, стиральная машина, посудомоечная машина, посуда.",Dec-12-2022_21-47,,,,,https://list.am/en/item/18385012,,4,Yes,Yes,Not included,1 month
House,Stone,1000 sq.m.,1,6,2,3 or more spots,Major Renovation,,Tavush › Dilijan,"40,000 ֏ daily",AMD,"Նորակառույց և հարմարավետ տուն Գոշավանքի մոտակայքում:Նախատեսված է մինչև 20 անձի համար:Ունի 2 պատշգամբ4 ննջասենյակ2 հյուրասենյակ2սանհանգույցՏունը ապահովված է կոմունալ բոլոր հարմարություններով՝Բացօթյա տաղավար անտառին կից,Մանղալ,Մշտական տաք և սառը ջուր,Սառնարան,Գազ,Սպասք,Սպիտակեղեն,2 հեռուստացույց:",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/13980770,,8+,Yes,Yes,Included,Without prepayment
House,Stone,180 sq.m.,2,3,1,2 spots,Major Renovation,705 sq.m.,"Kalinini street, Dilijan station","80,000 ֏ daily",AMD,"Private house for daily or long-term rent, there is a summer pavilion, swimming pool, fenced, car parking, WiFi, TV, heating, 2 bedrooms, 1 living room, barbecue.The guest house is designed for 11 people.Call in advance to book.Translated from Armenian",Dec-12-2022_21-47,Available,,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18155822,"Television, internet, swimming pool, barbecue oven, gazebo, alarm system",8+,Yes,No,By Agreement,2 months
House,Stone,170 sq.m.,2,4,1,1 spot,Designer Renovation,1000 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,"Code 0056 A beautiful and comfortable private house in Dilijan National Park is available for daily and long-term rent.The mansion is located in the forest on the way to Parz Lake, which is an ideal place to get away from everyday life. The surroundings are completely forest nature.Cost per day:Monday - Thursday - AMD 60,000Friday, Saturday and Sunday - AMD 100,000A discount will apply if you book 2 or more days.Up to 8 peopleTranslated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18234949,,8+,Yes,No,Not included,By Agreement
House,Stone,130 sq.m.,2,3,1,1 spot,Major Renovation,600 sq.m.,"Sayat-Nova Street, Dilijan station","50,000 ֏ daily",AMD,"A private house for daily rent in Dilijan. The house is completely renovated, has a large yard, garage, pavilion. For more information, call.Translated from Armenian",Dec-12-2022_21-47,Available,,"Fridge, stove, microwave, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer",,https://list.am/en/item/18606695,"Television, internet, barbecue oven, gazebo, alarm system",8+,Yes,No,Included,By Agreement
House,Stone,1000 sq.m.,3,6,3+,2 spots,Major Renovation,2000 sq.m.,Tavush › Dilijan,"85,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD060Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17903366,,8+,Yes,Negotiable,Included,By Agreement
House,Stone,1800 sq.m.,2,3,2,2 spots,Major Renovation,,Tavush › Dilijan,"95,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LC005Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/13123391,,8+,Yes,No,Included,By Agreement
Townhouse,Stone,100 sq.m.,2,3,2,2 spots,Major Renovation,,Tavush › Dilijan,"60,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD030Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/14594535,,7,Yes,No,Included,By Agreement
House,Stone,300 sq.m.,2,3,2,2 spots,Major Renovation,500 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD061Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17912398,,8+,Yes,No,By Agreement,By Agreement
House,Stone,600 sq.m.,2,4,1,2 spots,Major Renovation,1500 sq.m.,Tavush › Dilijan,"60,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD044Translated from Armenian,Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17267175,,8+,Yes,Yes,Included,By Agreement
House,Stone,450 sq.m.,3,5,2,2 spots,Major Renovation,700 sq.m.,"Andranik Street, Dilijan station","$1,500 monthly",USD,"Newly built private house for rent in Dilijan. Completely renovated, 2 bathrooms, tile metlak, first floor large area, garage, second floor about 50 square meters open balcony with a wonderful view, dining room, kitchen, one bedroom, bathroom; on the third floor - 3 bedrooms, hall, corridor, bathroom; There is a mansard floor with an open area, there is a fireplace in the garden;Code 473630Translated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/18268719,,6,Yes,Yes,Not included,1 month
House,Stone,250 sq.m.,3,5,3+,3 or more spots,Designer Renovation,450 sq.m.,Tavush › Dilijan,"130,000 ֏ daily",AMD,"Panorama Dilijan:The three-storey stone house is located in Dilijan. It has five spacious bedrooms, five bathrooms, equipped with all the necessary accessories. In the basement there is a swimming pool, sauna, tennis. The version has a large yard, a pavilion for 20 people.The private house accommodates 13 people overnight.There are price changes on weekends.Code pandilTranslated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/17875054,,8+,Yes,No,Included,By Agreement
Country House,Stone,100 sq.m.,3,3,2,3 or more spots,Euro Renovation,1000 sq.m.,Tavush › Dilijan,"25,000 ֏ daily",AMD,"How to rent a private house in Dilijan community for a long time? The house is provided with all the communal amenities, including constant hot and cold water, bedding, necessary dishes, barbecue bottles. The house can accommodate 10 people at a time. There is a tonratun next to the house, where your own hand-made barbecue will make the rest more complete.Translated from Armenian",Dec-12-2022_21-47,Available,,,,https://list.am/en/item/16460761,,8+,Yes,No,Included,By Agreement
Country House,Wooden,90 sq.m.,1,3,1,3 or more spots,Designer Renovation,2000 sq.m.,Tavush › Dilijan,"40,000 ֏ daily",AMD,House for daily rent in Dilijan.Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17937442,,8+,Yes,No,By Agreement,By Agreement
House,Stone,80 sq.m.,2,4,1,1 spot,Designer Renovation,100 sq.m.,"Մաքսիմ Գորկու փողոց 18, Դիլիջան","30,000 ֏ daily",AMD,"Spend your winter and New Year holidays in a cozy private house in Dilijan, enjoying the fresh air and beautiful nature of Dilijan.We are waiting with love...Translated from Armenian",Dec-12-2022_21-48,Available,,"Fridge, stove, coffee maker, washing machine, water Heater",,https://list.am/en/item/18681765,"Television, fireplace, barbecue oven",5,Yes,Negotiable,Included,By Agreement
House,Stone,80 sq.m.,2,3,1,1 spot,Major Renovation,"200,000 sq.m.","Հակոբջանյան փողոց 54, Դիլիջան","350,000 ֏ monthly",AMD,"The house is available on New Year's Day, from December 31 to January 5. It is very close to the center, there are several supermarkets, bread and pastry factory, etc. Nearby. There is a beautiful view from the balcony. The cost of 5 days is AMD 350,000.Translated from Armenian",Dec-12-2022_21-48,Available,,"Fridge, stove, washing machine, water Heater, iron, hair dryer",,https://list.am/en/item/18662335,"Television, internet, barbecue oven",6,Yes,No,Included,By Agreement
House,Stone,120 sq.m.,2,3,2,1 spot,Major Renovation,120 sq.m.,"Kalinini street, Dilijan station","5,000 ֏ daily",AMD,"The house is well furnished, has a garage, pavilion, fountain. The rooms are bright and comfortable.Translated from Armenian",Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17657302,,7,Yes,No,By Agreement,By Agreement
House,Stone,100 sq.m.,1,2,1,Not available,Euro Renovation,70 sq.m.,Tavush › Dilijan,"30,000 ֏ daily",AMD,"Շինության տիպըՔարեՀարկերի քանակ1Սենյակների քանակ1Սանհանգույցների քանակ2Ընդհանուր մակերեսը60 ք. Մ.Հողատարածքի մակերեսը100 ք. Մ.ՎերանորոգումԿապիտալ վերանորոգվածՏների վարձակալություն, 2 սենյակ, 1 սանհանգույց, հեռուստացույց, սառնարան և բազմոց։՝ wi-fi,smart tv,կամեն,մշտական տաք և սառը ջուր,կենտրոնացված ջեռուցում,սպասք,անկողնային պարագաներ։Տունը վարձակալելու դեպքում գիշերակացով կարող է տեղավորել մինչև 5 անձ 1 օրը 30000դրամԱնկացրեք ձեր հանգիստը գեղատեսիլ Դիլիջանում։Տունը մոտ է քաղաքային զբոսայգուն, սննդի օբյեկտներին՝ Քարահունջ, Կճուչ, Պապանինո-հաուզ, Դոլմամա․Ամրագրելու համար զանգահարել նախապես:Այստեղ անցկացրած հաճելի ժամանակը ու ստացած դրական լիցքերը դեռ երկար կմնան ձեր հիշողություններում։+ Մուտքը 14:00 Ելքը 12:00+ Մինչև երեկո մնալու դեպքում գանձվում է ևս 1 օրվա գին+ Տունը ամրագրելու համար ԿԱՆԽԱՎՃԱՐԸ ՊԱՐՏԱԴԻՐ Է:+ Ամրագրումը Ձերկողմից չեղարկելու դեպքում կանխավճարը ենթակա ՉԷ հետ վերադարձի: Հարգելի հաճախորդ այլ պայմաներին ծանոթանալու համար զանգահարեք նշված հեռախոսահամարներով։",Dec-12-2022_21-48,Not available,,,,https://list.am/en/item/18206507,,5,Yes,No,Included,3 months
House,Stone,500 sq.m.,2,4,1,2 spots,Major Renovation,1200 sq.m.,Tavush › Dilijan,"55,000 ֏ daily",AMD,The house is equipped with all utilities and household facilities.Code LD066Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/18078434,,8+,Yes,No,Included,By Agreement
House,Stone,1000 sq.m.,2,3,2,2 spots,Major Renovation,2000 sq.m.,Tavush › Dilijan,"85,000 ֏ daily",AMD,The house is provided with all the communal and household amenities.Code LD056Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/17784295,,7,Yes,No,Included,By Agreement
House,Stone,100 sq.m.,1,3,1,2 spots,Euro Renovation,,Tavush › Dilijan,"65,000 ֏ daily",AMD,The house is provided with communal and living amenities.Code LD054Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14209538,,8+,Yes,No,Included,By Agreement
House,Stone,500 sq.m.,2,4,2,2 spots,Major Renovation,1500 sq.m.,Tavush › Dilijan,"90,000 ֏ daily",AMD,The house is provided with all communal and household amenities.Code LD031Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14316623,,8+,Yes,Negotiable,Included,By Agreement
House,Stone,900 sq.m.,2,4,3+,3 or more spots,Major Renovation,,Tavush › Dilijan,"120,000 ֏ daily",AMD,It is provided with all communal and household amenitiesCode LD010Translated from Armenian,Dec-12-2022_21-48,Available,,,,https://list.am/en/item/14721934,,8+,Yes,No,Included,By Agreement
