Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Functioning Business,70 sq.m.,Ararat › Vedi,"$2,500,000",USD,"Վաճառվում է տրավերտինի քարի հանք 70 հեկտար և արտադրամաս, անհրաժեշտ բոլոր հաստոցներով և տեխնիկայով, ցանկացաց տեսակի, չափսի և բարդության պատվերներ իրականացնելու համար:Վանաշենի քարի հանքը, Երևանից (Հայաստանի մայրաքաղաք) 50 կիլոմետր հեռավորության վրա, զբաղեցնում է 70 հա տարածք։ Հայ և եվրոպացի փորձագետների գնահատականներով՝ հանքավայրն ունի 20 մետր միջին տրավերտինային շերտ՝ 5.600.000 մ3 ծավալով, ինչը հավասար է 13.150.000 տոննա պահուստային շահագործման ներուժի, ինչն երաշխավորում է քարի շարունակական արդյունահանումը 150 տարի։Արտադրամասը հագեցաց է եվրոպական ժամանակակից հաստոցներով ցանկացաց տեսակի, չափսի և բարդության պատվեր իրականացնելու համար:Ավելի մանրամասն տեղեկատվություն ստանալու համար զանգահարեք:Ванашенский карьер, расположенный на экологически безопасном и в промышленном отношении многообещающем участке, в 50-и километрах от Еревана (столицы Армении) со всеми возможностями международных коммуникаций, охватывает территорию приблизительно 70 га. Согласно оценкам армянских и европейских экспертов месторождение имеет 20 м среднего травертинового страта, в объеме 5.600.000 м3, что равно 13.150.000 тонн запасного потенциала эксплуатации, который, гарантирует непрерывную добычу камня в течение 150 лет. Карьер оснащен современными европейскими стонками для изготовления заказов любого вида, размера и сложности.Vanashen open pit located in an environmentally safe and industrially promising plot, in 50 kilometers from Yerevan (capital of Armenia), covers an area of approximately 70 hectares. According to the assessments of the Armenian and the European experts, the deposit has 20 meters of the middle travertine stratum in volume of 5.600.000 m3, which is equal to 13.150.000 tons of spare capacity use, which guarantees continuous quarrying within 150 years. The quarry is equipped with modern European machine-tools for the production of orders of any kind, size and complexity.",Dec-12-2022_20-37,Available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17816076,Stone
Agricultural Space,1200 sq.m.,Ararat › Artashat,100 ֏,AMD,"Call for details, in addition to the property, there is 750 hectares for rent.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18035205,Stone
Multifunctional Space,1000 sq.m.,"1st Street, Nor Kharberd","$150,000",USD,"2-storey commercial HOUSE - GUESTHOUSE (two-layer tuff capital building) for saleIn the newly built district of Masis-Ayntap Kaltsevo, PRESIGNATION of the main highway (near the Great Cross)3 km away from Yerevan.Each floor is 200 square meters. Total: 1000 square meters.The 1st floor (H = 3.05) is suitable for forging, furniture, production of household goods, etc.2nd floor (H = 3.20) The floor is suitable for living, as well as for textile production, office, etc.In the yard, 40 m high, 40 sq. M. Storage-production area, swimming pool, parking lot, garden.The house has 3 separate entrances.The private house is convenient to use as a guest-hotel (beautiful view of Masis), a kindergarten, a trade base, etc.Price: $ 150,000Code TTT295Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17937269,Stone
Multifunctional Space,6 sq.m.,Ararat › Artashat,"530,000 ֏",AMD,"Kiosk with thick metal sheet electrified for bistro and trade. 3x2 inside. The plastered ceiling, insulation and ventilation windows are removable with mesh. The booth can be moved to any location. Attention, we will adjust the price urgently. It is possible to exchange with building materials, furniture. For details, call.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/17337024,Cassette
Industrial and Manufacturing,360 sq.m.,Ararat › Masis,"$115,000",USD,"Urgent bakery for sale (bakery) in the center of Masis, total area - 360 square meters.The workshop has a storage room, a study, is provided with constant drinking and irrigation water, has three-phase electricity.For sale with all the equipment, with all the amenities.Price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16552224,Stone
Everything Else,4400 sq.m.,Ararat › Nor Kharberd,"$320,000",USD,"Կոդ՝ B-21264Վաճառվում է արտադրական տարածք (թռչնաբուծական ֆերմա) Նոր Խարբերոդում։ Տարածքը վերանորոգված է, շինության մակերեսը՝ 290քմ։ Մուտքի դուռը՝ ապակեպատ, պատուհանները՝ եվրո։ Ունի խոհանոց, սանհանգույց, օդափոխության համակարգ, հոսանք, մշտական ջուր։ Վաճառվում է թռչնաբուծության համար անհրաժեշտ սարքավորումներով, տարածքներով և առկա թռչուններով (3 ջայլամ, 300 հավ) ։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։Production area (poultry farm) for sale in Nor Kharberd․ The area is renovated, the area of the building is 290sq. M. The entrance door is glass-made, the window are euro-based. The area has a kitchen, bathroom, ventilation system, electricity and is supplied with constant water. The area is being sold along with appropriate equipment for poultry farming, areas and birds (3 ostriches, 300 chickens)The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/14848212,Stone
Restaurant,102 sq.m.,"Marks street, Artaxata (Artashat)","$95,000",USD,"A functioning tavern in the center of Artashat is for sale, it has all utilities, hot and cold water, three-phase electricity, gas, artesian water. It is currently rented out and provides a stable income. It is sold together with the property. For more information call.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/18406045,Stone
Industrial and Manufacturing,,Ararat › Artashat,"$1,500,000",USD,"Վաճառվում է 1,6 հեկտար ցանկապատած արտադրական տարածք, 3500 ք. Մ. Շինություն կոմունալ հարմարություններով (եռաֆազ հոսանք, խմելու ջուր, ոռոգման ջուր) գտնվում է քաղաքից 14կմ հեռավորության վրա, կից հողատարածքները ընդհանուր մակերեսով 18,5 հեկտար որոնց մեջ ներառված են պտղատու ծառեր 2 հատ 1000քմ մակերեսով լիճ մեկը գործող:Շինության մի մասը զբաղացնում է ֆերման 50 գլուխ խոշոր անասունով, մի մասը գործող կաթի վերամշակման արտադրամաս, անասնակեր (գարու ածիկ) հիդրոպոնիկ ճանապարով աճեցվող օրական 2տ: Բնակելի տուն կոմունալ հարմարություներով 100քմՎաճառվում է իր տեխնիկայով հանդերձԶանգահարել Viber-ի համարին",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/15532688,Bricks
Everything Else,370 sq.m.,Ararat › Geghanist,$500,USD,370 sq / m greenhouse for saleGreenhouse materialPrice is negotiableTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17273314,Bricks
Functioning Business,270 sq.m.,"Yerevan-Artashat roadway, Arevabuyr","$46,000",USD,"An operating car wash is for sale on the central highway of Jrahovit village, Ararat region, on the central highway of Yerjan-Artashat national significance highway. It is provided with all the necessary equipment (new engines, vacuum cleaners, air filling equipment for wheels, tank for storage of 5 tons of water, three-phase electricity, video equipment, separate room) The total area is 270 square meters, the length of the front part is 18 meters. The importance of land for public-construction. Suitable for other activities as well. It is possible to exchange with a car worth $ 10,000 for an additional fee.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17411259,Stone
Restaurant,676 sq.m.,"11-րդ փողոց, Այնթապ","$550,000",USD,"A large 4-storey restaurant complex is for sale in the village of Aintap, Ararat region, 1 km from Yerevan city.~ The first floor is a semi-basement and serves as a storage room.~ The second floor is designed as a place for entertainment.~ Third floor: Wedding hall with its own separate kitchen.~ On the fourth floor is the hotel with its guest rooms. All rooms have their own bathrooms.~ There is a parking lot in front of the building, a yard and a half-built building in the back.~ There is constant water, gas, three-phase electricity in the restaurant complex.~ Sold with all property and equipment.To get detailed information, write or call the specified number.The restaurant complex is shown under a real estate listing agreement.The service commission is 2% of the sales price.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18510421,Monolith
Retail Space,33 sq.m.,"1-ին փողոց, Նոր Խարբերդ","$18,000",USD,"The public building is located on the main street of Nor Kharberd, in front of the 2nd school, on the road, 1st line. The building is made of stone, with a monolithic roof. Has water, electricity, sewerage.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17077907,Stone
Agricultural Space,3000 sq.m.,"Yerevan-Artashat roadway, Ayntap Border","100,000,000 ֏",AMD,"A newly built greenhouse is for sale in the beginning of Aintap, near the North-South Marihu. The greenhouse is 3000 square meters equipped with the latest technologies. It has a separate boiler house, warehouse, etc. (180 square meters) It is in very good condition. The price is not negotiable. It is also possible to rent.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/18314920,Stone
Agricultural Space,450 sq.m.,Ararat › Masis,"4,000,000 ֏",AMD,"Greenhouse construction made of stainless steel, height 6 m, length 50 m, width 9 mTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18495835,Cassette
Functioning Business,55 sq.m.,"Արարատյան փողոց, Վեդի","$55,000",USD,An existing business is for sale. For sale together with the property. The store works in programmed mode. Call for details.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18379755,Stone
Retail Space,500 sq.m.,Ararat › Artashat,"$80,000",USD,"A bakery business is for sale, the first line is a corner, it is a very busy area, it also has the possibility of becoming a supermarket, a building market, the area is completely fenced, it is sold with all the property and equipment.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/17796296,Stone
Retail Space,280 sq.m.,"Նոր թաղամաս, Մասիս","$55,000",USD,A shop with its adjacent plot of land is for sale.280 sq/m of which 40 sq/m shop.Translated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/18694434,Stone
Multifunctional Space,120 sq.m.,Ararat › Masis,"50,000,000 ֏",AMD,"Masis central square. Secured with all utilities, publicTranslated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17452886,Stone
Functioning Business,400 sq.m.,"Տիգրան մեծ փողոց 20, Զորակ","$285,000",USD,Each floor of the building is 232.m2The 1st floor is intended for businessThe 2nd floor is intended for 2 apartmentscommoncall for more detailed informationTranslated from Armenian,Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18475009,Monolith
Retail Space,25 sq.m.,Ararat › Vedi,"4,400,000 ֏",AMD,"URGENT I am selling a shop, a business with an area of 25 square meters. ""Meat shop"" has a separate tank for water, a toilet, a sink, a parking lot suitable for cars...Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17632887,Stone
Retail Space,5 sq.m.,Ararat › Artashat,"250,000 ֏",AMD,A kiosk is for saleDimensions 2x2.7 height 2 mOnly the kiosk without space is for sale.Translated from Armenian,Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/17667894,Cassette
Functioning Business,2000 sq.m.,"15-րդ փողոց, Ղուկասավան","$480,000",USD,"Վաճառվում է պարիսպապատ տնամերձ տարածք Ղուկասավանում 2000 ք. Մ.:Տարածքում գտնվում է 1400 ք. Մ. Գործող ջերմոց հոլանդական վարդերով, 3 սենյականոց կահավորված տուն, 2 հարկանի շինշիլաների ֆերմա` Միակը Հայաստանում իր ոճի մեջ, սառնարան, եռաֆազ 54 կվ. Արտադրողականությանբ արևային համակարգ և այլն:Մանրամասների համար զանգահարել կամ գրել:Զանգահարել VIBER 09:00 - 11:00 և 20:00 -23:00Продаётся собственный земельный участок 2000 кв метров огороженный каменным забором.На территории находится 1400 кв метров парник с Голландскими розами, 3-х комнатный дом с мебелью и техтикой, 2-х этажная Шиншилловая ферма единственнная в Армении в своём роде, холодильный отсек, солнечная электростанция трёхфазная с мощностью 54 кВ/ч и тд.Для подробной информации звонить по VIBER с 09:00-11:00 и 20:00-23:00",Dec-12-2022_20-37,Available,Not available,Second Line,Common from the Street,,,,,Covered parking,https://list.am/en/item/16153972,Stone
Multifunctional Space,160 sq.m.,"Abovyan street, Ararat","$80,000",USD,"The area is located at 5 Abovyan, Ararat city, 150 square meters, has a spare part, bathroom, toilet, three-phase electricityTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17397578,Stone
Functioning Business,1200 sq.m.,Ararat › Masis,"118,000,000 ֏",AMD,"Very Urgent For rent, an operating business with stable income, a supermarket with all its facilities, 15 km from Yerevan on Masis Ranchpar Highway. The total area of buildings is about 600 square meters. The supermarket has an additional area of 250 square meters, 15 square meters for a pharmacy, a storage area of 240 square meters, and an area of 100 square meters for a food court. There is an operating gas station nearby. In case of purchase, we can rent for a long time. The price is negotiable.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/13503184,Stone
Industrial and Manufacturing,1000 sq.m.,"Gay Roadway, Hovtashat","$29,000",USD,"Located on main road near Mehmandar market, convenient for any activity, Also exchange for equivalent car. BackTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/18300271,Stone
Agricultural Space,300 sq.m.,"Gay Roadway, Hovtashat","$42,000",USD,"Livestock farm. The land is 5500m, the barn is 300m, the summer barn is 300m. Three-phase current.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18472439,Stone
Agricultural Space,15 sq.m.,"Հանրապետության փողոց, Արմաշ","$90,000",USD,"9 hectares (90.000 sq. M.) with ribalovite, operating for 15 years, exchange only with equivalent land up to 100-250 square meters in a busy area, do not call pointlessly, the price is already negotiated, village Yeraskhavan Exchange lich lcher dzknabucaran gorcox biznes 17 tari operating businessTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/15730982,Stone
Retail Space,108 sq.m.,"Araz street 41, Artaxata (Artashat)","$100,000",USD,"An existing business with its premises is for sale, which also includes a pharmacy. The price is negotiable. The total area of the area is 108 square meters. If you have any questions, callTranslated from Armenian",Dec-12-2022_20-37,By agreement,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/18426597,Stone
Industrial and Manufacturing,500 sq.m.,"Սաղաթելյան փողոց 1, Դալար","$90,000",USD,"lavash workshop for sale in Dalar village of Ararat marz (next to the wine factory on the Yerevan-Artashat highway)It has constant hot and cold water, three-phase electricity, it is renovatedthere is all the equipment to start lavash productionprice is negotiableTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18428936,Stone
Functioning Business,320 sq.m.,Ararat › Ayntap,"$150,000",USD,Car wash businessThere is also an office downstairsTranslated from Armenian,Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18662043,Stone
Retail Space,125 sq.m.,Ararat › Argavand,"$67,000",USD,"KOD-63143In Argavand, commercial space for sale, 2 floors.^ Sold with equipment^ Located in the first lineTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16849083,Stone
Industrial and Manufacturing,8000 sq.m.,"Yerevan-Artashat roadway, Arevabuyr","$85,000",USD,Urgently negotiable suitable for any type of activity as well as for building a house for sale.Translated from Armenian,Dec-12-2022_20-37,Available,Not available,First Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/17490216,Panels
Industrial and Manufacturing,5600 sq.m.,"17-րդ փողոց 13, Հայանիստ","$170,000",USD,"The commercial-production area is located in Hayanist village. It is located on the central street of Hayanist village, which leads to Mermandar. Three-phase electricity, drinking water, natural gas, irrigation water, arable land. The area is suitable for a restaurant complex, car service and other similar business activities.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18445833,Stone
Agricultural Space,250 sq.m.,Ararat › Masis,"$33,000",USD,"Farm cattle ranch. The cattle farm is located on the 7th street in the city of Masis. It has its own 100 kW plant, a mill also grinds grass, a mixer with a capacity of 500 kg, there is a well with a pump (artesian), ventilation system (with ventilators), the water pipe is near (drainage), 3 large houses. Suitable for keeping cows or pigs. The side of the road is fenced, the rest is fenced, total 3000 mTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17356229,Stone
Multifunctional Space,2400 sq.m.,Ararat › Ararat,"$63,000",USD,"Գլխավոր ճանապարհինПекарня-чайхана – это действующий бизнес с явным доходом. Земельный участок площадью 2400 квадратных метров имеет полное разрешение на строительство. На ту конструкцию (100 кв. М.) я потратил около 6000 долларов. Я также построил полностью отдельную линию электропередача и установил силовой трансформатор. Имущество-оборудование, расположенное внутри, стоит около 12000 долларов. По главной дороге есть раздел для туристического движения.Адрес: РА, Араратская область, село Шагап, 72 АраратянՀացատուն-թեյարանը գործող բիզնես է իր հստակ եկամուտով։ 2400 քռ. Մակերեսով բնակելի կառուպատման իրավունքով։ 100 քռ. Կառույցն է, մոտ 6000$ ծախսել ու լրիվ առանձին հոսանքի հզոր գիծ եմ քաշել, նաև հոսանքի տրանսֆորմատր եմ տեղադրել։ Ներսում կա մոտ 14.000$ արժողությամբ գույք-տեխնիկա։ Գլխավոր ճանապարհին կից տուրիստական տեղաշարժի համար հատկացված հատված կա։Այգում կառուցվաղ է՝ տաղավարներ, մուտքի մոտ սրճարան, պտղատու այգի... ԵՒ այլն։Հասցե՝ Արարատյան 72, ՀՀ, Արարատի մարզ, գյուղ Շաղափ",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/17756002,Stone
Industrial and Manufacturing,3700 sq.m.,"Armavir Province Roadway 56, Hovtashat","$220,000",USD,"Production plot for sale in Hovtashat village, Ararat region, 10 km from Yerevan, total plot size 3700 m2, buildings 1100 m2, greenhouse 500 m2, office space 50 m2, suitable for any production, refrigeration, greenhouse, warehouse, has three-phase power, permanent waterTranslated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18665898,Stone
Retail Space,1300 sq.m.,Ararat › Ararat,"$2,000,000",USD,"Operating business, 1st and 2nd floors, commercial, 3rd floor, children's entertainment center, has about 112 square meters of storage space, yard, own electric substation, if desired, the roof can also be usedthe space of the pharmacy is currently rentedTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18628418,Panels
Multifunctional Space,500 sq.m.,Ararat › Masis,"$90,000",USD,"Inside there is a bakery, a market hall, a bathroom, a rest room. It is for rent. Is located in Zorak provinceTranslated from Armenian",Dec-12-2022_20-37,By agreement,Available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18045467,Stone
Retail Space,42 sq.m.,"Նոր թաղամաս 19, Մասիս","$13,000",USD,"Privatized building and land.9 next to the building.Fits 2 cars at the moment.On 6x7.It is very convenient to use as a store or for other commercial purposes, including a garage.There is electricity and water.The sewer passes by.Can be made residential.It has 2 floors.Negotiable:Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16201686,Stone
Agricultural Space,540 sq.m.,Ararat › Aralez,"$40,000",USD,"Cattle farm for sale with all amenities, water and electricity (380 volts) Located in Ararat Marz. In good condition.Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18020442,Stone
Industrial and Manufacturing,3500 sq.m.,Ararat › Jrashen,"$98,000",USD,"2000086Newly built 2-storey private house for sale.The front part is 36 m, building area: 1500 m2, land area: 2000 m2.Completely renovated, general heating installed.He once worked in a sausage, milk, and cheese factory for 50 years. Milk wells and barn.Long-term lease is possible for businesses.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18411146,Stone
Industrial and Manufacturing,2380 sq.m.,Ararat › Nor Kharberd,"$180,000",USD,"Code K159Production area for sale in New Kharberd. It is provided with round-the-clock water supply and gas supply. It has a workshop, warehouses, a separate power substation, a garage, a guard post, a 2-story administrative building in the form of a detached house. The house is renovated, has 5 rooms, kitchen, bathroom.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/18555942,Stone
Multifunctional Space,"11,300 sq.m.","Yerevan-Meghri highway, Yerevan","$460,000",USD,"A restaurant complex with an area of 540 square meters is for sale on the 1st line of Yerjan Meghri interstate M2 road, 6 km away from Yerevan. The total area of the land is 11300 square meters, of which 1500 square meters is a restaurant complex. The purpose is industrial. Closed private rooms for 6-16 people, 2 open-air pavilions for 6-8 people, a cafe for 10-12 people in the lobby, a hall for celebrations under construction for 80 people. The area also has a parking lot for 40 cars. There is also a fast food service point next to it. In the other part of the land there are 16 swimming pools with an area of 2500 square meters for fish production, with their own pipelines. The area is completely fenced, has a separate electricity. Substation, sewer, guard house, 150 sq. M. Separate storage part. Sale of property and equipmentTranslated from Armenian",Dec-12-2022_20-37,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17609615,Stone
Industrial and Manufacturing,1100 sq.m.,"Barekamutyan Street, Proshyan village","$38,000",USD,"Operating lavash oven, for details call the specified phone numberTranslated from Armenian",Dec-12-2022_20-37,Available,Not available,Other,Common from the Courtyard,,,,,,https://list.am/en/item/18572306,Stone
Multifunctional Space,1700 sq.m.,"Ծովակալ Իսակովի փողոց, Արտաշատ","$700,000",USD,"Existing business ARDVIN restaurant-hotel complex for sale, c. In Artashat, the spheres of activity are: Restaurant business, large hall up to 150 people, small hall up to 70 people, Hotel 8 existing rooms (each with its own bathrooms), Bar and Hatsatun indoors փակ indoors as well as open-air compartments.There are 3 bathrooms on the first floor and 10 on the second floor.The building has its own single-phase transformer, solar station, is provided with all the communal conditions - hot and cold water, gas, high-quality modern ventilation (chiller) system, modern kitchen - refrigerators.The area is private.Address: C. 22 Artashat, Yerevan-Yeraskh highwayPrice is negotiable.If you have any questions, call or visit Ardvin.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17805394,Stone
Industrial and Manufacturing,9800 sq.m.,"1-я улица 61, Саят-Нова","$350,000",USD,"Industrial area for sale consisting of 3 production buildings, there is also a residential house, a swimming pool and an orchardTranslated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16796737,Stone
Industrial and Manufacturing,1300 sq.m.,"1st Street, Nor Kharberd","$280,000",USD,"On the Aintap road, the beginning of Kharberd. A multifunctional space with 3 floors can serve as (production area, warehouse, offices, HOSTEL, the rooms are already cut above.)Attached to Noragavit5 minutes drive from Chaebach20 minutes from the center of Yerevan.Translated from Armenian",Dec-12-2022_20-37,Partial Furniture,Not available,Second Line,Common from the Street,,,,,"Outdoor parking, garage",https://list.am/en/item/18679646,Stone
Functioning Business,2400 sq.m.,Ararat › Marmarashen,"$80,000",USD,"Existing business for sale.There are 3 stone residential buildings in the area.It is provided with irrigation, drinking and avisi water supply.There are barns where it is convenient to keep and breed a variety of animals (chickens, hens, chickens...)Code 9450Translated from Armenian",Dec-12-2022_20-37,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17616476,Stone
Agricultural Space,"14,000 sq.m.",Ararat › Darakert,"$750,000",USD,"Արարատի մարզի Դարակերտ գյուղում վաճառվում է ապակեպատ ջերմոցային տնտեսությունհողատարածքի մակերեսը՝ 3,0 հաջերմոցի մակերեսը 14000 քմջերմոցային տնտեսությունը հագեցած է ոռոգման և ջեռուցման համակարգով:Հիանալի հնարավորություն է բիզնես գործունեություն ծավալելու համար, քանզի միայն նման մակերեսով ջերմոցի կառուցման համար դուք կծախսեք նվազագույնը 700,000 ԱՄՆ դոլար։Продается застекленная теплица в селе Даракерт Араратской области.Площадь участка: 3,0 гаплощадь теплицы 14 000 кв. М.Теплица оборудована системой полива и отопления.Это отличная возможность для деловой активности, так как чтобы построить теплицу такой площади, вы потратите не менее 700 000 USD.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/18453452,Stone
Retail Space,31 sq.m.,"Masisi St 31, Yerevan","$31,000",USD,Магазин дом в харошм састаяние,Dec-12-2022_20-37,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/15943933,Stone
Office Space,38 sq.m.,Ararat › Artashat,"100,000 ֏",AMD,On the first floor of Shahumyan 7 building in Artashat city(next to the police station)for rent with an area of 38 square meters(2 rooms) area:There is a bathroom.Scan for detailsTranslated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18567596,Stone
Industrial and Manufacturing,"10,000 sq.m.",Ararat › Artashat,"$6,000,000",USD,"An existing workshop/factory is for sale. In abundance. The factory produces cans, juices, wine, vodka, cognac. The plant is sold with its equipment.Translated from Armenian",Dec-12-2022_20-37,Available,Not available,Second Line,Separate from the Street,,,,,Outdoor parking,https://list.am/en/item/18676129,Stone
Multifunctional Space,576 sq.m.,Ararat › Ararat,"$80,000",USD,"A public area operating in the center of Ararat village, the areas are given for rent, exchange with other property or car.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18240083,Stone
Industrial and Manufacturing,4400 sq.m.,"1st Street, Nor Kharberd","$320,000",USD,"Existing business for sale: Land 4400 square meters, all fenced, building 290 square meters. Operates as a poultry farm. The area has electricity, constant hot and cold water, irrigation water, bathroom.Optional documents will be provided if desired.Translated from Armenian",Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/16982213,Stone
Multifunctional Space,1400 sq.m.,"Աղասի Խանջյանի փողոց 56, Արարատ","$350,000",USD,"Շինությունը ապահովված է մշտական ջրով, եռաֆազ հոսանքով, կոյուղիով, ունի սպասասրահ/բար բոլոր հարմարություններով, բոլոր բոքսերը տրված են վարձով, տարածքում գործում է գազաբալոնների ստուգաչափման լիցենզաորված կետ տարածքում գործում է բլոկի 2 արտադրամաս, Տարածքը ամբողջությամբ տրվում է նաև վարձով, մանրամասների համար զանգահարեք, ՏԱՐԱԾՔԸ ՀԱՐՄԱՐ Է ՆԱև ԲՆԱԿԵԼԻ ՇԵՆՔ ԿԱՌՈՒՑԵԼՈՒ ՀԱՄԱՐ։The building is provided with constant water, three-phase electricity, sewerage, has a waiting room / bar with all amenities, all of the garages are for rent, there are 2 workshops of stone in the area, the whole area is for rent, call for details, building area is also suitable for making a residential property.Здание обеспечено постоянной водой, трехфазным электричеством, канализацией, есть зал ожидания/бар со всеми удобствами, все боксы в аренде, на участке 2 цеха блока, вся площадь в аренде, звоните для подробностей. Здание подходит для строительства жилого дома.",Dec-12-2022_20-37,By agreement,Not available,Other,Common from the Courtyard,,,,,,https://list.am/en/item/18536886,Stone
Restaurant,3500 sq.m.,Ararat › Artashat,"$70,000",USD,Existing business for sale. The area is 3500 square meters.It is located on the left side of the road of Zovashen Arevshat villages. Call for details. Price negotiable.Translated from Armenian,Dec-12-2022_20-37,,,,,,,,,,https://list.am/en/item/18114711,Stone
Office Space,1332 sq.m.,"Օգոստոսի 23 փողոց 79, Արտաշատ","$1,400,000",USD,"An office building is for sale or rent in the heart of Artashat, in front of the square (Kentzagh House) A 5-story stone building with an area of 1332 square meters, there is a beautiful green garden in front of it. It is possible to rent both the building as a whole, and each area individually, with renovation by the lessee. For more information call: The price is conditional.Translated from Armenian",Dec-12-2022_20-37,Not available,Available,First Line,Common from the Street,,,,,Outdoor parking,https://list.am/en/item/18672911,Stone
