Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,Monolith,264 sq.m.,Not available,Not available,First Line,Common from the Street,"Safaryan street, Kasakh","$300,000",USD,UrgentI am selling a 3-story conversion apartment in the central part of KasakhAlso possible for rentPRICE IS FINALTranslated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18267452,,,,
Multifunctional Space,Stone,275 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Zovuni,"$1,700",USD,"A stone building for sale in the back of Davtashen Chast, suitable for various commercial activities, directly adjacent to the road. The price of 1 square meter is 1700 dollars. For more information call:Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18583641,,,,
Retail Space,Stone,18 sq.m.,,,,,"3-րդ թաղամաս 1, Չարենցավան","$22,000",USD,"URGENT: The shop is located in the central street, the total area is 18 square meters, the monolithic roof is covered with tin, gas, sewage, water supply, it has a basement. For other details, call the specified phone number. The price is negotiableTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18439187,,,,
Restaurant,Stone,3000 sq.m.,Available,Not available,Second Line,Separate from the Street,Kotayk › Dzoraghbyur,"$750,000",USD,"Code-15099. A restaurant-hotel complex (operating business) is for sale in Dzoraghbyur. There is a hall for 180 people (with heated floor), a spacious lobby, 7 private rooms, 4 small outdoor pavilions, 1 large outdoor pavilion for 60 people, 5 hotel rooms with bathrooms. All communications are available (including three-phase current)Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18497795,,,,
Warehouse,Stone,2200 sq.m.,Not available,Not available,Other,Common from the Street,"Աշտարակի խճուղի 44, Երևան","$130,000",USD,"2200 square meters for sale. M. Land area, 550 sq. M. With a semi-detached building, it is suitable for all kinds of activities. There is irrigation and drinking water, electricity. It is located 150m away from Ashtarak highway, near the former Ministry of Defense.Suitable for use as a storage container.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18410998,,,,
Multifunctional Space,Stone,685 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Kotayk › Hrazdan,"$320,000",USD,"A commercial area of 700 square meters is for sale, which is located in Hrazdan: Microdistrict 111 building. The area occupies the entire first floor of a five-story building, has gas, water, three-phase electricity, parking space: 1200 square meters. Office area, shop, office, market, house, apartmentTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18558880,,,,
Functioning Business,Stone,650 sq.m.,Available,Not available,Second Line,Separate from the Street,"Տիգրանաձորի փողոց 40, Արամուս","$400,000",USD,"A working pig farm for sale in Aramus village with 70 sows and about 250 pigs of various sizes. It has personal three-phase electricity and constant water, internet, it has a feeder and a feed mixer. It is equipped with cameras, a solar system of 15 kW is installed. It has a licensed slaughterhouse, with a delivery truck. The land area is 10,000 square meters. M Gomerin 650 sq. M. M. The barns were built in 2017. The monthly output is 110-120 pieces. For more information, callTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18519674,,,,
Warehouse,Stone,20 sq.m.,,,,,Kotayk › Abovian,"$1,200",USD,"K. The basement for sale in Abovyan can serve as a warehouse for any kind of goods, as well as vegetables and spare parts.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18506729,,,,
Hotel,Stone,2000 sq.m.,Available,Not available,First Line,Separate from the Courtyard,"Майская улица 9/1, Цахкадзор","$15,000,000",USD,"Ready-made hotel complex for sale. The total area is 2000 square meters. The complex consists of four apartments. Each of the apartments consists of three floors. There is a restaurant on the territory of 200 square meters, there are also two Finnish saunas with their additional rooms. There is also a 850 square meter three-story private house in the area, which you can use as your own house or use as a hotel complex.Translated from Armenian",Nov-27-2022_18-53,COvered parking,https://list.am/en/item/18616116,,,,
Agricultural Space,Stone,700 sq.m.,Not available,Not available,First Line,Separate from the Street,"Hrazdan street, Yerevan","$25,000",USD,Cattle barn 85 square meters for sale. The total area is 700 square meters. The tin roof is used as a hay storage. It has a separate fodder warehouse. The building was built in 2021Translated from Armenian,Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18597197,,,,
Retail Space,Stone,45 sq.m.,By agreement,Not available,First Line,Separate from the Courtyard,"Hanrapetutian Avenue, Abovyan","$65,000",USD,"An existing store for sale in Abovyan city (in the cinema building), newly renovated. Gas, water, electricity. Installed anti-counterfeit systems. Spare part, bathroomTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18447617,,,,
Industrial and Manufacturing,Stone,50 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Abovian,"$15,000",USD,K. A furniture workshop of 50 square meters next to the towel factory in Abovyanhas three-phase electricity and waterAlso available for rentTranslated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18432980,,,,
Industrial and Manufacturing,Stone,"13,000 sq.m.",Available,Not available,Second Line,Common from the Street,Kotayk › Yeghvard,"$420,000",USD,"There are plasma production machines in the workshop, there are 8 buildings on the territory of the workshop, which served as warehouses. The area also has an orchard. The workshop can also be rented.Translated from Armenian",Nov-27-2022_18-53,"OUtdoor parking, garage",https://list.am/en/item/18585670,,,,
Warehouse,Stone,3895 sq.m.,,,,,Kotayk › Nor Hachen,"$100,000",USD,Located in Nor Hachn4 iron and 1 stone warehouseTranslated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18461306,,,,
Agricultural Space,Stone,1200 sq.m.,Not available,Not available,Second Line,Common from the Street,"Arzni Highway, Abovyan","$45,000",USD,"The plot of land is located on the opposite side of Yerevan Sevan highway, lane 2. Abokhchovi is fenced and has a capacity for the construction of 160 karkus.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18580836,,,,
Functioning Business,Stone,1400 sq.m.,Not available,Not available,First Line,Common from the Street,"Azatamartikneri Street, Garni","$260,000",USD,"Running vulcanization, oiling station, spare parts store, MoikaTranslated from Armenian",Nov-27-2022_18-53,"OUtdoor parking, covered parking",https://list.am/en/item/18611125,,,,
Multifunctional Space,Panels,3000 sq.m.,,,,,Kotayk › Nor Geghi,$100,USD,"The land has a beautiful view, it is located on the edge of a valley, it is intended for residential purposes, for public construction, there is a building of about 400 square meters, the price of 1 square meter is written: Negotiable.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18421709,,,,
Retail Space,Stone,40 sq.m.,,,,,"Hanrapetutian Avenue 26, Abovyan","$30,000",USD,"Commercial area for sale in the market, total 40 square meters, 20 of which are stone buildings. There is electricity. Currently leased: Long-term, adjoining area for sale with an area of 48 square meters, there are 2 separate certificates, we can sell both together, or each separately, according to the agreement. The price of the announcement refers to the piece with the building (40 square meters) PRICE is negotiable.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18559816,,,,
Multifunctional Space,Stone,"10,000 sq.m.",Not available,Not available,First Line,Separate from the Courtyard,"Arzni Highway, Abovyan","$500,000",USD,"For sale, call for urgent detailsTranslated from Armenian",Nov-27-2022_18-53,"OUtdoor parking, covered parking, garage",https://list.am/en/item/18627763,,,,
Functioning Business,Stone,1600 sq.m.,,,,,Kotayk › Abovian,"600,000,000 ֏",AMD,"Existing business, hotel, restaurant, night club for sale.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18463791,,,,
Functioning Business,Stone,100 sq.m.,Available,Not available,Second Line,Separate from the Courtyard,"Ստեփան Շահումյանի փողոց 5, Չարենցավան","10,000,000 ֏",AMD,"A soft drink factory, the space can be used for other commercial purposes, such as a shopping hall, warehouse, office or redeveloped as an apartment. It is located in the opening of the 1st floor of the 5th building of the 5th district. It has three-phase current and 20 hours of water supply.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18436794,,,,
Multifunctional Space,Stone,100 sq.m.,Available,Not available,First Line,Common from the Street,"Զորավար Անդրանիկի պողոտա 14, Հրազդան","$50,000",USD,"For questions, call 3. The floor is 250 square meters, the 1st floor is renovated. Warm floor, three-phase current is urgent, that's why this price isTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18455548,,,,
Multifunctional Space,Cassette,500 sq.m.,Not available,Not available,First Line,Common from the Street,Kotayk › Charentsavan,"65,000,000 ֏",AMD,"Multipurpose space for sale or rentThe area is located next to the machine-building factory, at the entrance to the cityThree-phase currentWith. The area is 500 sq/mThere are 2 buildings, yur. 130 sq/mRoof cushion. 4.8-6 mTranslated from Armenian",Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18546914,,,,
Office Space,Stone,32 sq.m.,,,,,"Квартал Микрошрджан 1, Раздан","$39,000",USD,"Hair salon for sale in K. Hrazdan microdistrict 32h. 1st floor, next to school No. 12. For sale with property. Ready for use. Has heating system, hot and cold water. All utilities are available. Has basement, entrance from inside. Call for details.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18496579,,,,
Industrial and Manufacturing,Stone,17 sq.m.,Not available,Not available,Other,Separate from the Street,Kotayk › Hrazdan,"5,000,000 ֏",AMD,"Production area for sale or rent with a total area of 17 m2, fenced, communication is available, there are buildings.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18570807,,,,
Everything Else,Stone,650 sq.m.,Not available,Not available,Second Line,Common from the Street,"August 23 street, Abovyan","$420,000",USD,Area for sale c. On August 23 street in Abovyaniron roof.Translated from Armenian,Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18594244,,,,
Everything Else,Stone,39 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Mayak block 1, Yerevan","$30,000",USD,"Հարմար է Գեղեղեցկության սրահի, գրասենյակի, ատամնաբուժարանի և այլ գործունեություն իրականացնելու համար, Կարող եք վերաորոգել և բնակարան որպես օգտագործելПродам участок К. В Ереване, в районе Маяк административного района Нор Норк, в непосредственной близости от пункта отправки. Находится на 1 этаже 5-ти этажного дома. Есть вода и канализация.",Nov-27-2022_18-53,,https://list.am/en/item/18603728,,,,
Industrial and Manufacturing,Panels,1455 sq.m.,Available,Not available,First Line,Common from the Street,Kotayk › Kotayk,"$88,000",USD,"Alraghats is for sale with an area of 1450 square meters, of which 450 square meters are buildings, 1000 square meters of land, there is three-phase electricity, drinking water, gas, for details, call the indicated number.Translated from Armenian",Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18623246,,,,
Retail Space,Stone,98 sq.m.,Available,Not available,First Line,Common from the Street,Kotayk › Abovian,"$85,000",USD,"Commercial space in the central part of Nor Hatchen. Sold together with property, appliances, equipment. It has a very good ventilation system.Code 0900119Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18463606,,,,
Industrial and Manufacturing,Bricks,508 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Nor Geghi,"$60,000",USD,"The total area of the plot is 1400 square meters, of which 508 square meters are buildings, it is very close to the main road, 20m.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18581311,,,,
Multifunctional Space,Stone,30 sq.m.,Not available,Not available,Other,Common from the Courtyard,"6 district 26, Charentsavan","$25,000",USD,It can also serve as an apartment. The ceiling height is 3mTranslated from Armenian,Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18620913,,,,
Retail Space,Stone,50 sq.m.,Not available,Available,First Line,Separate from the Street,"Երեվանյան փողոց 24, Շահումյան","$25,000",USD,"Commercial space for sale in Abovyan cityFirst linearea 50 square metersIn the case of a real offer, price bargaining is also possibleTranslated from Armenian",Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18558855,,,,
Functioning Business,Wooden,510 sq.m.,Available,Available,First Line,Separate from the Street,Kotayk › Nor Geghi,"$26,000",USD,Срочно продаётся,Nov-27-2022_18-53,,https://list.am/en/item/18389028,,,,
Multifunctional Space,Stone,30 sq.m.,Not available,Not available,First Line,Separate from the Street,Kotayk › Hrazdan,"4,500,000 ֏",AMD,A former hairdressing area is for sale in Hrazdan's Micro DistrictFor more information callTranslated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18591051,,,,
Functioning Business,Panels,162 sq.m.,Available,Available,Other,Common from the Street,Kotayk › Abovian,"$150,000",USD,"Abovyan, Republic StreetAn existing business is for sale in the center of Abovyan, at the back of the park.There is water, gas, electricity.Code 0500211Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18092117,,,,
Retail Space,Stone,27 sq.m.,,,,,Kotayk › Kanakeravan,"$15,000",USD,"Commercial space for sale, suitable for a shop or office, the building is made of stone, has electricity, water, sewerage. The building and land are privatizedTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18555967,,,,
Retail Space,Stone,25 sq.m.,Available,Not available,First Line,Separate from the Street,"Garni street, Abovyan","$30,000",USD,"It is located behind the cinema building in the central market area. It is renovated, has electricity, water, bathroom. It is also suitable for office and other activities. For details, call the indicated phone number.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18468794,,,,
Functioning Business,Cassette,40 sq.m.,,,,,Kotayk › Abovian,"$25,000",USD,"For sale, wash your hair, call real peopleTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18396757,,,,
Multifunctional Space,Stone,110 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,Kotayk › Jrvezh,"$43,000",USD,"Code-15058. Commercial space for sale in Jrvezh, busy area. It is in zero state. Three-phase power is available. Can also be used as an apartment.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18432394,,,,
Everything Else,Monolith,1800 sq.m.,Available,Available,First Line,Common from the Street,Kotayk › Tsakhkadzor,"$500,000",USD,"A ready-made commercial project with a building permit is for sale at 21 Yeghbairner St. , Orbeli, Tsaghkadzor.The premium class aparthotel will have 68 rooms according to the project, restaurant, children's room, ski room, terrace, outdoor swimming pool.Construction and sales can be started immediately, all documents are ready.Translated from Armenian",Nov-27-2022_18-53,"OUtdoor parking, covered parking",https://list.am/en/item/18606041,,,,
Retail Space,Stone,24 sq.m.,Not available,Not available,Second Line,Separate from the Courtyard,"Hanrapetutian Avenue 20, Abovyan","$20,000",USD,"Public construction building 23.75 sq. M., next to the garages of the Republic building 20. There is also a plot of land in the back, 25.5 square meters to the first school, also for public construction of settlements.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/17153672,,,,
Multifunctional Space,Stone,2000 sq.m.,Not available,Not available,First Line,Separate from the Street,"Улица Севана 4/3, Абовян","$450,000",USD,Первая линия для падробностей званить,Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18597081,,,,
Multifunctional Space,Stone,42 sq.m.,Not available,Not available,First Line,Separate from the Street,"Երևանյան փողոց 1/3, Հրազդան","$23,000",USD,"Commercial space for sale in Hrazdan on Yerevanyan street. The area is located in a very busy area, it covers an area of 42 square meters, it consists of 2 parts: A hall and a storage part, there is a bathroom.Call for detailed information.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18575432,,,,
Office Space,Stone,700 sq.m.,,,,,Kotayk › Hrazdan,"$350,000",USD,700 sq. M. By 500 sq. M. Land is for sale with property and equipmentTranslated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18414568,,,,
Multifunctional Space,Stone,970 sq.m.,,,,,"Եղիշե Չարենցի փողոց 25, Եղվարդ","$350,000",USD,"A multifunctional 2-storey building is for sale, it can be an apartment, business center, hotel, etc. With all household amenities: Gas, electricity and water. With a public ownership certificate, it was assessed at $350,000. It is located at 25 central street of Yeghvard Charents, next to the department store. It is sold together with the property.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18444927,,,,
Agricultural Space,Stone,660 sq.m.,,,,,Kotayk › Alapars,"$400,000",USD,"Former farm, 660 square meters, barns have been built, the rest is an empty plot, suitable for livestock.Code 1100045Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18474263,,,,
Everything Else,Stone,200 sq.m.,Not available,Not available,First Line,Separate from the Street,"Квартал Кентрон 8, Раздан","$50,000",USD,"Commercial real estate is for sale in the Kentron district of Hrazdan city, next to the Governor's Office. The space is located on the first floor of a 5-story stone building and is multifunctional. It can be used for both industrial and commercial purposes, it also has all the facilities to serve as an office space or a sports hall. All communications of the building are also available on this floor: Water, gas, moreover, it has the possibility of three-phase electricity. Only a small part has been repaired, in general it needs capital repair. For more information, it is recommended to call the mentioned numbers via Whatsapp.Translated from Armenian",Nov-27-2022_18-53,OUtdoor parking,https://list.am/en/item/18562843,,,,
Multifunctional Space,Stone,480 sq.m.,,,,,Kotayk › Jrvezh,"$550,000",USD,"Code-15143. A three-storey commercial space in Jrvezh is for sale. The area of each floor is 150 square meters. The 1st floor is rented for 800,000 AMD per month.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18560742,,,,
Retail Space,Stone,300 sq.m.,,,,,"Օգոստոսի 23 փողոց 70, Հրազդան","150,000,000 ֏",AMD,"Commercial space of 300 square meters is for sale in Hrazdan city, Kentron district. Suitable for any commercial business. For more information call: The price is negotiable.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18402544,,,,
Retail Space,Stone,27 sq.m.,,,,,Kotayk › Kanakeravan,"$15,000",USD,"Wanted or for rent urgently, exchange with a car is also possible, it is located in a central road, near the village hall, call for questionsTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18440395,,,,
Agricultural Space,Stone,1600 sq.m.,,,,,Kotayk › Hrazdan,"$50,000",USD,Livestock farm for keeping different types of animals. There is an orchard next to the apartment. It has all the utilities. It is also possible to exchange with a car.Translated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18433876,,,,
Building,Stone,6400 sq.m.,,,,,"3-րդ փողոց 3-րդ փակուղի 11, Գետամեջ համայնք","$210,000",USD,"Շինություն 10X10Պտղատու այգիԳազի, ջիր, հոսանքի հնարավորությունԱսվալտապատ ճանապարհ",Nov-27-2022_18-53,,https://list.am/en/item/11133428,,,,
Everything Else,Stone,99 sq.m.,,,,,"Mayak block, Yerevan","$78,000",USD,"A multi-functional newly constructed building is for sale in Jrvezh. Suitable for different types of business.The total area is indicated, together with the basement.It has an adjacent plot of land (about 6x3)All buildings are available. Materials to complete the repair.It has a basement.Can you whatsapp me for more picturesTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18386035,,,,
Retail Space,Stone,162 sq.m.,,,,,Kotayk › Byureghavan,"63,500,000 ֏",AMD,"Վաճառում եմ պատրաստի, գործող բիզնես (եռահարկ շենք) ։ Մթերային խանութը գործում է մոտ 30 տարի, մշտական հաճախորդներ է ձեռք բերել, աշխատել է անխափան։ Խանութը գտնվում է բազմաթիվ բարձրահարկ շենքերի արանքում և շատ շարժական վայր է առևտրի համար։ Ճակատային հատվածը երեսպատված է թանկարժեք քարերով (բազալտ), պոդկոլնիկի և աստիճանները՝ մարմարե քարերով։ Տարածքի ներսում եվրո վերանորոգված է որակյալ և լավ նյութերից։ Երկրորդ հարկում կա 2 սենյակ (հյուրասենյակ խոհանոցի հետ միասին և 1 ննջասենյակ պատշգամբներով և 1 սանհանգույց) ։Երրորդ հարկում կա նաև մեկ հյուրասենյակ, 1 ննջասենյակ և սանհանգույց։ Առաջին հարկում՝ առևտրի սենյակ և սանհանգույց, գումարը ներառում է բիզնեսի համար նախատեսված տեխնիկա և խոհանոցային կոմպլեկտը երկրորդ հարկից։ 2-րդ և 3-րդ հարկերի առանձին մուտք խանութից։ Տունը տաք արևկող է։ Վաճառվում է այլ երկիր տեղափոխվելու պատճառով ։Տեղում սակարկելիПродаю готовый, действующий бизнес (трёхэтажное здание) Магазин продуктовый действует около 30-и лет, наработанны постоянные клиенты, работал без перерыва. Магазин расположен между множество многоэтажных домов и очень подвижное место для торговли. Фасад облицован с дорогими комнями (базальт), подакольники и лестницы сделаны с камнями мрамора. Внутри помещения сделан евро ремонт из высококачественных и хороших материалов исключительного для себя. На втором этаже 2 комнаты (гостиная совмещённая с кухней и 1спальная комната с лоджий и 1 ванная комната, на третьем этаже тоже одна гостиная, 1 спальня и ванная комната, на первом этажеторговыйзал и ванная комната, в сумму входит оборудование для бизнеса и из второго этажа кухонный гарнитур. Отдельный вход на 2 и 3 этаж, от магазина. Дом тёплый, солнечная сторона. Продаю в связи с переездом в другую страну. Торг на месте.",Nov-27-2022_18-53,,https://list.am/en/item/18533234,,,,
Retail Space,Stone,100 sq.m.,,,,,"Աղբյուրակ փողոց 43, Նոր Գեղի","$25,000",USD,"A restaurant for sale (first line) 100 square meters, 50 square meters of which is a one-story building, can be combined as a shop, can be transformed into a one-story house, has all utilities, has a productive garden, is stone fencedTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18530069,,,,
Office Space,Panels,80 sq.m.,,,,,"Kentron block 35, Hrazdan","$42,000",USD,Commercial space for sale in Hrazdan city. The area has a security system. It has a separate entrance. The windows have been changed. There is a heating system.Translated from Armenian,Nov-27-2022_18-53,,https://list.am/en/item/18394474,,,,
Industrial and Manufacturing,Stone,650 sq.m.,,,,,"Ալեքսանդր Բել փողոց 114, Քանաքեռավան","$171,500",USD,"Production space 650 square meters for sale. M. 900 sq. M. First line on the central street (Mrgasheni highway) with the plot of land. The ceiling height is 5-6 meters. It is suitable for use as a workshop, cold store, shop, etc. The cost of the building is 1 c. Only 250 US dollars per square meter, the land cost is 1 square meter. 10 USD for M, only USD 171,500. Options for a partial exchange and an additional payment by you can be discussed - car, land, house or other assets not more than fifty thousand US dollars - the rest is an additional payment.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18512095,,,,
Industrial and Manufacturing,Stone,7000 sq.m.,,,,,Kotayk › Yeghvard,$250,USD,"For sale or partial exchange, stone workshop, smart barn, two-story building 450 m2, own three-phase power station, price negotiable, call for detailsTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18432268,,,,
Industrial and Manufacturing,Stone,3650 sq.m.,,,,,"Erkatughayinneri street, Nor Geghi","$150,000",USD,"The land is located 12 km from Yerevan. The total area of the land is 3650 square meters. M, of which 1600 sq. M production fenced, the area of the building is 550 sq. M. M plus 150. There are 450 3-year-old apple trees on the land. Three-phase: Electricity, water, sewage. The land is located on the first line, on the highway. The project was built as a refrigerator and workshop. PRICE NEGOTIABLE. (FROM THE OWNER)URGENT SALE!Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18473671,,,,
Functioning Business,Wooden,6 sq.m.,,,,,"Kotayq street, Abovyan","1,500,000 ֏",AMD,"2 boshka pivno for sale. For business questions, you can call or write (the indicated price refers to 2 pieces)Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18499446,,,,
Functioning Business,Stone,100 sq.m.,,,,,Kotayk › Charentsavan,"$65,000",USD,"A functioning inn town is for sale in Charentsavan, in the central part.It has everything you need, property, three-phase electricity.Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18410833,,,,
Functioning Business,Monolith,462 sq.m.,,,,,Kotayk › Abovian,"$1,500,000",USD,"In the city of Abovyan, Kotayk Marz, an existing multi-disciplinary medical center equipped with state-of-the-art equipment is for sale.The total area of the land: 600 sq/m.Building area: 465 square meters.In the center there are:computed tomography (the only one in Kotayk region)ultrasound examination (sonography)laboratory (biochemical, biochemical, immunoenzymatic and a number of other studies)Covid-19 PCR test researchthere is Vacumed multi-functional physiotherapy equipment, which is the only one in Armenia.Visitors to the medical center can use:therapista cardiologista neurologistgastroenterologistendocrinologistgynecologist and urologista dermatologista dentistquality services of physiotherapists and other specialists.The center has 13 wards, 5 of which are VIP.Also, a sterilization room, a separate building for oxygen reserve cylinders, a canteen, bathrooms on all floors, a storage area.The heating is centralized, there is a three-phase current.It has the possibility of expansion:• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18475975Translated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18475975,,,,
Multifunctional Space,Stone,300 sq.m.,,,,,Kotayk › Hrazdan,"150,000,000 ֏",AMD,"It is located in the area next to the square, the price is negotiableTranslated from Armenian",Nov-27-2022_18-53,,https://list.am/en/item/18428465,,,,
Office Space,,360 sq.m.,By agreement,Not available,First Line,Common from the Street,"Զորավար Անդրանիկի պողոտա 87, Հրազդան","180,000 ֏",AMD,"Area for rent: K. In front of building 87 of Hrazdan micro-district district,the area has two floors / each floor is 180 sq/m/ it is possible to rent in partsThe area is located on the central road, all utilities are available, it is possible to change the shape according to your wish.Details by callingTranslated from Armenian",Dec-12-2022_20-02,Outdoor parking,https://list.am/en/item/16057639,Direct Lease,1 month,By Agreement,By Agreement
Office Space,,78 sq.m.,By agreement,Not available,First Line,Separate from the Street,Kotayk › Arinj,"130,000 ֏",AMD,A beautiful multifunctional space is for rent on the central street of Arinji.Translated from Armenian,Dec-12-2022_20-02,Outdoor parking,https://list.am/en/item/18597032,Direct Lease,6 months,1 month,Not included
Restaurant,,1150 sq.m.,Available,Not available,First Line,Separate from the Street,Kotayk › Jrvezh,"1,500,000 ֏",AMD,"An existing restaurant complex for rent in Jrvezh, total 1150 sq/m, has 5 summer pavilions (besetka) built in a unique wooden style for 6-25 people, 6 private rooms for 6-30 people, 1 banquet hall for 100 people with its own separate kitchen, 300 sq/m two-story semi-detached building. The complex has separate entrances from 3 sides, there is a boiler room, kitchen, 4 bathrooms, service rooms, office, warehouses, gas, water, three-phase electricity, video surveillance system. The total area of the building is 550 + 300 sq/m. The complex has been operating for about 25 years, has many customers, a social network and a delivery service.For rent only PUBLIC FOOD NETWORK.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17773187,Direct Lease,3 years,By Agreement,By Agreement
Functioning Business,,40 sq.m.,,,,,"Usanogakan street, Nor Geghi","80,000 ֏",AMD,"An operating space is for rent, along with furniture if desiredTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17096066,,,,
Office Space,,230 sq.m.,Available,Not available,Second Line,Separate from the Street,"4-й микрорайон 45А, Абовян","$2,000",USD,"Сдается на долгосрочную аренду офисное помещение площадью 230 кв м на 1 - ом этаже 5 этажного здания (новостройка) по адресу город Абовян 4 ый микрорайон 45А; состоит из просторного зала, кабинета и малого зала с кухней/2 сан-узла.",Dec-12-2022_20-02,,https://list.am/en/item/18355206,Direct Lease,1 year,1 month,Not included
Industrial and Manufacturing,,50 sq.m.,Available,Available,Other,Separate from the Courtyard,"7-րդ փողոց, Նոր Երզնկա","350,000 ֏",AMD,Fruit and vegetable packaging area and for other purposesCall for detailsNor Yerghnka 15 km away from the quarterTranslated from Armenian,Dec-12-2022_20-02,,https://list.am/en/item/16997107,Direct Lease,6 months,1 month,By Agreement
Warehouse,,95 sq.m.,Available,Not available,Other,Separate from the Courtyard,"7-րդ փողոց 1, Նոր Երզնկա","25,000 ֏",AMD,"Refrigerator is provided for daily rent for fruit, dried fruits, flowers, etc.Suitable for small and medium entrepreneurs. Price is negotiable depending on the season and storage product. There are also 3 90 sq. M. And 75 sq. M. Refrigeration areas and storage areas. We offer padon rental. The cost of 1 padon is AMD 450 per day.The refrigeration areas are equipped with modern high-quality technology, which ensures -2 + 5 temperature for storing various products. It is located in Nor Yerznka community, 15 km away from Yerevan.Call for detailsAREA:Warehouse, workshopRefrigeratorTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17155885,Direct Lease,1 month,1 month,Included
Multifunctional Space,,1300 sq.m.,Available,Not available,Other,Separate from the Street,Kotayk › Arzni,"120,000 ֏",AMD,"A farm in the village of Arzni is available for rent, call for details. Call the emergencyTranslated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/17212679,Direct Lease,6 months,By Agreement,Not included
Everything Else,,36 sq.m.,By agreement,Not available,First Line,Common from the Street,"3rd microdistrict 20, Abovyan","80,000 ֏",AMD,"Land of public significance is for rent in K Abovyan St. On Mnatsakanyan street. There is a bathroom, three-phase electricity.Translated from Armenian",Dec-12-2022_20-02,,https://list.am/en/item/18375331,Direct Lease,6 months,1 month,Not included
