Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Address,Price,Currency,Description,Datetime,Land Area,Service Lines,Facilities,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Panels,90 sq.m.,3,3,1,Available,3 or more spots,Euro Renovation,"Sayat-Nova Ave, Gyumri","5,000 ֏ daily",AMD,Apartments with all available amenities are available for daily rentThe apartments are located in the center and in different parts of the cityWrite and call on viber or WhatsAppTranslated from Armenian,Dec-12-2022_21-50,,,,,https://list.am/en/item/15493792,,8+,Yes,Yes,Included,By Agreement
House,Stone,40 sq.m.,1,2,1,Available,Not available,Euro Renovation,"Ռուսթավելի փողոց, Գյումրի","250,000 ֏ monthly",AMD,"Сдается дом со всеми удобствами в центре Гюмри (ул Руставели 1 переулок) Дом предназначен для 1-2 человека. В доме есть* новая техника*горячая вода (24ч)* Wi fi, каб. Тел.*отопление*посуда",Dec-12-2022_21-50,60 sq.m.,,,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, hair dryer",https://list.am/en/item/18659063,"Television, internet, barbecue oven, gazebo",1,No,No,Included,1 month
House,Stone,125 sq.m.,1,4,1,Available,1 spot,Designer Renovation,"Ջիվանի փողոց 35, Գյումրի","30,000 ֏ daily",AMD,"Դեկտեմբերի 31-ից մինչև հունվարի 5 զբաղված է։ Երկարաժամկետ և օրավարձով է տրվում առանձնատուն որը գտնվում է քաղաքի կենտրոնումԱպահովված է կոմունալ բոլոր հարմարություններով։ գազաֆիկացված է, առկա է գերարագ ինտերնետ, առկա է Ps4 խաղային համակարգիչԲակում կա ավտոմեքենայի կայանատեղի և մանղալՈտքով մինչև Վ. Հրապարակ 5 րոպեՏունը նախատեսված է մինչև 6 անձի համարԿախված օրերի քանակից գործում են զեղչեր1-6 անձ 30000 դրամСдается частный дом посуточно и на длительный срок в центре городаобеспечен всеми коммунальными удобствами. Газифицирован, есть высокоскоростной интернет, есть игровой компьютер Ps4Во дворе есть парковка, мангалпешком до В. Площадь 5 минутДом рассчитан на проживание до 6 человекВозможны скидки в зависимости от количества дней1-6 чел. 30000 драмA luxurious private house is for daily rent in the center of the cityIt is provided with all the communal amenities. It is gasified, there is high-speed internet, there is a Ps4 gaming computerThere is a parking lot in the yardOn foot to V. Square 5 minutesThe house is designed for up to 6 peopleDiscounts are available depending on the number of days",Dec-12-2022_21-50,25 sq.m.,,,,https://list.am/en/item/17668087,,6,Yes,No,By Agreement,By Agreement
House,Stone,120 sq.m.,2,3,1,Available,Not available,Major Renovation,"Սպարտակի փողոց, Գյումրի","300,000 ֏ monthly",AMD,"Сдается двухэтажный частный дом в Гюмри со всеми коммуникациями.2 спальни, ванная, кухня, гостинаяВ гостиной на первом этаже есть раскладной диван. Также доступна для посуточной арендыՎարձով է տրվում (նաև օրավարձով) երկհարկանի առանձնատուն Գյումրիում` Կոմունալ բոլոր հարմարություններով:2 ննջարան, սանհանգույց, խոհանոց, հյուրասենյակՆերքևի հյուրասենյակում առկա է բացվող բազմոց:",Dec-12-2022_21-50,,,,"Fridge, stove, water Heater, iron, hair dryer",https://list.am/en/item/18707391,Internet,6,Yes,Yes,Not included,1 month
House,Stone,40 sq.m.,1,2,1,Available,1 spot,Euro Renovation,"Միխայիլ Սալտիկով-Շեդրինի փողոց 7, Գյումրի",$500 monthly,USD,Օրավարձով և ամսեվարձով բնակարան Գյումրի քաղաքի կենտրոնում (24 ժամ ջեռուցում շատ տաք բնակարան է) օրավարձը (15000 դրամ։ Есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор WIFI* Холодильник* Автоматическая стиральная машина* Долгосрочная арендаЗвоните для более подробной информации,Dec-12-2022_21-50,,,,,https://list.am/en/item/15550309,,2,Yes,No,Not included,By Agreement
House,Stone,400 sq.m.,1,3,1,Available,2 spots,Cosmetic Renovation,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"Сдается 3-комнатный дом в центре Гюри, 150 метр от сентрального площади. Со всеми удобствами, 80 кв. М Дом. 400 кв. М. Участок, с гаражом на 2 машины.Telefon ноль93сто89 4сто36Վարձով ե տրվում Գյումրիի կենտրոնում 3 սենյականոց Տուն իր բոլոր հարմարություններոբ 80քմ 400 քմ բակ արեվամանուկի հաևեվանությանմբ ։Ավտոտնակ 2 մեքենայի համարTranslated from Armenian",Dec-12-2022_21-50,,,,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18673482,,6,Yes,Yes,Not included,By Agreement
House,Stone,120 sq.m.,1,3,1,Available,Not available,Designer Renovation,"Abovyan Str, Yerevan","270,000 ֏ monthly",AMD,"Վարձակալության է տրվում 3 սենյականոց քարե տուն Գյումրի քաղաքի կենտրոնում (Աբովյան փողոցում) կահույքի հետ միասին:Տունը ապահովված է կոմունալ բոլոր հարմարություններով (ջեռուցում, ջուր, Էլեկտրաէներգիա) :Առկա է երկու ննջասենյակ, հյուրասենյակ, խոհանոց և լոգասենյակ, ինչպես նաև ընդարձակ բալկոն ու սեփական բակ:Տանը առկա է հեռուստացույց, լվացքի մեքենա, սառնարան և ինտերնետ (WIFI) :Այլ մանրամասների համար զանգահարել: Сдается в аренду трехкомнатный каменный дом с мебелью в городе Гюмри (улица Абовяна), в центре городаДом оснащен всеми коммунальными услугами (отопление, вода, электричество)Есть две спальни, гостиная, кухня и ванная комната, а также просторный балкон и собственный двор.Телевизор, стиральная машина, холодильник и интернет (WIFI)Позвоните для получения более подробной информации.Կոդ XXR030Translated from Armenian",Dec-12-2022_21-50,20 sq.m.,,,,https://list.am/en/item/18130960,,5,Yes,Yes,Not included,By Agreement
House,Stone,80 sq.m.,2,4,1,Available,3 or more spots,Partial Renovation,"Ծննդատան փողոց, Գյումրի","100,000 ֏ monthly",AMD,"It is in normal condition. Own house, has a garage.Translated from Armenian",Dec-12-2022_21-50,300 sq.m.,,,"Fridge, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18589541,"Television, internet",8+,Negotiable,Negotiable,Not included,6 months
House,Stone,50 sq.m.,1,1,1,,,Euro Renovation,"Furmanov street, Gyumri","13,000 ֏ daily",AMD,Օրավարձով սեփական տուն կոմունալ բոլոր հարմարություններով քաղաքի կենտրոնում։Посуточный Гостевой дом со всеми ком. Услугами. Дом находится в центре города.Daily Guest house with all utilities. The house is located in the city center.,Dec-12-2022_21-50,100 sq.m.,,,,https://list.am/en/item/13140605,,,,,,
House,Stone,180 sq.m.,2,7,2,,Not available,Major Renovation,"Նիզամի փողոց, Գյումրի","650,000 ֏ monthly",AMD,"Հոկտեմբերի 10-ից կտրվի վարձով սեփական հյուրատուն իր բոլոր կոմունալ հարմարություններով։4 ննջասենյակ, 2 սանհանգույց, ընդարձակ հյուրասենյակ, հանգստի սենյակ, մեծ խոհանոց, բացօթյա պատշգամբ, մեքենայի կայանատեղեր, բակ։տրվում է նաև օրավարձով մեկ ննջասենյակը 15000-30000 հհ դրամ/։Срочно сдается большой дом 4 спальни, 2 санузла, комната отдыха, большая гостинная и кухня со всеми удобствами. Парковка для 4 машин, большой двор, веранда. В районе нор аван, по близости конверс банк, супермаркет басен и калина, транспортная остановка... Можно посуточно или помесячно. Можно несколько семей. В доме есть все необходимое для нормального проживание.Цена помесячно 650000 драм + коммуналка. Посуточно 10000-15000 драм с человека. По всем вопросам звонить по указанному номеру. На письма по почте отвечаю 1 раз в неделю.Translated from Armenian",Dec-12-2022_21-50,500 sq.m.,,,,https://list.am/en/item/18402039,,8+,Yes,No,Not included,1 month
House,Stone,53 sq.m.,1,2,1,Available,Not available,Cosmetic Renovation,"Գերցենի փողոց 5-րդ նրբանցք, Գյումրի","90,000 ֏ monthly",AMD,"Own house for rent. With all utilities. Refrigerator, washing machine. Natural gas. Heated by baxi. Constant hot and cold water. Close to the bus stop. Only TV is missing. Call for details. With a mandatory deposit. There is also Wi-FiTranslated from Armenian",Dec-12-2022_21-50,55 sq.m.,,,,https://list.am/en/item/18487026,,1,No,No,Not included,1 month
House,Stone,180 sq.m.,1,3,3+,Available,3 or more spots,Major Renovation,Shirak › Gyumri,"15,000 ֏ daily",AMD,"A guest house is for daily rent in the central part of Gyumri city. The guest house is for long-term rent, the price is negotiable. (Attention) the guest house is provided only for guests arriving in Gyumri city. Not far from the center, fully renovated, equipped with everything. A bright yard with a beautiful design. A warm and pleasant environment has been created. Very comfortable and positive atmosphere.With bathrooms, modern furniture, K. B. H. , - high-speed wifi, cable TV, household appliances, dishes, linen. There are all necessary accessories and conditions for your complete relaxation. A spacious and comfortable parking lot is also provided.Translated from Armenian",Dec-12-2022_21-50,400 sq.m.,,,"Fridge, stove, microwave, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/17921185,"Television, internet, air conditioner, fireplace, barbecue oven, gazebo, alarm system",7,Yes,No,By Agreement,By Agreement
House,Stone,64 sq.m.,1,2,1,,,Major Renovation,"Հակոբյան փողոց 3, Գյումրի","15,000 ֏ daily",AMD,"The guest house is located in the center of Gyumri, in the most beautiful district, near the oldest and most beautiful architectural buildings of Gyumri city.Translated from Armenian",Dec-12-2022_21-50,35 sq.m.,,,,https://list.am/en/item/18059264,,,,,,
House,Stone,40 sq.m.,1,2,1,Available,1 spot,Euro Renovation,"Улица Михаила Салтыкова-Щедрина 7, Гюмри",$35 daily,USD,"A 1-room apartment is for daily rent, the apartment has a TV, refrigerator, washing machine, bedding,Dishes, Baxi. Depending on the booked days, hours and number of residents, price changes are possible. Prices can change depending on the duration of the rental and the number of people.Call for additional information.Translated from Armenian",Dec-12-2022_21-50,,,,,https://list.am/en/item/16035265,,3,Yes,No,Included,By Agreement
House,Stone,48 sq.m.,1,1,1,,Not available,Euro Renovation,Shirak › Gyumri,"12,000 ֏ daily",AMD,"An apartment for daily rent with all utilities, heating system, internet, reach Yerevan KhukhukhTranslated from Armenian",Dec-12-2022_21-50,50 sq.m.,,,,https://list.am/en/item/18564204,,4,Yes,Yes,Included,By Agreement
House,Stone,100 sq.m.,1,3,1,Available,Not available,Designer Renovation,"Կարեն Դեմիրճյան փողոց 95, Գյումրի","130,000 ֏ monthly",AMD,A one-room private house is for rent on Karen Demirchyan Street.The house has all the utilities:Heating SystemJacuzziALSO comes with all furniture and appliancesTranslated from Armenian,Dec-12-2022_21-50,30 sq.m.,,,"Fridge, stove, washing machine, water Heater",https://list.am/en/item/18553256,Television,5,Yes,No,Not included,By Agreement
House,Stone,150 sq.m.,1,4,2,,,Designer Renovation,"Sharl Aznavur square, Gyumri","60,000 ֏ daily",AMD,"《Wonder Hause》 wonderful house in a wonderful place, in the big center of Gyumri, in a quiet environment near Charles Aznavour Square. The private house is newly built In the areas, in the yards there is a barbecue, a swimming pool, a tennis table, a swing, a bathroom, and 3 cozy corners where to sit and to enjoy your rest. There is a possibility to park a car in one closed, 2 free outdoor parking yards. The house has all the necessary accessories for living. Feel at home.The area is monitored by video cameras.Wip-large up to 5 people 30,000 daysWip - small up to 3 people 25000 daysRoom for small 2 people 15000 daysRoom large up to 3 people 20,000 daysThe whole house is rented for 50,000 daysThe house is convenient for rent for newlyweds who can visit after the wedding, where they will be prepared.Ond Wonder Hause》Daily, Daily, MonthlySutoc:Apartment:GYUMRI:Click on my page to see all my Ads and all will be visible.Translated from Armenian",Dec-12-2022_21-50,450 sq.m.,,,,https://list.am/en/item/16579911,,,,,,
House,Stone,120 sq.m.,1,4,1,Available,1 spot,Designer Renovation,"Ջիվանի փողոց, Գյումրի","30,000 ֏ daily",AMD,"Դեկտեմբերի 31ից հունվարի 5ը զբաղված է ։։։։տրվում առանձնատուն որը գտնվում է քաղաքի կենտրոնումԱպահովված է կոմունալ բոլոր հարմարություններով։ գազաֆիկացված է, առկա է գերարագ ինտերնետ, առկա է Ps4 խաղային համակարգիչԲակում կա ավտոմեքենայի կայանատեղի և մանղալՈտքով մինչև Վ. Հրապարակ 5 րոպեՏունը նախատեսված է մինչև 6 անձի համարԿախված օրերի քանակից գործում են զեղչեր1-6 անձ 30000 դրամСдается частный дом посуточно и на длительный срок в центре городаобеспечен всеми коммунальными удобствами. Газифицирован, есть высокоскоростной интернет, есть игровой компьютер Ps4Во дворе есть парковка, мангалпешком до В. Площадь 5 минутДом рассчитан на проживание до 6 человек1-6 чел. 30000драмВозможны скидки в зависимости от количества днейA luxurious private house is for daily rent in the center of the cityIt is provided with all the communal amenities. It is gasified, there is high-speed internet, there is a Ps4 gaming computerThere is a parking lot in the yardOn foot to V. Square 5 minutesThe house is designed for up to 6 peopleDiscounts are available depending on the number of days",Dec-12-2022_21-50,20 sq.m.,,,,https://list.am/en/item/17540781,,6,Yes,No,Included,By Agreement
House,Stone,70 sq.m.,1,3,1,,,Euro Renovation,Shirak › Gyumri,"170,000 ֏ monthly",AMD,"A 2-room residential house with property and equipment is for rent on the border guards street. The house is provided with all necessary communications. There is an iron door and euro windows at the entrance. The apartment consists of 2 rooms with a total area of 70 sq/m, with a tiled bathroom. The apartment is furnished and equipped with the necessary equipment. There are also many shops, restaurants, cafes nearby.Translated from Armenian",Dec-12-2022_21-50,250 sq.m.,,,,https://list.am/en/item/18347774,,,,,,
House,Stone,300 sq.m.,1,3,1,Available,1 spot,Designer Renovation,Shirak › Meghrashen,"150,000 ֏ monthly",AMD,"One-story stone house (summer house) in Meghrashen, 400 sq. M. , renovated in designer style.Address: Shirak marz, Meghrashen village.The house is available for daily rent for family vacations, as well as for organizing events.The mansion was completely renovated in 2021.It is 22 kilometers from Gyumri, on the road to Panik;Constant hot and cold water,individual heating systemThe bathrooms are tiled.3 bedrooms, living room, kitchen, cable internet, refrigerator, washing machine, TVMangal, pavilion, bakeryThere are many pictures, we can send them if you wish.Call for details and additional information.Translated from Armenian",Dec-12-2022_21-50,5000 sq.m.,,,"Fridge, microwave, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18614541,"Television, internet, barbecue oven, gazebo",8+,Yes,Yes,By Agreement,By Agreement
House,Stone,110 sq.m.,2,4,1,Available,1 spot,Partial Renovation,Shirak › Gyumri,"300,000 ֏ monthly",AMD,"A private house is for rent in the center. It has all the communal facilities, hot and cold water Baxi system, garage, basement.Translated from Armenian",Dec-12-2022_21-50,120 sq.m.,,,"Fridge, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/17534393,"Television, internet, barbecue oven",8+,Yes,No,Not included,By Agreement
House,Stone,280 sq.m.,1,3,1,Available,Not available,Designer Renovation,"Մյասնիկյան փողոց 25, Գյումրի","35,000 ֏ daily",AMD,"(busy on December 31)It is located in the center of the city.Provided with all utilities: Heating, internet, security system, parking for two cars in the yard.1-4 persons - 35000 AMD5-6 people - 45,000 AMDDiscounts apply depending on the number of days. Myasnikyan 25 Translated from Armenian",Dec-12-2022_21-50,190 sq.m.,,,,https://list.am/en/item/18482477,,6,Yes,Yes,Included,By Agreement
House,Stone,185 sq.m.,1,3,1,Available,Not available,Euro Renovation,"6-й переулок улицы Карена Демирчяна 16, Гюмри","30,000 ֏ daily",AMD,"Daily rent apartment in Gyumri. The apartment is for rent completely with the yard.2 bedrooms, 1 living room, large kitchen, bathroom, individual heating system. Bedding, dishes, wi-fi, cable TV. The house is furnished.It is for 5 people. It is located 3 km from Vardanants Square.Translated from Armenian",Dec-12-2022_21-50,85 sq.m.,,,"Fridge, stove, microwave, dishwasher, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/16152550,"Television, internet, barbecue oven, gazebo",5,Yes,No,Included,By Agreement
House,Stone,65 sq.m.,1,2,1,Available,Not available,Cosmetic Renovation,"Պարույր Սևակի փողոց, Գյումրի","200,000 ֏ monthly",AMD,"Здается в аренду 2-х комнатная частный дом в улице Моцарт. Дом ремонтированно,Высота потолков 2,8 м.Природный газ, постоянная горячая и холодная вода. Отопление BaxiВ доме есть: 1 спальня, ванная комната, туалет, кухня (посуда), стиральная машина-автомат, холодильник, газовая плита,Дом оригинальная, комфортабельная и чистая.Կոդ AZ765",Dec-12-2022_21-50,20 sq.m.,,,,https://list.am/en/item/18174879,"Television, internet, air conditioner",4,Yes,No,Not included,By Agreement
House,Stone,445 sq.m.,1,4,1,Available,3 or more spots,Partial Renovation,Shirak › Gyumri,"80,000 ֏ monthly",AMD,"В гор Гюмрт Сдам или продам частный дом на ул кнунянц напротив военторга. Дом частично отремантирован. Цена аренды договорная депозит на 1,5 месяц.",Dec-12-2022_21-50,131 sq.m.,,,Stove,https://list.am/en/item/17471109,,4,Yes,Yes,Not included,1 month
House,Stone,70 sq.m.,1,2,1,Not available,Not available,Euro Renovation,"Սայաթ-Նովա փողոց, Գյումրի","250,000 ֏ monthly",AMD,It is very comfortableTranslated from Armenian,Dec-12-2022_21-50,,,,,https://list.am/en/item/18671703,"Television, internet, air conditioner",1,Yes,Yes,By Agreement,By Agreement
House,Stone,140 sq.m.,2,4,1,Available,2 spots,Designer Renovation,"Շիրակացի փողոց, Գյումրի","400,000 ֏ monthly",AMD,"Վարձով է տրվում նորակառույց սեփական տունդիզայնական նորավոջով Լուսավոր Կոմունալ բոլոր հարմարություններով օժդված3 ՆՆջասենյակ1 մեծ հյուրասենյակԳույքովտեխնիկայովպատշգամբովջեռուցման համակարգԲաքսի,Տաք և սառը ջրովհեռուստաալիքներ,1 սանհանգույց,ՕդորակիչՏունը ունի բաց ավտոկայանատեղտեսախցիկԲակՎարձկալության արժեքը՝ 400․000 դրամ ամսեկանսկսած 2 ամիսիցԿոմունալ վճարումներ ՉներառվածՕրավարձով արժեքը 40000 դրամսկսած 5-ից 15 օրԿոմունալ վճարումներ ներառվածՉի կարելի ծխելպահպանել հիգենիք մաքրությունՏրվում շատ լուրջ և պատասխանատու անձանցՆախապես շնորհակալությւնԴեպոզիտ ///Сдается новый частный домс инновационным дизайном Светлый Коммунальный со всеми удобствами3 спальни1 большая гостинаяС недвижимостьюс техникойс балкономСистема отоплениябаксы,С горячей и холодной водойТелевизионные каналы,1 ванная,КондиционерУ дома есть открытая парковкакамераплощадкаСтоимость аренды: 400 000 драм в месяцначиная с 2 месяцаКоммунальные платежи Не включеныЦена 40 000 драм в суткиот 5 до 15 днейУтилиты включеныНе куритьподдерживать гигиеническую чистотуОтдается очень серьезным и ответственным лицамзаранее спасибоДепозит ///Newly built private house for rentwith a design innovation Bright Communal equipped with all facilities3 bedrooms1 large living roomWith propertywith techniquewith a balconyHeating Systembucks,With hot and cold waterTV channels,1 bathroom,Air conditionerThe house has an open parking spacecamerayardRent price: 400,000 AMD per monthstarting from 2 monthUtility bills Not includedThe price is AMD 40,000 per dayfrom 5 to 15 daysUtilities includedNo smokingmaintain hygienic cleanlinessGiven to very serious and responsible personsThanks in advanceDeposit ///",Dec-12-2022_21-50,96 sq.m.,,,"Fridge, microwave, coffee maker, washing machine, iron",https://list.am/en/item/18653334,"Television, internet, air conditioner, alarm system",6,Yes,No,Not included,1 month
House,Stone,60 sq.m.,1,3,1,Available,Not available,Designer Renovation,"Գոգունցի փողոց, Գյումրի","15,000 ֏ daily",AMD,A perfect property with all utilities is available for rent and daily rent.Translated from Armenian,Dec-12-2022_21-50,20 sq.m.,,,,https://list.am/en/item/18374500,,3,Yes,Yes,Included,1 month
House,Stone,70 sq.m.,1,3,1,Available,1 spot,Euro Renovation,"Airport 3rd District, Gyumri","60,000 ֏ monthly",AMD,"Здаётся частный дом со всеми удобствами, можно посуточно по договоренности. Так же здаётся отдельные комнаты.",Dec-12-2022_21-50,800 sq.m.,,,"Fridge, stove, coffee maker, dishwasher, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18684176,"Television, internet, gazebo",3,Yes,Yes,Not included,By Agreement
House,Stone,430 sq.m.,2,6,2,Available,2 spots,Cosmetic Renovation,Shirak › Mayisyan,"300,000 ֏ monthly",AMD,"Two-storey house for rent in Mayisyan village, 2 km from Ani district. The house has been cosmetically renovated. It is equipped with all the necessary communications. The entrance has an iron door and wooden windows. The house consists of 6 bedrooms with a total area of 430 sq/m, furniture and appliances. Heating is carried out by a centralized system. There is cable TV and internet. The place is calm and quiet. There are also many shops, restaurants, cafes nearby. It has an orchard in the yard, a stone garage, outdoor parking spaces on the side of the yard.Translated from Armenian",Dec-12-2022_21-50,1500 sq.m.,,,,https://list.am/en/item/18422897,,7,Yes,Yes,By Agreement,1 month
Townhouse,Stone,70 sq.m.,2,3,1,Available,Not available,Designer Renovation,"Ереванское шоссе, Гюмри","270,000 ֏ monthly",AMD,"Վարձով է տրվում դիզայներական ոճով վերանորոգված ստուդիո 3 սենյականոց թաունհաուս, կոմունալ բոլոր հարմարություններով, տեխնիկայով և կահույքով։Сдам таунхаус с дизайнерским ремонтом со всеми коммунальными удобствами, мебель + техника.На длительный срок",Dec-12-2022_21-50,320 sq.m.,,,,https://list.am/en/item/18519777,,5,Yes,Yes,Not included,1 month
House,Stone,75 sq.m.,1,3,1,Available,3 or more spots,Major Renovation,"Մանուշյան փողոց 7/8, Գյումրի","10,000 ֏ daily",AMD,"Երկարաժամկետ և օրավարձով է տրվում առանձնատուն որը գտնվում է քաղաքի կենտրոնում Շառլ Ազնավուրի հրապարակի հարևանությամբԱպահովված է կոմունալ բոլոր հարմարություններով։ գազաֆիկացված է, առկա է գերարագ ինտերնետ։Բակում կա ավտոմեքենայի կայանատեղի, ավտոտնակ և մանղալՄինչև Վարդանանց Հրապարակ 15 րոպեՏունը նախատեսված է մինչև 6 անձի համարԿախված օրերի քանակից գործում են զեղչերՆախատեսված է 6 անձի համար`1 անձի արժեքը 10000դրամ2 անձի արժեքը 20000դրամ3 անձի արժեքը 20000դրամ4 անձի արժեքը 25000դրամ5-6 անձի արժեքը 30000դրամԱմսավճարի դեպքում 350.000դրամ կոմունալ վճարումները ներառյալСдается частный дом посуточно и на длительный срок в центре города около площади Шарла Азнавура.Обеспечен всеми коммунальными удобствами. Газифицирован, есть высокоскоростной интернет,Во дворе есть парковка, гараж для машины и мангалпешком до Площадь Вардананц 15 минутДом рассчитан на проживание до 6 человек,Возможны скидки в зависимости от количества днейA private house is for daily rent in the center of the city near to square of Sharl AznavourIt is provided with all the communal amenities. It is gasified, there is high-speed internet.There is a parking lot in the yardOn foot to Vardanants Square 15 minutesThe house is designed for up to 6 peopleDiscounts are available depending on the number of days",Dec-12-2022_21-50,75 sq.m.,,,,https://list.am/en/item/17869388,,8+,Yes,No,Not included,By Agreement
House,Stone,60 sq.m.,1,2,1,Available,3 or more spots,Designer Renovation,"Մանուշյան փողոց, Գյումրի","10,000 ֏ daily",AMD,"Երկարաժամկետ և օրավարձով է տրվում առանձնատուն որը գտնվում է քաղաքի կենտրոնում Շառլ Ազնավուրի հրապարակի հարևանությամբԱպահովված է կոմունալ բոլոր հարմարություններով։ գազաֆիկացված է, առկա է գերարագ ինտերնետ։Բակում կա ավտոմեքենայի կայանատեղի, ավտոտնակ և մանղալՄինչև Վարդանանց Հրապարակ 15 րոպեՏունը նախատեսված է մինչև 10 անձի համարԿախված օրերի քանակից գործում են զեղչերՆախատեսված է 10 անձի համար`1 անձի արժեքը 10000դրամ2 անձի արժեքը 20000դրամ3 անձի արժեքը 20000դրամ4 անձի արժեքը 25000դրամ5-6 անձի արժեքը 30000դրամ7-10 անձի արժեքը 40000դրամԱմսավճարի դեպքում 350.000դրամ կոմունալ վճարումները ներառյալСдается частный дом посуточно и на длительный срок в центре города около площади Шарла Азнавура.Обеспечен всеми коммунальными удобствами. Газифицирован, есть высокоскоростной интернет,Во дворе есть парковка, гараж для машины и мангалпешком до Площадь Вардананц 15 минутДом рассчитан на проживание до 10 человек,Возможны скидки в зависимости от количества днейA private house is for daily rent in the center of the city near to square of Sharl AznavourIt is provided with all the communal amenities. It is gasified, there is high-speed internet.There is a parking lot in the yardOn foot to Vardanants Square 15 minutesThe house is designed for up to 10 peopleDiscounts are available depending on the number of days",Dec-12-2022_21-50,20 sq.m.,,,,https://list.am/en/item/18224461,,8+,Yes,No,Not included,By Agreement
House,Stone,200 sq.m.,1,5,1,By agreement,2 spots,No Renovation,"Բաղրամյան փողոց 17/1, Գյումրի","150,000 ֏ monthly",AMD,Gasified heating system. Renovation of the house is in progressTranslated from Armenian,Dec-12-2022_21-50,400 sq.m.,,,Water Heater,https://list.am/en/item/18591020,,8+,Yes,Yes,Not included,Without prepayment
House,Stone,100 sq.m.,2,3,1,By agreement,3 or more spots,Old Renovation,"Խանոյանի փողոց 1շ, Գյումրի","60,000 ֏ monthly",AMD,"There is every possibility, call Makur home and I will answer your questionsTranslated from Armenian",Dec-12-2022_21-50,500 sq.m.,,,"Washing machine, drying machine, water Heater",https://list.am/en/item/18700126,"Television, internet, air conditioner",3,Yes,No,Not included,By Agreement
House,Stone,40 sq.m.,1,1,1,,1 spot,Cosmetic Renovation,"Улица Сундукяна 101Б, Гюмри","15,000 ֏ daily",AMD,1 комнатная со всеми удобствами и техникои,Dec-12-2022_21-50,60 sq.m.,,,,https://list.am/en/item/18564047,,2,No,No,Included,By Agreement
House,Stone,55 sq.m.,1,2,1,Available,Not available,Major Renovation,"Shirakatsi St 53, Gyumri","15,000 ֏ daily",AMD,"Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխություն. Сдается в аренду квартираВ квартире есть все коммунальные услугиудобства:* Система отопления* Газовая плита* Телевизор WiFI* Холодильник* Автоматическая стиральная машина* Долгосрочная арендадепозит за 1 месяцЗвоните для более подробной информации: O",Dec-12-2022_21-50,,,,,https://list.am/en/item/14155154,,3,Yes,No,Included,By Agreement
House,Stone,50 sq.m.,1,2,2,Available,1 spot,Designer Renovation,"Ֆուրմանով փողոց 55, Գյումրի","13,000 ֏ daily",AMD,Օրավարձով սեփական տուն կոմունալ բոլոր հարմարություններով քաղաքի կենտրոնում։Посуточный Гостевой дом со всеми ком. Услугами. Можно и на длительный срок. Дом находится в центре города.Daily Guest house with all utilities. The house is located in the city center. Ravardzov 2 senya,Dec-12-2022_21-50,40 sq.m.,,,"Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/16102071,"Television, barbecue oven, alarm system",2,Yes,No,Included,By Agreement
House,Stone,55 sq.m.,1,3,1,Available,Not available,Partial Renovation,"Ghandilyan street 8, Gyumri","200,000 ֏ monthly",AMD,"Сдается частный дом на длительный срок (дом находится в улице Хандиляна 83/8) Обеспечен всеми коммунальными удобствами (газифицирован, есть высокоскоростной интернет)Во дворе есть парковка, турник, гараж (не далеко от дома)Возможны скидки в зависимости от количества дней.Ежемесячный платеж 200 000 драм.",Dec-12-2022_21-50,55 sq.m.,,,,https://list.am/en/item/18520616,,5,Yes,Yes,Included,Without prepayment
House,Bricks,74 sq.m.,2,4,1,Partial Furniture,Not available,Partial Renovation,"Անդրանիկ Խաչատրյան փողոց 17/1, Գյումրի","70,000 ֏ monthly",AMD,"Own house for rent in the railway district, with all utilities, the house is for rent with a contract for a minimum of 1 year.Available for family only with 2 months depositTranslated from Armenian",Dec-12-2022_21-50,1100 sq.m.,,,"Stove, washing machine",https://list.am/en/item/18699441,Internet,8+,Yes,No,Not included,2 months
House,Stone,80 sq.m.,1,4,1,Available,Not available,Euro Renovation,Shirak › Gyumri,"160,000 ֏ monthly",AMD,Дом коттеджного типа построен по немецкому проекту в компактном коттеджном горотке. Подробную информацию по телефону и при встрече. Предоплата два месяца (первый и последний месяц) Дом здаётся добросовесним гражданам России.,Dec-12-2022_21-50,300 sq.m.,,,"Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18699375,"Television, internet",6,Yes,Negotiable,Not included,2 months
