Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Window Views,Address,Price,Currency,Description,Datetime,Type,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Links,Amenities
Stone,No,Not available,5,,,60 sq.m.,3,2,from 2.75 m,4,Not available,Available,Cosmetic Renovation,,"Կալինինի փողոց 247, Դիլիջան","160,000 ֏ monthly",AMD,An apartment for rent in Dilijan has all the amenities.Call for details.Translated from Armenian,Dec-12-2022_23-08,,,6,Negotiable,Negotiable,By Agreement,By Agreement,,https://list.am/en/item/18611807,"Television, internet"
Stone,No,Not available,5,,,79 sq.m.,3,1,from 2.5 m,2,Open balcony,,Major Renovation,,"Getapnya street, Dilijan station","30,000 ֏ daily",AMD,"The apartment is located on Getapnya Street in Dilijan, next to a park. It is close to the school and the kindergarten. There is a beautiful view from the balcony. The apartment has just undergone a major renovation. There is a BAXI heating system. Water is permanent, without restrictions. The apartment is designed for 6-7 people. It is also for long-term rent.In case of additional questions, call the mentioned phone number (do not write on the page)Translated from Armenian",Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17888378,
Stone,No,Not available,3,,,40 sq.m.,1,1,from 2.8 m,3,Open balcony,,Euro Renovation,,Tavush › Dilijan,"350,000 ֏ monthly",AMD,"Сдаётся однокомнатная квартира с хорошимевроремонтом и красивым видом из окна на горный массив в центре города Дилиджана. Квартира оснащена всеми необходимыми каммуникациями (газ, вода, интернет),(магазины и банки в шаговой доступности), а также всё необходимое для комфортного отдыха и проживания.Квартира сдаётся, как на короткий, так и на длительный срок.По всем вопросам обращайтесь по телефону",Dec-12-2022_23-08,,,3,Yes,No,Not included,1 month,,https://list.am/en/item/18354350,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 2.7 m,5,Open balcony,Available,Cosmetic Renovation,"Yard view, street view, park view","Kamo Street 72, Dilijan","150,000 ֏ monthly",AMD,"An apartment for rent in Dilijan, there is no BAXI, we can install a gas stove, with a deposit for the first and last months, you can write to whatsapp for detailsTranslated from Armenian",Dec-12-2022_23-08,,,6,Yes,No,Not included,1 month,"Stove, washing machine, water Heater",https://list.am/en/item/18396468,
Stone,Yes,Not available,5,,,80 sq.m.,3,1,from 2.6 m,5,Open balcony,,Major Renovation,,Tavush › Ijevan,"150,000 ֏ monthly",AMD,Completely newly renovated and furnishedTranslated from Armenian,Dec-12-2022_23-08,,,8+,Yes,No,Not included,By Agreement,,https://list.am/en/item/18431157,
Stone,Yes,Not available,2,,,444 sq.m.,6,1,from 3.5 m,2,Open balcony,Available,Major Renovation,,Tavush › Dilijan,"25,000 ֏ daily",AMD,"The second floor of a private house is for daily rent, with all its amenities. The house has 5 bedrooms, a living room, a kitchen with dishes and appliances, a bathroom, wi_fi, an open balcony, a pavilion with its accessories, a possibility to light a fire, a swing. We can accommodate up to 15-18 people. Spend your best family and friendly vacation with us.Translated from Armenian",Dec-12-2022_23-08,,,8+,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/17941873,
Stone,Yes,Available,9,,,35 sq.m.,2,1,from 3.5 m,9,Multiple balconies,Available,Designer Renovation,,"Getapnya street 2, Dilijan station","30,000 ֏ daily",AMD,"Come to Dilijan)Perfect fresh air, quiet nature, pleasant rest.For daily rent in the best newly built building in Dilijan city, renovated apartment in completely new design style, with all utilities, for 1-4 people. Suitable for families. This apartment with a wonderful view is located in the best district of Dilijan, on the banks of the Aghstev river, in the only newly built building on Getapnya (Naberezhni) street. The park of Dilijan city is located in the neighborhood, where all conditions for recreation are created for both adults, young people and children in the fresh air. Fans of extreme recreation can use the services of the newly opened Upper Park in that park. All the necessary shops, recreation and entertainment places are nearby, for example City Park (2 minutes on foot), Karahunj Restaurant (5 minutes on foot), Losh Restaurant (5 minutes on foot), Kchuuch Restaurant (10 minutes on foot), Latte art Cafe, Cafe #2 (7 minutes on foot)The apartment has:Wifi internetHeating SystemConstant hot and cold waterkitchen appliancesWashing machineLiving room (open sofa)bedroom (double bed)BathroomKitchenSeveral balconiesAll other essentials for a complete vacation.The price for 1 day is AMD 30,000. Discounts (27,000 drams) will apply in case of 2 or more days. It can be changed according to the number of guests and days of the week, as well as holidays. For 7 nights or more, the price will be discounted by 30%.For safety reasons, there is no gas in the building, everything is electric. There is a 24-hour video recording in the building.For reservations, call the indicated phone number!(Dilijanum, oravarc, hyuratun)Translated from Armenian",Dec-12-2022_23-08,,,4,Yes,No,Included,By Agreement,,https://list.am/en/item/16605928,
Stone,No,Not available,5,,,70 sq.m.,3,1,from 2.8 m,2,Open balcony,Available,Major Renovation,Park view,Tavush › Dilijan,"200,000 ֏ monthly",AMD,"Վարձով է տրվում կապիտալ վերանորոգված, 3 սենյականոց բնակարան Դիլիջանում։ Կա անհատական ջեռուցման համակարգ, բուխարի։ Ունի բաց պատշգամբ։ Երկարաժամկետ վերցնելու դեպքում վարձը ամսական 200000, կարճաժամկետի դեպքում պայմանագրային։",Dec-12-2022_23-08,,,7,Yes,No,Not included,By Agreement,"Fridge, stove, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/12930951,"Television, air conditioner, internet"
Panels,No,Available,9,,,75 sq.m.,3,1,from 2.8 m,7,Open balcony,Available,Euro Renovation,,"Улица Гетапня 10, Дилижан","7,000 ֏ daily",AMD,"Здается по суточно 3 ком. Квартира в г. Дилижане недалеко от центра, в лучшем районе города, рядом с центральным парком. На 1 человека 7000 драм в днь. Минимум 2 дня. В квартире имеется интернет с Wi-Fi-ом, телевизор, паровое отопления с собственным котлом, мебель, постельные принадлежности и всё необходимое для комфортного проживания. Писать собещение не надо, только звонить до 22:00.",Dec-12-2022_23-08,,,4,No,No,Included,By Agreement,,https://list.am/en/item/18574216,
Stone,Yes,Available,4,,,55 sq.m.,2,1,from 2.7 m,1,Open balcony,Available,Designer Renovation,,Tavush › Dilijan,"5,000 ֏ daily",AMD,"A luxury apartment is for daily rent in Dilijan (in Yeghevni Park), newly renovated, with all utilities, for 4 + 1 persons. The apartment has all necessary facilities: Furniture, appliances, dishes, Wi-Fi. Located on the central street. It is like your own house, it has 2 entrances and a yard, as well as the possibility to park the car in the yard of the apartment. The daily rate starts from AMD 5000 per person per day, depending on the number of days and guests. The price for New Year is different.Translated from Armenian",Dec-12-2022_23-08,,,2,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/16428994,
Stone,No,Available,1,,,64 sq.m.,2,1,from 2.5 m,1,Open balcony,Available,Cosmetic Renovation,,"Usanogakan street, Dilijan station","200,000 ֏ monthly",AMD,Օֆիսային տարածք Դիլիջան քաղաքում գետափնյա փողոցում։ Գինը պայմանագրային։Сдается 2 комнатная квартира на улице гетапня 8 дом 1.Translated from Armenian,Dec-12-2022_23-08,,,4,Yes,No,Not included,1 month,,https://list.am/en/item/17683933,
Panels,No,Not available,4,,,70 sq.m.,3,2,from 2.7 m,3,Closed balcony,,Euro Renovation,,"Գայի փողոց 76, Դիլիջան","200,000 ֏ monthly",AMD,"The apartment is located in DilijanIf you have any questions, call the indicated phone numberapartment address oak crossgai 80 apt 23Translated from Armenian",Dec-12-2022_23-08,,,3,No,No,By Agreement,By Agreement,,https://list.am/en/item/17517040,
Stone,No,Not available,3,,,68 sq.m.,2,1,from 2.7 m,3,Closed balcony,Available,Euro Renovation,,"Ստեփան Շահումյանի փողոց 12, Դիլիջան","170,000 ֏ monthly",AMD,"2 rooms, newly renovated, will be available from December 25. The property, the equipment is new, I will pay off the money during the long-term lease.Translated from Armenian",Dec-12-2022_23-08,,,4,Yes,Negotiable,Not included,By Agreement,,https://list.am/en/item/18233042,
Stone,No,Not available,5,,,75 sq.m.,3,1,from 2.75 m,1,Closed balcony,Available,Partial Renovation,,"Գետափնյա փողոց 86, Դիլիջան","200,000 ֏ monthly",AMD,"The apartment is located on the bank of Aghstev river, it is sunny. With all utilities, BAXI system, free Wi-Fi, windows are euro. The apartment is rented with property (as seen in the pictures)The apartment is on the first floor, but high, one and a half floors above the ground. For other questions, you can call the indicated phone number, I am the owner of the apartment.Translated from Armenian",Dec-12-2022_23-08,,,6,Yes,No,Not included,1 month,,https://list.am/en/item/18406440,
Stone,No,Not available,4,,,40 sq.m.,1,1,from 2.8 m,2,Open balcony,Available,Partial Renovation,,"Շահումյան փողոց 26, Դիլիջան","8,000 ֏ daily",AMD,"Daily rent apartment in DilijanThe apartment is located on Shahumyan (Eghevniner) street.The apartment has all utilities, it is rented only on a daily basis.Check-in at 14:00Departure at 12:00Translated from Armenian",Dec-12-2022_23-08,,,3,Yes,No,Included,By Agreement,,https://list.am/en/item/16274828,
Stone,Yes,Not available,5,,,500 sq.m.,2,1,from 2.75 m,2,Not available,Available,Major Renovation,,"Kalinini street, Dilijan station","90,000 ֏ daily",AMD,"The apartment is located next to the Prosecutor's Office building and the International School next to Kalinin Street.Available:1 bedroom1 living room1 kitchen1 bathroomThe apartment is fully renovated. Long-term is also available, call in case of questions.The specified value refers to the month.Translated from Armenian",Dec-12-2022_23-08,,,5,Yes,Yes,By Agreement,By Agreement,,https://list.am/en/item/18234312,
Monolith,Yes,Not available,2,,,50 sq.m.,2,1,from 2.5 m,2,Not available,Available,Designer Renovation,,Tavush › Ijevan,"25,000 ֏ daily",AMD,"Special discount for military personnel!It is possible to register the house so that the state compensates the rent of the serviceman!CALLING WITHOUT READING THE BELOW IS STRICTLY PROHIBITEDRead carefully.The apartment is intended for 1 (ONE) or 2 (TWO) personsRead carefully.The house is rented for a minimum of 3 days.THE HOUSE IS NOT AVAILABLE FOR A DAY OR TWOWe offer a newly renovated 2-storey compact apartment in an apartment building, the apartment is located in the Blbulyan district of Ijevan city, it is located in a busy area, there are various commercial outlets in the neighborhood, there is a school in the neighborhood and a kindergarten right next door, the apartment is fully equipped with furniture and household appliances, daily hot and cold water, the apartment is for one or two people, THIS IS A MANDATORY CONDITIONIn case of long-term rental, monthly or daily rent negotiation is possible.The minimum period for daily rent is 3 days, the minimum period for monthly rent is 6 months, in case of monthly rent, the amount for 1 month will be AMD 160,000.First month: 160,000second month: 150,000third month: 140,000fourth month: 130,000fifth month: 120,000sixth month: 100,000that is, the sixth month is 100,000, in case of staying for 6 months or more, the monthly payment will be 75,000, and that price will remain unchanged.Translated from Armenian",Dec-12-2022_23-08,,,2,No,Yes,Included,1 month,,https://list.am/en/item/16682375,
Stone,No,Not available,5,,,60 sq.m.,3,1,from 2.75 m,1,Multiple balconies,Available,Old Renovation,"Yard view, street view, park view","Улица Гетапня, Дилижан","150,000 ֏ monthly",AMD,"Сдам 3-х комнатная квартира недалеко от центра Дилижан.2 балкона, один переделан в спальню.Тихий район, рядом река, 2 продуктовых магазина в доме, рядом много магазинов и кафе, почта в 10 метрах, детский сад на углу дома, до школы 450 метров. В школе есть русские классы. Всё рядом. Очень красиво. Русские соседи.Можно снять отдельно комнату, тогда жить со мной, с хозяйкой. Можно несколько человек, семья.Цена за всю квартиру.Можно подключить интернет.Коммунальные платежи платите отдельно.От Еревана час с половиной на 561 маршрутке с Северный автовокзал.Звоните, сообщения не отвечаю.",Dec-12-2022_23-08,,,3,Yes,Negotiable,By Agreement,1 month,"Fridge, stove, washing machine, water Heater, iron",https://list.am/en/item/18429046,Television
Stone,Yes,Not available,3,,,130 sq.m.,3,1,from 3 m,3,Open balcony,,Major Renovation,,"13-րդ փողոց, Հաղարծին","60,000 ֏ daily",AMD,Harmony House Dilijan opens its welcoming doors to all visitors. We provide all the conditions for a family vacation.Harmony House Dilijan combines the breath of nature and all the services of a comfortable vacation.The guest house is equipped with all utilities.All the necessary conditions and equipment are available.Please contact us to book and get all the details.Translated from Armenian,Dec-12-2022_23-08,,,8+,Yes,Yes,Included,By Agreement,,https://list.am/en/item/18482142,
Panels,No,Available,9,Playground,Outdoor parking,60 sq.m.,2,1,from 2.7 m,3,Open balcony,Available,Euro Renovation,"Yard view, street view, city view, park view","Գետափնյա փողոց 4, Դիլիջան","15,000 ֏ daily",AMD,"Address: City of Dilijan, Getapnya 4.This apartment with an open balcony and a beautiful view is located in the best district of Dilijan, on the banks of the Aghstev river.Combine rest and work.The apartment has all the necessary facilities:• Open balcony, Beautiful view• High-speed Internet WI - FI,• Hot and cold water,• Heating system: BAXI,• Gas, gas stove, gas stove,• Sugar, coffee, tea• Refrigerator,• Automatic washing machine,• Dishes, linens, towels• Slippers• Iron door.December discountsThe price for 1 day is:1 person - 18,000 AMD2 persons - AMD 18,0003 persons - AMD 25,0004 people - AMD 30,0005 people - AMD 35,000For a minimum booking of 2 days, the cost of 1 day is:1 person - 16,000 AMD2 persons - AMD 16,0003 persons - AMD 22,0004 people - 28,000 AMD5 people - AMD 33,000For a minimum booking of 3 days, the cost of 1 day is:1 person - 15,000 AMD2 persons - AMD 15,0003 persons - 21,000 AMD4 people - 26,000 AMD5 people - AMD 30,000If you book for a minimum of 5 days, the cost of 1 day is:1 person - 15,000 AMD2 persons - AMD 15,0003 persons - 18,000 AMD4 people - 20,000 AMD5 people - 25,000 AMDFor a minimum booking of 10 days, the cost of 1 day is:1 person - 14,000 AMD2 persons - AMD 14,0003 persons - AMD 16,0004 people - 18,000 AMD5 people - 22,000 AMDThere is a park in the neighborhood, where all conditions are created for recreation in the fresh air for adults, youth and children. Fans of extreme recreation can enjoy extreme recreation in the newly opened Verev Paran Park in the park. To visit this park, you will not need to use any means of transport, which is important for everyone today.We can also arrange your arrival in Dilijan from anywhere (car KIA FORTE)Translated from Armenian",Dec-12-2022_23-08,,,5,Yes,No,Included,Without prepayment,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/16748569,"Television, internet, parking space"
Stone,No,Not available,4,,,43 sq.m.,1,1,from 2.8 m,1,Not available,Available,Cosmetic Renovation,Yard view,Tavush › Ijevan,"80,000 ֏ monthly",AMD,"The house is designed for a small family, call for detailsTranslated from Armenian",Dec-12-2022_23-08,,,2,Negotiable,No,Not included,1 month,"Fridge, washing machine, water Heater",https://list.am/en/item/18704906,
Stone,No,Not available,5,,,75 sq.m.,3,1,from 3 m,3,Multiple balconies,Available,Major Renovation,Yard view,Tavush › Dilijan,"300,000 ֏ monthly",AMD,"(ARM)Վարձով կամ օրավարձով է տրվում բնակարան Դիլիջան քաղաքում 5 հարկանի քարե շենքի 3-րդ հարկում։Հարմարեցված է կահույքովԱռկա է սառը և տաք ջուրՋեռուցվում էԱռաջին սենյակում առկա է մեկ մեծ մահճակալ և երկհարկանի անկողինԵրկրորդ սենյակում առկա է 2 մեկտեղանի մահճակալ և հսկայականԱռկա է միջանցք, որտեղ ևս առկա է մեծ պահարան և կոշիկների համար նախատեսված դարակԲաղնիք զուգարանը միացված է և գեղեցիկ սալիկապատվածՊատշգամբից երևում է հիանալի տեսարան դեպի գետ և անտառԲնակարանն օրավարձով կախված է հյուրերի քանակից իսկ ամսավճարը սակարգելի է և նույնպես կախված է հյուրերի քանակից։ԱՎԵԼԻ ՇԱՏ ՆԿԱՐՆԵՐԻ ՀԱՄԱՐ ԳՐԵԼ ՆՇՎԱԾ ՀԵՌԱԽՈՍԱՀԱՄԱՐԻ WHATSAPP-ին(RUS)Сдается квартира посуточно или посуточно на 3 этаже 5 этажного каменного дома в Дилижане.С мебельюДоступна холодная и горячая водаПодогреваетсяВ первой комнате есть одна большая кровать и двухъярусная кровать.Во второй комнате есть 2 односпальные кровати и огромныйЕсть прихожая, где также есть большой шкаф и полка для обуви.Ванная комната соединена и красиво выложена плиткой.С балкона открывается прекрасный вид на реку и лесСуточная арендная плата квартиры зависит от количества гостей, а ежемесячная оплата договорная и также зависит от количества гостей.ДЛЯ БОЛЬШЕ ФОТОГРАФИЙ ПИШИТЕ НА УКАЗАННЫЙ НОМЕР ТЕЛЕФОНА WHATSAPP(ENG)An apartment is for rent or daily rent on the 3rd floor of a 5-story stone building in Dilijan.Fitted with furnitureCold and hot water availableIt is heatedThe first room has one large bed and a bunk bedThe second room has 2 single beds and a hugeThere is a hallway, where there is also a large closet and a shelf for shoesThe bathroom is connected and beautifully tiledThe balcony has a wonderful view of the river and the forestThe daily rent of the apartment depends on the number of guests and the monthly payment is negotiable and also depends on the number of guests.FOR MORE PICTURES WRITE TO THE MENTIONED PHONE NUMBER WHATSAPP",Dec-12-2022_23-08,,,7,Yes,Negotiable,Not included,1 month,"Fridge, stove, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18704822,Television
Stone,No,Not available,3,,,32 sq.m.,2,1,from 2.7 m,2,Open balcony,Available,Designer Renovation,,Tavush › Dilijan,"5,000 ֏ daily",AMD,"Designed for 2 people, newly renovated apartments in the center of Dilijan, on Yeghniner Street, 1 person 5000 AMD per day, given only to families, minimum 2 days, not given for 1 dayDilijan, in Dilijan, rest house, daily rent, apartments, hotel.Translated from Armenian",Dec-12-2022_23-08,,,2,Yes,No,Included,By Agreement,,https://list.am/en/item/13964273,
Stone,No,Not available,5,,,55 sq.m.,2,1,from 3 m,2,Closed balcony,Available,Major Renovation,,"Կալինինի փողոց 167, Դիլիջան","200,000 ֏ monthly",AMD,"The apartment is completely renovated, it is comfortable to enjoy the rest, it is close to the center, to the riverside street, where you can walk and enjoy the oxygen-rich air. You can call for questions.Translated from Armenian",Dec-12-2022_23-08,,,3,Yes,No,Not included,1 month,,https://list.am/en/item/18186206,
Stone,No,Not available,5,,,78 sq.m.,3,1,from 3.5 m,5,Not available,Available,Cosmetic Renovation,,"Գայի փողոց, Դիլիջան","120,000 ֏ monthly",AMD,"3 / s, sq. M. , long and with a bed, furniture, hot appliances, RTK constant water, for more information callTranslated from Armenian",Dec-12-2022_23-08,,,5,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/11811918,
Stone,Yes,Not available,4,,,28 sq.m.,1,1,from 2.8 m,2,Open balcony,,Euro Renovation,,Tavush › Dilijan,"10,000 ֏ daily",AMD,"The apartment is located in Idalan Vichak, it has utilities, all amenities are also available for rent on a monthly basisTranslated from Armenian",Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/18320008,
Stone,No,Not available,5,,,48 sq.m.,3,1,from 2.8 m,5,Not available,Partial Furniture,Partial Renovation,,"Բլբուլյան փողոց, Իջևան","55,000 ֏ monthly",AMD,"It is a sunny, very warm apartment, there is a school and a kindergarten nearby.Translated from Armenian",Dec-12-2022_23-08,,,4,Yes,No,Not included,By Agreement,,https://list.am/en/item/18704074,
Stone,No,Not available,5,,,50 sq.m.,2,1,from 3 m,5,Multiple balconies,,Designer Renovation,,"Կալինինի փողոց 179, Դիլիջան","350,000 ֏ monthly",AMD,"Сдается двухкомнатная квартира ул. Калинина 179, на 5 ом этаже, есть все удобства, Wi-Fi, по близости есть парк для прогулок, магазины, кафе, школа, садик и красивые места, где можно просто гулять.",Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17527158,
Stone,No,Not available,4,,,35 sq.m.,2,1,from 2.8 m,2,Open balcony,,Major Renovation,,"Շահումյան փողոց 10, Դիլիջան","10,000 ֏ daily",AMD,"Apartments for daily rent near the center of Dilijan, on a beautiful, quiet street, Yeghevinner street, renovated, clean, affordable, with open balcony, minimum 2 days, 1 day for 2 people 10,000 AMDTranslated from Armenian",Dec-12-2022_23-08,,,2,Yes,No,Included,By Agreement,,https://list.am/en/item/17933616,
Stone,No,Not available,4,,,30 sq.m.,1,1,from 2.75 m,3,Open balcony,,Euro Renovation,,"Շահումյան փողոց 10, Դիլիջան","10,000 ֏ daily",AMD,"Newly renovated, with all utilities, new property and appliances, clean apartments, on Eghevniri Street, Dilijan, for rent starting from 2 days, not for 1 day or hour, discounts will apply in case of long-term stay, only for families, 1 day for 2 people 10.000 drams, I am not an agency, we operate in the tax field, as well as social. By package or transferTranslated from Armenian",Dec-12-2022_23-08,,,2,Yes,No,Included,Without prepayment,,https://list.am/en/item/14881997,
Stone,No,Not available,4,,Outdoor parking,62 sq.m.,2,1,from 2.6 m,4,Closed balcony,Available,Major Renovation,Park view,"Ստեփան Շահումյանի փողոց 12, Դիլիջան","150,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան Դիլիջանում երկարաժամկետ և օրեկան վճարով գինը կախված վարձակալելու ժամկետից։ Բնակարանը նոր վերանորոգված է նոր կահույքով։ ՍակարկելիС 20 декабря Сдается 2-х комнатная квартира 65 квадратных метров.Квартира полностью отремонтирована,️вся мебель и техника новые.️В квартире есть необходимая посуда, которая тоже новая,️пастельные принадлежности, утюг, стиральная машина,Плазменный телевизор, очень быстрый WiFi,постоянная горячая и холодная вода,Находится на улице Шагумян 12 (ёлочний улица)На 4 этаже 4 этажного дома.️Звоните также есть Viber, WhatsApp с этим же номером",Dec-12-2022_23-08,,,4,Yes,Yes,Not included,1 month,"Fridge, stove, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18101026,"Television, internet"
Stone,No,Not available,5,,,46 sq.m.,2,1,from 2.8 m,2,Open balcony,Available,Designer Renovation,,Tavush › Dilijan,"20,000 ֏ daily",AMD,"An apartment is for rent on the most beautiful street of Dilijan, for a minimum of 3 days. The apartment is equipped with everything you need. Electric heating, 24 hours hot and cold water. Property, equipment, internet.Translated from Armenian",Dec-12-2022_23-08,,,2,No,No,Not included,By Agreement,,https://list.am/en/item/18481065,
Panels,No,Not available,5,Playground,Outdoor parking,84 sq.m.,4,2,from 2.75 m,1,Open balcony,Available,Major Renovation,,"Օրջոնիկիդզեի փողոց 71, Դիլիջան","80,000 ֏ daily",AMD,"Before the New Year. An apartment is for rent in Dilijan. The apartment is located on the first floor of the building and has a separate entrance. The apartment is equipped with all utilities, Baxsi system, underfloor heating, 2 bathrooms, 3 bedrooms, studio dining room. The apartment is designed for 5-6 people.Entry from December 31 to January 5 is AMD 400,000.Translated from Armenian",Dec-12-2022_23-08,,,6,Yes,No,Included,By Agreement,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18671648,"Television, internet"
Stone,No,Not available,4,,,32 sq.m.,1,1,from 2.7 m,2,Open balcony,Available,Cosmetic Renovation,,"Անկախության փողոց, Իջևան","75,000 ֏ monthly",AMD,"The apartment is located near Ijevan City. The apartment has all utilities (gas, hot and cold water, electricity) It is for rent with the property. For more information call.Translated from Armenian",Dec-12-2022_23-08,,,2,Yes,No,Not included,Without prepayment,,https://list.am/en/item/18688387,
Stone,Yes,Not available,3,,Outdoor parking,49 sq.m.,3,1,from 2.8 m,1,Not available,Available,Designer Renovation,"Yard view, street view, city view","Улица Мясникяна 40, Дилижан","30,000 ֏ daily",AMD,По факту 55квЦентр городаНа против Гостиница ТуфенкянаВсё новоеКвартира полностью оборудован до посудыПодробности по телефонуМинималние дни проживания от 3днейДвухспальная кроватьРаскладной диван2 расклодных креселНа новый год с 30.12 - 05.01 450.000амд (зависит от количества гостей),Dec-12-2022_23-08,,,5,Yes,Negotiable,Included,By Agreement,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron",https://list.am/en/item/18671868,"Television, internet"
Stone,No,Not available,3,,,100 sq.m.,4,1,from 2.8 m,2,Open balcony,Not available,Major Renovation,,"Մյասնիկյան փողոց, Դիլիջան","15,000 ֏ daily",AMD,"In the center of Dilijan city, on Myasnikyan street, an apartment is for rent.Available: Free Wi-fi, refrigerator, gas stove, washing machine, barbecue, parking lot.The apartment is heated with BAXI heating system.Bedding and dishes are provided to the guests.There are grocery stores, supermarkets, pharmacy, banks nearby.A pavilion (besetka) on the bank of the river is provided free of charge to those who wish.Translated from Armenian",Dec-12-2022_23-08,,,7,Yes,Yes,Not included,By Agreement,,https://list.am/en/item/18066052,
Panels,No,Not available,4,,,96 sq.m.,3,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,,"Օրջոնիկիդզեի փողոց 67, Դիլիջան","180,000 ֏ monthly",AMD,"Newly renovated apartments for rent in Dilijan, equipped with new equipment and all facilities, designed for up to 4 + 1 personsTranslated from Armenian",Dec-12-2022_23-08,,,4,Yes,No,Not included,2 months,,https://list.am/en/item/18487476,
Bricks,No,Not available,4,,,50 sq.m.,3,1,from 2.8 m,2,Not available,Not available,Major Renovation,,"Ստեփան Շահումյանի փողոց 16, Դիլիջան","15,000 ֏ daily",AMD,"An apartment is for rent on Shahumyan street in Dilijan city, in the Yeghevni district. The apartment is renovated, has constant hot and cold water, is heated. There is wi-fiTranslated from Armenian",Dec-12-2022_23-08,,,5,Yes,No,By Agreement,By Agreement,,https://list.am/en/item/18284108,
Stone,No,Not available,5,,Outdoor parking,60 sq.m.,3,1,from 2.8 m,2,Closed balcony,Available,Euro Renovation,"Street view, park view","Getapnya street 76, Dilijan","15,000 ֏ daily",AMD,"Спокойное и уютное жилье для расслабленного семейного отдыха, расположенное на улице Гетапня, вдоль набережной. Рядом находится международная школа UFC и детский парк.Апартаменты площадью 60 м2 могут приютить до 5 гостей:1 двуспальная кровать в спальне2 односпальные кровати в гостиной1 односпальная кровать на балконекухня и залОкна расположены на солнечной стороне с видом на горы, леса и реку.Апартаменты расположены рядом с остановкой общественного транспорта. Отопление системой BAXI (все комнаты очень тёплые) Горячая вода есть всегда.+ 374938223434+ 375293333623 (только Whats app)Условия аренды апартаментов:Check in: В любое удобное для Вас времяChek out: До 14:00 следующего дняМинимальный срок аренды: 2 суток",Dec-12-2022_23-08,,,5,Yes,Negotiable,Included,By Agreement,"Fridge, stove, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18666950,"Internet, parking space"
Panels,No,Available,9,,,64 sq.m.,2,1,from 2.7 m,9,Closed balcony,Available,Old Renovation,,"Շամախյան փողոց 2Բ, Դիլիջան","80,000 ֏ monthly",AMD,"Urgently, apartment for rent in Dilijan.The house has an old renovation, but it is comfortable and pleasant to live in.The apartment offers a wonderful view of beautiful Dilijan.Translated from Armenian",Dec-12-2022_23-08,,,6,Yes,No,Included,1 month,,https://list.am/en/item/18374000,
Stone,No,Not available,5,,,60 sq.m.,3,1,from 2.8 m,2,Closed balcony,,Cosmetic Renovation,,Tavush › Dilijan,"190,000 ֏ monthly",AMD,Очень удобны квартира.,Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/18382796,
Stone,No,Not available,5,,,40 sq.m.,1,1,from 2.8 m,4,Not available,,Major Renovation,,Tavush › Dilijan,"190,000 ֏ monthly",AMD,Сдаётся однокомнатная квартира в аренду. После ремонта некто не жил,Dec-12-2022_23-08,,,,,,,,,https://list.am/en/item/17910778,
Stone,No,Not available,6,,,33 sq.m.,1,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,,"Улица Калинина 167, Дилижан","90,000 ֏ monthly",AMD,Ремонтированная квартира с нишеу и хозяйственним балконом. Есть газовая калонка и плита.Стоянка автобуса около здания.Минимум 6 месяцев.,Dec-12-2022_23-08,,,2,Yes,Yes,Not included,2 months,,https://list.am/en/item/18418727,
Stone,No,Not available,5,,,105 sq.m.,3,1,from 2.8 m,1,Multiple balconies,Available,Partial Renovation,,"Գայի փողոց, Դիլիջան","150,000 ֏ monthly",AMD,"Apartment for long-term rent in beautiful Dilijan. It is located 10 minutes away from the city center, in ""Jrhogher"" district. It is equipped with all utilities, installed BAXI system. In case of other questions, call.Translated from Armenian",Dec-12-2022_23-08,,,7,Yes,No,Not included,By Agreement,,https://list.am/en/item/18543234,
