Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Links,Construction Type
Functioning Business,1900 sq.m.,Armavir › Tsiatsan,"$170,000",USD,"2 operating businesses are for sale: A shop and a greenhouse together.The shop area is 50 square meters, it is provided with electricity, water, gas, sewage, it can also be used for residential or production purposes, it also has the possibility to expand. Greenhouse: 1650 square meters, possibility to increase, separate land area of 1900 square meters.The greenhouse has: Three-phase electricity, gas (medium), cooling system, 2 deep wells, drip system, drinking water, sewage, tractor, light engine, etc.1000 square meters of roses and 650 square meters of astromeria are cultivated in the greenhouse.The area is located on the central highway, 1.8 km from Etchmiadzin City.For more information, call...Shop: Greenhouse. Land area.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,Covered parking,,,,,https://list.am/en/item/18170530,Stone
Industrial and Manufacturing,235 sq.m.,"Tairov street, Yerevan","$80,000",USD,"Tairov, near Gai Post, production area, 2 floors, permanent. Hot, cold water, bathroom, air conditioner, small yard.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/17639699,Stone
Everything Else,515 sq.m.,Armavir › Aknalich,"18,000,000 ֏",AMD,"A newly built cattle farm is for sale in the village of Aknalich, Armavir marz.The area of the building is 0.515 square meters, it is provided with water and electricity. The price is AMD 18,000,000.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18056255,Panels
Functioning Business,2500 sq.m.,Armavir › Armavir,"$1,500,000",USD,"Wine factory. 2.5 hectares of production area in Armavir city. Eraphaz electricity, deep well. For more information call.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17481568,Stone
Retail Space,25 sq.m.,"Եղիշե Չարենցի փողոց 5Ա, Վաղարշապատ","10,500,000 ֏",AMD,Code H154Existing business for saleAddress K. Etchmiadzin Charents district Floor 1/1 Area 25 square meters Has a bathroom. The front part is linedHro:Call for detailsTranslated from Armenian,Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18623206,Stone
Industrial and Manufacturing,8500 sq.m.,Armavir › Echmiadzin,"$500,000",USD,"For sale or rent, suitable for various activities. The area is located on the road to Etchmiadzin in Zvardnots district.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18385192,Stone
Retail Space,150 sq.m.,Armavir › Echmiadzin,"$125,000",USD,Boxer car wash is for sale on Echmiadzin-Yerevan main highwayTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/14559707,Stone
Multifunctional Space,240 sq.m.,"Admiral Isakov Avenue, Tairov","$300,000",USD,"Front line, first floor, store, tenth floor, for residential areas, callTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18490461,Stone
Functioning Business,67 sq.m.,"Մովսես Խորենացի փողոց 24, Վաղարշապատ","65,000,000 ֏",AMD,"It is located near the city center in front of the bus station. The commercial area has 2 entrances, all utilities are available, call for other questionsTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18185167,Stone
Industrial and Manufacturing,45 sq.m.,"Եղիշե Չարենցի փողոց 25, Վաղարշապատ","$15,000",USD,"A stone building of 45 square meters is for sale very urgently. Has potable water, electricity, gas, basementIron door, gate is assembled, suspended ceiling, all mounted, worps workshop. Workshop. Office, etc. Can also be used as a 1-room apartment after cutting the walls, it is 45 square meters, the price is 15,000, negotiableTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17945809,Stone
Automotive Service,1000 sq.m.,"Անդրանիկի փողոց, Վաղարշապատ","$350,000",USD,"There are 3 boxers for sale, one of which is damaged. There is a warehouse under the building, it is possible to use the roof as a warehouse. The entrance faces the Oktemberyan Yerevan highway. There is a semi-detached two-storey detached house directly to the rear of the Boxer. The surface of the house is 1000 square meters. The price includes everything together. Partial sale is also possible.Translated from Armenian",Dec-12-2022_20-36,Partial Furniture,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18704853,Stone
Retail Space,600 sq.m.,Armavir › Parakar,"$420,000",USD,3 հարկ 2 առան. Մուտք 600ք/մ300-300 ՏՐՎՈՒՄ Է ՎԱՐՁՈՎ 400 Ք/Մ,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18489475,Stone
Everything Else,20 sq.m.,Armavir › Parakar,"550,000 ֏",AMD,"I am selling a house, 6.5 meters long and 3 meters wide, the house is in quite good condition, the price is 550,000. We will discuss other issues related to the transfer during the telephone conversation.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16840472,Wooden
Everything Else,7000 sq.m.,Armavir › Echmiadzin,"$300,000",USD,"For less than half the cost price, a 7,000 square meter Dutch v-egg drip greenhouse is for sale. The total land area is about 9,000 square meters.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/11011643,Cassette
Functioning Business,84 sq.m.,Armavir › Echmiadzin,"$43,000",USD,"Shops for sale and rent in Echmiadzin, in the busiest part of Charents district, 84 sq. M. M starting from 250 sq. M. M:Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/13919624,Monolith
Functioning Business,650 sq.m.,"Shahumyan street, Vagharshapat","$100,000",USD,"Code KE-8973 Operating business, recreation area, FULL PROPERTY and EQUIPMENT.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Courtyard,Outdoor parking,,,,,https://list.am/en/item/18589563,Stone
Multifunctional Space,105 sq.m.,"Baghramyan street 27, Armavir","$85,000",USD,"Площадь подходит для офиса. Коммерческих или других целей. Можно использовать как детский сад. Отдельные от подезда, выходы на улицу. Имеется газ, трехфазный счетчик электроэнергии санузел. Подходит под аренду. Цена договорная. Տարածքը հարմար է գրասենյակային, առևտրային և այլ նպատակով օգտագործելու համար։ Հնարավոր է օգտագործել որպես մանկապարտեզ։ Ունի 3 մուտք, Մուտքերը առանձնացված են շենքի մուտքերից, ունի եռաֆազ հոսանք, գազ, սանհանգույց։ Տարածքը վաճառվում է կամ տրվում է վարձով։",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17591609,Stone
Industrial and Manufacturing,100 sq.m.,Armavir › Echmiadzin,"5,000,000 ֏",AMD,"For sale is an existing semi-finished factory with the entire property and its own marketThe area of the workshop is not for sale.For details, call the indicated phone numberTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18117426,Stone
Retail Space,24 sq.m.,"Erevanyan street 24, Parakar","$23,000",USD,"The building was built in 2003 as a semi-detached building, it has the possibility to connect to all communications. It is located in Pharakar village, first line near the airport intersection. Also exchange with car at extra cost from you. NEGOTIABLE for real buyer.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,Outdoor parking,,,,,https://list.am/en/item/17116756,Stone
Retail Space,278 sq.m.,"Baghramyan street 13, Armavir","$275,000",USD,"For sale ($275,000) or for rent (500,000 AMD)Located in a very busy area, front line 18 meters frontage. For details, call the indicated phone number.Suggestive words - shop, hall, market, supermarket, Oktemberyan Armavir, sports hall, logistics, office, office, market, supermarket, gym, clothing store, shoe store75Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/16578400,Stone
Agricultural Space,2100 sq.m.,"Echmiatsin Highway 10, Khoronk","$160,000",USD,"Cattle farm for sale, in good condition, with cows, pigs, cattle, barns, barns. For other questions, you can callTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,Second Line,Separate from the Street,Covered parking,,,,,https://list.am/en/item/18674641,Stone
Functioning Business,7000 sq.m.,"Квартал Звартноц 11, Вагаршапат","$135,000",USD,"At a very urgent liquidation price, a 4500 square meter glass greenhouse is for sale, of which 2500 square meters were built this year, not used, and 2000 square meters in 2020.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/18096205,Stone
Retail Space,96 sq.m.,"1district 3, Metsamor","14,000,000 ֏",AMD,"КОММЕРЦИЯ! Продается 4-х Ком. Кв. На 1-этаже, в 5-ти этажном доме.Общая площадь квартиры 96 кв. /м. Г. МЕЦАМОРАКвартира угловая с балконом, к квартире относитсяземельный участок под строительство площадью 45 кв. М.Квартира очень хорошо подходит под торговый БИЗНЕС, так как на 1 этаже, и угловая.Земельный участок можно соединить к квартире, тем самым увеличив площадь квартиры.Рядом с квартирой есть большое количество торговых магазинов.В квартире требуется ремонт!Ремонт сами не делаем, так как Покупательбудет делать ремонт по своему вкусу!Квартира находится в благоустроенном районе вдоль трассына первом ряду г. Мецамора, трасса Ереван - Октемберян.ВСЕ ДОКУМЕНТЫ В ПОРЯДКЕ И НА РУКАХ.Я СОБСТВЕННИК КВАРТИРЫ.ЗВОНИТЕ!",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18543551,Stone
Retail Space,70 sq.m.,"Misak Manushyan street, Vagharshapat","$62,000",USD,"Without an intermediary. Zvartnots Building 1,Right next to the bus stop,very busy placefirst linehot/cold water,three-phase current,Call for more detailsTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18324628,Stone
Everything Else,"12,000 sq.m.",Armavir › Yervandashat,"$74,900",USD,"Address: Yervandashat village, Armavir marzLivestock farm for sale.The total area is 1.2 ha, fully fenced, which includes a cattle shed of 540 sq. M. The cattle shed ceiling is 5 meters high with zinc-sandwich panels. The equipment is new, unused, with feeding troughs, automatic water bottles. Livestocks are segregated. Manure is cleaned with a flow line. It has gravity 25 ton capacity water yard, three-phase current, dressing room. The barn has two large entrances. There is a half-built milk processing plant as well as 200 square meters of zinc sheet covered area for fodder. There is also a guardhouse and a swimming pool.The distance from Yerevan is 80 km / the whole road is paved/.If desired, it can be used as a canning or agricultural products processing workshop.Will exchange for real estate or car in Yerevan.The sale is made by the owner, there are no intermediaries.#ferma#anasnagom#gom#kovigom#ферма#анаснагом#ков#ковигом#ферма#ферма#анаснагом#гомTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/16920612,Stone
Industrial and Manufacturing,2000 sq.m.,"Echmiatsin Highway, Khoronk","$115,000",USD,"A stone workshop is for sale, operating, not for rent, has its own transformer and many orders, for sale urgently.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17367725,Monolith
Restaurant,500 sq.m.,Armavir › Armavir,"$350,000",USD,"A restaurant complex is for sale in the central part of the city of Armavir, in the city of Khoktemberyan, on Republican Street, it has 6 holiday homes with all its facilities, it has 170 square meters. The Wedding Salon.On the second floor, there is a dental clinic with an area of 140 square meters. The dental clinic, which is located on the 2nd floor of its 140 square meters, is possible. The area will be sold for $100,000, and the restaurant complex for $250,000. They have different entrances, which is from Republican Street.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18198487,Stone
Industrial and Manufacturing,1350 sq.m.,Armavir › Echmiadzin,"$280,000",USD,"An operating workshop is for sale in the center of Etchmiadzin, in the territory of which there is a newly built house with all amenities, the total area is 1350 square meters. Call for details.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17572053,Stone
Industrial and Manufacturing,"13,000 sq.m.",Armavir › Armavir,"290,000,000 ֏",AMD,"Code-BB1106Armavkr marz not reached Metsamor / 200m away from the highway /Production area 13000/1200 square meters. Fenced, all lit. Part of the production area is well preserved.Suitable for organizing various businesses, productionvery close to the highwaythe iron line runs through the backTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/18172290,Stone
Retail Space,48 sq.m.,Armavir › Echmiadzin,"$37,500",USD,Last lineExisting business for saleIn one of the central streets of EtchmiadzinThere is a basementUtilitiesArea: 46 square metersAshotCode E0049Translated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18413890,Stone
Functioning Business,300 sq.m.,Armavir › Echmiadzin,"$105,000",USD,"A two-story commercial space for sale in Etchmiatsin, car wash, garage, residential, warehouse, office. It has drinking water, well, toilets, three-phase electricity, camera, wi-fi, car wash equipment is provided, next to it there is a plot of land of 48 square meters. M.: It is located in the center of Etchmiadzin, at 5 Nalbandian street.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18566293,Stone
Industrial and Manufacturing,2800 sq.m.,Armavir › Echmiadzin,"$200,000",USD,"House and production area (poultry house) for sale. The total land area is 2800 sq. M. The building is 800 sq. M. M: Designed for 15,000 chicks in cages and 10,000 in floor barns. There is a pig farm for 50-60 pigs. There is permanent drinking water, artesian water, three-phase electricity, gas of the production area and house gas. The area is also suitable for other activities. There is also a large orchard and vineyards. We can make a discount for a real buyer. The area is for rent.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/16237478,Stone
Functioning Business,4000 sq.m.,Armavir › Arshaluys,"$370,000",USD,"For sale is a functioning greenhouse with all facilities, near the road, for details, call the indicated numberTranslated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18671087,Stone
Agricultural Space,300 sq.m.,Armavir › Musaler,"700,000 ֏",AMD,"Greenhouse for sale in Musaler villageSize 10*30m (300 sq. M), without land.The pipes are Russian, solid, except for the ceiling arches. The arches are made of square pipes.Cellophanes are fixed with stainless metal profiles.The price is negotiable.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17855529,Stone
Retail Space,60 sq.m.,"Charents street, Armavir","$18,500",USD,"#️For salePrice $18500Address: Etchmiadzin in Charents districtArea 60 square meters️ shop 35 square meters,️Additional DataA shop for sale in Charents district, 35 square meters, electric blinds.For more information callTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18457663,Stone
Agricultural Space,"15,000 sq.m.",Armavir › Hovtamej,"$69,000",USD,"Продается стеклянный парник 1000квм и целлофановый парник 600квм на 15000 кв м земле, плюс 2 х комнатный домик,! По всем остальным вопросам звоните...!",Dec-12-2022_20-36,Available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18216632,Stone
Industrial and Manufacturing,173 sq.m.,"Echmiatsin Highway, Khoronk","$98,000",USD,"The workshop is built on 0.24 hectare land. It is the best way to start a new business.For details, please call or write.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Second Line,Separate from the Street,,,,,,https://list.am/en/item/17747201,Stone
Industrial and Manufacturing,1500 sq.m.,Armavir › Musaler,"$380,000",USD,"Production area for saleThe area has gas, three-phase electricity.There is a sawmill on the premises, a wood dryer, and a separate varnishing areaAll woodworking tools availableFor more information call.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,Second Line,Separate from the Courtyard,,,,,,https://list.am/en/item/18498799,Panels
Industrial and Manufacturing,405 sq.m.,"Charents street, Vagharshapat","$37,000",USD,"Warehouse, production area, farm for sale, it is possible to build a residential house, capital building with all amenities, 2 under walls, solid foundation, roof, logs, board, metal sheet, land area: 405 sq. M., building 189 sq. M., and living room 30 sq. M.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/13932405,Stone
Automotive Service,1178 sq.m.,Armavir › Echmiadzin,"20,500,000 ֏",AMD,Land area 1170 square meters. Area 145 chaos on the road from Etchmiadzin to Margara without intermediariesTranslated from Armenian,Dec-12-2022_20-36,By agreement,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/12365499,Stone
Retail Space,24 sq.m.,"Charents street, Vagharshapat","$17,000",USD,"First line, for questions you can call or write a message.Exchange with a car up to $ 7,000 is possible.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/14403815,Stone
Everything Else,360 sq.m.,Armavir › Shenik,"20,000,000 ֏",AMD,"A ready-made building together with land can be used for various purposes.There is electricity, water, a toaster, a table for 250 people, chairs, dishes.Sold with furniture and appliances.For more information call:Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18667297,Stone
Functioning Business,60 sq.m.,"Hanrapetutyun street 37, Armavir","$55,000",USD,"It is very suitable for various business activities. Fast food, barber shop, etc. The price is negotiable. It is also exchanged for a new car. At an additional cost from you.Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17173983,Stone
Industrial and Manufacturing,2300 sq.m.,Armavir › Aghavnatun,"$40,000",USD,"Urgently for sale, negotiableTranslated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17632413,Stone
Agricultural Space,2250 sq.m.,Armavir › Echmiadzin,"$800,000",USD,"Կոդ՝ B-21767Վաճառվում է ֆերմա Արմավիր մարզում՝ Էջմիածին Մարգարա խճուղու վրա։ Միջին վերանորոգված է, հողի մակերեսը՝ 2,7 հա։ Ունի 2 հարկանի առանձնատուն, պտղատու այգի՝ 100 ծիրանի ծառերով, 3 ապակեպատ ջերմոց, ջրավազան, ձկնաբուծարան, 3 անասնաշենք, թռչնանոց, երշիկի ևայլ մթերքների արտադրության և պահպանման համար նախատեսված համապատասխան տարածքներ, սարքավորումներ և սառնարանային խցիկներ, հանգստի սենյակներ, պահակատուն: Տարածքում առկա է գեղեցիկ հանգստյան գոտի, ամառային խոհանոց, լողավազան: Տեղադրված է անվտագության համակարգ, հեռակառավարվող դարպասներ:Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A farm for sale in Armavir region on Ejmiatsin-Margara highway. The farm is middle renovated. It has 2-storey house, orchard with 100 apricot trees, 3 glazed greenhouses, swimming-pool, fishpond, 3 livestock barns, poultry house, appropriate areas for the production and storage of sausages and other food, equipments and refrigerators, rest rooms, guard house. There is a beautiful recreation area, summer kitchen, pool in the area. Security system and remote controlled gates are installed.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Courtyard,,,,,,https://list.am/en/item/17442729,Stone
Multifunctional Space,3890 sq.m.,Armavir › Echmiadzin,"$900,000",USD,"Կոդ՝ B-21754Վաճառվում է բազմաֆունկցիոնալ կոմերցիոն տարածք Վաղարշապատում քաղաքում։ Շինության մակերեսը՝ 1558քմ։ Տարածքը վերանորոգված է։ Մուտքի դռները՝ մետաղյա, պատուհանները՝ եվրո, հատակը՝ սալիկ, պրեսգրանիտ։ Ունի խոհանոցներ, բաց և փակ լողավազաններ, շոգեբաղնիք, 4 սանհանգույց, հանդերձարաններ, մարզասրահներ, ճաշարան, գրասենյակային տարածքներ, անվտանգության տեսախցիկներ, ջեռուցման համակարգ, մշտական ջուր և գազ։ Տարածքը ծառայում է որպես սպորտի, ուսումնական, զարգացման կենտրոն։Գործակալության միջնորդավճարը կազմում է 2 %: Ցուցադրությունների համար կնքվում է ցուցադրման պայմանագիր։ Խնդրում ենք Ձեզ մոտ ունենալ անձը հաստատող փաստաթուղթ։A multifunctional commercial area for sale in Vagharshapat. The area of the building is 1558sq. M. The area is renovated. The entrance doors are metal-made, the windows are euro-based, the floor is covered by solid granite and is tiled. The area has kitchens, outdoor and indoor swimming pools, sauna, 4 bathrooms, wardrobes, gyms, canteen, office areas, security cameras, heating system and is supplied with constant water and gas. The area serves as sport, education and development center.The commission of the Real Estate Agency is 2%. For showing the real estate, a contract is signed. Please have a passport, ID or driving-license with You.",Dec-12-2022_20-36,By agreement,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/17433044,Stone
Retail Space,410 sq.m.,Armavir › Echmiadzin,"$250,000",USD,"Commercial space in Etchmiadzin, 410 square meters, 200 square meters are ready for operation. There is another 210 square meters of land in the back.Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18460357,Stone
Functioning Business,7500 sq.m.,Armavir › Armavir,"$450,000",USD,"Region: ArmavirVillage: Zvartnots (20 km away from Yerevan)Existing greenhouse for sale 5000 and 2500 square meters are under constructionThe total land area is 15,000 square metersPurpose of the land: AgriculturalThe land is privatized.Provided with gas (heated with gas)It has a drip system.The area is equipped with drinking water, irrigation water, electricity.It is built with a modern construction.Exchange with an apartment or land in Yerevan is possible.Code 15137243Translated from Armenian",Dec-12-2022_20-36,Available,Not available,Second Line,Common from the Street,,,,,,https://list.am/en/item/15137243,Bricks
Agricultural Space,1000 sq.m.,Armavir › Bambakashat,"$45,000",USD,"In Bambakashat village of Armavir region, an area of 1000 square meters with a brick building of 500 square meters (10-50 meters) is for sale urgently. The height of the building is 4.5 meters. Call for details. Exchange with car or apartment is possibleTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17791742,Bricks
Retail Space,20 sq.m.,"Baghramyan street, Armavir","$14,000",USD,"Has permanent drinking water, bathroom, air conditioning area, total 20 sq. M. M pavilion has its own price @ $ 14000 address Baghramyan street 17 pavilion is for rentTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17470932,Stone
Retail Space,98 sq.m.,"Hanrapetutyun street 31, Armavir","$110,000",USD,"Located in the center of Armavir, call for detailsTranslated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Common from the Street,,,,,,https://list.am/en/item/17429046,Stone
Retail Space,190 sq.m.,Armavir › Echmiadzin,"$100,000",USD,"Օդանավակայան տանող ճանապարհի խաչմերուկում կոմերցիոն շինություն, 1-ին հարկ 80 ք, մ,Կիսանկուղ 80 ք, մ, սենյակներ 20 և 10 ք, մ, հողատարածքը 440ք, մ, 1-ին գիծ, ճակատը- 35մ, կա եռաֆազՀոսանք և ավտոկայանատեղ, տրվում է նաև վարձով.",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/8900314,Stone
Industrial and Manufacturing,8051 sq.m.,Armavir › Armavir,"$500,000",USD,"A production area of 0.8051 hectares is for sale, with two entrances, with the possibility of entering the fountain.1. Residential house 70 m2.2. Three-phase current.3. Own solar station 5.2 kW.4. Own artesian water.5. Sewer6. The area is completely surrounded by a panel fence.7. Warehouse pumping station.8. Warehouse cover.9. Cover.10. Pilarama 2 pieces, as a spare part.11. Dryer 6 x 4 m.12. Basement 3 x 5 m for growing mushrooms.13. Basement 5 x 7 m for growing mushrooms.14. To increase the Naves Aryan station.15. Greenhouse 330 m2.16. Warehouse unfinished 6 x 12 m.17. Warehouse-barn-bird house 18 x 6 m, provided with water, sewerage, electricity.18. Warehouse 12 x 6 m, with grass grinder, with electricity.19. Storage-poultry house 6 x 6 m, provided with water, shelter.20. Warehouse unfinished 12 x 6 m.21. There is a water yard 10 t քում in the area, a swimming pool 30 t ․22. Approximately 4000 square meters of garden with different types of trees (grapes, 25 plums, peaches, apricots, 3 almonds, 50 ounabs, 15 cherries, 9 large cherries, 9 nuts, 1 mulberry, 10 white mulberries) 70 pieces of silver poplar)Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/16438902,Panels
Functioning Business,48 sq.m.,"1district, Metsamor","15,000,000 ֏",AMD,"Capital building in the center of the city, 2 walls, the foundation is very strong, everything is set up in such a way that there will be no need to give it for years, it was built in 2019. To Negotiable land in Metsamor 26-5Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/16105932,Stone
Warehouse,28 sq.m.,"Araratyan street, Armavir","600,000 ֏",AMD,"An iron house is for sale.It has 2 rooms.The dimensions of the rooms are 1.35x2.8x2.4 m and 5.5x2.8x2.4 m.The house has 3 windows and 1 entrance door, as well as 4 vents.It is in good condition.Translated from Armenian",Dec-12-2022_20-36,Available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17906179,Cassette
Agricultural Space,7000 sq.m.,"Զվարթնոց թաղամաս 1, Վաղարշապատ","$39,000",USD,"For sale or rent land + farm, (ferma anasnagom) the area is 300 sq/m with all its utilities, 45 sq/m residential and 45 sq/m storage, and the size of the plot is 7000 sq/m The purpose of the land is agricultural. It has 150 productive trees, 1 year old, drip irrigation system. Constant electricity, drinking water and irrigation water. The farm is located in Zvartnots district. Close to the main road.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Common from the Street,Outdoor parking,,,,,https://list.am/en/item/18094375,Stone
Industrial and Manufacturing,3000 sq.m.,Armavir › Armavir,$150,USD,"The area is located on the central road at 2/16 Yerevanyan Street, Armavir city. The area is very convenient to use for any purpose. For other questions you can call. The area is for sale by a specific owner.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Common from the Street,,,,,,https://list.am/en/item/15790527,Stone
Agricultural Space,320 sq.m.,"Komitas street, Parakar","$2,200",USD,"2 greenhouses for sale 210 sq. M., 110 sq. M., mThe land is not for saleTranslated from Armenian",Dec-12-2022_20-36,Available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17389598,Cassette
Multifunctional Space,250 sq.m.,Armavir › Armavir,"23,000,000 ֏",AMD,Formerly served as a cheese factoryTranslated from Armenian,Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/18555964,Stone
Functioning Business,6000 sq.m.,"Echmiatsin Highway, Khoronk","$80,000",USD,"An agricultural area for sale has lakes, barns of 500 square meters and a greenhouse of 2000 square meters. Price negotiableTranslated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Street,,,,,,https://list.am/en/item/18173955,Stone
Multifunctional Space,312 sq.m.,"Erevanyan street 50, Parakar","$100,000",USD,"A 1-storey building is for sale on the 1st line on the way to Zvartnots airport in Parakar community, which consists of a residential house and a shop.The total area of the land is 400 square meters and the area of the buildings is 312 square meters.Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/17682873,Stone
Functioning Business,7000 sq.m.,Armavir › Echmiadzin,"$180,000",USD,"Urgent business for sale in the region of Etchmiadzin. The total area is 7000 square meters, privatized.There is 1500 square meters in the area. M greenhouse (drip irrigation, heating)500 sq. M. M automated poultry house (800 bird nests)There is an opportunity to expand the business to grow fish in 1500 square meters. M pool and 1300 sq. M. Free space.The area is provided with constant water, gas and electricity.Reimbursement of expenses in 1.5-2 years.Code AR-70Translated from Armenian",Dec-12-2022_20-36,Not available,Not available,Other,Separate from the Courtyard,,,,,,https://list.am/en/item/17780373,Stone
Functioning Business,4000 sq.m.,Armavir › Echmiadzin,"$370,000",USD,"Urgently selling a functioning greenhouse with all facilities, close to the roadView on this page /item/18671087Translated from Armenian",Dec-12-2022_20-36,By agreement,Not available,First Line,Separate from the Street,,,,,,https://list.am/en/item/18672885,Stone
Functioning Business,500 sq.m.,Armavir › Armavir,"$700,000",USD,"Located in c. Armavir: Yerevanyan 53/27.Newly built, fully furnished.It consists of 2 apartment buildings (350 square meters and 150 square meters)The territory and buildings are cadastrally registered.For more information call.Translated from Armenian",Dec-12-2022_20-36,,,,,,,,,,https://list.am/en/item/17091786,Stone
