Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,1500 sq.m.,1,1,1,No Renovation,1500 sq.m.,,,,,,"Lchap-Norashen highway, Tsovazard","€10,000",EUR,"Gegharkunik region, Lchashen village, next to the village municipality, next to the newly opened garden, orchard, garage half-destroyed, the house is old.Translated from Armenian",Dec-12-2022_21-10,Available,3 or more spots,,,https://list.am/en/item/17252171,House is Unfinished,,
House,Stone,80 sq.m.,2,4,1,Cosmetic Renovation,400 sq.m.,,,,,,Gegharkunik › Shoghakat,"$20,000",USD,"A two-storey house with a fertile land near the house is for sale (there are fruit trees planted) On the ground floor there is a shop, a garage. The house is partially renovated, in particular the bathroom։ the kitchen (tiled), European windows are installed, the outside doors are iron, the inside is wooden. Permanent water, gas. Also a water tank.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16882830,House is Finished,,
House,Stone,240 sq.m.,1,6,1,Old Renovation,900 sq.m.,,,,,,"Ազատության փողոցի 4-րդ փակուղի, Գավառ","$20,500",USD,"Call for details.Near the auxiliary school.House, private house, own house. Home. Частный дом. Dacha.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/16771258,House is Finished,,
House,Stone,360 sq.m.,2,8+,2,Euro Renovation,3000 sq.m.,,,,,,Gegharkunik › Lchashen,"$40,000",USD,"A newly built two-story house with an area of 360 square meters, with a basement of 60 square meters, is for sale in the Lchashen village of Sevan, on the first line, the distance from the lake is about 300m. Can serve not only as a private house, but also as a business object - guest house or space for power solar panels, etc. The area of the plot is 3000 square meters, there are various types of fruit trees. The area is fenced with tuff stone, separately there is a 40 sq. M.The first floor of the house is renovated, ready for occupancy, the division and decoration of the rooms on the second floor are not completely finished / some parts are plastered, the floors are concreted-stjazhka- done /.It is equipped with gas, permanent water, electricity and local / own / sewerage. There is also a certain amount of building materials.Translated from Armenian",Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/18214909,House is Finished,,
House,Stone,150 sq.m.,2,7,2,No Renovation,700 sq.m.,,,,,,Gegharkunik › Gavar,"$22,000",USD,"It is for sale in the province, it is a two-story private, very dry apartment, it has a garage for a large and a small car, a large barn, a bakery,I will listen to exchange options.I am selling a private house, in an ideal location, if you are interested, call me, I am renting it out!Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/18416506,House is Finished,,
House,Stone,220 sq.m.,2,6,1,Partial Renovation,6000 sq.m.,,,,,,Gegharkunik › Astghadzor,"$60,000",USD,"Продается двухэтажный жилой дом с земельным участком, возможно обмен (квартира)Есть свет, газ, вода",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/18550099,,,
House,Stone,1500 sq.m.,1,5,1,Partial Renovation,1500 sq.m.,,,,,,"Azgaldyan street, Vardenis","$8,000",USD,"Very urgent, own house for sale. In Pokr Masrik village of Vardenis. The house is 1500 sq. M. There is light and water, completely fenced. Document A separate plot of land next to the house is also given for the price. Fenced. Which document? 1400 square meters Urgent, very urgent.Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/17546671,House is Finished,,
House,Stone,112 sq.m.,1,3,1,Old Renovation,1100 sq.m.,,,,,,Gegharkunik › Sevan,"$15,000",USD,"3-room private house is for sale in Sjan. It has permanent water, electricity, gas, there is a heating system (cathol), the roof is tin, it has an orchard, a bakery 36 sq. M., a garage 34 sq. M., a basement, property.Translated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/16768904,House is Finished,,
House,Stone,319 sq.m.,3,7,2,Major Renovation,34 sq.m.,,,,,,Gegharkunik › Gavar,"$80,000",USD,"The house is in good condition, only the door has not been renovated, it has an outdoor kitchen, a large garage, it is fenced, there are two bathrooms in the basement, it is in good condition, rooms, it has a basement.Translated from Armenian",Dec-12-2022_21-10,Available,2 spots,,"Air conditioner, fridge, stove, washing machine",https://list.am/en/item/18648741,,"Electricity, water supply, natural gas, sewerage",
House,Stone,200 sq.m.,2,7,2,No Renovation,600 sq.m.,,,,,,"Улица Абовяна 21, Севан","22,500,000 ֏",AMD,"Private house for sale in in SevanFor details, call the indicated phone numberTranslated from Armenian",Dec-12-2022_21-10,Not available,2 spots,,,https://list.am/en/item/18651554,House is Unfinished,,
House,Stone,270 sq.m.,2,8+,1,Partial Renovation,70 sq.m.,,,,,,"Sayadyan street, Gavar boundary","$38,000",USD,"Каменный двухэтажный дом, в Центре Ацарата, рядом с церковью Срб. Григор Лусаворич, месторасположение очень хорошее! Имеется участок земли с плодовыми деревьями. Газ, вода, канализация, высоковольтный электрический щит, 8 метровый рабочий колодец с питьевой водой. Адрес может не точный, на карте не показывает, к сожалению.Звоните, по всем вопросам проконсультируем.",Dec-12-2022_21-10,,Not available,,,https://list.am/en/item/18283289,,,
House,Stone,36 sq.m.,1,1,1,Old Renovation,400 sq.m.,,,,,,"Nairyan St , Sevan","$10,500",USD,"Own house for sale in Gagarin township of Sevan city. It is only 7 km away from Sevan. It is gasified, there is electricity. It has 400 square meters of land.I will exchange for a car at an equivalent price or less for an additional fee from you.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/15682605,House is Finished,,
House,Stone,1234 sq.m.,1,2,1,Partial Renovation,,,,,,,Gegharkunik › Artanish,"$23,000",USD,An apartment for sale in the village of Artanish.There is gasTranslated from Armenian,Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/17988723,House is Finished,,
House,Stone,52 sq.m.,1,2,1,No Renovation,"30,000 sq.m.",,,,,,"11st street, Khachaghbyur","$5,500",USD,"Exchanged with the price of the car or for sale 2-room private house in Khachaghbyur village of Vardenis city, located 5-6 km from Lake Sjana, has a semi-basement of about 15 sq. M., as well as the possibility of adding 2 rooms, the roof of which is already ready is: There is a 0.5 hectare plot in front of the house, where there is irrigation water. It also has 3 hectares of arable land, where it is intended for sowing wheat or barley. The house has electricity, gas and drinking water, which are located at a distance of about 50 meters. Price is negotiableTranslated from Armenian",Dec-12-2022_21-10,By agreement,Not available,,,https://list.am/en/item/17957797,House is Finished,,
House,Stone,130 sq.m.,1,3,1,Cosmetic Renovation,6000 sq.m.,,,,,,"Vardenis Highway 44, Geghakar","$14,000",USD,"The house is located in Geghamasar (Shishkaya) enlarged community of Vardenis, it has a large barn, storage room, separate basement, there is an area for construction with poured concrete on the plot. There are fruit trees (apples, pears, cherries, plums, apricots, peaches, walnuts.) is for rentcall: :: :077ov991996 for urgent sale.NegotiableTranslated from Armenian",Dec-12-2022_21-10,By agreement,Not available,,"Fridge, washing machine, drying machine",https://list.am/en/item/18211696,House is Finished,"Electricity, water supply, sewerage","Sauna, barbecue oven"
Country House,Stone,112 sq.m.,1,4,2,Designer Renovation,,,,,,,Gegharkunik › Sevan,"$48,000",USD,"A four-room fully renovated, furnished cottage is located at the highest point of the Lavanda City area, 1905 meters, next to Lake Sevan, where water will not be available. The cottage has a fireplace, is located in a beautiful natural forest.Translated from Armenian",Dec-12-2022_21-10,By agreement,Not available,,"Fridge, stove",https://list.am/en/item/16547159,House is Finished,"Electricity, water supply, natural gas, sewerage",Fireplace
House,Stone,106 sq.m.,1,2,1,No Renovation,2760 sq.m.,,,,,,Gegharkunik › Mets Masrik,"$17,000",USD,"In the small village of Masrik, which is located 10 minutes away from the city of Vardenis, I am selling a private house (продаю дом) 106 square meters, 2760 square meters of land, with furniture (the house has beds, a sofa, a bed, a refrigerator, dishes, table cabinets, a wood stove, a pantry 3.64 sq. M., barn 75 sq. M., garage 17 sq. M., the house has a kitchen area of 20 sq. M., the toilet is in the yard), together with the house I am selling 13,170 sq. M. Arable land (1.3176 hectares)Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/18475310,,,
House,Stone,160 sq.m.,1,4,1,Major Renovation,700 sq.m.,,,,,,Gegharkunik › Sevan,"$95,000",USD,"Constant gas, water. Garage for 2 cars. Fruit garden: For more information call: Exchange with an apartment in Yerevan. UrgentTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17532525,,,
House,Stone,110 sq.m.,1,3,1,Old Renovation,1800 sq.m.,,,,,,Gegharkunik › Gavar,"$16,000",USD,Own house for sale in Gavar; has a large herd.Translated from Armenian,Dec-12-2022_21-10,Partial Furniture,Not available,,,https://list.am/en/item/18600868,House is Finished,"Electricity, water supply, natural gas, sewerage",
House,Stone,285 sq.m.,2,5,1,No Renovation,1000 sq.m.,,,,,,"Գարեգին Նժդեհի փողոց 9, Ճամբարակ","$75,000",USD,"The house needs only cosmetic repairs, the house area is 212m, the garage is 73m, a full basement equal to the house area.Translated from Armenian",Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/18681711,House is Finished,"Electricity, water supply, natural gas, sewerage",Gazebo
House,Stone,240 sq.m.,1,5,2,Old Renovation,,,,,,,Gegharkunik › Gavar,"$20,500",USD,"A box house, has a large basement, a barn, a large garden with fruit trees.With all utilitiesTranslated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/15735908,House is Finished,,
House,Stone,160 sq.m.,1,4,1,Euro Renovation,400 sq.m.,,,,,,Gegharkunik › Vardenis,"$33,000",USD,An apartment is urgently for sale. The price is negotiableTranslated from Armenian,Dec-12-2022_21-10,,,,,https://list.am/en/item/18533449,,,
House,Stone,112 sq.m.,2,6,1,Major Renovation,60 sq.m.,,,,,,Gegharkunik › Sevan,"$41,000",USD,"ПРОДАЮ СРОЧНООО собственный дом двухэтажный в городе Севане на центральной улице. Есть газ, вода постояная, свет, летняя кухня, баня, два гаража для машины, бисетка каменная с манхалом, отдельных два небольших сараев и земельный участок. ПРОДАЮ СРОЧНО ЦЕНА ДОГОВОРНАЯ 20.000000 ДРАМ.",Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/18126013,House is Finished,,
House,Monolith,300 sq.m.,2,8+,3+,Designer Renovation,1200 sq.m.,,,,,,"Sayat Nova street 13/14, Sevan town","$450,000",USD,"Հայաստանի բնության ամենագեղատեսիլ վայրերից մեկում, Սևանա լճի ափամերձ հատվածում վաճառվում է երկհարկանի առանձնատուն։ Առանձնատունը գտնվում է ափից ընդամենը մի քանի հարյուր մետր հեռավորության վրա։Հողատարածքի մակերեսը կազմում է՝ 1200 ք/մ։ Այն ամբողջովին պարսպապատված է, տեղադրված են երկաթյա դարբնագործ դարպասներ։Առանձնատան ընդհանուր մակերեսը՝ 300 ք/մ։Ունի նկուղային հարկ, որը լիովին բարեկարգված է և պատրաստ օգտագործման։1-ին հարկը բաղկացած է լայն նախասրահից, ընդարձակ և լուսավոր հյուրասենյակից և հարմարավետ աշխատասենյակից։ Այս հարկում են գտնվում նաև խոհանոցը, լվացքասենյակը և հյուրերի համար նախատեսված սանհանգույցը։ Ընդհանուր առմամբ առանձնատանը կա 3 սանհանգույց։2-րդ հարկում են գտնվում 4 ննջասենյակները, որոնցից մեկն ունի իր առանձին լոգասենյակը։ 2-րդ հարկում առկա է նաև բաց պատշգամբ, որտեղից բացվում է հիանալի տեսարան դեպի կապուտակ Սևանա լիճը և նրա շուրջ իրենց ողջ վեհությամբ խոյացող Գեղամա լեռները։Առանձնատունը ամբողջովին նորոգված է, շինարարական աշխատանքները ավարտվել են 2015 թվականին, որից հետո գրեթե չի բնակեցվել։ Ունի գեղեցիկ ճարտարապետական տեսք։ Դրսից ամբողջությամբ երեսպատված է սպիտակ ֆելզիտով։ Արտաքին տեսքը զարդարում են սյուները, կիսակամարները և դրանց վրա եղած զարդաքանդակները։ Շինության տանիքի ճակատային մասում տեղադրված են արձաններ։Առանձնատան ինտերիերը նույնպես աչքի է ընկնում իր շքեղությամբ։ Հատակը պատված է բարձրակարգ սալիկներով և փայտե գեղեցիկ մանրահատակով, իր տեսքով հատկապես աչքի է զարնում հյուրասենյակի մանրահատակը։ Միջսենյակային բոլոր դռները փայտյա են։ Սենյակները կահավորված են բարձրակարգ կահույքով, առկա է անհրաժեշտ կենցաղային տեխնիկա։ Խոհանոցը և սանհանգույցները սալիկապատված են եվրոպական արտադրության սալիկներով և հագեցած անհրաժեշտ սանտեխնիկայով։Առանձնատանը կից կա փակ ավտոկայանատեղի՝ նախատեսված 2 և ավելի մեքենաների համար։Առանձնատունն ունի բարեկարգ և կանաչապատ բակ։ Տնկված են պտղատու, ինչպես նաև՝ դեկորատիվ ծառեր և թփեր։ Բակում կա բացօթյա տաղավար, իր մանղալով և այլ հարմարություններով, ինչը հնարավորություն է տալիս տարվա տաք եղանակներին ճաշկերույթներ, խնջույքներ կամ երեկույթներ կազմակերպելու և միաժամանակ վայելելու կապուտակ Սևանից փչող մաքուր օդը։Սևանա լիճը կամ, ինչպես հնում էին ասում՝ Գեղամա ծովը Հայաստանի բնության անկրկնելի մասնիկն է, միակը Հայաստանում, որ ունի լողափնյա հանգստավայրեր։ Այն նաև համաշխարհային բնության գոհարներից է, քանի որ քաղցրահամ ջուր ունեցող 2-րդ բարձրադիր լիճն է երկրագնդի վրա։ Սևանա լճի ավազանը աչքի է ընկնում նաև տարվա մեջ ունեցած իր արևային օրերի քանակով և այս կտրվածքով Սևանը գերազանցում է մի շարք Եվրոպական հռչակավոր արևաբուժական կենտրոնների, այդ իսկ պատճառով Սևանի լողափները սիրված են ոչ միայն տեղացի զբոսաշրջիկների կողմից, այլ նաև՝ արտասահմանից ժամանած։ Սևանա լճի ավազանը հայտնի է ոչ միայն իր լողափներով, այլ նաև իր պատմամշակութային ժառանգությամբ, բնության հուշարձաններով և տեսարժան վայրերով։ Իսկ ակտիվ հանգստի սիրահարների համար, տարվա բոլոր եղանակներին այստեղ առկա հանգիստը վայելելու գրեթե բոլոր հնարավորությունները։Շտապե՛ք օգտվել այս հիանալի հնարավորությունից։ Դիմե՛ք մեզ և ձեռք բերեք այս հիանալի առանձնատունը, որը գտնվում է ափից քիչ հեռու և վայելեք Սևանի ափին ապրելու հաճույքը։Սիրով՝ Asatryan ConsultingԿոդ 14972322",Dec-12-2022_21-10,Available,2 spots,,,https://list.am/en/item/14972322,House is Finished,,
House,Monolith,260 sq.m.,2,5,1,Old Renovation,110 sq.m.,,,,,,Gegharkunik › Gavar,"$31,000",USD,"2-storey private house is for sale in the central part of Gavar city.Living room, kitchen, bathroom on the 1st floor4 bedrooms on the 2nd floorHas a garage, a plot of land near the houseIt has water, gas, electricity, three-phase electricityThe renovation is oldTranslated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16753803,House is Finished,,
House,Stone,110 sq.m.,1,4,1,Major Renovation,1200 sq.m.,,,,,,Gegharkunik › Sevan,"$50,000",USD,"Call for detailed information. The house is located only 4 to 5 kilometers from the Public Beach. It is on the first line, there is an area at the back of the house where you can carry out commercial activities, it is very close to the road. Exchange with an apartment in Yerevan with additional payment from my side.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/17517008,House is Under Construction,,
House,Stone,412 sq.m.,3,5,2,No Renovation,1500 sq.m.,,,,,,Gegharkunik › Sevan,"$100,000",USD,"Продается просторный дом с видом на озеро СеванРядом находится школы, магазины, транспортТорг уместенВотс апп 8 (905) 295-18-87",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/18596615,,"Electricity, water supply, natural gas, sewerage","Swimming pool, fireplace"
House,Panels,306 sq.m.,1,5,1,Partial Renovation,200 sq.m.,,,,,,Gegharkunik › Akunk,"$35,000",USD,"A 5-room house with a large living room is for sale in Akunk village, Gegharkunik region, with fruit trees, a barn, it has all the communal facilities, permanent hot and cold water (water heater), permanent gas, for details call the mentioned number.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17379598,House is Finished,,
House,Stone,90 sq.m.,1,3,1,Cosmetic Renovation,100 sq.m.,,,,,,Gegharkunik › Drakhtik,"11,500,000 ֏",AMD,"It is also available for rent. The house is uninhabited, it is sold with furniture and appliances, there is also a plot of land of about 1000m next to the house, which is also included in the price, if you have any questions, call, negotiable, the house is also for rent amsekan 75000dramTranslated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/18445994,House is Finished,,
House,Stone,160 sq.m.,1,5,1,Old Renovation,840 sq.m.,,,,,,"Կարմիր Բանակի փողոց 56, Սևան","$30,000",USD,"An apartment is for sale urgently. There is a barn in the yard of the house, there are fruit trees. I will listen to exchange options.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17111213,,,
House,Stone,1000 sq.m.,1,6,2,Designer Renovation,,,,,,,"4th Street, Alaverdyan","$38,000",USD,"It is located in Jil village of Shoghakat community of Gegharkunik region. Near Lake Sanaa. The land area is 1000 square meters. 2 houses are built, old and new. The old one is renovated, the new one is in design style. For sale with furniture and appliances. The newly built house is provided with a solar (400 l) water heater. The area was formed...Translated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17279046,,,
Country House,Stone,120 sq.m.,1,4,1,Old Renovation,1620 sq.m.,,,,,,Gegharkunik › Shoghakat,"10,000,000 ֏",AMD,"Own one-storey & nbsp; Private house on the shore of Lake Sanaa in Shorzha. The house consists of four rooms, a kitchen, utilities, which are located inside the house. There is a big open balcony in front of the house. The house is gasified, 2 gas stoves are installed, water heater, it is provided with constant water and electricity, the wires of which are changed.The house is located in the center of the plot, it has no common walls with the neighbors. In front of the house there is a large garden with fruit trees, at the back of the house there is a large plot of land for cultivation, provided with water. There is a big basement and a barn in the yard. An iron gate is installed, the door of the house is also made of iron. The house has a two-way entrance, so it can be sold partially or exchanged.Translated from Armenian",Dec-12-2022_21-10,Available,3 or more spots,,,https://list.am/en/item/17468908,House is Finished,,
Country House,Stone,1500 sq.m.,1,3,1,Old Renovation,1400 sq.m.,,,,,,Gegharkunik › Martuni,"$11,000",USD,A plot of land with its construction is for sale in the Zolakar village of the city of Martuni.Translated from Armenian,Dec-12-2022_21-10,,,,,https://list.am/en/item/18046081,,,
House,Stone,6322 sq.m.,1,4,1,Partial Renovation,110 sq.m.,,,,,,Gegharkunik › Pambak,"$11,000",USD,"Продаю дом с большим участком в с. Памбак ՓԱՄԲԱԿ PAMBAK,Гехаркуникский марз Գեղարքունիքի մարզПлощадь участка - 6322 кв. М.Расстояние от Еревана 140 кмВ доме 4 комнаты: Гостиная, кухня и две спальниНа участке есть коровник, сарайМного плодовых деревьев: Орешины, абрикосы, яблони",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/18400014,House is Finished,,
Country House,Stone,458 sq.m.,2,8+,2,No Renovation,2440 sq.m.,,,,,,"Նաիրյան փողոց 176, Սևան","$70,000",USD,"It is fenced, has a garden, a garage and an adjacent building. It has a view of the lake. Can serve as a guest house.Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/17731131,House is Unfinished,,
Country House,Stone,2300 sq.m.,1,1,1,Partial Renovation,2000 sq.m.,,,,,,Gegharkunik › Gavar,"$12,000",USD,"A house in the province is for sale.Available water, light 2000 sq. M. There is a land area of 300 sq. M. Building M. PRICE $12,000. Call for details. Exchange with an equivalent car is also possible.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/18445384,House is Under Construction,,
House,Stone,100 sq.m.,2,5,1,Cosmetic Renovation,2000 sq.m.,,,,,,Gegharkunik › Geghhovit,"$38,000",USD,A two-storey private house is for sale in Geghovit village.Translated from Armenian,Dec-12-2022_21-10,By agreement,Not available,,,https://list.am/en/item/17214229,House is Finished,,
House,Stone,1000 sq.m.,1,3,1,Old Renovation,,,,,,,Gegharkunik › Sevan,"$22,000",USD,"Վաճառվում է սեփական տուն. 1_ հարկանի. Արևկողմ է տան տարածքում կան 2քարե տիպի շինություններ. Նաև ունի արհեստանոց. Ունի կանաչապատ տարածք... Տունն գտնվում է Սևան քաղաքի եկեղեցու հարևանությամբ մանրամասների համար զանգահարել. Նաև փոխանակում մեքենայի հետ. Продается собственный дом. 1_ этажный. На территории дома есть 2карей тип здания. Также есть мастерская. Имеет зеленое пространство... Дом расположен рядом с церковью города Севан, для более подробной информации звоните",Dec-12-2022_21-10,,,,,https://list.am/en/item/17701971,,,
House,Stone,821 sq.m.,1,3,1,Old Renovation,,,,,,,Gegharkunik › Artanish,"$6,000",USD,"RESIDENTIAL HOUSE, the village is located on the shore of Lake Sevan. The house is located at the beginning of the villageTranslated from Armenian",Dec-12-2022_21-10,,Not available,,,https://list.am/en/item/18127173,,,
Townhouse,Monolith,546 sq.m.,3,8+,3+,No Renovation,546 sq.m.,,,,,,"Sayat Nova street, Sevan town","$68,000",USD,"A 3-storey building is for sale in Xi'an, it has the size of a semi-basement building, which was once intended as a parking lot, the building turns out to be a 4-storey building. It is possible to expand the area, there is a gas main right next to it, the water is drawn.It is very convenient for a hotel, a casino for different business plans, or for your own summer house.Of course, it is negotiable for a real buyer.The address on the map is wrong, the street is called LAPSNY STREET.Not to mention the beautiful view overlooking Lake Sanaa.Translated from Armenian",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/16225176,House is Unfinished,,
House,Stone,160 sq.m.,2,5,1,Partial Renovation,1300 sq.m.,,,,,,"Kamo Street, Martuni","$50,000",USD,"Urgent house for sale with 0.13 hectare land, in the territory of Martuni city bus station. Partial payment is possible with an initial prepayment of $ 25,000.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16114123,,"Electricity, water supply, natural gas, sewerage",
House,Stone,147 sq.m.,2,3,1,Major Renovation,,,,,,,Gegharkunik › Sevan,"$200,000",USD,"Վաճառվում է նորակառույց երկհարկանի բնակարան, Սևան քաղաքի սկզբնամասում՝ 3 րոպեի ճանապարհ դեպի լիճ։Բնակարանը վաճառվում է գույքի հետ միասին։Կարող է ծառայել նաև որպես ամառանոց, հյուրատուն, կամ որևէ բիզնես կենտրոն։Продается двухэтажный частный дом в начале города Севана, в 3 минутах ходьбы до озера.Квартира продается вместе с недвижимостью.Он также может служить в качестве дачи, гостевого дома или любого бизнес-центра.",Dec-12-2022_21-10,,,,,https://list.am/en/item/18423272,,,
House,Stone,,1,3,1,Euro Renovation,16 sq.m.,,,,,,Gegharkunik › Vardenis,"$15,000",USD,"Private house for sale, has a garage, barn, orchard, available with all utilities and bax heating systemTranslated from Armenian",Dec-12-2022_21-10,Not available,1 spot,,,https://list.am/en/item/13839596,House is Finished,,
Country House,Cassette,80 sq.m.,1,3,1,Designer Renovation,400 sq.m.,,,,,,Gegharkunik › Sevan,"$50,000",USD,"A 1-story, 3-room, modern summer house with its 400 square meter garden is for sale in Geghama summer house settlement on the shores of Lake Sevan. The summer house is located 60 km from Yerevan, 200 m from Lake Sevan. The summerhouse is gas-fired and furnished with Italian-made furniture and plumbing. It is equipped with constant hot and cold water supply, alarm and video surveillance systems. Gas boiler fitted with smart home features. Internet and satellite TV, 2 TVs are available. The garden has its own watering system with artesian water. There are pear, plum, apple, fir and decorative trees in the garden. Price negotiable.Translated from Armenian",Dec-12-2022_21-10,Available,Not available,,,https://list.am/en/item/18070639,House is Finished,,
Country House,Stone,1800 sq.m.,3,8+,2,No Renovation,1800 sq.m.,,,,,,"Isakov street, Ցամաքաբերդ","$100,000",USD,"The private house is located near the wedding stone, it is a very strong building, it is polished tuff on the outside, basalt inside, it is completely fenced. There is an adjacent buildingTranslated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17488110,House is Finished,,
House,Stone,441 sq.m.,3,6,3+,Old Renovation,1700 sq.m.,,,,,,"Nairyan Street, Sevan town","$175,000",USD,A private house is for sale in the city of SevanLand area 1700 square metersOld overhaulCarpet-fine floorBuilt-in wardrobesFirst floor - 136 square metersEntrance hallLiving roomKitchenOffice2 bathroomsSecond floor - 155 square metersEntrance hall4 bedrooms2 bathrooms3 balconiesBasement 150 square meters2 storage roomsBoiler houseArea (Playground or other)Garage (+ Storeroom) - 95 square metersAuxiliary building-120 square metersSummer kitchenToneThe bakeryBathroomTerraceTranslated from Armenian,Dec-12-2022_21-10,,,,,https://list.am/en/item/18359627,,,
House,Stone,200 sq.m.,1,4,1,Euro Renovation,3000 sq.m.,,,,,,Gegharkunik › Sevan,"$35,000",USD,"A 4-room detached house is for sale in Lchashen village of Sevan city.Suitable for use as a private house, guest house or country house.The house is renovated.Has a large plot of land,Exchange with an apartment in Sevan is possible.The initial price is $35,000, negotiable.It is close to the communists, next to the central road, the road is paved.Call for questions and detailsTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/17749027,,,
House,Stone,140 sq.m.,1,5,1,Partial Renovation,2400 sq.m.,,,,,,Gegharkunik › Zolakar,"$24,000",USD,"The house is located in Zolakar village, near Astghadzor. 1 room is plastered, polished, the other rooms are only cut and not acquired. It has a basement, the roof is new. In the yard of the house there is 2400 meters (24 acres) of cultivated land with its fruit trees. It has a light, it has the opportunity to draw fragrant gas nearby. Price is negotiable.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/16939990,House is Finished,,
House,Stone,297 sq.m.,1,7,1,Euro Renovation,,,,,,,Gegharkunik › Martuni,"$35,000",USD,"There is a workshop inside the building, there is a plot of land in front of it. There is gas, water and three-phase electricity in the building.Community Zolakar 2nd street 2nd dead end t. 1.Translated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/15254012,House is Finished,,
Country House,Wooden,27 sq.m.,1,2,1,Euro Renovation,,,,,,,Gegharkunik › Sevan,"$5,000",USD,"Summer house (Domik) for sale. With euro windows and door, New Chandeliers. It is capitally renovated. For questions call the mentioned number.The property is desirable with it.Price Negotiable.Very Urgent.Domik is located in Tsaghkunk villageTranslated from Armenian",Dec-12-2022_21-10,Not available,Not available,,,https://list.am/en/item/17773851,House is Finished,,
House,Monolith,1610 sq.m.,2,8+,2,No Renovation,,,,,,,Gegharkunik › Gavar,"$24,000",USD,"Վաճառվում է երկհարկանի կիսակառույց սեփական տուն Գավառ քաղաքում, անմիջապես քաղաքաի մուտքի հատվածում: Հողամասի ընդհանուր մակերեսը 1310քմ. Է, իսկ շինության ընդհանուր մակերեսը՝ 300քմ: Երկեու տակ տուֆ քարով կառուցված կապիտալ շինություն է: Ունի նաև նկուղային հարկ: Բոլոր կոմունիկացիաները մոտ են Շատ հարմար է հյուրատնային գործունեություն ծավալելու համար:",Dec-12-2022_21-10,Not available,3 or more spots,,,https://list.am/en/item/14300735,House is Unfinished,,
House,Stone,58 sq.m.,1,3,1,Cosmetic Renovation,4040 sq.m.,,,,,,"Roman street, Vardenis","$7,000",USD,"Sold without propertyOnly real buyers will callIf you have any questions, write or callTranslated from Armenian",Dec-12-2022_21-10,By agreement,2 spots,,,https://list.am/en/item/18013917,House is Finished,"Electricity, water supply",
House,Stone,2800 sq.m.,1,4,2,Major Renovation,,,,,,,Gegharkunik › Artanish,"$28,000",USD,"There are also pear, apple and plum treesTranslated from Armenian",Dec-12-2022_21-10,,,,,https://list.am/en/item/18199096,,,
House,Stone,210 sq.m.,1,7,1,Partial Renovation,1700 sq.m.,,,,,,Gegharkunik › Martuni,"$56,000",USD,"Call for questionsgas, electricity, water, all facilities are there.Translated from Armenian",Dec-12-2022_21-10,Available,1 spot,,,https://list.am/en/item/18344454,House is Finished,,
House,Stone,80 sq.m.,1,3,1,Old Renovation,1000 sq.m.,,,,,,Gegharkunik › Pokr Masrik,"$3,500",USD,"House for sale in Pokr Masrik community of Gegharkunik region 1000 sq. M. With a plot of land, as he has an adjacent building.It is in good condition.Translated from Armenian",Dec-12-2022_21-10,Not available,2 spots,,,https://list.am/en/item/16630581,House is Finished,,
