Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,The House Has,Parking,Furniture,Window Views,Appliances,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
Stone,Yes,Not available,4,45 sq.m.,1,1,from 2.7 m,4,Not available,Major Renovation,"Մուշ 2 թաղամաս 8, Գյումրի","120,000 ֏ monthly",AMD,"Վարձով է տրվում 1 սենյականոց բնակարան Գյումրի՝ Մուշ 2 թաղամասում: Բնակարանը գտնվում է Նորակառույց 4 հարկանի շենքի 3-րդ հարկում: Շենքի մուտքը բակից է, բակը՝ Բարեկարգված: Բնակարանն ունի լավ (կապիտալ) վերանորոգում: Ջեռուցվում է անհատական ջեռուցման համակարգով, արևկող է: Բնակարանը վարձելու, տեսնելու կամ լիարժեք ինֆորմացիա ստանալու համար կարող եք կապվել նշված հեռախոսահամարով։Сдается 1-комнатная квартира в Гюмри, район Муш 2. Квартира расположена на 3-м этаже недавно построенного 4-х этажного дома. Вход в здание со двора, двор благоустроен. В квартире хороший (капитальный) ремонт. Отапливается индивидуальной системой отопления, солнечно. Чтобы снять, посмотреть квартиру или получить полную информацию, вы можете обратиться по указанному номеру телефона.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18699392,"Television, internet",1,Yes,No,Not included,By Agreement
Stone,No,Not available,5,60 sq.m.,2,3+,from 2.7 m,5,Closed balcony,Euro Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,Two-room apartment in the center of Gyumri. In front of the Vanatur restaurant.Translated from Armenian,Dec-12-2022_23-10,,,By agreement,"Street view, city view","Stove, water Heater",https://list.am/en/item/18699350,,8+,Yes,No,By Agreement,By Agreement
Stone,Yes,Not available,1,35 sq.m.,1,1,from 3 m,1,Not available,Euro Renovation,"Վահան Տերյանի փողոց 95/6, Գյումրի","12,000 ֏ daily",AMD,"Քաղաքի կենտրոնում, Սերգեյ Մերկուրովի տուն-թանգարանի (Ձիթողցոնց) հարևանությանբ Օրավարձով է տրվում 1 սենյականոց նորաոճ բնակարան։ Բնակարանը կահավորված է, ջեռուցվում է, խոհանոցում կա սպասք, անհրաժեշտ տեխնիկա։Կախված օրերից և բնակիչների քանակից հնարավոր է գնային փոփոխությունIn the city center near the house-museum of S. D. Merkurov, a new-fangled apartment is rented by the dayThe apartment has all the necessary equipment, furniture, heating and refreshment systemsDepending on the number of days and guests, the price can be changedВ центре города рядом дом-музей С. Д. Меркурова посуточно сдается в аренду новомодная квартираАпартамент имеет всю необходимую технику, мебель, системы отопления и освеженияВ зависимости от количества дней и гостей, цена может быть изменен",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17596114,,2,Yes,No,Included,By Agreement
Stone,Yes,Not available,4,47 sq.m.,1,1,from 2.75 m,3,Open balcony,Euro Renovation,"Մուշ 2 թաղամաս 13Ա, Գյումրի","120,000 ֏ monthly",AMD,. Есть все. Интернет. Новии техника. Новии ремонт и мебель,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18283201,,2,Yes,Yes,Not included,1 month
Stone,No,Not available,4,64 sq.m.,2,1,from 2.8 m,1,Open balcony,Cosmetic Renovation,"Բագրատունյաց հրապարակ 8, Գյումրի","8,000 ֏ daily",AMD,"В новогодние дни цены другиеКвартира находится в самом центре ГюмриЕсть хороший интернет, телевидение с росс и местными каналами, отопление, горячая вода круглосуточно, кухня с газовой плитой где можно приготовить еду, нормальная ванная комната. Чистое постельное белье и полотенца.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/16387961,,6,Yes,No,Included,Without prepayment
Panels,No,Not available,4,56 sq.m.,2,1,from 2.7 m,3,Multiple balconies,Cosmetic Renovation,"Հաղթանակի պողոտա 4, Գյումրի","90,000 ֏ monthly",AMD,"Տրվում է վարձով բնակարան 2 սենյականոց, վերանորոգված, կահավորված, կոմունալ բոլոր հարմարություններով։Сдается 2-комнатная квартира с ремонтом, мебелью, всеми удобствами.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17530898,,3,Yes,No,Not included,By Agreement
Monolith,Yes,Not available,4,60 sq.m.,2,1,from 2.8 m,4,Open balcony,Partial Renovation,"8th district, Gyumri","95,000 ֏ monthly",AMD,"Տրվում է վարձով (օրավարձով 15.000 դրամ) բոլոր հարմարություններով, տաք և սառը ջրով",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17599840,,5,Yes,Yes,Not included,2 months
Stone,Yes,Not available,3,100 sq.m.,4,1,from 2.7 m,3,Open balcony,Cosmetic Renovation,"Բագրատունյաց հրապարակ 8, Գյումրի","12,000 ֏ daily",AMD,"Գյումրիում, քաղաքի կենտրոնում վարձով է տրվում 4 սենյականոց բնակարան իր բոլոր կոմունալ հարմարություններով: Բնակարանը շատ հարմարատեվ է, արևոտ, չոր, ունի մշտական տաք և սառը ջրամատակարարում, գազաֆիկացված է և տրվում է բոլոր անհրաժեշտ պարագաների ու գույքի հետ միասին: Հարակից գտնվում են Կառոնա սուպերմարկետը, ժամանցի տարբեր վայրեր, Կրուիզ սրճարանը, Հացատունը, Ֆայտոնը, և այլ սպասարկման կետեր ու խաղասրահներ: Տրվում է օրավարձով, կամ ամսական վարձով:",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/16047240,,6,Yes,No,By Agreement,By Agreement
Stone,No,Not available,4,130 sq.m.,3,1,from 3 m,1,Open balcony,Major Renovation,"Garegin Nzhdeh Avenue, Gyumri","350,000 ֏ monthly",AMD,"An apartment is for rent in Gyumri, in the central part, near the Russian Embassy.The apartment is completely renovated and furnished, it is provided with appliances.Baxi, internet.The apartment is for long-term rent for 6 +.For all other questions, call the indicated numbers.Translated from Armenian",Dec-12-2022_23-10,Playground,"Outdoor parking, covered parking, garage",Available,Yard view,"Fridge, stove, microwave, coffee maker, washing machine, drying machine, water Heater, iron, hair dryer",https://list.am/en/item/18698334,"Television, internet, parking space",8+,Yes,No,By Agreement,By Agreement
Panels,Yes,Not available,3,54 sq.m.,2,1,from 2.8 m,3,Multiple balconies,Euro Renovation,"Квартал Муш 2 4/28, Гюмри","12,000 ֏ daily",AMD,"The house for rent in Gyumri is furnished, has hot and cold water, Wi-Fi is available.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18221755,,2,Yes,No,Not included,By Agreement
Stone,Yes,Not available,5,45 sq.m.,1,1,from 2.8 m,2,Open balcony,Designer Renovation,Shirak › Gyumri,"14,000 ֏ daily",AMD,"Օրավարձով է տրվում 1 սենյականոց բնակարան, բնակարանում առկա է Հեռուստացույց, սառնարան, լվացքի մեքենա, անկողնային պարագաներ,Սպասք, Baxi. Կախված ամրագրված օրերից, ժամերից և բնակիչներիj քանակից հնարավոր է գնային փոփոխություն. Дом в lГюмри, с евроремонтом, обеспечена всеми коммунальными удобствами: Постоянная горячая-холодная вода, индивидуальная система отопления. В доме есть постельное белье, полотенца, посуда, полностью меблирована: Телевизор, WI-Fi холодильник, стиральная машина.",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17353992,,3,Yes,No,Included,Without prepayment
Monolith,No,Not available,4,68 sq.m.,2,1,from 2.8 m,1,Closed balcony,Major Renovation,Shirak › Gyumri,"200,000 ֏ monthly",AMD,"Сдается 2к квартира в58ом квартале в 1ом этаже. Видеалном и стилном состаяние. Вся техника и мебель новая с евроремонтом, всеми комуналними удобствами. С индивидуальная система отопления. Оренда за квартиру 200000др в месяц. Можно обсудит не большую скидку",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18670704,Television,4,Yes,No,Not included,By Agreement
Monolith,Yes,Not available,4,65 sq.m.,3,1,from 2.75 m,3,Not available,Designer Renovation,"Улица Егише Чаренца 14, Гюмри","250,000 ֏ monthly",AMD,"Очень удобная Просторная квартира после дизайнерского ремонта присутствует все коммунальные удобства, можно заехать с 15 декабря",Dec-12-2022_23-10,Playground,Covered parking,Available,"Yard view, street view, park view","Fridge, stove, microwave, washing machine, water Heater, iron",https://list.am/en/item/18052153,"Television, internet",6,Yes,Negotiable,Not included,2 months
Stone,No,Not available,5,97 sq.m.,3,1,from 2.5 m,1,Closed balcony,Cosmetic Renovation,"Kamo street, Gyumri","10,000 ֏ daily",AMD,"An apartment for daily rent in the city of Gyumri, near the center, near Rustaveli StreetThe apartment is equipped with all utilities, fully renovated bathroom, all kitchen facilities, dishes, high speed internet connection with 4k full hd TV. The daily wage depends on the number of people.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/16518955,,5,Yes,No,By Agreement,By Agreement
Monolith,Yes,Not available,4,75 sq.m.,2,1,from 2.8 m,2,Open balcony,Euro Renovation,"Անի թաղամասի 3-րդ փողոց 1, Գյումրի","140,000 ֏ monthly",AMD,"The apartment is furnished, washing machine, refrigerator, TV, internet, all utensils, iron, electric kettle, vacuum cleaner, gas supply, all utilities, constant hot and cold water ․Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17209363,,3,Yes,No,Not included,2 months
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,1,Closed balcony,Designer Renovation,"Улица Мовсеса Хоренаци, Гюмри","150,000 ֏ monthly",AMD,"Сдаётся без посредников на длительный срок 2 комнатная квартира расположенная в 58-ой Квартале (улица Трдат Чартарапета)Общая площадь составляет 65кв. М.Природный газ, постоянная горячая и холодная вода. Отопление BaxiВ квартире есть: Спальня, ванная комната, туалет, кухня (посуда), отопление, теплый пол, стиральная машина-автомат, холодильник, газовая плита, LCD телевизор.",Dec-12-2022_23-10,,Outdoor parking,Available,,"Fridge, washing machine, iron",https://list.am/en/item/17914731,"Television, internet",4,Yes,No,Not included,1 month
Stone,No,Not available,5,55 sq.m.,2,1,from 2.8 m,5,Open balcony,Euro Renovation,"Մինաս Ավետիսյան փողոց, Գյումրի","110,000 ֏ monthly",AMD,"2-room apartment for rent in in Gyumri (district 58) It is equipped with all utilities (hot and cold water, washing machine, dishes, towels, linen, refrigerator, the rooms are furnished), call for details. Two-room apartment (address: Kvartal 58)All communal facilities are available. There is hot-cold water, an open balcony, internet heating, etc. D:Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,"Yard view, street view","Fridge, washing machine, water Heater, iron",https://list.am/en/item/18096398,"Television, internet",4,Yes,Yes,Not included,1 month
Stone,Yes,Not available,4,90 sq.m.,3,1,from 2.8 m,4,Not available,Major Renovation,"Улица Арагаца 2/8, Гюмри","350,000 ֏ monthly",AMD,3 комнатная квартира. Отопление. Есть все необходимое. Кондиционер. Комунальныех плат нет. 3этаж,Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18344443,,4,Yes,No,Included,1 month
Stone,No,Not available,2,75 sq.m.,3,1,from 3.2 m,2,Open balcony,Old Renovation,"Rijkov St, Gyumri","15,000 ֏ daily",AMD,3-room apartment in the city center. Suitable for children.Translated from Armenian,Dec-12-2022_23-10,,,,,,https://list.am/en/item/18175313,,,,,,
Stone,No,Not available,5,55 sq.m.,2,1,from 2.8 m,1,Open balcony,Designer Renovation,"Улица Паруйра Севака, Гюмри","220,000 ֏ monthly",AMD,"Վարձով է տրվում 2 սենյականոց բնակարան Գյումրի քաղաքի 58 թաղամասում։Բնակարանը ապահովված է կոմունալ բոլոր հարմարություններով: Մոտակայքում առկա են անհրաժեշտ բոլոր խանութները:(1-ий этаж) Сдается 2-х комнатная квартира в городе Гюмри на квартал 58Квартира оборудована коммуникациями: Горячая и холодная вода, холодильник, стиральная машина, автономное отопление, возможность подключения высокоскоростного интернета. Все необходимые магазины рядом.Translated from Armenian",Dec-12-2022_23-10,,,Available,"Yard view, street view","Fridge, coffee maker, washing machine, iron, hair dryer",https://list.am/en/item/17913244,"Television, air conditioner, internet",4,Yes,No,Not included,1 month
Stone,No,Not available,4,45 sq.m.,2,1,from 2.5 m,2,Open balcony,Major Renovation,"Շահումյան փողոց 188Ա, Գյումրի","15,000 ֏ daily",AMD,"In the small center of Gyumri, right next to the central square, next to the market. 30 meters away. Apartment for daily or monthly rent. The apartment is fully renovated, furnished with furniture, necessary appliances, there is Wi-Fi.The apartment is designed for up to 5 people. The apartment has all the necessary items for living, ideal cleanliness is maintained, feel at home.The area is monitored by video cameras.1 person 12000 days more than 3 days2 In case of renting a person for 17000 days.3-4 people do 20,000 days5 Person 25,000 pairsКвартира посуточно в самом центре города, оборудован всем necessities для проживанияApartment for daily rent in the very center of the city, equipped with everything necessary for living:Click on my page to see all my Ads and all will be visible.Translated from Armenian",Dec-12-2022_23-10,,,,,,https://list.am/en/item/16040624,,,,,,
Stone,No,Not available,4,80 sq.m.,2,1,from 3 m,4,Multiple balconies,Euro Renovation,"Улица Трдата Чартарапета, Гюмри","150,000 ֏ monthly",AMD,"Сдается 2-х комнатная квартира в квартал Ани (улица Трдат Чартарапета) Квартира с евро ремонтом, сдается вместе с недвижимостью и локацией, все коммуникации подведены.",Dec-12-2022_23-10,,Outdoor parking,Available,,"Fridge, washing machine, water Heater, iron",https://list.am/en/item/17931497,"Television, air conditioner, internet",4,Yes,No,Not included,By Agreement
Stone,No,Not available,5,70 sq.m.,2,1,from 2.8 m,1,Open balcony,Euro Renovation,"Trdat Architector street, Gyumri","120,000 ֏ monthly",AMD,"Վարձով է տրվում 2 սենյականոց բնակարան ք. Գյումրիյում (квартал Ани) ։ Ապահովված է կոմունալ հարմարություններով։ Մանրամասների համար զանգահարել ։Сдается 2-х комнатная квартира в г. В Гюмри. (Квартал Ани) Оснащена всеми коммуникациями (отопление, горячая и холодная вода, стиральная машина автомат, холодильник, телевизор, комнаты меблированы), подробности по телефону.Կոդ Dr123Translated from Armenian",Dec-12-2022_23-10,,,Available,"Yard view, street view","Fridge, washing machine, iron",https://list.am/en/item/17872723,"Television, internet, parking space",4,Yes,No,Not included,By Agreement
Stone,No,Not available,5,100 sq.m.,1,1,from 2.8 m,2,Closed balcony,Cosmetic Renovation,"Պարույր Սևակի փողոց, Գյումրի","90,000 ֏ monthly",AMD,"Վարձով է տրվում 1 սենյականոց բնակարան Գյումրի քաղաքի 58 թաղամասում (Տրդատ ճարտարապետ փողոցում) ։ Ապահովված է կոմունալ բոլոր հարմարություններով։ Մաքուր և լուսավոր բնակարան, Մանրամասների համար զանգահարել։Сдаётся 2 комнатная Квартира в городе Гюмри (улица Трдат Чартарапет) Квартира обеспечена необходимым имуществом и техникой. Есть 2 откритые балконы. По всем вопросам звоните по указанному номеру. Есть отоплениеԿոդ AN010Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,City view,"Fridge, washing machine, water Heater, iron",https://list.am/en/item/18203815,"Television, internet",3,Yes,Yes,Not included,By Agreement
Stone,No,Not available,5,40 sq.m.,1,1,from 3 m,2,Open balcony,Euro Renovation,"Улица Шаумяна, Гюмри","130,000 ֏ monthly",AMD,"Сдается однокомнатная комнатная квартира в Гюмри, со всеми коммуникациями, мебелью, постоянной горячей и холодной водой. Есть отопление.Улица Шербина, находится не далеко от центраԿոդ MS606",Dec-12-2022_23-10,,Outdoor parking,Available,"Street view, city view","Fridge, washing machine, water Heater, iron",https://list.am/en/item/18054814,"Television, air conditioner, internet",3,Yes,Negotiable,Not included,By Agreement
Stone,No,Not available,2,70 sq.m.,2,2,from 2.7 m,2,Not available,Major Renovation,"Ախուրյանի խճուղի 74, Գյումրի","200,000 ֏ monthly",AMD,"A 3-room apartment with all utilities is for rent on a long-term basis at the beginning of Akhuryan highway.European windows, iron door, gas, light, hot and cold, heating, air conditioners in all rooms, TV, refrigerator, gas stove, microwave oven, jacuzzi.Advance payment: 2 months (first and last month)Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Not available,Street view,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18528223,"Television, air conditioner, internet, parking space",4,Yes,No,Not included,2 months
Stone,Yes,Not available,5,67 sq.m.,2,1,from 2.8 m,3,Closed balcony,Cosmetic Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"Տրվում է վարձով 2 + 1 վերանորոգված, կոմունալ բոլոր հարմարություններով, կահավորված բնակարան։ Ք. ԳՅՈՒՄՐԻ, Կամոյի փողոց, շենք 42։Сдается квартира 2 + 1 с ремонтом, со всеми с удобствами и меблированный. Г. ГЮМРИ, улица Каир, здание 42.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18347449,,5,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,40 sq.m.,2,1,from 2.6 m,1,Not available,Designer Renovation,"Մովսես Խորենացի փողոց 2, Գյումրի","200,000 ֏ monthly",AMD,"For rent, a spacious and furnished new apartment with all utilities, constant water, (heating system, wi_fi) K. Gyumri Shirakatsi 54 building.Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,,Washing machine,https://list.am/en/item/18606730,"Television, internet",4,Yes,No,Not included,By Agreement
Stone,Yes,Not available,3,48 sq.m.,2,1,from 2.75 m,1,Closed balcony,Designer Renovation,Shirak › Gyumri,"7,000 ֏ daily",AMD,2-room apartment with all communal amenities is for rent or daily rent in Gyumri.Translated from Armenian,Dec-12-2022_23-10,,,,,,https://list.am/en/item/17043263,,,,,,
Stone,Yes,Not available,3,44 sq.m.,2,1,from 2.75 m,1,Open balcony,Euro Renovation,Shirak › Gyumri,"7,000 ֏ daily",AMD,"Օրավաձով է տրվումԲնակարանը գյումրիում վերանորոգված է, ապահովված կոմունալ բոլոր հարմարություններով՝ մշտական տաք և սառը ջուր, անհատական ջեռուցման համակարգ։ Բնակարանում առկա է անկողնային պարագաներ և սպիտակեղեն, սրբիչներ, սպասք, ամբողջությամբ կահավորված` Հեռուստացույց, WI-Fi սառնարան, լվացքի մեքենա: Անմիջական հարևանությամբ՝ սուպերմարկետ, երթուղային տաքսիների և տաքսիների կանգառ:Квартира с евроремонтом, обеспечена всеми коммунальными удобствами: Постоянная горячая-холодная вода, индивидуальная система отопления. В квартире есть постельное белье, полотенца, посуда, полностью меблирована: Телевизор, WI-Fi холодильник, стиральная машина. В непосредственной близости: Супермаркет, маршрутка և остановка такси.",Dec-12-2022_23-10,,,,,,https://list.am/en/item/17042508,,,,,,
Stone,Yes,Not available,5,45 sq.m.,2,1,from 2.75 m,2,Open balcony,Major Renovation,Shirak › Gyumri,"150,000 ֏ monthly",AMD,Apartment for rent in GyumriTranslated from Armenian,Dec-12-2022_23-10,,,,,,https://list.am/en/item/18262867,,3,Yes,Yes,Not included,By Agreement
Stone,No,Not available,3,30 sq.m.,1,1,from 2.75 m,2,Not available,Major Renovation,"Garegin Nzhdeh Avenue, Gyumri","160,000 ֏ monthly",AMD,"Բնակարանը գտնվում է Անկախության հրապարակում (Գ. Նժդեհ 26), կենարոնական հրապարակի մոտակայքում, ունի կոմունալ բոլոր հարմարությունները, մոտակայքում կան սննդի կետեր, խանութներ, զբոսայգի և այլ ժամանցի վայրեր։Բնակարանում առկա են` Հեռուստացույց, սառնարան, լվացքի մեքենա, միկրոալիքային վառարան, թեյնիկ, սրճեփ, սպասք։The apartment is located in Independence Square (G. Nzhdeh 26), near the central square, has all the communal facilities, there are food outlets, shops, a park and other entertainment places nearby. The apartment has: TV, refrigerator, washing machine, microwave, kettle, coffee maker, dishes.",Dec-12-2022_23-10,,Covered parking,Available,,"Fridge, stove, microwave, coffee maker, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18573315,"Television, internet, parking space",3,Yes,No,Not included,By Agreement
Stone,No,Not available,2,120 sq.m.,4,1,from 2.8 m,2,Not available,Major Renovation,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"For rent, long-term. At least 1 year, fully renovated, uninhabitedTranslated from Armenian",Dec-12-2022_23-10,,,Not available,,,https://list.am/en/item/18474255,,4,Yes,No,Not included,1 month
Stone,Yes,Not available,4,86 sq.m.,3,1,from 2.7 m,3,Open balcony,Cosmetic Renovation,"Yerevan Highway, Gyumri","250,000 ֏ monthly",AMD,"Apartment for rentc. Gyumri-Yerevan highway3 rooms86 square meters area4/3rd floorCosmetically refurbishedFirst lineUtility with all amenitiesWith a heating systemWith property and equipmentRental price: AMD 250,000Code 1010Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17464536,,4,Yes,Negotiable,Not included,By Agreement
Stone,No,Not available,5,85 sq.m.,3,1,from 2.8 m,1,Multiple balconies,Euro Renovation,"Улица Трдата Строителя, Гюмри","200,000 ֏ monthly",AMD,"Վարձով է տրվում 3 սենյականոց բնակարան Գյումրի քաղաքի 58 թաղամասում՝ անհրաժեշտ ամբողջ գույքի հետ միասին։ Ապահովված է բոլոր կոմունալ հարմարություններով։ Տանը կա նաև սառնարան, լվացքի մեքենա, WiFi, մշտական ջուր։ Մանրամասների համար զանգահարել։ сдается 3 комнатная квартира в Гюмри, в 58 квартале со всеми удобствами, мебель, техника (стиральная машина, телевизор, пылесос, утюг, постельные принодлежности) горячая вода, отопление, wi-fi. Ежемесячная плата 200 000 + комунальные услуги (только с дoговором и депозитом)Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,Yard view,"Fridge, stove, washing machine, water Heater, iron",https://list.am/en/item/17902931,"Television, internet",4,Yes,No,Not included,1 month
Stone,No,Not available,3,50 sq.m.,2,1,from 3 m,2,Not available,Major Renovation,"Улица Горганяна, Гюмри","300,000 ֏ monthly",AMD,"Վարձակալությամբ է տրվում 2 սենյականոց բնակարան քաղաքի ամենակենտրոնում։ (Ոտքով մինչև կենտրոնական հրապարակ կամ Թումո/Տեխնոպարկ 2 րոպե) ։Մինիմալ 4 ամիս։1 ննջասենյակ (160x200սմ մահճակալ, կամ ցանկության դեպքում հնարավոր է փոխարինել 2 հատ 90x200սմ֊անոց մահճակալներով)հյուրասենյակ - 1 հատ բացովի դիվան (140x190 բացած վիճակում), + 1 հատ 1 տեղանոց մահճակալ (պատի միջից բացվող)Այսինքն առավելագույնը 5 հոգի։Մշտական տաք/սառը ջուրջեռուցումFree WiFi, TV (կաբելային հեռուստաալիքներով)սառնարանլվացքի մեքենամիկրոալիքային վառարանգազօջախ, ջեռոցփոշեկուլսպասք․․․=====Минимум - 4 месяц2 комнатная квартира в самом центре города (пешком до центральной площади 2 минуты)1 спальня - 160x200см кровать или можно заменить на 2 одноместные 90x200см кровати)1 зал - 1 диван - после открытия получим 140x190см, + есть еще 1 одноместная кровать скрытая в стенемаксимально 5 человекКруглосуточная холодная/горячая водаотоплениеWiFi, TV (кабельное телевидение)холодильникстиральная машинамикроволновкагазовая плита, духовкапылесоспосудаTranslated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,"Yard view, street view","Fridge, microwave, washing machine, iron",https://list.am/en/item/18300800,"Television, internet",4,Yes,Negotiable,Not included,1 month
Stone,No,Not available,5,35 sq.m.,1,1,from 2.8 m,3,Open balcony,Designer Renovation,"Улица Максима Горького, Гюмри","250,000 ֏ monthly",AMD,"• Сдается 1-комнатная квартира по улице Горку• Квартира полностью отремонтирована• Имеются все необходимые и комфортные условия для проживания, обставлены мебелью, техникой и т. Д.В случае возникновения вопросов звоните по указанному номеру мобильного телефонаTranslated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,,"Fridge, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/17884817,"Television, internet, parking space",3,Yes,No,Not included,By Agreement
Stone,No,Not available,4,120 sq.m.,3,1,from 3 m,1,Open balcony,Designer Renovation,"Garegin Nzhdeh Avenue 2, Gyumri","300,000 ֏ monthly",AMD,"It is located in front of the Russian Embassy, overhaul, constant hot and cold water, internet, heating system, BAXI, windows, euro iron exterior door, interior doors, wooden. There is also a garage, schools, kindergartens, shops, restaurants, hospitals, pharmacies are located nearby, the place is quiet and quiet.Translated from Armenian",Dec-12-2022_23-10,Playground,"Outdoor parking, covered parking, garage",Available,"Yard view, park view","Fridge, stove, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18663468,"Television, internet, parking space",8+,Yes,No,Included,By Agreement
Stone,No,Not available,3,100 sq.m.,4,1,from 2.8 m,3,Open balcony,Cosmetic Renovation,"Մսի կոմբինատ 1-ին շարք 5, Գյումրի","150,000 ֏ monthly",AMD,"The apartment is furnished with property, heating system.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18569474,,6,Yes,No,Not included,2 months
Bricks,No,Not available,4,90 sq.m.,3,1,from 2.8 m,2,Not available,Cosmetic Renovation,"Շահինյան փողոց 3, Գյումրի","8,000 ֏ daily",AMD,"Three rooms renovated. There are schools, kindergartens, playgrounds in the adjacent area.Translated from Armenian",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/17982189,,6,Yes,No,Not included,1 month
Stone,No,Not available,4,55 sq.m.,2,1,from 2.8 m,3,Open balcony,Euro Renovation,"Квартал Муш 2-2, Гюмри","150,000 ֏ monthly",AMD,"1-room apartment for rent c. In Gyumri (Mush district) It is equipped with all utilities (hot and cold water, washing machine, dishes, towels, linen, refrigerator, the rooms are furnished), call for details. Two-room apartment (address: Kvartal Mush)All communal facilities are available. There is hot-cold water, an open balcony, internet heating, etc. D:Translated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,"Yard view, street view, park view","Fridge, washing machine, iron",https://list.am/en/item/18072893,"Television, internet",4,Yes,Negotiable,Not included,By Agreement
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,3,Multiple balconies,Euro Renovation,"Trdat Architector street, Gyumri","130,000 ֏ monthly",AMD,"Здается в аренду однакомнатная квартира (Улица Трдата Строителя) Квартира капитально ремонтированно, есть газ, автономное отопление, просторная кухня с кухонным мебелью, стиральная машина, интернетTranslated from Armenian",Dec-12-2022_23-10,,Outdoor parking,Available,"Yard view, street view","Fridge, washing machine, iron",https://list.am/en/item/18132858,"Television, internet",3,Yes,No,Not included,By Agreement
Stone,Yes,Not available,4,42 sq.m.,1,1,from 2.5 m,2,Not available,Old Renovation,"Կ. Հալաբյան փողոց, Գյումրի","100,000 ֏ monthly",AMD,"Տրվում է վարձով 1սենյականոց բնակարան Գյումրի քաղաքի Մուշ 2 թաղամասում։ Ունի կոմունալ բոլոր հարմարությունները։ Մոտակայքում կան խանութներ, դպրոց, մանկապարտեզ և այլն։ Մանրամասների համար զանգահարել նշված հեռախոսահամարով կան գրել whatsapp-ին։Сдается 1-комнатная квартира в районе Муш 2 города Гюмри. Со всеми коммунальными услугами. Рядом есть магазины, школа, детский сад и т. Д. Для подробностей звоните по указанному номеру телефона или напишите в whatsapp",Dec-12-2022_23-10,,,Available,,,https://list.am/en/item/18421664,,3,Yes,Negotiable,Not included,By Agreement
Stone,Yes,Not available,3,80 sq.m.,2,1,from 2.8 m,2,Multiple balconies,Partial Renovation,"Երևանյան խճուղի, Գյումրի","150,000 ֏ monthly",AMD,"Գյումրիում վարձով է տրվում երկու սենյականոց բնակարան` Կոմունալ բոլոր հարմարություններով: Բնակարանը եռահարկ քարաշեն շենքի երկրորդ հարկում է, հասցեն` Երևանյան խճուղի, 19 շ.: Շենքի անմիջապես դիմացը կա ավտոտնակ:Գինը ավտոտնակի հետ միասին՝ 150.000 դրամ:(Սակարկելի)Сдаётся 2-х комнатная квартира в г Гюмри. В 3-х этажном здании на втором этаже. Со всеми коммунальными условиями, с мебелью. Имеется гараж. Рядом находится остановка общественного транпорта, школа, детский садик, банк. Адрес -Ереванское шоссе дом 19 квартира17.Без посредников.",Dec-12-2022_23-10,,Garage,Available,,,https://list.am/en/item/18665928,,8+,Yes,Yes,Not included,By Agreement
