Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Service Lines,Facilities,Appliances,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
House,Stone,155 sq.m.,1,3,1,Not available,Not available,No Renovation,400 sq.m.,Kotayk › Jrvezh,"$50,000",USD,Code-14806. Private house for sale in Jrvezh.Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/18013602,,,,,,
House,Stone,650 sq.m.,2,5,1,,,No Renovation,2000 sq.m.,Kotayk › Arinj,"$500,000",USD,"Code 11334 A two-storey private house is for sale in Arinj village. The building is a capital building, the interior is not finished. It has a summer kitchen, a separate parking lot, an orchard. It is fenced.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10237717,,,,,,
House,Monolith,740 sq.m.,2,4,3+,,,Major Renovation,740 sq.m.,"Kh. Abovyan  distr. 1st street, Առինջ գյուղ","$225,000",USD,"Newly built uninhabited two-storey private house in Avan ArinjThe house is renovated according to the highest standards.Condition: RepairedTotal area: 740 square metersLiving area: 160 square metersIt consists of 4 rooms:1 Living room1 Kitchen:3 Bedrooms:1 Laundry2 Bathrooms3 Open balconyThe floor of the first floor is presgranite, and the second floor is laminate covered with press granite powder.The ceiling height is 2.90 metersHeating and cooling are provided by Fankol system.Built in a unique modern style, it has 2 entrances.Stained glass windows are installed in the facade of the building.The house is monitored by cameras and motion detectors.Code 15124541Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/15124541,,,,,,
Townhouse,Monolith,692 sq.m.,3,8+,3+,,,Major Renovation,641 sq.m.,Kotayk › Tsakhkadzor,"$950,000",USD,"In one of the most picturesque places in Armenia, Tsakhkadzor, a three-storey, unique townhouse is for sale, which can be used as a guest house.The total area of the land is 641 square meters. M:The total area of the buildings is 692 square meters. M:On the 1st floor there is:Swimming poolsaunabathroomshowerLaundry2nd floor:Entrance hallliving roomkitchen (studio)bathroomopen balcony with a wonderful view of the nearby gorge3rd floor:5 bedrooms, 2 of which have their own bathroomsընդհանուր 1 shared bathroomThe heating of the townhouse is carried out by means of several boilers.It has a beautiful, green yard. There are auxiliary buildings in the yard:Banquet hall for about 60 peoplesummer kitchenWineryopen-air pavilionclosed pavilionThe townhouse is partially fenced. A video surveillance system is installed. There is a garage.• Kind Regards #AsatryanConsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 17823688Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17823688,,,,,,
House,Stone,243 sq.m.,2,5,3+,,,Major Renovation,842 sq.m.,Kotayk › Tsakhkadzor,"$375,000",USD,"A luxurious newly built private house is for sale in Tsakhkadzor, one of the mountain-climatic health resorts of Armenia. It is located in the beginning of the city, which is close to nature. There are many sanatoriums, resorts, tourist bases, a famous historical and cultural center in Tsakhkadzor.The land area is 842 square meters, it is fenced.The building has two floors, the total area is 242.88 square meters. Ceiling height: 3 m and 4.5 m. It has two entrances from the street and yard. It is made of stone, covered on all sides with decorative basalt.The house is completely renovated. Entrance doors are iron, and interior doors and windows are of European production. The house has a separate boiler house with hot water and heating systems, a video surveillance system is installed.The first floor has access from the street. There is a spacious living room with a fireplace, a cigar bar, a kitchen, a bathroom and a Jacuzzi. The kitchen is designed to serve the yard directly during the summer season.The second floor consists of 4 bedrooms. All are euro renovated, have private bathrooms. There is a terrace to the exit from the corridor, from where a beautiful view of Tsakhkadzor nature opens.The house has a basement of about 80 square meters. Can be used as a billiards area, gym, playroom or recreation area.There is a parking lot for up to 4 cars in the yard.There are two huge deer in the garden - lush tuya's well-designed ornamental trees. There are 2 pavilions in the area, which are connected to the house by an alley.One of the pavilions, with an area of about 30 square meters, has a barbecue and serves as a summer kitchen. The second pavilion is intended for entertainment, a tennis table is placed here.The house can serve as a guest house all year round and become a new place on the tourist map.• Kind Regards #AsatryanConsulting team:The best for you!Best for you!Luchshee for you!Lo mejor para ti!The best for you!最 适合 您Code 13408462Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/13408462,,,,,,
House,Stone,102 sq.m.,1,4,2,,,Major Renovation,400 sq.m.,Kotayk › Jrvezh,"$155,000",USD,"One-storey uninhabited house in Jrvezh is for sale.Building area - 102 square metersLand area: 400 square meters (16 * 25 m)The plot is completely fenced.The interior renovation is carried out with modern design solutionsThe construction of the house was completed in 2020All the utilities are available: Sewer, water, electricity, gas, internet.Consist ofliving roomkitchen3 bedrooms2 bathrooms1 wardrobeThe house is a great place for those who prefer quiet, comfort. It has access to transport, the road is asphalted.Code 15206566Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/15206566,,,,,,
House,Stone,510 sq.m.,2,8+,3+,,,Major Renovation,1500 sq.m.,Kotayk › Jrvezh,"$950,000",USD,"Վաճառվում է ճարտարապետական հետաքրքիր լուծումներով կառուցված առանձնատուն Ջրվեժ թաղամասում՝ Երևանի կենտրոնից 15 րոպե հեռավորության վրա։Հողատարածքի ընդհանուր մակերեսը՝ 1500 ք/մ։Շինության մակերեսը՝ 510 քմ:Առանձնատունը բաղացած է երկու հարկերից։ Բնակելի հատվածն ամբողջովին նորոգված է:Առանձնատունն ունի՝նախասրահ,մեծ և լուսավոր հյուրասենյակ,խոհանոց,աշխատասենյակը,4 ննջասենյակ,3 սանհանգույցլվացքասենյակ։2 բաց պատշգամբ, որտեղից բացվում է հիանալի տեսարան։Նկուղային մասում առկա է սաունա, խաղասրահ և մարզասրահ:Առանձնատունն պարսպապատ է, տեղադրված են երկաթյա դարպասներ։ Ունի կանաչապատ այգի, որտեղ կա ավանդական ""խորովածանոց"", ինչպես նաև զրուցարան, ամառային խոհանոց (60 քմ), խորդանոց և սանհանգույց: Առանձնատանը կից կա փակ ավտոկայանատեղ՝ նախատեսված 2 և ավելի մեքենաների համար: Ճակատային մասում՝ ճանապարհի հարևանությամբ առկա է ավտոկայանատեղի հյուրերի համար՝ մոտ 10-12 մեքենայի համար։Kind Regards #AsatryanConsulting teamԼավագույնը Ձեզ համար!Best for you!Лучшее для вас!Lo mejor para ti!Le meilleur pour vous!最适合您！Կոդ 15280445",Nov-24-2022_23-13,,,,https://list.am/en/item/15280445,,,,,,
House,Stone,1943 sq.m.,3,8+,3+,,,Old Renovation,205 sq.m.,Kotayk › Jrvezh,"$450,000",USD,"A three-story private house is for sale in the ecologically clean Jrvezh district, not far from the center of Yerevan.The total area of the land: 1943 + sq/mTotal area of the building: 205 sq/mThe house has in common:2 halls1 living room4 bedrooms1 kitchen3 bathroomslaundry roomstorage room1 large open balconyThe house has a basement and a garage for 3 cars.In the garden in front of the mansion, where many fruit trees are planted, there is an open swimming pool of 9.4 square meters.• Kind Regards #AsatryanConsulting teamThe best for you!Best for you!Best for you!The best for you!The best for you!Most suitable for you!Code 18003701Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18003701,,,,,,
House,Monolith,201 sq.m.,2,6,3+,,,Partial Renovation,515 sq.m.,Kotayk › Abovian,"$230,000",USD,"A private house is for sale 19 km away from Yerevan, in the newly developing district of Abovyan. The house is located in a quiet part of the district.The area of the land is 515 square metersThe total area of the building is 201 square metersCeiling height: 3 mThe house consists of:from a spacious lobbyFrom 1 living roomFrom 1 kitchen3 + from the bathroomFrom 5 bedrooms1 open balcony1 basement - 12 sq / mThe house is partially renovated.There is an email. Electricity, sewerage, drinking and irrigation water. The district is gasified.The house has a garden with its own chat room. Fruit trees and deer are planted in the garden.Kind regards, #AsatryanConsulting team.The best for you!Best for you!Luchshee for you!Lo Mejor para ti!The Best for you!您 您 您:Code 17439706Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17439706,,,,,,
House,Stone,120 sq.m.,1,3,1,Available,1 spot,Major Renovation,1400 sq.m.,Kotayk › Aramus,"$110,000",USD,"Urgent, negotiable. In Aramus, newly built neighborhood, flat place, thick walls, above the ground, fenced on 4 sides, euro (door, window), new roof, Baxi, water, electricity, gas, separate sewage, separate irrigation water, 5 cameras, open balcony, garage, storage room, outbuilding, all made of stone, barbecue, chat room, orchard, electric boiler. One minute from the central paved road. Everything is legal, the documents are completely normal. The property and equipment remain completely. All were bought 1 year ago.IMPORTANT. THERE IS NO HIGH VOLTAGE ELECTRICITY IN THE AREA.15 minutes by car from Avan. It does not require any investment, it is fully furnished.Code 1500011Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18202284,,,,,,
House,Stone,220 sq.m.,2,5,2,Available,Not available,Major Renovation,239 sq.m.,"Dzagavank street, Առինջ գյուղ","$165,000",USD,"A comfortable two-storey private house is for sale in Arinj village, near St. Hovhannes Church.• The house is fully repaired, iron entrance door, euro windows, interior euro doors are installed.• Heating is provided by an individual system - gas boiler.• The floors are covered with tiles and laminate.• The bathrooms are tiled, equipped with sanitary ware, there is a Jacuzzi.The house consists of two floors ․• On the ground floor there is a living room, 1 study, a kitchen, a corridor, a bathroom, 2 closets.• 2nd floor: Open balcony, 3 bedrooms, 1 bathroom, corridor and rest room.• The house has an open-air parking lot.• For sale with partial property.For other details, write or call the mentioned numbers.The house is displayed under a real estate display contract.Service commission - 2% of the sale price.Code MC058Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17870821,,,,,,
House,Stone,300 sq.m.,2,5,2,By agreement,2 spots,Partial Renovation,1550 sq.m.,"Ա. Հարությունյան փողոցի 1-ին նրբանցք, Քասախ","$168,500",USD,"A spacious 2-storey detached house is for sale in the quietest part of Kasakh village.The mansion consists of two floors.• The first floor is a basement.• On the 2nd floor: 3 bedrooms, 1 living room, 2 bathrooms and kitchen.• The house has an iron entrance door, European windows, interior doors.• The floors are covered with parquet.• Panels with a capacity of 8.2 kilowatts are installed on the roof of the mansion.• Bathrooms are tiled and equipped with sanitary ware.• The mansion has a large garden with fruit trees.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the sale price.Code MC076Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18028074,,,,,,
House,Stone,210 sq.m.,2,6,2,By agreement,2 spots,Major Renovation,4500 sq.m.,"Ֆրոնտիկ Թևոսյան փողոց 38, Նոր Գեղի","$270,000",USD,"In one of the most beautiful villages of Kotayk marz, Nor Gyugh, a newly built 2-storey house is for sale.The house has:• On the 1st floor, living room, kitchen, 1 bedroom, bathroom and a spacious open balcony with a wonderful view.• 4 bedrooms, bathroom on the 2nd floor.• Basement floor (30 square meters), where there is a tennis table.• All rooms are equipped with expensive furniture and equipment, are provided with all amenities, are bright, the walls are covered with original collection posters.• The house is renovated in a beautiful modern style, all construction works are done exclusively with high quality materials.• An electric heating system and a boiler for hot water are installed.• The floors are covered with quality laminate, the bathrooms are tiled and equipped with sanitary equipment.• The mansion has 4500 sq. M. Plot of land, wonderful location and view, large orchard, chat room with grill.• There is a security system, cameras are installed.• Supermarkets, necessary shops, bus stop are very close to the house.For other details, write or call the indicated numbers.The home is shown with a real estate showing contract.Service commission: 2% of the selling price.Code GC0005Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18113280,,,,,,
House,Panels,800 sq.m.,1,3,1,,,Partial Renovation,800 sq.m.,Kotayk › Nor Geghi,"$45,000",USD,"Has a plot of land, a garage without a roof, the price is negotiableTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16853740,,,,,,
House,Stone,62 sq.m.,1,3,1,,,Partial Renovation,64 sq.m.,Kotayk › Jrvezh,"$45,000",USD,Private house for sale in Jrvezh. First line. It is in normal condition. Three rooms. Has all the utilities. All water lines changed.Translated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/17687607,,,,,,
House,Stone,160 sq.m.,2,4,2,,,Partial Renovation,255 sq.m.,Kotayk › Zovuni,"$90,000",USD,"Newly built private house for sale at 25 Zovun str. The house will be handed over with a fence, the front part of the house and the fence will be Hrazdan plaster (kroshka), plastered, water, sewer and electricity works will be done. Call for other questions.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18135546,,,,,,
House,Stone,285 sq.m.,3,8+,3+,,,Old Renovation,1600 sq.m.,Kotayk › Dzoraghbyur,"$300,000",USD,"3-storey private house is for sale in one of the most beautiful parts of Dzoraghbyur, on the edge of the gorge. The building area is 285 square meters. The land is 1600 square meters. On the 1st floor there is a basement and bathroom, on the 2nd floor - a spacious ահ furnished kitchen, a dining room, a laundry room and a spacious hall, on the 3rd floor - 3 bedrooms, a dressing room, a lobby and a living room. The house is old capitally renovated, the floor is covered with parquet. It has a boiler house, 2 water pumps (internal and external), an electric motor (two-phase), three-phase electricity. The house has a well-maintained orchard, a swimming pool, a chat room with its own barbecue, a half-built shock bath. It is possible to build a one-size-fits-all house on the land or expand the garden.To send pictures of all other rooms and area, please contact the mentioned phone number.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/14799864,,,,,,
Country House,Stone,160 sq.m.,2,4,1,,,No Renovation,600 sq.m.,Kotayk › Ptghni,"$33,000",USD,"Summer house for sale in Getamej village of Ptghni, near Hrazdan river. It has electricity, permanent water, fruit trees, a small pool. The district is partially populated. The bathroom is combined, a separate structure from the house, hot water is from a geyser. The windows are European, the doors are metal. It has a basement and a garage.It is possible to exchange for a car for an additional fee.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17954879,,,,,,
House,Stone,446 sq.m.,2,4,2,,,Partial Renovation,,Kotayk › Arinj,"$62,000",USD,".2-storey private house for sale, has gas, light, water, red notch tuff, has a large basement. Fruit gardenTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10956496,,,,,,
House,Stone,100 sq.m.,1,4,1,Not available,Not available,Cosmetic Renovation,300 sq.m.,"24-րդ փողոց 9/1, Զովունի","$100,000",USD,For more information callTranslated from Armenian,Nov-24-2022_23-13,,,,https://list.am/en/item/17714840,,,,,,
House,Stone,160 sq.m.,2,4,1,,1 spot,Partial Renovation,600 sq.m.,"Kentron block 32, Hrazdan","$32,000",USD,"Address: Hrazdan Youth Street, urgently for sale, gas available, call for detailsUrgent sale, possible discountsTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17813513,,,,,,
House,Stone,480 sq.m.,1,3,1,Available,1 spot,Old Renovation,380 sq.m.,"1-я улица 21, Верин Птхни","$120,000",USD,Վաճառվում է առանձնատուն հողատարածքով Կոտայքի մարզի Վերին Պտղնի գյուղում։ Սեվան Երեվան մայրուղի 1 գիծ հասցեում։ Հողատարածքը առաջին գծի վրա է 250 քմ։ Մանրամասների համար զանգահարել նշված հեռախոսահամարով։Ընդհանուր մակերեսը 480քմՏունը 100քմ,Nov-24-2022_23-13,,,,https://list.am/en/item/15466819,,,,,,
Country House,Stone,300 sq.m.,3,7,1,Available,2 spots,Partial Renovation,2000 sq.m.,Kotayk › Alapars,"$45,000",USD,"A 3-storey detached house for sale, all utilities, a large productive garden, newly renovated roofTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18014140,,,,,,
House,Stone,148 sq.m.,2,4,2,By agreement,3 or more spots,Euro Renovation,300 sq.m.,"Պարույր Սևակի փողոց, Երևան","$150,000",USD,"Code 50456A 2-storey private house for sale in Arinj, Paruyr Sevak district. The total area of the land is 300 square meters, the area of the building is 148 square meters. It is fenced. Euro windows installed. The interior doors have been replaced. The floor is covered with laminate and tile. It has an individual heating system. There are 3 bedrooms, 2 of which are completely renovated and the other needs renovation and 2 bathrooms, one on each floor. The bathroom on the first floor is renovated, equipped with plumbing equipment, and the bathroom on the second floor also needs renovation.The house has an orchard, a summer kitchen, a lounge and a fireplace.There is a storage room and outdoor parking for 3 cars.Call for more information.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18235553,,,,,,
Country House,Stone,1460 sq.m.,3,4,1,,,Major Renovation,,Kotayk › Karashamb,"$130,000",USD,"A summer house is for sale.Located in Kotayk region, Karashamb village, summer house district.Includes:1) House: 3 floors (the first floor consists of a sauna or billiard room)2) Land area3) Pavilion4) swimming pool5) barbecue6) in the parking lot for 3 cars7) two balconiesThe house includes a kitchen, a living room, two + 1 bedrooms, a bathroom, 2 bathrooms. It is capitally renovated. It is in excellent condition. View to Hrazdan river.Call for more details.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17940121,,,,,,
House,Stone,1200 sq.m.,3,8+,3+,,,Partial Renovation,1200 sq.m.,Kotayk › Kasagh,"$160,000",USD,"Newly built private house for sale, total 1200 sq. M., residential 400 sq. M., the first floor of the house is renovated, the other two floors are in zero condition, only the windows are installed, the private house is for sale cheaper than the main one because it is urgentTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/14460745,,,,,,
House,Stone,220 sq.m.,3,5,3+,,,Old Renovation,800 sq.m.,Kotayk › Dzoraghbyur,"$75,000",USD,"ID 1104a two-story tuff stone structure in Dzoraghbyur country houses,1st floor - pantry, kitchen, bathroom2nd floor - living room, 1 bedroom, bathroom3rd floor - hall, 2 bedrooms, balcony with viewInstallation of drinking water pipes is in progress, irrigation water is available.Gasifiedorchard, swimming poolCode 01104Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/13989556,,,,,,
House,Stone,150 sq.m.,2,6,2,Not available,1 spot,No Renovation,2000 sq.m.,Kotayk › Aghveran,"$33,000",USD,"Վաճառվում է երկհարկանի նորակառույց առանձնատուն, ․Արզականում/առանց ներքին հարդարման, տանիքը ցինկապատ, ունի 2000քմ հողատարածք; Ունի խմելու և ոռոգման ջրի հնարավորություն։Արզականում, Աղվերանում)Продается двухэтажный частный дом новой постройки, в Арзакане (Агверан), (150кв, и), без внутренней отделки. Крыша оцинкована, имеет 2000 кв. М земли.",Nov-24-2022_23-13,,,,https://list.am/en/item/10505334,,,,,,
Country House,Monolith,140 sq.m.,2,4,1,Available,1 spot,Major Renovation,8000 sq.m.,"M-4 1, Հրազդան","$100,000",USD,"A newly built, completely renovated residential house with all amenities and an orchard is for sale.The house has two floors.It has 120 square meters. Living area: 3 bedrooms, living room, kitchen, summer kitchen, bathroom, and 20 sq. M. Basement.There is drinking and irrigation water, sewage and electricity. Current.The orchard is irrigated with a drip irrigation system. There are about 150 fruit trees: Cherries, walnuts, plums, apricots, apples.Total land: 8000 sq. M., of which 1000 sq. M. - residential, 7000 m2 - village. LandIt is located directly on the Yerevan-Sevan highway (the entrance is also from the highway), about 40 km from Yerevan.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18003251,,,,,,
House,Stone,365 sq.m.,3,5,2,Not available,2 spots,No Renovation,365 sq.m.,"Teryan street, Kasakh","$153,000",USD,"Code ART 613:3-storey private house is for sale on Yeritasardakan street. It occupies an area of 365 square meters. The 1st floor is semi-basement, where there is a summer house, a kitchen. 2nd floor: Living room, kitchen, large corridor, bathroom, closet walls are leveled, doors and windows are installed. 4 bedrooms, corridor, bathroom on the 3rd floor. The front of the house is 10 meters. In the yard there is a grill with an area of 15 square meters, a fireplace. The house has a sewer.Code ART-613Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10074044,,,,,,
House,Stone,1397 sq.m.,1,5,1,Available,Not available,Old Renovation,1215 sq.m.,"Kotayq street, Abovyan","$48,000",USD,"A private house is for sale in Abovyan, the total area of which is 1397 square meters, the building is 182.4 square meters (it has a basement of 29.6 square meters), the property is located in one of the quietest parts of Abovyan, about 7 km from the private house to Yerevan.There is a stone garage on the land, there are fruit trees.The property is very convenient to create a place of rest between your ideas.If you have any questions, call the mentioned numbers.Code AB5-802Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17214268,,,,,,
House,Monolith,115 sq.m.,1,4,2,,,No Renovation,800 sq.m.,Kotayk › Aghveran,"$68,000",USD,"A newly built private house on the river bank in AghveranA newly built private house in Aghveran is for sale, with all utilities.Heating pipesEuropean door and windowscoolStyashkahigh quality electrical wires3 bedrooms2 bathroomsThe area of the building is 115 square meters800 square meters of landCar parkingIt is possible to buy the house with a construction loan.The pictures are true to the building.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18009442,,,,,,
House,Stone,240 sq.m.,2,4,2,Available,1 spot,Major Renovation,700 sq.m.,"Zovuni 4 Street, Zovuni","$175,000",USD,"Private house for sale in Zovuni has a garage with fruit trees, a beautiful garden house on the side, call for detailsTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17727815,,,,,,
House,Wooden,85 sq.m.,1,4,1,,,No Renovation,,Kotayk › Tsakhkadzor,"$47,000",USD,"Area for sale in Tsakhkadzor, in the central part, on the central street, first line. It is possible to exchange and partial sale.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/15647836,,,,,,
House,Stone,60 sq.m.,1,2,1,,,Cosmetic Renovation,740 sq.m.,"Eghvard highway, Yerevan","$28,000",USD,"The house is located in Yeghvard, projectile, gasified, 1 floor, 2 rooms, 1 bathroom. Gin @ 28000 $Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16289025,,,,,,
House,Stone,165 sq.m.,1,5,2,,,Designer Renovation,,Kotayk › Abovian,"77,500,000 ֏",AMD,"Աբովյան քաղաքի 1-ին փողոցում վաճառվում է բնակելի տուն կոմունալ բոլոր հարմարություններով (գազ. Ջուր. Հոսանք. Կենտրոնացված կոյուղի. Ինտերնետ. Կաբելային), բնակելի տունը կապիտալ վերանորոգված է, ունիԻնտերիերին անբաժանելի մաս հանդիսացող որակյալ կահույք: Բնակելի տունը ծանրաբեռնված է 1100մք մրքատու ծառերով հողատարածքի վրա, ունի ամառային խոհանոց (բուխարի, թոնդիր), կփոխանակեմ նաև բնակարանի կամ ավտոմեքենայի հետ ձեր կողմից հավելավճարով",Nov-24-2022_23-13,,,,https://list.am/en/item/15618885,,,,,,
House,Stone,165 sq.m.,1,5,2,,,Euro Renovation,1100 sq.m.,Kotayk › Abovian,"77,500,000 ֏",AMD,"Բարեկարգ Հողատարածք 1000մք. , բնակելի տունը արտաքին թե ներքին վերանորոգմամբ, առկա է բոլոր կոմունիկացիոն համակարգերը, բն. Տունը բախկացած է, բաց պատշկամբ 4×13,ամառայն խոհանոց 4×9,միջանցք 3×4,ֆոյե 3×4,ննջարան 4հատ, ննջարաներից մեկը սանհանգույցով, մյուսը հանդերցարանով, զուգարան բաղնիք 2,5×3,5,հյուրասենյակ 9×4,5,խոհանոց 4×4,պատերին ամրացված որակյալ կահույքները և խոհանոցային տեխնիկան (ստրոյնի տեխնիկան) արժեքի մեջ է ներառված. , խորդանոց 3,5×2,5: Հողատարածքում կան մրգատու ծառներ-խնձոր, սերկեֆիլ, դամբուլ, գիլաս, շպանկա, դեխծ, ծիրան, պոպոք, պնդուկ, նուշ...: Մոտակայքում առկա է դպրոց, մանկապարտեզ, սուպերմարկետներ, քաղաքային վարչական շենք և այլն...: Սակարկելի, Կփոխանակեմ բնակարանի կամ ավտոմեքենայի հետ ձեր կողմից հավելավձարով",Nov-24-2022_23-13,,,,https://list.am/en/item/15761335,,,,,,
House,Stone,165 sq.m.,1,5,2,,,Cosmetic Renovation,1100 sq.m.,Kotayk › Abovian,"77,500,000 ֏",AMD,"1000 + Հողատարածք բարեկարգ և մրգատու ծառերով, տունը ամբողջությամբ վերակառուցված և վերանորոգված... Հետաքրքրեց զանգահարեք կմանրամասնեմ: Նաև հնարավոր է փոխանակում բնակարանի կամ ավտոմեքենայի հետ ձեր կողմից հավելավճարով:",Nov-24-2022_23-13,,,,https://list.am/en/item/15875157,,,,,,
House,Stone,167 sq.m.,2,7,2,,2 spots,Euro Renovation,300 sq.m.,"Zovuni 16 street, Zovuni","$120,000",USD,"Newly built house and furnished private house, 21 year old building, communication is available, electricity, water, gas, payments are made, only the connection fee is 300,000 AMD for the bank. 53/1 urgent urgent price negotiation is possible for a real buyer negotiable in case of a real buyer cheaper than the market priceTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16871686,,,,,,
House,Stone,463 sq.m.,3,5,2,Not available,1 spot,No Renovation,504 sq.m.,Kotayk › Jrvezh,"$170,000",USD,"Կոդ-13484: Վաճառվում է եռահարկ առանձնատուն Ջրվեժում: Տունը գաջապատված է, հատակը` Հարթեցված: Տեղադրված են եվրոպական արտադրության պատուհաններ, որոնց վրա կան ճաղավանդակներ: Առաջին հարկում խոհանոցն է և հյուրասենյակը, երկրորդ հարկում` 3 ննջասենյակ, երրորդը` Մանսարդ է: Տան տակ կա մառան և ավտոտնակ: Բակում կա լողավազան: Առանձնատնից բացվում է քաղաք նայող գեղեցիկ տեսարան:",Nov-24-2022_23-13,,,,https://list.am/en/item/10658867,,,,,,
House,Stone,152 sq.m.,1,4,2,,,Old Renovation,3900 sq.m.,Kotayk › Charentsavan,"$55,000",USD,"A one-story stone house is for sale in the village of Karenis. It is gasified and has permanent irrigation and drinking water. It is possible to turn it into a recreation area, or to establish a new farm. The building has enough strength to make it a two-story building.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18226571,,,,,,
House,Stone,430 sq.m.,2,8+,2,Available,1 spot,Euro Renovation,350 sq.m.,Kotayk › Arinj,"$160,000",USD,"Code 11557 2-storey private house for sale in v. In Arinj, on the central street. The land area is 350 square meters, the total area of the house is 430, each floor is 215 square meters. The house is completely renovated. On the 1st floor: Kitchen, living room, game room, bathroom, laundry, on the 2nd floor: Four bedrooms, bathroom. Has a basement, a separate boiler house, a garage. For sale together with property and equipment.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/10791278,,,,,,
House,Stone,434 sq.m.,2,5,2,By agreement,1 spot,No Renovation,872 sq.m.,Kotayk › Arinj,"$140,000",USD,"Code-12951: Two-storey private house is for sale in Arinj. The house is plastered. The electric wires and water pipes are laid. Existing auxiliary building - 39 sq. M., garage, basement on the basement floor, which has two entrances: From the house to the garden;Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/16857352,,,,,,
House,Stone,120 sq.m.,2,4,2,,,Major Renovation,210 sq.m.,"Ազատության փողոցի 4-րդ նրբանցք 15, Ձորաղբյուր","50,000,000 ֏",AMD,"• Houses are being built at the beginning of Dzoraghbyur, near the main street.• With quality construction material.• The houses have a beautiful view• 30% down paymentTranslated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/18225212,,,,,,
House,Monolith,6830 sq.m.,3,8+,3+,Not available,3 or more spots,No Renovation,5520 sq.m.,"8-րդ փողոց 52, Կամարիս","$480,000",USD,"A 2-storey newly built private house with an interesting building is for sale, the living area of which is 1060 square meters, and the land adjacent to the house is 5,520 square meters. The private house is located in Kamaris village of Kotayk region, at 62-64 house on 8th street. The main works are done, the outer walls քը the roof are built, the inner walls are divided and the windows are installed. All communications (gas, electricity, water, sewerage) are connected. There is also a semi-basement floor, where there is a spacious hall, an indoor swimming pool, a sauna, a fireplace and a bathroom. It is convenient to use for entertainment. On the 1st floor there is a living room with a fireplace, a kitchen, a study, 2 bedrooms and 4 bathrooms, on the 2nd floor there are 12 rooms with a fireplace and 6 bathrooms. The bathrooms are partially tiled. There is a garage for 4 cars. The yard is well-kept, there are fruit trees, a garden, an outdoor swimming pool, a play area. It is completely fenced, has an iron gate. There is an auxiliary building in the yard with an area of 245 square meters, which is intended for conducting ecological agriculture (modern barns) It is possible to rent a private house in a renovated condition, on favorable terms, by paying off the renovation works from the rent. The house has all the amenities to operate the hotel complex.Translated from Armenian",Nov-24-2022_23-13,,,,https://list.am/en/item/17963520,,,,,,
Country House,Stone,75 sq.m.,3,5,1,Not available,Not available,No Renovation,500 sq.m.,Kotayk › Aragyugh,"$13,000",USD,"Продаётся дача, красивый вид, дача находится в дачном посёлке Араландж",Nov-24-2022_23-13,,,,https://list.am/en/item/17915695,,,,,,
